"id"	"蛋氨酸"	"科名"	"小穗形"	"品种名称"	"谷氨酸"	"内稃色"	"棕榈酸"	"天冬氨酸"	"精氨酸"	"苏氨酸"	"丙氨酸"	"总和"	"油酸"	"有效分蘖"	"亚麻酸"	"外稃色"	"省"	"生育日数"	"保存编号"	"保存单位"	"亚油酸"	"幼苗习性"	"卵块"	"旗叶叶相"	"占脂肪酸"	"统一编号"	"主穗长"	"苯丙氨酸"	"学名"	"脂肪"	"胱氨酸"	"组氨酸"	"倒伏性"	"蛋白质"	"芒颜色"	"样品类型"	"亮氨酸"	"库编号"	"主穗小穗数"	"原产地"	"黑穗病率"	"不饱脂肪酸"	"甘氨酸"	"芒形状"	"蚜虫"	"氨"	"幼虫"	"主穗粒重"	"缬氨酸"	"黑穗病抗性"	"色氨酸"	"单株粒重"	"粒色"	"酩氨酸"	"脯氨酸"	"赖氨酸"	"皮裸"	"千粒重"	"丝氨酸"	"属名"	"译名"	"幼苗颜色"	"粒型"	"抗旱性"	"红叶病抗性"	"轮层数"	"株高"	"穗形"	"异亮氨酸"	"红叶病病级"
"117"	"--"	"Gramineae(禾本科)"	"纺锤"	"小莜麦"	"--"	"黄"	"20.00"	"--"	"--"	"--"	"--"	"--"	"40.19"	"0.2"	"0.90"	"黄"	"山西"	"85"	"晋472"	"山西省高寒作物所"	"38.73"	"直立"	"--"	"上举"	"--"	"ZY002291"	"25.2"	"--"	"Avena nuda L.(裸燕麦)"	"5.75"	"--"	"--"	"--"	"16.54"	"--"	"地方"	"--"	"I1F02284"	"36.00"	"神池县"	"74.2"	"--"	"--"	"--"	"--"	"--"	"--"	"1.3"	"--"	"HS"	"--"	"1.5"	"白"	"--"	"--"	"--"	"裸"	"20.60"	"--"	"Avena(燕麦属)"	"XIAO YOU MAI"	"深绿"	"卵"	"--"	"HS"	"5.2"	"115.0"	"周散"	"--"	"9"
"118"	"--"	"Gramineae(禾本科)"	"串铃"	"二莜麦"	"--"	"黄"	"24.23"	"--"	"--"	"--"	"--"	"--"	"33.06"	"1.2"	"0.93"	"黄"	"山西"	"88"	"晋478"	"山西省高寒作物所"	"41.75"	"中"	"--"	"平展"	"--"	"ZY002297"	"21.8"	"--"	"Avena nuda L.(裸燕麦)"	"6.15"	"--"	"--"	"--"	"16.17"	"--"	"地方"	"--"	"I1F02290"	"18.60"	"定襄县"	"68.9"	"--"	"--"	"--"	"--"	"--"	"--"	"0.6"	"--"	"HS"	"--"	"1.1"	"黄"	"--"	"--"	"--"	"裸"	"20.00"	"--"	"Avena(燕麦属)"	"ER YOU MAI"	"深绿"	"椭圆"	"--"	"HS"	"5.2"	"108.6"	"周散"	"--"	"9"
"119"	"--"	"Gramineae(禾本科)"	"串铃"	"二莜麦"	"--"	"褐"	"23.44"	"--"	"--"	"--"	"--"	"--"	"33.20"	"1.4"	"0.94"	"白"	"山西"	"88"	"晋479"	"山西省高寒作物所"	"42.40"	"匍伏"	"--"	"下披"	"--"	"ZY002298"	"19.4"	"--"	"Avena nuda L.(裸燕麦)"	"6.35"	"--"	"--"	"--"	"16.05"	"--"	"地方"	"--"	"I1F02291"	"14.60"	"岚县"	"74.1"	"--"	"--"	"--"	"--"	"--"	"--"	"0.5"	"--"	"HS"	"--"	"1.0"	"黄"	"--"	"--"	"--"	"裸"	"20.60"	"--"	"Avena(燕麦属)"	"ER YOU MAI"	"深绿"	"卵"	"--"	"HS"	"5.0"	"108.0"	"周散"	"--"	"8"
"120"	"--"	"Gramineae(禾本科)"	"串铃"	"--"	"--"	"褐"	"24.51"	"--"	"--"	"--"	"--"	"--"	"33.85"	"1.0"	"1.12"	"黄"	"山西"	"86"	"晋494"	"山西省高寒作物所"	"40.50"	"中"	"--"	"平展"	"--"	"ZY002313"	"22.2"	"--"	"Avena nuda L.(裸燕麦)"	"5.98"	"--"	"--"	"--"	"17.02"	"--"	"地方"	"--"	"I1F02306"	"15.80"	"交城县"	"88.6"	"--"	"--"	"--"	"--"	"--"	"--"	"0.5"	"--"	"HS"	"--"	"1.0"	"黄"	"--"	"--"	"--"	"裸"	"20.40"	"--"	"Avena(燕麦属)"	"--"	"深绿"	"卵"	"--"	"HS"	"5.8"	"111.2"	"周散"	"--"	"7"
"121"	"--"	"Gramineae(禾本科)"	"纺锤"	"小莜麦"	"--"	"褐"	"24.89"	"--"	"--"	"--"	"--"	"--"	"34.38"	"--"	"0.90"	"黄"	"山西"	"78"	"晋501"	"山西省高寒作物所"	"39.55"	"中"	"--"	"平展"	"--"	"ZY002320"	"20.0"	"--"	"Avena nuda L.(裸燕麦)"	"5.50"	"--"	"--"	"--"	"16.76"	"--"	"地方"	"--"	"I1F02313"	"17.00"	"和顺县"	"94.9"	"--"	"--"	"--"	"--"	"--"	"--"	"0.6"	"--"	"HS"	"--"	"0.6"	"黄"	"--"	"--"	"--"	"裸"	"15.80"	"--"	"Avena(燕麦属)"	"XIAO YOU MAI"	"淡绿"	"卵"	"--"	"HS"	"5.0"	"103.2"	"周散"	"--"	"8"
"122"	"--"	"Gramineae(禾本科)"	"纺锤"	"小莜麦"	"--"	"褐"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"0.4"	"--"	"黄"	"山西"	"81"	"晋527"	"山西省高寒作物所"	"--"	"直立"	"--"	"下披"	"--"	"ZY002346"	"14.6"	"--"	"Avena nuda L.(裸燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"I1F02339"	"10.20"	"交城县"	"57.7"	"--"	"--"	"--"	"--"	"--"	"--"	"0.3"	"--"	"HS"	"--"	"0.4"	"黄"	"--"	"--"	"--"	"裸"	"14.20"	"--"	"Avena(燕麦属)"	"XIAO YOU MAI"	"绿"	"椭圆"	"--"	"HS"	"3.8"	"88.0"	"周散"	"--"	"8"
"123"	"--"	"Gramineae(禾本科)"	"纺锤"	"--"	"--"	"黄"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.0"	"--"	"黄"	"山西"	"79"	"晋532"	"山西省高寒作物所"	"--"	"中"	"--"	"平展"	"--"	"ZY002351"	"13.0"	"--"	"Avena nuda L.(裸燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"I1F02344"	"6.80"	"武乡县"	"77.9"	"--"	"--"	"--"	"--"	"--"	"--"	"0.2"	"--"	"HS"	"--"	"0.3"	"黄"	"--"	"--"	"--"	"裸"	"16.60"	"--"	"Avena(燕麦属)"	"--"	"绿"	"卵"	"--"	"HS"	"3.8"	"90.0"	"周散"	"--"	"9"
"124"	"--"	"Gramineae(禾本科)"	"纺锤"	"--"	"--"	"褐"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"0.2"	"--"	"黄"	"山西"	"88"	"晋542"	"山西省高寒作物所"	"--"	"中"	"--"	"上举"	"--"	"ZY002361"	"18.2"	"--"	"Avena nuda L.(裸燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"I1F02354"	"18.60"	"滩尖县"	"77.1"	"--"	"--"	"--"	"--"	"--"	"--"	"0.6"	"--"	"HS"	"--"	"0.8"	"黄"	"--"	"--"	"--"	"裸"	"17.00"	"--"	"Avena(燕麦属)"	"--"	"绿"	"纺锤"	"--"	"HS"	"5.0"	"103.2"	"周散"	"--"	"8"
"125"	"--"	"Gramineae(禾本科)"	"串铃"	"小莜麦"	"--"	"黄"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.2"	"--"	"黄"	"山西"	"80"	"晋622"	"山西省高寒作物所"	"--"	"中"	"--"	"上举"	"--"	"ZY002441"	"16.8"	"--"	"Avena nuda L.(裸燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"I1F02430"	"19.20"	"孝文县"	"23.3"	"--"	"--"	"--"	"--"	"--"	"--"	"0.6"	"--"	"MS"	"--"	"1.0"	"黄"	"--"	"--"	"--"	"裸"	"23.10"	"--"	"Avena(燕麦属)"	"XIAO YOU MAI"	"淡绿"	"椭圆"	"--"	"HS"	"5.4"	"92.0"	"周散"	"--"	"9"
"126"	"--"	"Gramineae(禾本科)"	"纺锤"	"--"	"--"	"黄"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.1"	"--"	"黄"	"山西"	"85"	"晋644"	"山西省高寒作物所"	"--"	"匍伏"	"--"	"平展"	"--"	"ZY002463"	"19.4"	"--"	"Avena nuda L.(裸燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"I1F02452"	"23.60"	"隰县"	"24.2"	"--"	"--"	"--"	"--"	"--"	"--"	"1.0"	"--"	"MS"	"--"	"2.1"	"黄"	"--"	"--"	"--"	"裸"	"19.20"	"--"	"Avena(燕麦属)"	"--"	"淡绿"	"椭圆"	"--"	"HS"	"4.6"	"100.0"	"周散"	"--"	"8"
"127"	"--"	"Gramineae(禾本科)"	"串铃"	"大莜麦"	"--"	"褐"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.7"	"--"	"黄"	"山西"	"77"	"晋646"	"山西省高寒作物所"	"--"	"匍伏"	"--"	"平展"	"--"	"ZY002465"	"21.0"	"--"	"Avena nuda L.(裸燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"I1F02454"	"20.40"	"隰县"	"62.1"	"--"	"--"	"--"	"--"	"--"	"--"	"0.9"	"--"	"HS"	"--"	"2.4"	"黄"	"--"	"--"	"--"	"裸"	"15.80"	"--"	"Avena(燕麦属)"	"DA YOU MAI"	"绿"	"纺锤"	"--"	"HS"	"5.0"	"100.1"	"周散"	"--"	"8"
"128"	"--"	"Gramineae(禾本科)"	"纺锤"	"小莜麦"	"--"	"褐"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.8"	"--"	"黄"	"山西"	"101"	"晋648"	"山西省高寒作物所"	"--"	"直立"	"--"	"下披"	"--"	"ZY002467"	"23.3"	"--"	"Avena nuda L.(裸燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"I1F02456"	"27.00"	"浑源县"	"57.6"	"--"	"--"	"--"	"--"	"--"	"--"	"1.0"	"--"	"HS"	"--"	"1.8"	"黄"	"--"	"--"	"--"	"裸"	"17.00"	"--"	"Avena(燕麦属)"	"XIAO YOU MAI"	"绿"	"椭圆"	"--"	"HS"	"4.8"	"128.2"	"周散"	"--"	"9"
"129"	"--"	"Gramineae(禾本科)"	"--"	"黄燕麦"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"0.7"	"--"	"--"	"青海"	"113"	"青农65"	"青海省农科院"	"--"	"直立"	"--"	"上举"	"--"	"ZY002515"	"21.0"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"I1F02909"	"16.00"	"湟中县"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.0"	"--"	"--"	"--"	"2.9"	"黑黄"	"--"	"--"	"--"	"皮"	"26.00"	"--"	"Avena(燕麦属)"	"HUANG YAN MAI"	"淡绿"	"纺锤"	"--"	"--"	"4.0"	"126.0"	"周散"	"--"	"--"
"130"	"--"	"Gramineae(禾本科)"	"--"	"黑燕麦"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"	"青海"	"113"	"青农69"	"青海省农科院"	"--"	"直立"	"--"	"上举"	"--"	"ZY002519"	"22.0"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"--"	"16.00"	"湟源县"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.2"	"--"	"--"	"--"	"2.7"	"黑黄"	"--"	"--"	"--"	"皮"	"16.00"	"--"	"Avena(燕麦属)"	"HEI YAN MAI"	"淡绿"	"纺锤"	"--"	"--"	"4.0"	"130.0"	"周散"	"--"	"--"
"131"	"--"	"Gramineae(禾本科)"	"--"	"大燕麦"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.2"	"--"	"--"	"青海"	"113"	"青农74"	"青海省农科院"	"--"	"直立"	"--"	"上举"	"--"	"ZY002524"	"22.0"	"--"	"Avena magna Tyrphy(大燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"I1F02916"	"18.00"	"民和县"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"3.0"	"--"	"--"	"--"	"3.4"	"黑黄"	"--"	"--"	"--"	"皮"	"22.00"	"--"	"Avena(燕麦属)"	"DA YAN MAI"	"淡绿"	"纺锤"	"--"	"--"	"4.0"	"130.0"	"周散"	"--"	"--"
"132"	"--"	"Gramineae(禾本科)"	"--"	"黄燕麦"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"0.7"	"--"	"--"	"青海"	"109"	"青农79"	"青海省农科院"	"--"	"直立"	"--"	"上举"	"--"	"ZY002529"	"18.0"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"地方"	"--"	"I1F02921"	"20.00"	"贵德县"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.9"	"--"	"--"	"--"	"3.2"	"黑黄"	"--"	"--"	"--"	"皮"	"24.00"	"--"	"Avena(燕麦属)"	"HUANG YAN MAI"	"淡绿"	"纺锤"	"--"	"--"	"4.0"	"120.0"	"周散"	"--"	"--"
"133"	"--"	"Gramineae(禾本科)"	"--"	"78A10-0-1-0"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.8"	"--"	"--"	"内蒙古"	"106"	"92草-22"	"中国农科院草原所"	"--"	"直立"	"--"	"上举"	"--"	"ZY002957"	"20.2"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"选育"	"--"	"I1F01594"	"27.20"	"呼和浩特"	"31.3"	"--"	"--"	"--"	"--"	"--"	"--"	"1.2"	"--"	"S"	"--"	"1.4"	"黑"	"--"	"--"	"--"	"皮"	"30.10"	"--"	"Avena(燕麦属)"	"78A10-0-1-0"	"深绿"	"纺锤"	"--"	"HS"	"6.7"	"86.6"	"周紧"	"--"	"7"
"134"	"--"	"Gramineae(禾本科)"	"--"	"80A8-0-13"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.7"	"--"	"--"	"内蒙古"	"90"	"92草-38"	"中国农科院草原所"	"--"	"直立"	"--"	"上举"	"--"	"ZY002971"	"14.8"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"选育"	"--"	"I1F01607"	"21.90"	"呼和浩特"	"2.5"	"--"	"--"	"--"	"--"	"--"	"--"	"1.4"	"--"	"MS"	"--"	"1.5"	"黄"	"--"	"--"	"--"	"皮"	"32.80"	"--"	"Avena(燕麦属)"	"80A8-0-13"	"深绿"	"纺锤"	"--"	"HS"	"5.4"	"77.5"	"周紧"	"--"	"8"
"135"	"--"	"Gramineae(禾本科)"	"--"	"RL 559.5"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.2"	"--"	"--"	"国外"	"85"	"83燕-59"	"中国农科院草原所"	"--"	"直立"	"--"	"下披"	"--"	"ZY002934"	"20.3"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01657"	"20.90"	"以色列"	"7.0"	"--"	"--"	"--"	"--"	"--"	"--"	"1.0"	"--"	"R"	"--"	"1.0"	"黄"	"--"	"--"	"--"	"皮"	"19.00"	"--"	"Avena(燕麦属)"	"RL 559.5"	"绿"	"纺锤"	"--"	"HS"	"5.0"	"84.7"	"周散"	"--"	"8"
"136"	"--"	"Gramineae(禾本科)"	"--"	"NEAA300"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.6"	"--"	"--"	"国外"	"88"	"83燕-61"	"中国农科院草原所"	"--"	"直立"	"--"	"上举"	"--"	"ZY002935"	"19.1"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"31.80"	"加拿大"	"45.6"	"--"	"--"	"--"	"--"	"--"	"--"	"1.6"	"--"	"S"	"--"	"2.1"	"黄"	"--"	"--"	"--"	"皮"	"33.60"	"--"	"Avena(燕麦属)"	"NEAA300"	"深绿"	"纺锤"	"--"	"S"	"6.4"	"108.5"	"周散"	"--"	"5-6"
"137"	"--"	"Gramineae(禾本科)"	"--"	"RODNEY-E"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"0.8"	"--"	"--"	"国外"	"91"	"92草-20"	"中国农科院草原所"	"--"	"直立"	"--"	"上举"	"--"	"ZY002979"	"20.9"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01613"	"28.60"	"加拿大"	"0.0"	"--"	"--"	"--"	"--"	"--"	"--"	"0.9"	"--"	"IM"	"--"	"1.2"	"黑"	"--"	"--"	"--"	"皮"	"22.40"	"--"	"Avena(燕麦属)"	"RODNEY-E"	"深绿"	"纺锤"	"--"	"HS"	"6.7"	"95.5"	"周散"	"--"	"7"
"138"	"--"	"Gramineae(禾本科)"	"--"	"HARMON-HAM"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.1"	"--"	"--"	"国外"	"104"	"92草-22"	"中国农科院草原所"	"--"	"直立"	"--"	"平展"	"--"	"ZY002980"	"21.3"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01614"	"32.70"	"加拿大"	"0.0"	"--"	"--"	"--"	"--"	"--"	"--"	"1.1"	"--"	"IM"	"--"	"1.7"	"黑"	"--"	"--"	"--"	"皮"	"24.30"	"--"	"Avena(燕麦属)"	"HARMON-HAM"	"深绿"	"纺锤"	"--"	"S"	"5.6"	"85.4"	"周散"	"--"	"6"
"139"	"--"	"Gramineae(禾本科)"	"--"	"OA416-5"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.7"	"--"	"--"	"国外"	"104"	"92草-29"	"中国农科院草原所"	"--"	"直立"	"--"	"上举"	"--"	"ZY002981"	"19.3"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01615"	"31.00"	"加拿大"	"0.0"	"--"	"--"	"--"	"--"	"--"	"--"	"1.1"	"--"	"IM"	"--"	"1.7"	"黑"	"--"	"--"	"--"	"皮"	"36.70"	"--"	"Avena(燕麦属)"	"OA416-5"	"深绿"	"纺锤"	"--"	"S"	"6.3"	"88.0"	"周散"	"--"	"6"
"140"	"--"	"Gramineae(禾本科)"	"--"	"LAMAR"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.4"	"--"	"--"	"国外"	"92"	"92草-31"	"中国农科院草原所"	"--"	"直立"	"--"	"上举"	"--"	"ZY002982"	"18.4"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01616"	"14.30"	"加拿大"	"0.0"	"--"	"--"	"--"	"--"	"--"	"--"	"0.4"	"--"	"IM"	"--"	"0.9"	"黄"	"--"	"--"	"--"	"皮"	"39.20"	"--"	"Avena(燕麦属)"	"LAMAR"	"绿"	"纺锤"	"--"	"HS"	"5.6"	"89.7"	"周散"	"--"	"7"
"141"	"--"	"Gramineae(禾本科)"	"--"	"CREY.ALCERIAN"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.4"	"--"	"--"	"国外"	"109"	"92草-35"	"中国农科院草原所"	"--"	"直立"	"--"	"下披"	"--"	"ZY002983"	"22.7"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01617"	"35.00"	"美国"	"10.3"	"--"	"--"	"--"	"--"	"--"	"--"	"0.5"	"--"	"MR"	"--"	"0.8"	"黄"	"--"	"--"	"--"	"皮"	"34.80"	"--"	"Avena(燕麦属)"	"CREY.ALCERIAN"	"绿"	"纺锤"	"--"	"HS"	"6.4"	"116.4"	"周散"	"--"	"7"
"142"	"--"	"Gramineae(禾本科)"	"--"	"RAUHHAFER AUS NEUS"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.4"	"--"	"--"	"国外"	"89"	"92草-39"	"中国农科院草原所"	"--"	"直立"	"--"	"下披"	"--"	"ZY002984"	"19.2"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01618"	"25.60"	"德国"	"15.8"	"--"	"--"	"--"	"--"	"--"	"--"	"1.1"	"--"	"MR"	"--"	"1.6"	"黄"	"--"	"--"	"--"	"皮"	"28.90"	"--"	"Avena(燕麦属)"	"RAUHHAFER AUS NEUS"	"绿"	"纺锤"	"--"	"HS"	"5.4"	"106.9"	"周散"	"--"	"8"
"143"	"--"	"Gramineae(禾本科)"	"--"	"BREUSTEDTS REGENFR"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.0"	"--"	"--"	"国外"	"89"	"92草-40"	"中国农科院草原所"	"--"	"直立"	"--"	"下披"	"--"	"ZY002985"	"18.9"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01619"	"24.50"	"德国"	"22.9"	"--"	"--"	"--"	"--"	"--"	"--"	"1.1"	"--"	"MS"	"--"	"1.6"	"黄"	"--"	"--"	"--"	"皮"	"32.80"	"--"	"Avena(燕麦属)"	"BREUSTEDTS REGENFR"	"绿"	"纺锤"	"--"	"HS"	"5.4"	"89.9"	"周散"	"--"	"8"
"144"	"--"	"Gramineae(禾本科)"	"--"	"AUSTL-2242"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"	"国外"	"90"	"92草-42"	"中国农科院草原所"	"--"	"直立"	"--"	"上举"	"--"	"ZY002986"	"16.7"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01620"	"15.50"	"澳大利亚"	"27.3"	"--"	"--"	"--"	"--"	"--"	"--"	"1.2"	"--"	"MS"	"--"	"1.4"	"黄"	"--"	"--"	"--"	"皮"	"37.10"	"--"	"Avena(燕麦属)"	"AUSTL-2242"	"绿"	"纺锤"	"--"	"HS"	"6.3"	"87.5"	"周散"	"--"	"8"
"145"	"--"	"Gramineae(禾本科)"	"--"	"TR4656-66"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.4"	"--"	"--"	"国外"	"91"	"92草-44"	"中国农科院草原所"	"--"	"直立"	"--"	"上举"	"--"	"ZY002987"	"16.8"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01621"	"13.90"	"土耳其"	"20.0"	"--"	"--"	"--"	"--"	"--"	"--"	"0.4"	"--"	"MR"	"--"	"0.9"	"黄"	"--"	"--"	"--"	"皮"	"34.10"	"--"	"Avena(燕麦属)"	"TR4656-66"	"绿"	"纺锤"	"--"	"HS"	"6.0"	"86.4"	"周散"	"--"	"8"
"146"	"--"	"Gramineae(禾本科)"	"--"	"TR26295-68"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.8"	"--"	"--"	"国外"	"80"	"92草-47"	"中国农科院草原所"	"--"	"直立"	"--"	"上举"	"--"	"ZY002988"	"18.9"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01622"	"14.60"	"土耳其"	"21.4"	"--"	"--"	"--"	"--"	"--"	"--"	"0.2"	"--"	"MS"	"--"	"0.4"	"褐"	"--"	"--"	"--"	"皮"	"8.90"	"--"	"Avena(燕麦属)"	"TR26295-68"	"绿"	"纺锤"	"--"	"HS"	"5.6"	"93.0"	"周散"	"--"	"7"
"147"	"--"	"Gramineae(禾本科)"	"--"	"TR26701-68"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"3.0"	"--"	"--"	"国外"	"85"	"92草-49"	"中国农科院草原所"	"--"	"直立"	"--"	"上举"	"--"	"ZY002989"	"23.1"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01623"	"13.40"	"土耳其"	"10.2"	"--"	"--"	"--"	"--"	"--"	"--"	"0.3"	"--"	"MR"	"--"	"1.0"	"褐"	"--"	"--"	"--"	"皮"	"21.50"	"--"	"Avena(燕麦属)"	"TR26701-68"	"绿"	"纺锤"	"--"	"HS"	"5.5"	"99.0"	"周散"	"--"	"8"
"148"	"--"	"Gramineae(禾本科)"	"--"	"TR26805-68"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.1"	"--"	"--"	"国外"	"93"	"92草-50"	"中国农科院草原所"	"--"	"直立"	"--"	"下披"	"--"	"ZY002990"	"20.8"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01624"	"27.30"	"土耳其"	"13.0"	"--"	"--"	"--"	"--"	"--"	"--"	"1.6"	"--"	"MR"	"--"	"2.2"	"黄"	"--"	"--"	"--"	"皮"	"28.70"	"--"	"Avena(燕麦属)"	"TR26805-68"	"绿"	"纺锤"	"--"	"S"	"6.0"	"114.0"	"周散"	"--"	"6"
"149"	"--"	"Gramineae(禾本科)"	"--"	"RL7844"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.0"	"--"	"--"	"国外"	"98"	"92草-54"	"中国农科院草原所"	"--"	"直立"	"--"	"下披"	"--"	"ZY002991"	"17.0"	"--"	"Avena sativa L.(普通燕麦)"	"--"	"--"	"--"	"--"	"--"	"--"	"国外"	"--"	"I1F01625"	"22.00"	"以色列"	"0.0"	"--"	"--"	"--"	"--"	"--"	"--"	"1.3"	"--"	"IM"	"--"	"2.0"	"黑"	"--"	"--"	"--"	"皮"	"24.30"	"--"	"Avena(燕麦属)"	"RL7844"	"绿"	"纺锤"	"--"	"MS"	"6.3"	"90.0"	"周散"	"--"	"4"
"150"	"0.35"	"Gramineae(禾本科)"	"串铃"	"大莜麦"	"3.65"	"褐"	"--"	"1.28"	"1.17"	"0.56"	"0.78"	"16.16"	"--"	"2.6"	"--"	"黄"	"内蒙古"	"99"	"N0001046"	"--"	"40.96"	"匍伏"	"0.6"	"平展"	"--"	"ZY000101"	"22.1"	"0.92"	"Avena nuda L.(裸燕麦)"	"5.85"	"0.35"	"0.37"	"中抗"	"15.73"	"--"	"地方"	"1.28"	"I1F00042"	"23.90"	"内蒙古清水河"	"89.3"	"--"	"0.78"	"--"	"5"	"0.39"	"109.1"	"0.7"	"0.95"	"--"	"0.28"	"1.9"	"褐"	"0.67"	"0.65"	"0.67"	"裸"	"16.40"	"0.74"	"Avena(燕麦属)"	"DA YOU MAI"	"淡绿"	"椭圆"	"低抗"	"--"	"6.9"	"115.1"	"周散"	"0.71"	"1"
