"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"省"	"霜霉发病率"	"瓜面腊粉"	"分枝性"	"商瓜皮色"	"老瓜次色"	"疫病抗指"	"叶形"	"风味"	"老瓜斑纹"	"疫病发病率"	"亩产"	"瓜刺色"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"霜霉病抗指"	"枯萎发病率"	"统一编号"	"保存单位"	"白粉发病率"	"枯萎病抗指"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"白粉病抗指"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"52"	"早"	"Ⅱ5A0002"	"青鱼胆黄瓜"	"攀援蔓生"	"QING YU DAN HUANG GUA"	"0.3"	"湖北"	"90.0"	"无"	"弱"	"绿"	"--"	"1.460"	"心形"	"微甜"	"--"	"56.70"	"3000"	"--"	"褐色"	"*宜春播露地及保护地栽培"	"圆柱形"	"无"	"--"	"5"	"0.280"	"46.70"	"V05A0219"	"湖北农科院经作所"	"100.0"	"1.450"	"耐寒"	"Ⅱ5A0239"	"湖北武汉市"	"奶油色"	"-0.490"	"3上-4上-5中6底"	"线条状"	"平"
"53"	"早"	"Ⅱ5A0001"	"一串连黄瓜"	"攀援蔓生"	"YI CHUAN LIAN HUANG GUA"	"0.2"	"湖北"	"100.0"	"无"	"弱"	"黄"	"--"	"1.290"	"心形"	"微甜"	"--"	"63.30"	"2750"	"--"	"褐色"	"*宜保护地早熟及春播露地栽培"	"圆柱形"	"无"	"圆滑致密"	"4"	"-0.090"	"53.30"	"V05A0220"	"湖北农科院经作所"	"100.0"	"1.330"	"耐寒"	"Ⅱ5A0240"	"湖北武汉市"	"白色"	"0.210"	"3上-4上-5中6下始收"	"条带状"	"平"
"54"	"早"	"5-A33"	"早黄瓜"	"攀援蔓生"	"ZAO HUANG GUA"	"0.6"	"湖南"	"71.0"	"无"	"强"	"绿"	"--"	"1.560"	"掌状"	"微甜"	"--"	"69.00"	"2250"	"黑"	"褐色"	"*"	"圆柱形"	"--"	"致密脆"	"5"	"1.100"	"80.00"	"V05A0221"	"湖南农科院蔬菜所"	"84.0"	"1.220"	"耐寒"	"Ⅱ5A0270"	"湖南安乡县"	"--"	"0.630"	"2中-7中"	"--"	"棱"
"55"	"早"	"5-A12"	"一窝蜂"	"攀援蔓生"	"YI WO FENG"	"0.5"	"湖南"	"80.7"	"少"	"弱"	"绿"	"--"	"0.700"	"掌状"	"微甜"	"--"	"27.50"	"1750"	"--"	"奶油色"	"*"	"圆柱形"	"少"	"圆滑致密"	"4"	"0.190"	"0.00"	"V05A0222"	"湖南农科院蔬菜所"	"100.0"	"10.570"	"中"	"Ⅱ5A0263"	"湖南常德市"	"--"	"0.160"	"3上-6下"	"--"	"平"
"56"	"中"	"5-A18"	"长青"	"攀援蔓生"	"CHANG QING"	"0.3"	"湖南"	"65.0"	"--"	"弱"	"绿"	"--"	"0.800"	"掌状"	"--"	"--"	"94.00"	"1750"	"--"	"奶油色"	"*"	"圆柱形"	"少"	"圆滑致密"	"5"	"1.670"	"47.00"	"V05A0223"	"湖南农科院蔬菜所"	"70.0"	"1.320"	"--"	"Ⅱ5A0048"	"湖南长沙市"	"--"	"0.150"	"3上-6中下"	"--"	"平"
"57"	"早"	"018742"	"农城2号"	"攀援蔓生"	"NONG CHENG 2 HAO"	"0.3"	"陕西"	"100.0"	"无"	"强"	"绿"	"--"	"1.030"	"掌状"	"--"	"--"	"30.30"	"3250"	"白"	"黄色"	"纯度好"	"圆柱形"	"多"	"圆滑致密"	"6"	"0.700"	"33.30"	"V05A0265"	"天津市黄瓜所"	"100.0"	"0.760"	"中"	"Ⅱ5A0679"	"黄瓜所引西北农院"	"--"	"-0.280"	"2月中旬至7月上旬"	"--"	"具瘤"
"58"	"早"	"01878"	"独条黄瓜"	"攀援蔓生"	"DU TIAO HUANG GUA"	"0.3"	"辽宁"	"100.0"	"无"	"强"	"绿"	"--"	"1.520"	"掌状"	"--"	"--"	"35.00"	"3500"	"白"	"黄色"	"适合保护地"	"圆柱形"	"多"	"圆滑致密"	"5"	"0.490"	"33.30"	"V05A0266"	"天津市黄瓜所"	"87.0"	"0.140"	"中"	"Ⅱ5A0646"	"黄瓜所引自鞍山"	"--"	"1.930"	"2月中旬至7月上旬"	"--"	"具瘤"
"59"	"晚"	"018722"	"黑八刺瓜"	"攀援蔓生"	"HEI BA CI GUA"	"0.3"	"辽宁"	"100.0"	"中"	"强"	"绿"	"--"	"0.300"	"掌状"	"--"	"--"	"38.70"	"2500"	"白"	"黄色"	"纯度不大芽 重"	"圆柱形"	"少"	"软"	"10"	"0.870"	"34.00"	"V05A0267"	"天津市黄瓜所"	"96.0"	"-0.370"	"强"	"Ⅱ5A0660"	"黄瓜所引自鞍山"	"--"	"0.300"	"2月中旬至7月上旬"	"--"	"具瘤"
"60"	"晚"	"01-28"	"白城子瓜"	"攀援蔓生"	"BAI CHENG ZI GUA"	"0.2"	"辽宁"	"100.0"	"无"	"强"	"绿"	"--"	"7.160"	"掌状"	"--"	"--"	"3.30"	"2750"	"棕"	"褐色"	"纯度大"	"圆柱形"	"少"	"多纤维"	"7"	"-0.540"	"70.00"	"V05A0268"	"天津市黄瓜所"	"92.7"	"0.130"	"强"	"Ⅱ5A0666"	"黄瓜所引自白城"	"--"	"-0.460"	"2月上旬至7月上旬"	"--"	"具瘤"
"61"	"晚"	"01872"	"黑乌棒"	"攀援蔓生"	"HEI WU BANG"	"0.3"	"内蒙古"	"89.0"	"无"	"强"	"绿"	"--"	"3.660"	"掌状"	"--"	"--"	"31.00"	"3000"	"棕"	"黄色"	"适应露地生长"	"圆柱形"	"少"	"圆滑致密"	"8"	"0.850"	"42.00"	"V05A0269"	"天津市黄瓜所"	"96.7"	"-0.820"	"耐热"	"Ⅱ5A0640"	"黄瓜所引自包头"	"--"	"-0.210"	"2月20日至7月20日"	"--"	"具瘤"
"62"	"早"	"018723"	"短把粗"	"攀援蔓生"	"DUAN BA CU"	"0.2"	"天津"	"100.0"	"无"	"弱"	"绿"	"--"	"0.670"	"掌状"	"--"	"--"	"31.30"	"2500"	"棕"	"褐色"	"纯度大"	"圆柱形"	"少"	"--"	"5"	"-0.890"	"13.30"	"V05A0271"	"天津市黄瓜所"	"96.3"	"3.260"	"中"	"Ⅱ5A0661"	"黄瓜所引自宝坻"	"--"	"0.050"	"2月中旬至7月上旬"	"--"	"具瘤"
"63"	"晚"	"018715"	"白皮黄瓜"	"攀援蔓生"	"BAI PI HUANG GUA"	"0.2"	"甘肃"	"100.0"	"无"	"弱"	"绿"	"--"	"1.910"	"掌状"	"--"	"--"	"28.00"	"2500"	"白"	"奶油色"	"纯度大适应露地"	"圆柱形"	"少"	"圆滑致密"	"8"	"0.410"	"3.30"	"V05A0272"	"天津市黄瓜所"	"100.0"	"7.800"	"强"	"Ⅱ5A0653"	"黄瓜所引自成县"	"--"	"0.530"	"2月中旬至7月上旬"	"--"	"具瘤"
"64"	"晚"	"018718"	"标次本地黄瓜"	"攀援蔓生"	"BIAO CI BEN DI HUANG GUA"	"0.3"	"河北"	"--"	"中"	"强"	"绿"	"--"	"--"	"掌状"	"--"	"--"	"--"	"1500"	"棕"	"褐色"	"纯度差瓜少"	"圆柱形"	"多"	"多纤维"	"9"	"--"	"--"	"V05A0273"	"天津市黄瓜所"	"--"	"--"	"强"	"Ⅱ5A0656"	"黄瓜所引自承德"	"--"	"--"	"2月中旬至7月上旬"	"--"	"具瘤"
"65"	"中"	"018748"	"烟台晚熟"	"攀援蔓生"	"YAN TAI WAN SHU"	"0.3"	"河北"	"100.0"	"无"	"强"	"绿"	"--"	"-0.060"	"掌状"	"--"	"--"	"88.30"	"4000"	"白"	"黄色"	"纯度好"	"圆柱形"	"多"	"圆滑致密"	"6"	"-1.320"	"11.70"	"V05A0274"	"天津市黄瓜所"	"96.7"	"3.530"	"中"	"Ⅱ5A0685"	"黄瓜所引自承德"	"--"	"0.030"	"2月中旬至7月上旬"	"--"	"具瘤"
"66"	"早"	"018735"	"黑皮黄瓜"	"攀援蔓生"	"HEI PI HUANG GUA"	"0.2"	"河北"	"100.0"	"无"	"弱"	"绿"	"--"	"0.840"	"掌状"	"--"	"--"	"25.00"	"2500"	"白"	"黄色"	"纯度大"	"圆柱形"	"少"	"圆滑致密"	"4"	"-0.550"	"100.00"	"V05A0275"	"天津市黄瓜所"	"100.0"	"-10.760"	"强"	"Ⅱ5A0673"	"黄瓜所引自承德"	"--"	"0.020"	"2月中旬至7月上旬"	"--"	"具瘤"
"67"	"早"	"01873"	"近-1-7"	"攀援蔓生"	"JIN -1-7"	"0.2"	"辽宁"	"100.0"	"无"	"弱"	"绿"	"--"	"2.950"	"圆形"	"--"	"--"	"45.30"	"3500"	"白"	"黄色"	"纯度大"	"圆柱形"	"多"	"圆滑致密"	"5"	"0.380"	"96.70"	"V05A0276"	"天津市黄瓜所"	"78.7"	"-5.600"	"中"	"Ⅱ5A0641"	"黄瓜所引自大连"	"--"	"0.590"	"2月20日至7月20日"	"--"	"具瘤"
"68"	"中"	"018716"	"丰城黄瓜"	"攀援蔓生"	"FENG CHENG HUANG GUA"	"0.3"	"江西"	"97.0"	"中"	"强"	"绿"	"--"	"0.080"	"掌状"	"--"	"--"	"46.00"	"2000"	"棕"	"黄色"	"纯度大适应性强"	"--"	"少"	"软"	"7"	"-0.270"	"3.30"	"V05A0277"	"天津市黄瓜所"	"100.0"	"6.640"	"强"	"Ⅱ5A0654"	"黄瓜所引自丰城"	"--"	"0.480"	"2月中旬至7月上旬"	"--"	"具瘤"
"69"	"早"	"018721"	"八杈地瓜"	"攀援蔓生"	"BA CHA DI GUA"	"0.2"	"江西"	"100.0"	"无"	"强"	"绿"	"--"	"3.820"	"掌状"	"--"	"--"	"28.30"	"2500"	"白"	"黄色"	"纯度不大"	"圆柱形"	"少"	"--"	"5"	"0.380"	"73.30"	"V05A0278"	"天津市黄瓜所"	"100.0"	"1.460"	"中"	"Ⅱ5A0659"	"黄瓜所引自福山"	"--"	"0.010"	"2月中旬至7月上旬"	"--"	"具瘤"
"70"	"中"	"018749"	"雌性黄瓜"	"攀援蔓生"	"CI XING HUANG GUA"	"0.1"	"甘肃"	"100.0"	"中"	"弱"	"绿"	"--"	"11.820"	"--"	"--"	"--"	"4.70"	"2500"	"棕"	"褐色"	"纯度好"	"圆柱形"	"多"	"多纤维"	"7"	"-11.040"	"83.30"	"V05A0279"	"天津市黄瓜所"	"85.7"	"-0.930"	"强"	"Ⅱ5A0686"	"黄瓜所引自甘肃"	"--"	"-0.360"	"--"	"--"	"具瘤"
"71"	"中"	"018877"	"吴川黄瓜"	"攀援蔓生"	"WU CHUAN HUANG GUA"	"0.2"	"广东"	"69.3"	"无"	"--"	"--"	"--"	"4.070"	"--"	"--"	"--"	"21.70"	"1500"	"棕"	"褐色"	"--"	"圆柱形"	"--"	"多纤维"	"7"	"1.520"	"96.70"	"V05A0280"	"天津市黄瓜所"	"61.0"	"-4.630"	"强"	"Ⅱ5A0698"	"黄瓜所引自广东"	"--"	"0.350"	"--"	"--"	"--"
"72"	"晚"	"018830"	"河南自交"	"攀援蔓生"	"HE NAN ZI JIAO"	"0.2"	"河南"	"78.0"	"无"	"强"	"绿"	"--"	"11.820"	"掌状"	"--"	"--"	"9.53"	"2750"	"白"	"褐色"	"纯度不大"	"圆柱形"	"少"	"圆滑致密"	"10"	"0.490"	"80.00"	"V05A0283"	"天津市黄瓜所"	"61.3"	"0.110"	"强"	"Ⅱ5A0668"	"黄瓜所引自河南"	"--"	"0.590"	"2月上旬至7月上旬"	"--"	"具瘤"
"73"	"中"	"018724"	"结d"	"攀援蔓生"	"JIE d"	"0.2"	"黑龙江"	"58.7"	"无"	"弱"	"黄"	"--"	"0.860"	"掌状"	"--"	"--"	"25.00"	"1500"	"棕"	"褐色"	"纯度大"	"圆柱形"	"少"	"多纤维"	"6"	"1.240"	"40.00"	"V05A0286"	"天津市黄瓜所"	"92.7"	"0.980"	"强"	"Ⅱ5A0662"	"黄瓜所引自鸡东"	"--"	"0.060"	"3月上旬至7月上旬"	"--"	"具刺"
"74"	"中"	"01874"	"自家叶三"	"攀援蔓生"	"ZI JIA YE SAN"	"0.1"	"吉林"	"96.7"	"无"	"弱"	"绿"	"--"	"0.420"	"掌状"	"--"	"--"	"50.00"	"1250"	"棕"	"褐色"	"不适应露地生长"	"椭圆形"	"少"	"多纤维"	"8"	"-0.220"	"47.70"	"V05A0288"	"天津市黄瓜所"	"90.0"	"-1.580"	"强"	"Ⅱ5A0642"	"黄瓜所引自吉林"	"--"	"0.380"	"4月27日至7月28日"	"--"	"具瘤"
"75"	"晚"	"018750"	"蓟县晚熟"	"攀援蔓生"	"JI XIAN WAN SHU"	"0.2"	"天津"	"69.3"	"无"	"强"	"--"	"--"	"6.760"	"--"	"--"	"--"	"12.30"	"3000"	"白"	"黄色"	"纯度大"	"圆柱形"	"--"	"圆滑致密"	"7"	"1.100"	"80.00"	"V05A0290"	"天津市黄瓜所"	"92.7"	"-0.510"	"中"	"Ⅱ5A0687"	"黄瓜所引自蓟县"	"--"	"-0.420"	"--"	"--"	"--"
"76"	"中"	"018740"	"线黄瓜"	"攀援蔓生"	"XIAN HUANG GUA"	"0.2"	"江西"	"100.0"	"无"	"强"	"绿"	"--"	"0.720"	"掌状"	"--"	"--"	"53.00"	"2500"	"白"	"黄色"	"纯度差"	"细长条"	"少"	"圆滑致密"	"7"	"0.160"	"23.30"	"V05A0291"	"天津市黄瓜所"	"73.3"	"3.500"	"强"	"Ⅱ5A0677"	"黄瓜所引自江西"	"--"	"1.490"	"2月中旬至7月上旬"	"--"	"具瘤"
"77"	"中"	"01871"	"金早生"	"攀援蔓生"	"JIN ZAO SHENG"	"0.2"	"辽宁"	"100.0"	"无"	"强"	"绿"	"--"	"0.700"	"掌状"	"--"	"--"	"43.00"	"2750"	"白"	"黄色"	"保护地"	"圆柱形"	"多"	"圆滑致密"	"7"	"0.720"	"100.00"	"V05A0294"	"天津市黄瓜所"	"78.0"	"-7.980"	"中"	"Ⅱ5A0639"	"黄瓜所引自辽宁"	"--"	"1.000"	"2月20日至7月20日"	"--"	"具瘤"
"78"	"--"	"018766"	"青油皮"	"攀援蔓生"	"QING YOU PI"	"0.2"	"江苏"	"71.3"	"--"	"强"	"--"	"--"	"1.290"	"--"	"--"	"--"	"40.00"	"2000"	"--"	"--"	"--"	"圆柱形"	"--"	"软"	"10"	"0.860"	"36.70"	"V05A0296"	"天津市黄瓜所"	"100.0"	"2.830"	"中"	"Ⅱ5A0693"	"黄瓜所引自南京"	"--"	"0.470"	"--"	"--"	"--"
"79"	"中"	"018751"	"平望乳黄瓜"	"攀援蔓生"	"PING WANG RU HUANG GUA"	"0.1"	"甘肃"	"58.0"	"无"	"--"	"--"	"--"	"5.220"	"掌状"	"--"	"--"	"20.00"	"2500"	"棕"	"褐色"	"纯度大"	"圆柱形"	"少"	"软"	"8"	"1.220"	"40.00"	"V05A0299"	"天津市黄瓜所"	"100.0"	"0.290"	"中"	"Ⅱ5A0688"	"黄瓜所引自平望"	"--"	"-1.110"	"--"	"--"	"--"
"80"	"晚"	"018710"	"友谊一号"	"攀援蔓生"	"YOU YI YI HAO"	"0.3"	"山西"	"91.7"	"无"	"弱"	"绿"	"--"	"1.210"	"掌状"	"--"	"--"	"19.70"	"3000"	"白"	"黄色"	"不适合露地生纯度差"	"圆柱形"	"多"	"多纤维"	"8"	"0.340"	"93.30"	"V05A0301"	"天津市黄瓜所"	"100.0"	"-2.720"	"强"	"Ⅱ5A0648"	"黄瓜所引自山西"	"--"	"0.920"	"2月中旬至7月中旬"	"--"	"具瘤"
"81"	"早"	"018731"	"淑浦黄瓜"	"攀援蔓生"	"SHU PU HUANG GUA"	"0.1"	"上海"	"100.0"	"无"	"强"	"绿"	"--"	"2.260"	"掌状"	"--"	"--"	"30.70"	"2000"	"棕"	"褐色"	"纯度大"	"圆柱形"	"少"	"多纤维"	"4"	"--"	"50.00"	"V05A0302"	"天津市黄瓜所"	"84.0"	"1.220"	"耐涝"	"Ⅱ5A0669"	"黄瓜所引自上海"	"--"	"-0.460"	"2月上旬至7月上旬"	"--"	"具瘤"
"82"	"晚"	"018874"	"朝鲜黄瓜"	"攀援蔓生"	"CHAO XIAN HUANG GUA"	"0.2"	"辽宁"	"82.0"	"无"	"--"	"绿"	"--"	"11.820"	"--"	"--"	"--"	"23.30"	"1500"	"白"	"黄色"	"--"	"圆柱形"	"多"	"多纤维"	"9"	"1.060"	"76.70"	"V05A0303"	"天津市黄瓜所"	"61.0"	"-0.030"	"强"	"Ⅱ5A0697"	"黄瓜所引自沈阳"	"--"	"0.470"	"--"	"--"	"具瘤"
"83"	"早"	"018737"	"新泰密刺"	"攀援蔓生"	"XIN TAI MI CI"	"0.3"	"山东"	"70.0"	"无"	"强"	"绿"	"--"	"1.150"	"掌状"	"--"	"--"	"46.70"	"3000"	"白"	"黄色"	"纯度大"	"圆柱形"	"多"	"圆滑致密"	"5"	"0.320"	"3.30"	"V05A0305"	"天津市黄瓜所"	"100.0"	"7.800"	"强"	"Ⅱ5A0675"	"黄瓜所引自泰安"	"--"	"0.160"	"2月中旬至7月上旬"	"--"	"具瘤"
"84"	"--"	"018769"	"津研二号"	"攀援蔓生"	"JIN YAN ER HAO"	"--"	"天津"	"72.7"	"--"	"弱"	"绿"	"--"	"0.810"	"掌状"	"--"	"--"	"53.30"	"--"	"--"	"黄色"	"--"	"圆柱形"	"--"	"--"	"7"	"1.650"	"74.00"	"V05A0309"	"天津市黄瓜所"	"100.0"	"-0.550"	"--"	"Ⅱ5A0695"	"黄瓜所引自天津市"	"--"	"1.330"	"--"	"--"	"具瘤"
"85"	"中"	"018762"	"兰州刺瓜"	"攀援蔓生"	"LAN ZHOU CI GUA"	"0.2"	"青海"	"73.3"	"无"	"强"	"绿"	"--"	"1.050"	"--"	"--"	"--"	"40.00"	"3000"	"白"	"黄色"	"纯度大"	"圆柱形"	"--"	"圆滑致密"	"7"	"1.430"	"33.30"	"V05A0322"	"天津市黄瓜所"	"100.0"	"-1.110"	"强"	"Ⅱ5A0692"	"黄瓜所引自西宁"	"--"	"0.580"	"--"	"--"	"--"
"86"	"早"	"018744"	"C2"	"攀援蔓生"	"C2"	"0.2"	"北京"	"97.0"	"无"	"中"	"绿"	"--"	"-0.410"	"掌状"	"--"	"--"	"73.30"	"4000"	"白"	"黄色"	"纯度大"	"圆柱形"	"少"	"圆滑致密"	"4"	"-1.020"	"43.30"	"V05A0327"	"天津市黄瓜所"	"100.0"	"1.920"	"强"	"Ⅱ5A0681"	"黄瓜所引自中蔬"	"--"	"0.590"	"7月下旬至11月上旬"	"--"	"具瘤"
"87"	"早"	"C88113"	"德惠黄瓜"	"攀援蔓生"	"DE HUI HUANG GUA"	"0.6"	"吉林"	"88.2"	"无"	"弱"	"绿"	"--"	"1.070"	"圆形"	"--"	"--"	"45.00"	"--"	"白"	"黄色"	"--"	"圆柱形"	"多"	"--"	"3"	"0.650"	"6.70"	"V05A0328"	"中国农科院蔬菜所"	"100.0"	"2.880"	"--"	"Ⅱ5A1007"	"吉林"	"--"	"1.020"	"3上-6下"	"--"	"--"
"88"	"早"	"Ⅱ5A0004"	"白皮黄瓜"	"攀援蔓生"	"BAI PI HUANG GUA"	"0.3"	"江西"	"73.3"	"少"	"中"	"绿"	"--"	"0.800"	"掌状"	"--"	"--"	"55.00"	"1750"	"--"	"奶油色"	"*"	"圆柱形"	"少"	"圆滑致密"	"4"	"0.260"	"0.00"	"V05A0416"	"南昌市蔬菜所"	"100.0"	"10.570"	"耐寒"	"Ⅱ5A0707"	"江西宜春市"	"--"	"-0.600"	"3上中-4上-5上6中"	"--"	"平"
"89"	"早"	"Ⅱ5A0010"	"宜丰早黄瓜"	"蔓生"	"YI FENG ZAO HUANG GUA"	"0.5"	"江西"	"96.7"	"--"	"中"	"黄"	"--"	"0.260"	"心形"	"--"	"--"	"96.70"	"2250"	"--"	"黄色"	"--"	"圆柱形"	"少"	"圆滑致密"	"6"	"1.160"	"0.00"	"V05A0417"	"南昌市蔬菜所"	"88.6"	"2.110"	"中"	"Ⅱ5A0704"	"江西宜丰县"	"--"	"0.320"	"3月下旬-6月下旬"	"--"	"--"
"90"	"早"	"83-139"	"金早生"	"攀援蔓生"	"JIN ZAO SHENG"	"0.3"	"辽宁"	"--"	"无"	"强"	"绿"	"--"	"--"	"圆形"	"--"	"--"	"--"	"--"	"白"	"奶油色"	"--"	"圆柱形"	"少"	"--"	"10"	"--"	"--"	"V05A0418"	"中国农科院蔬菜所"	"--"	"--"	"--"	"Ⅱ5A1010"	"辽宁"	"--"	"--"	"4中-7中"	"--"	"--"
"91"	"中"	"5AA13"	"黑汉腿"	"攀援蔓生"	"HEI HAN TUI"	"0.4"	"辽宁"	"96.7"	"少"	"强"	"绿"	"--"	"1.190"	"掌状"	"--"	"--"	"37.70"	"1750"	"棕"	"黄色"	"--"	"圆柱形"	"--"	"圆滑致密"	"7"	"0.530"	"86.70"	"V05A0419"	"辽宁农科院园艺所"	"100.0"	"1.850"	"--"	"Ⅱ5A0831"	"辽宁鞍山市"	"--"	"-0.470"	"4初-7上"	"--"	"具瘤"
"92"	"中"	"5AB6"	"旱黄瓜"	"攀援蔓生"	"HAN HUANG GUA"	"0.2"	"辽宁"	"69.0"	"无"	"强"	"绿"	"--"	"1.980"	"掌状"	"--"	"--"	"82.00"	"1000"	"黑"	"褐色"	"--"	"圆柱形"	"少"	"--"	"11"	"0.660"	"86.00"	"V05A0420"	"辽宁农科院园艺所"	"29.0"	"0.430"	"--"	"Ⅱ5A0842"	"辽宁鞍山市"	"--"	"2.930"	"夏秋"	"--"	"--"
"93"	"早"	"内5A002"	"先明刺瓜"	"攀援蔓生"	"XIAN MING CI GUA"	"0.2"	"内蒙古"	"89.3"	"少"	"弱"	"灰"	"--"	"0.630"	"心形"	"甜"	"--"	"30.00"	"4500"	"白"	"奶油色"	"*"	"圆柱形"	"中"	"圆滑致密"	"5"	"0.060"	"38.30"	"V05A0463"	"内蒙农科院蔬菜所"	"100.0"	"0.680"	"中"	"Ⅱ5A0006"	"内蒙古包头市"	"--"	"0.390"	"4下-8上"	"--"	"具瘤"
"94"	"早"	"ⅥL89E-14"	"北京小刺黄瓜"	"攀援蔓生"	"BEI JING XIAO CI HUANG GUA"	"0.3"	"宁夏"	"94.0"	"--"	"中"	"绿"	"--"	"1.670"	"掌状"	"--"	"--"	"88.00"	"2500"	"白"	"黄色"	"--"	"长曲条"	"--"	"中"	"5"	"-0.040"	"45.00"	"V05A0475"	"宁夏农科院园艺所"	"63.0"	"2.250"	"强"	"Ⅱ5A0846"	"宁夏银川市"	"--"	"-0.060"	"4上-8中"	"--"	"棱"
"95"	"中"	"G30-41"	"常盘"	"蔓生"	"CHANG PAN"	"0.3"	"国外"	"--"	"少"	"弱"	"绿"	"--"	"--"	"掌状"	"甜"	"--"	"--"	"700"	"白"	"黄色"	"--"	"圆柱形"	"少"	"圆滑致密"	"7"	"--"	"--"	"V05A0480"	"广东农科院经作所"	"--"	"--"	"中"	"Ⅱ5A1016"	"日本"	"--"	"--"	"2上-4上"	"--"	"平"
"96"	"早"	"C81197"	"滕县黄瓜"	"攀援蔓生"	"TENG XIAN HUANG GUA"	"0.5"	"山东"	"--"	"无"	"中"	"绿"	"--"	"--"	"心形"	"--"	"--"	"--"	"--"	"白"	"奶油色"	"--"	"圆柱形"	"多"	"--"	"6"	"--"	"--"	"V05A0481"	"中国农科院蔬菜所"	"--"	"--"	"--"	"Ⅱ5A1012"	"山东"	"--"	"--"	"4中-7中"	"--"	"--"
"97"	"早"	"S22-2"	"上海黄瓜"	"攀援蔓生"	"SHANG HAI HUANG GUA"	"0.2"	"上海"	"93.0"	"--"	"强"	"绿"	"--"	"1.460"	"掌状"	"甜"	"--"	"67.00"	"3750"	"黑"	"褐色"	"*"	"圆柱形"	"少"	"致密脆"	"4"	"0.350"	"52.00"	"V05A0682"	"上海农科院园艺所"	"83.0"	"2.400"	"中"	"Ⅱ5A0311"	"上海上海县"	"--"	"-0.020"	"2上-5上"	"--"	"平"
"98"	"早"	"5-A-21-11"	"三叶早"	"攀援蔓生"	"SAN YE ZAO"	"0.2"	"四川"	"100.0"	"无"	"弱"	"绿"	"--"	"0.680"	"圆形"	"--"	"--"	"93.30"	"--"	"黑"	"褐色"	"--"	"圆柱形"	"少"	"--"	"10"	"0.800"	"7.14"	"V05A0683"	"中国农科院蔬菜所"	"77.1"	"1.080"	"--"	"Ⅱ5A1073"	"四川"	"--"	"0.250"	"4中-7中"	"--"	"--"
"99"	"早"	"5-A-21-8"	"黄瓜"	"攀援蔓生"	"HUANG GUA"	"0.8"	"四川"	"87.9"	"无"	"弱"	"绿"	"--"	"1.660"	"心形"	"--"	"--"	"29.60"	"--"	"白"	"黄色"	"--"	"圆柱形"	"--"	"--"	"6"	"0.610"	"26.90"	"V05A0684"	"中国农科院蔬菜所"	"100.0"	"2.260"	"--"	"Ⅱ5A1072"	"四川"	"--"	"0.090"	"--"	"--"	"--"
"100"	"中"	"I1-091"	"爬地黄瓜"	"--"	"PA DI HUANG GUA"	"--"	"四川"	"81.0"	"--"	"弱"	"白"	"--"	"0.650"	"掌状"	"--"	"--"	"84.00"	"--"	"白"	"奶油色"	"--"	"圆柱形"	"少"	"--"	"8"	"2.060"	"50.00"	"V05A0685"	"成都市第一农科所"	"21.0"	"2.020"	"中"	"Ⅱ5A0534"	"四川巴县"	"--"	"3.220"	"--"	"--"	"--"
"101"	"中"	"I1-048"	"大黄瓜"	"攀援蔓生"	"DA HUANG GUA"	"0.1"	"四川"	"73.0"	"--"	"中"	"绿"	"--"	"1.580"	"掌状"	"--"	"--"	"81.00"	"650"	"--"	"黄色"	"--"	"椭圆形"	"--"	"松软淡"	"10"	"1.700"	"66.00"	"V05A0686"	"成都市第一农科所"	"66.0"	"1.740"	"耐热涝"	"Ⅱ5A0379"	"四川巴中县"	"--"	"0.740"	"3-5"	"--"	"棱"
"102"	"早"	"I1-093"	"早黄瓜"	"--"	"ZAO HUANG GUA"	"--"	"四川"	"83.0"	"--"	"弱"	"绿"	"--"	"0.360"	"掌状"	"--"	"--"	"85.00"	"--"	"黑"	"褐色"	"--"	"圆柱形"	"少"	"--"	"2"	"0.880"	"61.00"	"V05A0755"	"成都市第一农科所"	"65.0"	"2.110"	"强"	"Ⅱ5A0539"	"四川綦江县"	"--"	"0.850"	"--"	"--"	"--"
"103"	"早"	"I1-009"	"大白黄瓜"	"--"	"DA BAI HUANG GUA"	"--"	"四川"	"84.0"	"--"	"强"	"白"	"--"	"2.550"	"掌状"	"--"	"--"	"65.00"	"--"	"黑"	"奶油色"	"--"	"圆柱形"	"少"	"--"	"6"	"0.570"	"83.00"	"V05A0756"	"成都市第一农科所"	"95.0"	"1.140"	"中"	"Ⅱ5A0370"	"四川綦江县"	"--"	"-0.730"	"--"	"--"	"--"
"104"	"晚"	"G30-44"	"绿宝"	"蔓生"	"LU BAO"	"0.5"	"台湾"	"--"	"少"	"弱"	"绿"	"--"	"--"	"掌状"	"甜"	"--"	"--"	"700"	"白"	"黄色"	"--"	"圆柱形"	"少"	"圆滑致密"	"13"	"--"	"--"	"V05A0757"	"广东农科院经作所"	"--"	"--"	"弱"	"Ⅱ5A1019"	"台湾"	"--"	"--"	"2上-8上"	"--"	"平"
