"id"	"邯郸穗粒重"	"品种名称"	"邯郸穗粒数"	"哈市穗粒数"	"杭州成熟型"	"耐盐芽期"	"黄花叶病"	"原产地"	"统一编号"	"北京成熟型"	"邯郸千粒重"	"条纹病"	"杭州千粒重"	"哈市成熟型"	"哈市穗粒重"	"北京穗粒数"	"哈市株粒重"	"白粉病"	"北京株高"	"北京株粒重"	"邯郸株高"	"优异性状"	"哈市千粒重"	"西宁成熟型"	"NO"	"哈市株高"	"西宁穗粒数"	"棱型"	"皮裸"	"杭州株高"	"杭州穗粒数"	"邯郸成熟型"	"耐盐苗期"	"西宁株高"	"北京千粒重"	"赤霉病"	"北京穗粒重"	"杭州穗粒重"	"西宁株粒重"	"西宁千粒重"	"邯郸株粒重"	"西宁穗粒重"	"杭州株粒重"
"57"	"1.1"	"蒲808047"	"24"	"28"	"特早"	"5"	"S"	"福建蒲田市农科所"	"ZDM09563"	"早"	"48.1"	"S"	"46.4"	"早"	"1.4"	"28"	"5.5"	"MS"	"86"	"4.2"	"80"	"抗赤霉病,早熟"	"51.4"	"特早"	"58"	"82"	"25"	"2"	"皮"	"86"	"22"	"中"	"3"	"103"	"32.4"	"R"	".7"	"1"	"5.1"	"44"	"6"	"1.2"	"5.1"
"58"	"1.3"	"鄂啤1号"	"27"	"23"	"早"	"5"	"S"	"湖北省农科院粮作所"	"ZDM09621"	"特早"	"48.3"	"HS"	"39.6"	"早"	"1.1"	"25"	"4.4"	"MS"	"86"	"4.2"	"84"	"抗赤霉病,早熟"	"49.1"	"特早"	"59"	"70"	"20"	"2"	"皮"	"97"	"24"	"中"	"3"	"94"	"39.7"	"R"	".9"	".9"	"5.4"	"50.6"	"6.9"	"1"	"4.5"
"59"	"1.2"	"鄂品B-34"	"26"	"24"	"早"	"5"	"HS"	"湖北省农科院农业现代化所"	"ZDM09623"	"特早"	"48.9"	"S"	"42.3"	"早"	"1.3"	"27"	"5.1"	"MS"	"80"	"4.5"	"73"	"抗赤霉病,早熟"	"52.6"	"特早"	"60"	"63"	"23"	"2"	"皮"	"93"	"27"	"中"	"4"	"82"	"40.4"	"R"	"1"	"1.1"	"5.4"	"46.2"	"6"	"1"	"4.7"
"60"	"1"	"伽玛4号"	"22"	"29"	"晚"	"5"	"HS"	"日本"	"WDM00015"	"晚"	"47.4"	"S"	"41.1"	"晚"	"1.4"	"30"	"8.3"	"MS"	"94"	"2.5"	"85"	"中抗赤霉病,大穗"	"48.4"	"中"	"61"	"92"	"28"	"2"	"皮"	"95"	"20"	"晚"	"5"	"111"	"27.3"	"MR"	".6"	".8"	"6.3"	"42"	"7.7"	"1.3"	"4.5"
"61"	"1.2"	"86-38"	"22"	"27"	"晚"	"4"	"HS"	"法国"	"WDM03633"	"极晚"	"52.2"	"HS"	"33.5"	"中"	"1.2"	"31"	"6.3"	"HS"	"94"	"3.3"	"80"	"抗赤霉病,大穗"	"45.6"	"中"	"62"	"68"	"30"	"2"	"皮"	"74"	"21"	"晚"	"4"	"91"	"41.6"	"R"	".9"	".7"	"4.9"	"47.2"	"8.7"	"1.4"	"3.5"
"62"	".9"	"HDE84194-622-1"	"25"	"25"	"早"	"5"	"S"	"法国"	"WDM05056"	"早"	"38.7"	"HS"	"40.4"	"早"	"1.2"	"28"	"6.7"	"MS"	"82"	"4.9"	"75"	"中抗赤霉病,早熟,农艺性状好"	"47.2"	"特早"	"63"	"59"	"24"	"2"	"皮"	"87"	"16"	"早"	"3"	"83"	"36.5"	"MR"	".9"	".9"	"5.3"	"41.2"	"7.4"	".9"	"5.2"
"63"	"1.5"	"C2118"	"51"	"42"	"晚"	"5"	"HS"	"加拿大"	"WDM01649"	"中"	"29"	"HS"	"25.1"	"早"	"1.4"	"62"	"5.5"	"MS"	"94"	"4.6"	"97"	"中抗赤霉病"	"33.8"	"特早"	"64"	"72"	"48"	"6"	"皮"	"103"	"29"	"中"	"3"	"104"	"27.4"	"MR"	"1.1"	".7"	"5.3"	"36.4"	"10"	"1.4"	"3.3"
"64"	"1.5"	"S-037"	"35"	"47"	"晚"	"2"	"HS"	"墨西哥"	"WDM05630"	"晚"	"38.5"	"S"	"31.2"	"中"	"1.6"	"67"	"7.4"	"MS"	"85"	"3.8"	"78"	"中抗赤霉病,耐盐,农艺性状好"	"32.2"	"早"	"65"	"76"	"49"	"6"	"皮"	"85"	"25"	"晚"	"3"	"90"	"27"	"MR"	"1.2"	".8"	"6.3"	"43.7"	"11.4"	"2.1"	"4.5"
"65"	"1.8"	"S-060"	"44"	"47"	"晚"	"4"	"HS"	"墨西哥"	"WDM05641"	"晚"	"39.4"	"S"	"38.9"	"晚"	"2.2"	"53"	"8.6"	"MS"	"81"	"4.9"	"70"	"较耐盐,农艺性状好"	"43.7"	"早"	"66"	"75"	"42"	"6"	"皮"	"82"	"26"	"晚"	"3"	"82"	"32.3"	"MS"	"1.4"	"1"	"5.2"	"45"	"9.1"	"1.7"	"5"
"66"	"1.8"	"六棱大麦"	"55"	"46"	"中"	"4"	"HS"	"山西永济"	"ZDM08472"	"中"	"31.7"	"HS"	"29.2"	"中"	"1.7"	"53"	"5.3"	"HS"	"87"	"3.3"	"96"	"苗期耐盐"	"37"	"早"	"67"	"76"	"45"	"6"	"皮"	"110"	"31"	"中"	"3"	"101"	"26.7"	"S"	".9"	".9"	"5.1"	"36.6"	"12.9"	"1.2"	"3"
"67"	"1"	"板大麦"	"24"	"25"	"中"	"5"	"HS"	"山西怀仁"	"ZDM00117"	"晚"	"39.8"	"R"	"33.9"	"中"	"1.1"	"25"	"4.9"	"HS"	"90"	"2.5"	"97"	"中抗赤霉病,抗条纹病"	"45.7"	"早"	"68"	"97"	"25"	"2"	"皮"	"89"	"17"	"晚"	"3"	"110"	"33.5"	"MR"	".6"	".6"	"2.7"	"42.3"	"7.8"	".9"	"3.7"
"68"	"1"	"草麦"	"24"	"26"	"中"	"5"	"HS"	"山西大同"	"ZDM00118"	"晚"	"43.2"	"MR"	"34.4"	"中"	"1.2"	"26"	"5.9"	"MS"	"93"	"3.6"	"100"	"抗赤霉病,中抗条纹病"	"44.3"	"早"	"69"	"99"	"24"	"2"	"皮"	"92"	"19"	"晚"	"3"	"113"	"33"	"R"	".6"	".7"	"6"	"41.3"	"7.2"	".8"	"3.8"
"69"	"1.5"	"绥定青稞"	"44"	"57"	"晚"	"2"	"HS"	"新疆绥定"	"ZDM01796"	"晚"	"36.5"	"R"	"40.3"	"中"	"2.3"	"66"	"6.4"	"HS"	"91"	"3.9"	"95"	"中抗赤霉病,抗条纹病"	"40.4"	"中"	"70"	"90"	"42"	"6"	"裸"	"94"	"28"	"晚"	"5"	"97"	"26.7"	"MR"	"1.1"	"1.1"	"3.7"	"35.2"	"10"	"1.6"	"3.5"
"70"	".9"	"088-172"	"22"	"28"	"中"	"4"	"HS"	"法国"	"WDM03527"	"晚"	"40.6"	"HS"	"34"	"中"	"1.3"	"29"	"7.9"	"HR"	"73"	"3.6"	"76"	"中抗赤霉病,高抗白粉病"	"43.4"	"中"	"71"	"73"	"28"	"2"	"皮"	"60"	"19"	"晚"	"5"	"89"	"31.7"	"MR"	".7"	".7"	"5"	"47.2"	"7.9"	"1.3"	"3.4"
"71"	".9"	"ZF2262"	"23"	"27"	"中"	"4"	"HS"	"法国"	"WDM05997"	"中"	"41.6"	"R"	"39.4"	"中"	"1.2"	"27"	"5.4"	"MS"	"89"	"3.5"	"90"	"中抗赤霉病,抗条纹病"	"44.1"	"中"	"72"	"82"	"28"	"2"	"皮"	"77"	"16"	"晚"	"4"	"103"	"30.6"	"MR"	".8"	".6"	"8"	"50.6"	"7.6"	"1.2"	"3.8"
"72"	"1.3"	"温岭洋大麦"	"26"	"26"	"中"	"5"	"HS"	"浙江温岭"	"ZDM02706"	"中"	"47.4"	"R"	"39.5"	"中"	"1.2"	"28"	"6.2"	"HS"	"97"	"4.1"	"99"	"抗赤霉病、条纹病"	"46.7"	"早"	"73"	"96"	"24"	"2"	"皮"	"110"	"25"	"晚"	"4"	"117"	"41.2"	"R"	".8"	"1"	"3.5"	"46.1"	"9"	".9"	"3.9"
"73"	"1.2"	"乐清洋大麦"	"25"	"25"	"中"	"5"	"HS"	"浙江乐清"	"ZDM02711"	"中"	"49"	"R"	"43.1"	"中"	"1.1"	"28"	"4.3"	"HS"	"95"	"3.7"	"102"	"抗赤霉病、条纹病"	"46.2"	"早"	"74"	"93"	"25"	"2"	"皮"	"109"	"23"	"晚"	"4"	"112"	"42.6"	"R"	".8"	"1"	"3.5"	"46.8"	"9.1"	".9"	"4.4"
"74"	"1.3"	"义乌二棱大麦"	"23"	"26"	"中"	"5"	"S"	"浙江义乌"	"ZDM02715"	"晚"	"54.5"	"R"	"51.3"	"中"	"1.4"	"29"	"5.5"	"MS"	"87"	"3.2"	"97"	"抗赤霉病、条纹病"	"51.7"	"早"	"75"	"91"	"21"	"2"	"皮"	"98"	"24"	"晚"	"4"	"103"	"41.3"	"R"	".8"	"1.2"	"2"	"41.3"	"7.3"	".8"	"5.7"
"75"	"1.5"	"余杭四棱毛大麦"	"41"	"54"	"中"	"3"	"HS"	"浙江余杭"	"ZDM02721"	"中"	"35.5"	"R"	"31.8"	"晚"	"1.6"	"59"	"7.9"	"MS"	"101"	"5.4"	"117"	"中抗赤霉病,抗条纹病"	"28.6"	"早"	"76"	"95"	"47"	"6"	"皮"	"133"	"37"	"中"	"4"	"89"	"34.5"	"MR"	"1.3"	"1.2"	"3.2"	"32.5"	"10.8"	"1.1"	"4.3"
"76"	"1.5"	"安吉落芒毛大麦"	"44"	"57"	"中"	"4"	"HS"	"浙江安吉"	"ZDM02750"	"中"	"34.8"	"HS"	"32.9"	"晚"	"1.7"	"59"	"3.9"	"HS"	"103"	"5.5"	"113"	"抗赤霉病"	"30.2"	"早"	"77"	"101"	"51"	"6"	"皮"	"130"	"43"	"中"	"4"	"106"	"35.4"	"R"	"1.3"	"1.4"	"4.8"	"30.6"	"11.5"	"1.2"	"5.6"
"77"	"1.3"	"上虞早大麦(浦乡)"	"43"	"57"	"中"	"3"	"HR"	"浙江上虞"	"ZDM02767"	"中"	"31.4"	"R"	"28.7"	"晚"	"1.9"	"62"	"5.5"	"MS"	"87"	"4.7"	"94"	"抗赤霉病、条纹病,高抗黄花叶病"	"30.3"	"早"	"78"	"86"	"42"	"6"	"皮"	"103"	"39"	"中"	"4"	"104"	"32.8"	"R"	"1.3"	"1.1"	"2"	"29.1"	"9.1"	".7"	"4.5"
"78"	"1.6"	"上虞老落须白大麦"	"46"	"54"	"中"	"5"	"HS"	"浙江上虞"	"ZDM02773"	"中"	"37.2"	"R"	"30.6"	"晚"	"1.6"	"58"	"6.7"	"HS"	"103"	"4"	"115"	"抗赤霉病、条纹病"	"29.8"	"特早"	"79"	"98"	"57"	"6"	"皮"	"120"	"41"	"中"	"4"	"119"	"35.4"	"R"	"1.2"	"1.3"	"2"	"31.8"	"11.6"	"1.3"	"4.5"
"79"	"1.5"	"嵊县红茎四棱大麦"	"44"	"47"	"中"	"3"	"HR"	"浙江嵊县"	"ZDM02776"	"中"	"34.4"	"R"	"27.3"	"中"	"1.6"	"47"	"4"	"MS"	"93"	"2.7"	"98"	"抗赤霉病、条纹病,高抗黄花叶病"	"32.1"	"特早"	"80"	"85"	"41"	"6"	"皮"	"115"	"40"	"中"	"4"	"103"	"33.4"	"R"	".8"	"1.1"	"2.2"	"35.1"	"10.2"	"1.1"	"4.8"
"80"	"1.9"	"临海老来红"	"53"	"53"	"中"	"2"	"R"	"浙江临海"	"ZDM02796"	"早"	"38.1"	"R"	"31"	"晚"	"2"	"44"	"3.9"	"MS"	"96"	"4"	"98"	"抗赤霉病、条纹病、黄花叶病,耐盐"	"35.1"	"早"	"81"	"97"	"34"	"6"	"皮"	"108"	"22"	"中"	"3"	"92"	"36"	"MR"	"1.2"	"1.2"	"5.2"	"46.2"	"11.2"	"1.5"	"5.7"
"81"	"1.6"	"温岭四棱红大麦"	"45"	"45"	"中"	"4"	"S"	"浙江温岭"	"ZDM02802"	"早"	"37.5"	"R"	"29.7"	"晚"	"1.4"	"53"	"5.1"	"MS"	"102"	"4.5"	"103"	"抗赤霉病、条纹病"	"30.4"	"早"	"82"	"107"	"46"	"6"	"皮"	"117"	"39"	"中"	"4"	"118"	"36.8"	"R"	"1.1"	"1.2"	"4.2"	"38.4"	"11.6"	"1.5"	"5.1"
"82"	"1.5"	"天台白四棱"	"52"	"63"	"中"	"4"	"S"	"浙江天台"	"ZDM02805"	"中"	"28.5"	"R"	"26.9"	"晚"	"2.1"	"58"	"4.7"	"HS"	"101"	"5.8"	"114"	"抗条纹病"	"24.8"	"早"	"83"	"117"	"49"	"6"	"皮"	"110"	"45"	"中"	"3"	"82"	"35.7"	"MS"	"1.3"	"1.2"	"3.1"	"30.5"	"9.3"	"1.3"	"5.3"
"83"	"1.8"	"义乌红壳四棱大麦"	"47"	"54"	"中"	"5"	"S"	"浙江义乌"	"ZDM02846"	"中"	"37.7"	"R"	"24.2"	"晚"	"1.5"	"55"	"4.8"	"MR"	"103"	"3.8"	"102"	"抗条纹病,中抗白粉病"	"28.8"	"早"	"84"	"113"	"42"	"6"	"皮"	"118"	"60"	"中"	"4"	"99"	"34.9"	"MS"	"1.2"	"1.5"	"3.7"	"32.6"	"12.6"	"1.5"	"4.8"
"84"	"1.5"	"东阳大蒜黄"	"43"	"42"	"中"	"5"	"R"	"浙江东阳"	"ZDM02850"	"晚"	"33.1"	"R"	"31.2"	"晚"	"1.4"	"64"	"5.4"	"HS"	"93"	"5.4"	"93"	"抗条纹病、黄花叶病"	"31.5"	"中"	"85"	"103"	"43"	"6"	"皮"	"102"	"38"	"早"	"4"	"111"	"31.2"	"S"	"1.4"	"1.2"	"1.4"	"31.8"	"9.9"	"1"	"5.1"
"85"	"1.2"	"东阳三月黄"	"44"	"44"	"中"	"5"	"R"	"浙江东阳"	"ZDM02854"	"中"	"31.8"	"MS"	"27.6"	"晚"	"1.5"	"68"	"5.9"	"HS"	"101"	"4.5"	"99"	"抗黄花叶病"	"29.1"	"中"	"86"	"95"	"52"	"6"	"皮"	"105"	"43"	"早"	"4"	"116"	"26.7"	"MS"	"1.1"	"1.2"	"1.6"	"26.5"	"8.4"	".7"	"4.4"
"86"	"1.4"	"宜平四棱大麦"	"44"	"44"	"中"	"4"	"S"	"浙江武义"	"ZDM02875"	"中"	"31.9"	"HS"	"23.9"	"晚"	"1.2"	"50"	"3.7"	"HS"	"99"	"5.8"	"99"	"中抗赤霉病"	"31.4"	"特早"	"87"	"105"	"48"	"6"	"皮"	"122"	"44"	"中"	"4"	"118"	"30.6"	"MR"	"1.4"	"1.1"	"3"	"34.7"	"10.8"	".6"	"3.9"
"87"	"1.4"	"缙云丛花蒲"	"40"	"46"	"中"	"5"	"S"	"浙江缙云"	"ZDM02888"	"中"	"34.7"	"R"	"21.6"	"晚"	"1.1"	"56"	"3.6"	"MS"	"103"	"4"	"100"	"中抗赤霉病,抗条纹病"	"29.5"	"特早"	"88"	"112"	"53"	"6"	"皮"	"118"	"54"	"中"	"4"	"114"	"28.5"	"MR"	"1"	"1.2"	"3.4"	"35.9"	"9.4"	"1.4"	"3.8"
"88"	"1.9"	"永嘉红六棱大麦"	"49"	"31"	"中"	"3"	"S"	"浙江永嘉"	"ZDM02988"	"中"	"37.4"	"MR"	"31.5"	"晚"	"1.2"	"54"	"5.5"	"MS"	"94"	"5.4"	"98"	"中抗赤霉病、条纹病"	"31.4"	"早"	"89"	"102"	"47"	"6"	"皮"	"113"	"46"	"中"	"4"	"112"	"35.9"	"MR"	"1.4"	"1.5"	"4.7"	"31.9"	"10.5"	".8"	"4.4"
"89"	"1.1"	"岗12"	"25"	"21"	"特早"	"5"	"R"	"日本"	"WDM06170"	"早"	"45.9"	"HS"	"39.7"	"中"	".9"	"25"	"4.4"	"MS"	"77"	"4.5"	"70"	"抗黄花叶病,早熟"	"46.8"	"特早"	"90"	"62"	"22"	"2"	"皮"	"75"	"21"	"早"	"4"	"84"	"39.5"	"MS"	".9"	".8"	"6.6"	"49.3"	"5.6"	".9"	"2.8"
"90"	"1.2"	"岗33"	"25"	"20"	"早"	"5"	"HS"	"日本"	"WDM06171"	"早"	"45.9"	"MS"	"36.7"	"早"	"1"	"22"	"4.2"	"HS"	"81"	"3.9"	"75"	"抗赤霉病,早熟"	"48.8"	"特早"	"91"	"60"	"22"	"2"	"皮"	"79"	"18"	"早"	"4"	"93"	"41.8"	"R"	".9"	".7"	"4.6"	"50.2"	"7.5"	".9"	"2.7"
"91"	"1.2"	"岗6"	"26"	"24"	"早"	"5"	"HS"	"日本"	"WDM06173"	"早"	"48.3"	"HS"	"36.2"	"早"	"1.1"	"25"	"6"	"HS"	"86"	"3.4"	"86"	"早熟"	"45.6"	"特早"	"92"	"70"	"23"	"2"	"皮"	"82"	"21"	"中"	"5"	"97"	"38.9"	"MS"	".8"	".7"	"5.8"	"45.5"	"8.1"	"1"	"3.4"
"92"	"1"	"三得利5号"	"22"	"26"	"特早"	"5"	"HS"	"日本"	"WDM06216"	"早"	"44.7"	"HS"	"36.6"	"中"	"1.3"	"26"	"5.8"	"MR"	"93"	"4.2"	"82"	"中抗白粉病,抗赤霉病,穗整齐,早熟"	"47.1"	"特早"	"93"	"81"	"26"	"2"	"皮"	"87"	"10"	"中"	"3"	"106"	"40"	"R"	".9"	".3"	"6.8"	"48"	"6.4"	"1.1"	"1.4"
"93"	".9"	"Ca113726"	"25"	"29"	"晚"	"5"	"HS"	"丹麦"	"WDM03854"	"极晚"	"43.4"	"HS"	"34.1"	"晚"	"1.3"	"28"	"6.4"	"MS"	"77"	"4.5"	"72"	"抗赤霉病,矮秆"	"43.9"	"中"	"94"	"75"	"29"	"2"	"皮"	"59"	"17"	"晚"	"3"	"91"	"30.5"	"R"	".7"	".6"	"9.2"	"51.2"	"8.2"	"1.4"	"3.4"
"94"	"1.5"	"玉环四棱裸麦"	"54"	"44"	"早"	"4"	"HS"	"浙江玉环"	"ZDM03135"	"早"	"28.7"	"S"	"27.9"	"早"	"1.4"	"50"	"2.7"	"MS"	"98"	"5.6"	"92"	"早熟,抗赤霉病"	"32"	"特早"	"95"	"75"	"39"	"6"	"裸"	"90"	"38"	"早"	"4"	"110"	"31.8"	"R"	"1.2"	"1.1"	"2"	"27.2"	"10.3"	".5"	"3.1"
"95"	"1.6"	"文成四棱大麦"	"40"	"41"	"早"	"4"	"HS"	"浙江文成"	"ZDM03158"	"特早"	"32"	"MS"	"29"	"早"	"1.3"	"53"	"2.8"	"MS"	"101"	"5.1"	"97"	"早熟"	"31.6"	"特早"	"96"	"74"	"40"	"6"	"裸"	"100"	"45"	"早"	"4"	"108"	"33.6"	"MS"	"1.4"	"1.3"	"2.1"	"36.8"	"11.1"	".4"	"3.6"
"96"	"1.5"	"永嘉元麦"	"45"	"51"	"早"	"2"	"HS"	"浙江永嘉"	"ZDM03162"	"特早"	"33.6"	"R"	"33.5"	"中"	"1.7"	"49"	"4.3"	"MS"	"100"	"3.6"	"94"	"早熟,中抗赤霉病,抗条纹病"	"31.7"	"特早"	"97"	"89"	"48"	"6"	"裸"	"105"	"36"	"早"	"5"	"100"	"37.7"	"MR"	".8"	"1.2"	"1.5"	"31.5"	"9.3"	".5"	"4"
"97"	"1.4"	"泰顺四棱米麦"	"47"	"56"	"早"	"4"	"HS"	"浙江泰顺"	"ZDM03166"	"早"	"31.9"	"HS"	"27.8"	"早"	"2"	"53"	"5.8"	"MS"	"95"	"5.6"	"86"	"早熟,中抗赤霉病"	"35.6"	"特早"	"98"	"75"	"39"	"6"	"裸"	"95"	"47"	"早"	"5"	"101"	"35"	"MR"	"1.3"	"1.3"	"2.7"	"35.2"	"7.2"	".8"	"3.9"
"98"	"1.6"	"宣平三月黄"	"53"	"--"	"早"	"5"	"HS"	"浙江武义"	"ZDM03183"	"早"	"29.5"	"HS"	"27.6"	"晚"	"--"	"62"	"--"	"MR"	"97"	"4.8"	"85"	"中抗白粉病、赤霉病"	"23.2"	"中"	"99"	"--"	"41"	"6"	"裸"	"100"	"50"	"早"	"5"	"77"	"26.9"	"MR"	"1.2"	"1.4"	"1.9"	"29.8"	"11.1"	"1"	"4"
"100"	"1.2"	"大粒麦"	"21"	"22"	"极晚"	"3"	"HS"	"云南禄劝"	"ZDM09085"	"早"	"54"	"HS"	"57.8"	"早"	"1.3"	"21"	"6.8"	"MS"	"101"	"3.9"	"88"	"中抗赤霉病"	"55.7"	"特早"	"101"	"76"	"21"	"2"	"皮"	"88"	"14"	"中"	"4"	"100"	"53.1"	"MR"	"1"	".8"	"4.4"	"58.6"	"7.9"	"1.2"	"3.1"
"101"	"1.1"	"短钩黄大麦"	"20"	"20"	"早"	"5"	"HS"	"云南禄劝"	"ZDM09093"	"早"	"52.5"	"MR"	"57.6"	"早"	"1.2"	"21"	"3.2"	"HS"	"92"	"4.1"	"83"	"早熟,中抗赤霉病、条纹病"	"56.7"	"特早"	"102"	"76"	"19"	"2"	"皮"	"89"	"11"	"中"	"5"	"95"	"49.2"	"MR"	".9"	".6"	"4.9"	"52.8"	"7.3"	".9"	"2.2"
"102"	".6"	"短钩裸大麦"	"19"	"19"	"早"	"5"	"HS"	"云南禄劝"	"ZDM09098"	"早"	"34.6"	"R"	"30.1"	"早"	".7"	"23"	"2.1"	"MS"	"94"	"2.4"	"84"	"早熟,抗条纹病"	"33.8"	"特早"	"103"	"78"	"19"	"2"	"裸"	"87"	"6"	"早"	"4"	"103"	"34"	"MS"	".6"	".2"	"2.7"	"32.1"	"4.6"	".7"	".5"
"103"	"1"	"宽颖大麦(6)"	"22"	"19"	"中"	"4"	"HS"	"云南禄劝"	"ZDM09147"	"早"	"44.3"	"MR"	"41.6"	"早"	".9"	"21"	"3.6"	"MR"	"95"	"2.8"	"85"	"中抗白粉病、赤霉病、条纹病"	"48"	"特早"	"104"	"76"	"24"	"2"	"皮"	"94"	"15"	"中"	"3"	"104"	"42.4"	"MR"	".7"	".6"	"4.3"	"47.5"	"8.1"	"1.2"	"2.8"
"104"	"1.9"	"IV-58"	"46"	"51"	"早"	"2"	"HS"	"日本"	"WDM06300"	"早"	"34.6"	"MS"	"44.6"	"中"	"2.1"	"59"	"5.8"	"MR"	"93"	"4.8"	"91"	"中抗白粉病、赤霉病"	"41.3"	"特早"	"105"	"80"	"43"	"6"	"皮"	"93"	"30"	"早"	"3"	"99"	"36.6"	"MR"	"1.6"	"1.4"	"2.9"	"39.3"	"11.3"	"1.1"	"3.6"
"105"	"1.6"	"Arizona 5908/..."	"39"	"51"	"中"	"5"	"HS"	"叙利亚"	"WDM03684"	"早"	"38.9"	"S"	"39.1"	"早"	"2.5"	"34"	"5.6"	"MR"	"74"	"4.3"	"72"	"早熟,中抗白粉病、赤霉病"	"48.4"	"特早"	"106"	"60"	"44"	"6"	"皮"	"65"	"28"	"早"	"4"	"104"	"46.4"	"MR"	"1.2"	"1.1"	"9.3"	"47"	"11.5"	"1.4"	"4.5"
"106"	"1.2"	"KM505"	"25"	"24"	"中"	"5"	"HS"	"日本"	"WDM05280"	"早"	"48.2"	"HS"	"46.8"	"早"	"1.3"	"26"	"6.1"	"HS"	"97"	"3.3"	"93"	"早熟,成穗率高"	"52.7"	"特早"	"107"	"79"	"23"	"2"	"皮"	"100"	"19"	"中"	"5"	"105"	"42.5"	"MS"	".9"	".9"	"4.3"	"51.7"	"9.6"	"1.1"	"3.5"
"107"	"1.2"	"Chevalier"	"25"	"19"	"晚"	"5"	"HS"	"日本"	"WDM03965"	"中"	"51.8"	"R"	"42.7"	"早"	"1"	"24"	"4.9"	"HS"	"95"	"4.4"	"89"	"抗条纹病"	"52.7"	"特早"	"108"	"68"	"19"	"2"	"皮"	"82"	"17"	"晚"	"5"	"110"	"40.8"	"S"	".8"	".7"	"4.6"	"51.7"	"9.1"	".9"	"3"
"108"	"1.1"	"BGS214/4*Bowman"	"25"	"19"	"特早"	"5"	"HS"	"美国"	"待编目"	"早"	"44.8"	"R"	"35.7"	"中"	"1"	"13"	"3.5"	"MS"	"72"	"3.5"	"89"	"抗条纹病,早熟"	"49.5"	"特早"	"109"	"61"	"15"	"2"	"皮"	"43"	"5"	"中"	"4"	"82"	"50.8"	"S"	".5"	".2"	"4.8"	"49.7"	"12.2"	".7"	".6"
"109"	".9"	"ND14048"	"19"	"24"	"中"	"5"	"HS"	"美国"	"待编目"	"早"	"51"	"S"	"44.9"	"中"	"1.2"	"20"	"4.3"	"MR"	"91"	"6"	"82"	"中抗白粉病、赤霉病"	"50.7"	"特早"	"110"	"72"	"19"	"2"	"皮"	"65"	"10"	"中"	"4"	"95"	"48.3"	"MR"	".8"	".5"	"5.6"	"51.6"	"9.2"	".9"	"2.3"
"110"	"1"	"ND14049"	"21"	"18"	"晚"	"3"	"HS"	"美国"	"待编目"	"早"	"47.6"	"R"	"45.4"	"早"	"1"	"20"	"5.2"	"MS"	"89"	"5.7"	"85"	"抗赤霉病、条纹病"	"51.3"	"特早"	"111"	"69"	"20"	"2"	"皮"	"70"	"10"	"中"	"3"	"105"	"50.8"	"R"	".9"	".5"	"5.5"	"54.1"	"8.1"	".9"	"2.1"
"111"	"1"	"HDE84194-622-1"	"25"	"26"	"早"	"4"	"R"	"美国"	"WDMO5056"	"早"	"39.5"	"HS"	"37.9"	"早"	"1.3"	"28"	"4.4"	"MS"	"80"	"5.3"	"74"	"早熟,抗黄花叶病,中抗赤霉病"	"47"	"特早"	"112"	"64"	"25"	"2"	"皮"	"72"	"19"	"早"	"4"	"94"	"37.2"	"MR"	".9"	".7"	"5.4"	"42.3"	"7"	"1"	"3.3"
"112"	".9"	"95-4043"	"22"	"18"	"早"	"5"	"HS"	"河北邯郸"	"待编目"	"早"	"39.5"	"S"	"38.1"	"早"	".9"	"20"	"4.3"	"MS"	"79"	"3.5"	"73"	"早熟,熟相好,抗赤霉病"	"47.6"	"特早"	"113"	"59"	"21"	"2"	"皮"	"74"	"15"	"早"	"3"	"87"	"41.4"	"R"	".7"	".6"	"5.2"	"48.1"	"8"	".9"	"2.2"
"113"	"1.1"	"95-4044"	"23"	"21"	"早"	"4"	"S"	"河北邯郸"	"待编目"	"特早"	"44.8"	"R"	"44.1"	"早"	"1.2"	"23"	"5"	"MS"	"78"	"4.4"	"76"	"早熟,矮秆,熟相好,抗赤霉病、条纹病"	"54.5"	"特早"	"114"	"59"	"21"	"2"	"皮"	"76"	"18"	"早"	"4"	"84"	"48.8"	"R"	"1"	".8"	"5.8"	"62"	"9.9"	"1.1"	"2.9"
"114"	"1"	"HDE90-337-12"	"31"	"16"	"早"	"5"	"HS"	"河北邯郸"	"待编目"	"早"	"31.6"	"HS"	"28.7"	"早"	".7"	"24"	"3.1"	"MS"	"48"	"1.9"	"42"	"早熟,矮秆"	"38.4"	"特早"	"115"	"43"	"28"	"2"	"皮"	"39"	"30"	"早"	"4"	"49"	"31.6"	"MS"	".5"	".1"	"3.9"	"41.9"	"4.9"	".9"	".3"
"115"	"1.8"	"拆多1号"	"46"	"59"	"晚"	"3"	"HS"	"四川阿坝"	"ZDM08714"	"晚"	"44.1"	"HS"	"42.5"	"晚"	"2.5"	"67"	"5.5"	"MS"	"75"	"4.9"	"64"	"矮秆"	"40.5"	"早"	"116"	"60"	"59"	"6"	"裸"	"63"	"34"	"晚"	"4"	"77"	"36.5"	"S"	"1.6"	"1.5"	"10.8"	"39.5"	"8.8"	"2.9"	"3.9"
