"标题"	"目录"	"年鉴页码"	"编号"	"年鉴年份"	"CAJ"	"PDF"	"EXCEL"	"id"
"全国乡镇企业单位数"	"全国和省、自治区、直辖市农村经济"	"47"	"N2005120998000021"	"1993"	"yearbooks/N2005120998000021.caj"	"yearbooks/N2005120998000021.pdf"		"22"
"各地区乡镇企业单位数"	"全国和省、自治区、直辖市农村经济"	"48"	"N2005120998000022"	"1993"	"yearbooks/N2005120998000022.caj"	"yearbooks/N2005120998000022.pdf"		"23"
"全国乡镇企业职工人数"	"全国和省、自治区、直辖市农村经济"	"49"	"N2005120998000023"	"1993"	"yearbooks/N2005120998000023.caj"	"yearbooks/N2005120998000023.pdf"		"24"
"各地区乡镇企业职工人数"	"全国和省、自治区、直辖市农村经济"	"50"	"N2005120998000024"	"1993"	"yearbooks/N2005120998000024.caj"	"yearbooks/N2005120998000024.pdf"		"25"
"农村个体工商业基本情况"	"全国和省、自治区、直辖市农村经济"	"51"	"N2005120998000025"	"1993"	"yearbooks/N2005120998000025.caj"	"yearbooks/N2005120998000025.pdf"		"26"
"各地区农村个体工商业基本情况"	"全国和省、自治区、直辖市农村经济"	"52-53"	"N2005120998000026"	"1993"	"yearbooks/N2005120998000026.caj"	"yearbooks/N2005120998000026.pdf"		"27"
"农村社会总产值"	"全国和省、自治区、直辖市农村经济"	"54-85"	"N2005120998000027"	"1993"	"yearbooks/N2005120998000027.caj"	"yearbooks/N2005120998000027.pdf"		"28"
"全国农村社会总产值及构成"	"全国和省、自治区、直辖市农村经济"	"54"	"N2005120998000028"	"1993"	"yearbooks/N2005120998000028.caj"	"yearbooks/N2005120998000028.pdf"	"yearbooks/N2005120998000028.xls"	"29"
"各经济地带农村社会总产值及构成"	"全国和省、自治区、直辖市农村经济"	"54"	"N2005120998000029"	"1993"	"yearbooks/N2005120998000029.caj"	"yearbooks/N2005120998000029.pdf"	"yearbooks/N2005120998000029.xls"	"30"
"各地区农村社会总产值"	"全国和省、自治区、直辖市农村经济"	"55-56"	"N2005120998000030"	"1993"	"yearbooks/N2005120998000030.caj"	"yearbooks/N2005120998000030.pdf"	"yearbooks/N2005120998000030.xls"	"31"
"全国农业总产值及构成(按当年价格计算)"	"全国和省、自治区、直辖市农村经济"	"57"	"N2005120998000031"	"1993"	"yearbooks/N2005120998000031.caj"	"yearbooks/N2005120998000031.pdf"	"yearbooks/N2005120998000031.xls"	"32"
"各经济地带农业总产值及构成(按当年价格计算)"	"全国和省、自治区、直辖市农村经济"	"57"	"N2005120998000032"	"1993"	"yearbooks/N2005120998000032.caj"	"yearbooks/N2005120998000032.pdf"	"yearbooks/N2005120998000032.xls"	"33"
"分项农业总产值(按当年价格计算)"	"全国和省、自治区、直辖市农村经济"	"58"	"N2005120998000033"	"1993"	"yearbooks/N2005120998000033.caj"	"yearbooks/N2005120998000033.pdf"	"yearbooks/N2005120998000033.xls"	"34"
"各地区农林牧副渔业产值(按当年价格计算)"	"全国和省、自治区、直辖市农村经济"	"59-60"	"N2005120998000034"	"1993"	"yearbooks/N2005120998000034.caj"	"yearbooks/N2005120998000034.pdf"	"yearbooks/N2005120998000034.xls"	"35"
"各地区分项农业产值(按当年价格计算)"	"全国和省、自治区、直辖市农村经济"	"61-66"	"N2005120998000035"	"1993"	"yearbooks/N2005120998000035.caj"	"yearbooks/N2005120998000035.pdf"	"yearbooks/N2005120998000035.xls"	"36"
"分项农业总产值及增长情况(按1990年不变价格计算)"	"全国和省、自治区、直辖市农村经济"	"67"	"N2005120998000036"	"1993"	"yearbooks/N2005120998000036.caj"	"yearbooks/N2005120998000036.pdf"	"yearbooks/N2005120998000036.xls"	"37"
"各地区农林牧副渔业产值(按1990年不变价格计算)"	"全国和省、自治区、直辖市农村经济"	"68-69"	"N2005120998000037"	"1993"	"yearbooks/N2005120998000037.caj"	"yearbooks/N2005120998000037.pdf"	"yearbooks/N2005120998000037.xls"	"38"
"各地区分项农业产值(按1990年不变价格计算)"	"全国和省、自治区、直辖市农村经济"	"70-75"	"N2005120998000038"	"1993"	"yearbooks/N2005120998000038.caj"	"yearbooks/N2005120998000038.pdf"	"yearbooks/N2005120998000038.xls"	"39"
"全国分部门农业物质消耗及构成"	"全国和省、自治区、直辖市农村经济"	"76"	"N2005120998000039"	"1993"	"yearbooks/N2005120998000039.caj"	"yearbooks/N2005120998000039.pdf"	"yearbooks/N2005120998000039.xls"	"40"
"全国分部门农业净产值及构成"	"全国和省、自治区、直辖市农村经济"	"76"	"N2005120998000040"	"1993"	"yearbooks/N2005120998000040.caj"	"yearbooks/N2005120998000040.pdf"	"yearbooks/N2005120998000040.xls"	"41"
"全国分项农业物质消耗"	"全国和省、自治区、直辖市农村经济"	"77"	"N2005120998000041"	"1993"	"yearbooks/N2005120998000041.caj"	"yearbooks/N2005120998000041.pdf"	"yearbooks/N2005120998000041.xls"	"42"
"各地区分部门农业物质消耗"	"全国和省、自治区、直辖市农村经济"	"78"	"N2005120998000042"	"1993"	"yearbooks/N2005120998000042.caj"	"yearbooks/N2005120998000042.pdf"	"yearbooks/N2005120998000042.xls"	"43"
"各地区农业物质消耗分部门构成"	"全国和省、自治区、直辖市农村经济"	"79"	"N2005120998000043"	"1993"	"yearbooks/N2005120998000043.caj"	"yearbooks/N2005120998000043.pdf"	"yearbooks/N2005120998000043.xls"	"44"
"各地区分部门农业物质消耗比重"	"全国和省、自治区、直辖市农村经济"	"80"	"N2005120998000044"	"1993"	"yearbooks/N2005120998000044.caj"	"yearbooks/N2005120998000044.pdf"	"yearbooks/N2005120998000044.xls"	"45"
"各地区农业物质消耗、农业净产值及占农业总产值比重"	"全国和省、自治区、直辖市农村经济"	"81"	"N2005120998000045"	"1993"	"yearbooks/N2005120998000045.caj"	"yearbooks/N2005120998000045.pdf"	"yearbooks/N2005120998000045.xls"	"46"
"各地区分部门农业净产值"	"全国和省、自治区、直辖市农村经济"	"82"	"N2005120998000046"	"1993"	"yearbooks/N2005120998000046.caj"	"yearbooks/N2005120998000046.pdf"	"yearbooks/N2005120998000046.xls"	"47"
"各地区农业净产值分部门构成"	"全国和省、自治区、直辖市农村经济"	"83"	"N2005120998000047"	"1993"	"yearbooks/N2005120998000047.caj"	"yearbooks/N2005120998000047.pdf"	"yearbooks/N2005120998000047.xls"	"48"
"各地区分部门农业净产值比重"	"全国和省、自治区、直辖市农村经济"	"84"	"N2005120998000048"	"1993"	"yearbooks/N2005120998000048.caj"	"yearbooks/N2005120998000048.pdf"	"yearbooks/N2005120998000048.xls"	"49"
"各地区农业总产出、中间消耗和增加值"	"全国和省、自治区、直辖市农村经济"	"85"	"N2005120998000049"	"1993"	"yearbooks/N2005120998000049.caj"	"yearbooks/N2005120998000049.pdf"	"yearbooks/N2005120998000049.xls"	"50"
"主要农产品和乡村企业主要工业产品生产情况"	"全国和省、自治区、直辖市农村经济"	"86-161"	"N2005120998000050"	"1993"	"yearbooks/N2005120998000050.caj"	"yearbooks/N2005120998000050.pdf"		"51"
"全国主要农作物播种面积"	"全国和省、自治区、直辖市农村经济"	"86"	"N2005120998000051"	"1993"	"yearbooks/N2005120998000051.caj"	"yearbooks/N2005120998000051.pdf"	"yearbooks/N2005120998000051.xls"	"52"
"全国主要农作物播种面积构成"	"全国和省、自治区、直辖市农村经济"	"87"	"N2005120998000052"	"1993"	"yearbooks/N2005120998000052.caj"	"yearbooks/N2005120998000052.pdf"	"yearbooks/N2005120998000052.xls"	"53"
"各地区农作物总播种面积"	"全国和省、自治区、直辖市农村经济"	"88"	"N2005120998000053"	"1993"	"yearbooks/N2005120998000053.caj"	"yearbooks/N2005120998000053.pdf"	"yearbooks/N2005120998000053.xls"	"54"
"各地区粮食作物播种面积"	"全国和省、自治区、直辖市农村经济"	"89-92"	"N2005120998000054"	"1993"	"yearbooks/N2005120998000054.caj"	"yearbooks/N2005120998000054.pdf"	"yearbooks/N2005120998000054.xls"	"55"
"各地区经济作物播种面积"	"全国和省、自治区、直辖市农村经济"	"93-97"	"N2005120998000055"	"1993"	"yearbooks/N2005120998000055.caj"	"yearbooks/N2005120998000055.pdf"	"yearbooks/N2005120998000055.xls"	"56"
"各地区其他农作物播种面积"	"全国和省、自治区、直辖市农村经济"	"98"	"N2005120998000056"	"1993"	"yearbooks/N2005120998000056.caj"	"yearbooks/N2005120998000056.pdf"	"yearbooks/N2005120998000056.xls"	"57"
"各地区农作物播种面积构成"	"全国和省、自治区、直辖市农村经济"	"99"	"N2005120998000057"	"1993"	"yearbooks/N2005120998000057.caj"	"yearbooks/N2005120998000057.pdf"	"yearbooks/N2005120998000057.xls"	"58"
"各经济地带主要农作物播种面积"	"全国和省、自治区、直辖市农村经济"	"100"	"N2005120998000058"	"1993"	"yearbooks/N2005120998000058.caj"	"yearbooks/N2005120998000058.pdf"	"yearbooks/N2005120998000058.xls"	"59"
"全国主要农作物产品产量"	"全国和省、自治区、直辖市农村经济"	"101"	"N2005120998000059"	"1993"	"yearbooks/N2005120998000059.caj"	"yearbooks/N2005120998000059.pdf"	"yearbooks/N2005120998000059.xls"	"60"
"各地区粮食总产量"	"全国和省、自治区、直辖市农村经济"	"102"	"N2005120998000060"	"1993"	"yearbooks/N2005120998000060.caj"	"yearbooks/N2005120998000060.pdf"	"yearbooks/N2005120998000060.xls"	"61"
"各地区主要粮食作物产量"	"全国和省、自治区、直辖市农村经济"	"104-105"	"N2005120998000061"	"1993"	"yearbooks/N2005120998000061.caj"	"yearbooks/N2005120998000061.pdf"	"yearbooks/N2005120998000061.xls"	"63"
"各地区主要经济作物产量"	"全国和省、自治区、直辖市农村经济"	"106-108"	"N2005120998000062"	"1993"	"yearbooks/N2005120998000062.caj"	"yearbooks/N2005120998000062.pdf"	"yearbooks/N2005120998000062.xls"	"64"
"各经济地带主要农作物产品产量"	"全国和省、自治区、直辖市农村经济"	"109"	"N2005120998000063"	"1993"	"yearbooks/N2005120998000063.caj"	"yearbooks/N2005120998000063.pdf"	"yearbooks/N2005120998000063.xls"	"65"
"全国主要农作物单位面积产量"	"全国和省、自治区、直辖市农村经济"	"110"	"N2005120998000064"	"1993"	"yearbooks/N2005120998000064.caj"	"yearbooks/N2005120998000064.pdf"	"yearbooks/N2005120998000064.xls"	"66"
"各地区主要粮食作物单位面积产量"	"全国和省、自治区、直辖市农村经济"	"111-112"	"N2005120998000065"	"1993"	"yearbooks/N2005120998000065.caj"	"yearbooks/N2005120998000065.pdf"	"yearbooks/N2005120998000065.xls"	"67"
"各地区主要经济作物单位面积产量"	"全国和省、自治区、直辖市农村经济"	"113-115"	"N2005120998000066"	"1993"	"yearbooks/N2005120998000066.caj"	"yearbooks/N2005120998000066.pdf"	"yearbooks/N2005120998000066.xls"	"68"
"农垦系统国营农场农作物种植业生产情况"	"全国和省、自治区、直辖市农村经济"	"116"	"N2005120998000067"	"1993"	"yearbooks/N2005120998000067.caj"	"yearbooks/N2005120998000067.pdf"	"yearbooks/N2005120998000067.xls"	"69"
"各地区农垦系统国营农场农业总产值和粮食产量"	"全国和省、自治区、直辖市农村经济"	"117"	"N2005120998000068"	"1993"	"yearbooks/N2005120998000068.caj"	"yearbooks/N2005120998000068.pdf"	"yearbooks/N2005120998000068.xls"	"70"
"全国蚕茧、茶叶、水果主要品种产量和面积"	"全国和省、自治区、直辖市农村经济"	"118"	"N2005120998000069"	"1993"	"yearbooks/N2005120998000069.caj"	"yearbooks/N2005120998000069.pdf"	"yearbooks/N2005120998000069.xls"	"71"
"各地区蚕茧、茶叶产量"	"全国和省、自治区、直辖市农村经济"	"119"	"N2005120998000070"	"1993"	"yearbooks/N2005120998000070.caj"	"yearbooks/N2005120998000070.pdf"	"yearbooks/N2005120998000070.xls"	"72"
"各地区水果产量"	"全国和省、自治区、直辖市农村经济"	"120-121"	"N2005120998000071"	"1993"	"yearbooks/N2005120998000071.caj"	"yearbooks/N2005120998000071.pdf"	"yearbooks/N2005120998000071.xls"	"73"
"各地区桑园、柞坡、茶园面积"	"全国和省、自治区、直辖市农村经济"	"122"	"N2005120998000072"	"1993"	"yearbooks/N2005120998000072.caj"	"yearbooks/N2005120998000072.pdf"	"yearbooks/N2005120998000072.xls"	"74"
"各地区果园面积"	"全国和省、自治区、直辖市农村经济"	"123"	"N2005120998000073"	"1993"	"yearbooks/N2005120998000073.caj"	"yearbooks/N2005120998000073.pdf"	"yearbooks/N2005120998000073.xls"	"75"
"全国亚热带作物生产情况"	"全国和省、自治区、直辖市农村经济"	"124"	"N2005120998000074"	"1993"	"yearbooks/N2005120998000074.caj"	"yearbooks/N2005120998000074.pdf"	"yearbooks/N2005120998000074.xls"	"76"
"全国林业生产情况"	"全国和省、自治区、直辖市农村经济"	"125-126"	"N2005120998000075"	"1993"	"yearbooks/N2005120998000075.caj"	"yearbooks/N2005120998000075.pdf"	"yearbooks/N2005120998000075.xls"	"77"
"各地区营林情况"	"全国和省、自治区、直辖市农村经济"	"127-131"	"N2005120998000076"	"1993"	"yearbooks/N2005120998000076.caj"	"yearbooks/N2005120998000076.pdf"	"yearbooks/N2005120998000076.xls"	"78"
"各地区主要林产品产量"	"全国和省、自治区、直辖市农村经济"	"132-133"	"N2005120998000077"	"1993"	"yearbooks/N2005120998000077.caj"	"yearbooks/N2005120998000077.pdf"	"yearbooks/N2005120998000077.xls"	"79"
"农垦系统国营农场茶、蚕、果、林业生产情况"	"全国和省、自治区、直辖市农村经济"	"134"	"N2005120998000078"	"1993"	"yearbooks/N2005120998000078.caj"	"yearbooks/N2005120998000078.pdf"	"yearbooks/N2005120998000078.xls"	"80"
"全国主要畜产品产量"	"全国和省、自治区、直辖市农村经济"	"135"	"N2005120998000079"	"1993"	"yearbooks/N2005120998000079.caj"	"yearbooks/N2005120998000079.pdf"	"yearbooks/N2005120998000079.xls"	"81"
"各地区主要畜产品产量"	"全国和省、自治区、直辖市农村经济"	"136-140"	"N2005120998000080"	"1993"	"yearbooks/N2005120998000080.caj"	"yearbooks/N2005120998000080.pdf"	"yearbooks/N2005120998000080.xls"	"82"
"全国牲畜年末存栏头数"	"全国和省、自治区、直辖市农村经济"	"141"	"N2005120998000081"	"1993"	"yearbooks/N2005120998000081.caj"	"yearbooks/N2005120998000081.pdf"	"yearbooks/N2005120998000081.xls"	"83"
"各地区主要牲畜年末存栏头数"	"全国和省、自治区、直辖市农村经济"	"142-145"	"N2005120998000082"	"1993"	"yearbooks/N2005120998000082.caj"	"yearbooks/N2005120998000082.pdf"	"yearbooks/N2005120998000082.xls"	"84"
"全国水产品产量"	"全国和省、自治区、直辖市农村经济"	"146"	"N2005120998000083"	"1993"	"yearbooks/N2005120998000083.caj"	"yearbooks/N2005120998000083.pdf"	"yearbooks/N2005120998000083.xls"	"85"
"各地区水产品总产量"	"全国和省、自治区、直辖市农村经济"	"147"	"N2005120998000084"	"1993"	"yearbooks/N2005120998000084.caj"	"yearbooks/N2005120998000084.pdf"	"yearbooks/N2005120998000084.xls"	"86"
"各地区淡水产品产量"	"全国和省、自治区、直辖市农村经济"	"148"	"N2005120998000085"	"1993"	"yearbooks/N2005120998000085.caj"	"yearbooks/N2005120998000085.pdf"	"yearbooks/N2005120998000085.xls"	"87"
"各地区海水产品产量"	"全国和省、自治区、直辖市农村经济"	"149"	"N2005120998000086"	"1993"	"yearbooks/N2005120998000086.caj"	"yearbooks/N2005120998000086.pdf"	"yearbooks/N2005120998000086.xls"	"88"
"全国水产养殖面积"	"全国和省、自治区、直辖市农村经济"	"150"	"N2005120998000087"	"1993"	"yearbooks/N2005120998000087.caj"	"yearbooks/N2005120998000087.pdf"	"yearbooks/N2005120998000087.xls"	"89"
"各地区水产养殖面积"	"全国和省、自治区、直辖市农村经济"	"151"	"N2005120998000088"	"1993"	"yearbooks/N2005120998000088.caj"	"yearbooks/N2005120998000088.pdf"	"yearbooks/N2005120998000088.xls"	"90"
"农垦系统国营农场畜牧业、渔业生产情况"	"全国和省、自治区、直辖市农村经济"	"152"	"N2005120998000089"	"1993"	"yearbooks/N2005120998000089.caj"	"yearbooks/N2005120998000089.pdf"	"yearbooks/N2005120998000089.xls"	"91"
"1992年主要农产品产量与历史最高年比较"	"全国和省、自治区、直辖市农村经济"	"153"	"N2005120998000090"	"1993"	"yearbooks/N2005120998000090.caj"	"yearbooks/N2005120998000090.pdf"	"yearbooks/N2005120998000090.xls"	"92"
"乡村企业主要工业产品产量"	"全国和省、自治区、直辖市农村经济"	"154"	"N2005120998000091"	"1993"	"yearbooks/N2005120998000091.caj"	"yearbooks/N2005120998000091.pdf"	"yearbooks/N2005120998000091.xls"	"93"
"各地区乡村企业主要工业产品产量"	"全国和省、自治区、直辖市农村经济"	"155-160"	"N2005120998000092"	"1993"	"yearbooks/N2005120998000092.caj"	"yearbooks/N2005120998000092.pdf"	"yearbooks/N2005120998000092.xls"	"94"
"乡村企业主要工业产品产量及占全国同类产品产量的比重"	"全国和省、自治区、直辖市农村经济"	"161"	"N2005120998000093"	"1993"	"yearbooks/N2005120998000093.caj"	"yearbooks/N2005120998000093.pdf"	"yearbooks/N2005120998000093.xls"	"95"
"农村市场与物价"	"全国和省、自治区、直辖市农村经济"	"162-187"	"N2005120998000094"	"1993"	"yearbooks/N2005120998000094.caj"	"yearbooks/N2005120998000094.pdf"		"96"
"社会农副产品收购额和收购量"	"全国和省、自治区、直辖市农村经济"	"162-163"	"N2005120998000095"	"1993"	"yearbooks/N2005120998000095.caj"	"yearbooks/N2005120998000095.pdf"	"yearbooks/N2005120998000095.xls"	"97"
"各地区社会农副产品收购量"	"全国和省、自治区、直辖市农村经济"	"164-165"	"N2005120998000096"	"1993"	"yearbooks/N2005120998000096.caj"	"yearbooks/N2005120998000096.pdf"	"yearbooks/N2005120998000096.xls"	"98"
"国营和供销合作社商业农副产品收购量"	"全国和省、自治区、直辖市农村经济"	"166"	"N2005120998000097"	"1993"	"yearbooks/N2005120998000097.caj"	"yearbooks/N2005120998000097.pdf"	"yearbooks/N2005120998000097.xls"	"99"
"城乡集市贸易情况"	"全国和省、自治区、直辖市农村经济"	"167"	"N2005120998000098"	"1993"	"yearbooks/N2005120998000098.caj"	"yearbooks/N2005120998000098.pdf"	"yearbooks/N2005120998000098.xls"	"100"
"农村社会商品零售额"	"全国和省、自治区、直辖市农村经济"	"168"	"N2005120998000099"	"1993"	"yearbooks/N2005120998000099.caj"	"yearbooks/N2005120998000099.pdf"	"yearbooks/N2005120998000099.xls"	"101"
"农民对非农业居民零售量和零售额"	"全国和省、自治区、直辖市农村经济"	"168"	"N2005120998000100"	"1993"	"yearbooks/N2005120998000100.caj"	"yearbooks/N2005120998000100.pdf"	"yearbooks/N2005120998000100.xls"	"102"
"国营和供销合作社商业销售农业生产资料情况"	"全国和省、自治区、直辖市农村经济"	"169"	"N2005120998000101"	"1993"	"yearbooks/N2005120998000101.caj"	"yearbooks/N2005120998000101.pdf"	"yearbooks/N2005120998000101.xls"	"103"
"海关出口农副产品及加工品数量"	"全国和省、自治区、直辖市农村经济"	"170-171"	"N2005120998000102"	"1993"	"yearbooks/N2005120998000102.caj"	"yearbooks/N2005120998000102.pdf"	"yearbooks/N2005120998000102.xls"	"104"
"乡镇企业出口产品交售额"	"全国和省、自治区、直辖市农村经济"	"172"	"N2005120998000103"	"1993"	"yearbooks/N2005120998000103.caj"	"yearbooks/N2005120998000103.pdf"	"yearbooks/N2005120998000103.xls"	"105"
"农村各种物价总指数"	"全国和省、自治区、直辖市农村经济"	"173"	"N2005120998000104"	"1993"	"yearbooks/N2005120998000104.caj"	"yearbooks/N2005120998000104.pdf"	"yearbooks/N2005120998000104.xls"	"106"
"农村居民生活费用价格分类指数"	"全国和省、自治区、直辖市农村经济"	"173"	"N2005120998000105"	"1993"	"yearbooks/N2005120998000105.caj"	"yearbooks/N2005120998000105.pdf"	"yearbooks/N2005120998000105.xls"	"107"
"各地区农村居民生活费用价格分类指数"	"全国和省、自治区、直辖市农村经济"	"174"	"N2005120998000106"	"1993"	"yearbooks/N2005120998000106.caj"	"yearbooks/N2005120998000106.pdf"	"yearbooks/N2005120998000106.xls"	"108"
"农村零售物价分类指数"	"全国和省、自治区、直辖市农村经济"	"175"	"N2005120998000107"	"1993"	"yearbooks/N2005120998000107.caj"	"yearbooks/N2005120998000107.pdf"	"yearbooks/N2005120998000107.xls"	"109"
"各地区农村零售物价分类指数"	"全国和省、自治区、直辖市农村经济"	"176-177"	"N2005120998000108"	"1993"	"yearbooks/N2005120998000108.caj"	"yearbooks/N2005120998000108.pdf"	"yearbooks/N2005120998000108.xls"	"110"
"农副产品收购价格分类指数"	"全国和省、自治区、直辖市农村经济"	"178"	"N2005120998000109"	"1993"	"yearbooks/N2005120998000109.caj"	"yearbooks/N2005120998000109.pdf"	"yearbooks/N2005120998000109.xls"	"111"
"各地区农副产品收购价格分类指数"	"全国和省、自治区、直辖市农村经济"	"181-183"	"N2005120998000110"	"1993"	"yearbooks/N2005120998000110.caj"	"yearbooks/N2005120998000110.pdf"	"yearbooks/N2005120998000110.xls"	"113"
"主要农副产品收购混合平均价格"	"全国和省、自治区、直辖市农村经济"	"184"	"N2005120998000111"	"1993"	"yearbooks/N2005120998000111.caj"	"yearbooks/N2005120998000111.pdf"	"yearbooks/N2005120998000111.xls"	"114"
"农村集市贸易价格分类指数(以上年价格为100)"	"全国和省、自治区、直辖市农村经济"	"185"	"N2005120998000112"	"1993"	"yearbooks/N2005120998000112.caj"	"yearbooks/N2005120998000112.pdf"	"yearbooks/N2005120998000112.xls"	"115"
"农村集市贸易价格分类指数(以本期国营商业价格为100)"	"全国和省、自治区、直辖市农村经济"	"185"	"N2005120998000113"	"1993"	"yearbooks/N2005120998000113.caj"	"yearbooks/N2005120998000113.pdf"	"yearbooks/N2005120998000113.xls"	"116"
"主要农副产品交换工业品的数量"	"全国和省、自治区、直辖市农村经济"	"186-187"	"N2005120998000114"	"1993"	"yearbooks/N2005120998000114.caj"	"yearbooks/N2005120998000114.pdf"	"yearbooks/N2005120998000114.xls"	"117"
"农村经济效益及收入与分配"	"全国和省、自治区、直辖市农村经济"	"188-203"	"N2005120998000115"	"1993"	"yearbooks/N2005120998000115.caj"	"yearbooks/N2005120998000115.pdf"		"118"
"农村经济效益"	"全国和省、自治区、直辖市农村经济"	"188"	"N2005120998000116"	"1993"	"yearbooks/N2005120998000116.caj"	"yearbooks/N2005120998000116.pdf"	"yearbooks/N2005120998000116.xls"	"119"
"各地区农村劳动生产率"	"全国和省、自治区、直辖市农村经济"	"189-190"	"N2005120998000117"	"1993"	"yearbooks/N2005120998000117.caj"	"yearbooks/N2005120998000117.pdf"	"yearbooks/N2005120998000117.xls"	"120"
"各地区每一农业劳动力生产的主要农产品"	"全国和省、自治区、直辖市农村经济"	"191-192"	"N2005120998000118"	"1993"	"yearbooks/N2005120998000118.caj"	"yearbooks/N2005120998000118.pdf"	"yearbooks/N2005120998000118.xls"	"121"
"各地区社会农副产品收购总额及占现价农业总产值比重"	"全国和省、自治区、直辖市农村经济"	"193"	"N2005120998000119"	"1993"	"yearbooks/N2005120998000119.caj"	"yearbooks/N2005120998000119.pdf"	"yearbooks/N2005120998000119.xls"	"122"
"农产品成本、收益与劳动生产率"	"全国和省、自治区、直辖市农村经济"	"194-196"	"N2005120998000120"	"1993"	"yearbooks/N2005120998000120.caj"	"yearbooks/N2005120998000120.pdf"	"yearbooks/N2005120998000120.xls"	"123"
"农村经济收入及分配"	"全国和省、自治区、直辖市农村经济"	"197"	"N2005120998000121"	"1993"	"yearbooks/N2005120998000121.caj"	"yearbooks/N2005120998000121.pdf"	"yearbooks/N2005120998000121.xls"	"124"
"乡村两级企业收入及分配"	"全国和省、自治区、直辖市农村经济"	"198"	"N2005120998000122"	"1993"	"yearbooks/N2005120998000122.caj"	"yearbooks/N2005120998000122.pdf"	"yearbooks/N2005120998000122.xls"	"125"
"乡村两级企业主要经济效益指标"	"全国和省、自治区、直辖市农村经济"	"198"	"N2005120998000123"	"1993"	"yearbooks/N2005120998000123.caj"	"yearbooks/N2005120998000123.pdf"	"yearbooks/N2005120998000123.xls"	"126"
"各地区乡村两级企业收入及分配"	"全国和省、自治区、直辖市农村经济"	"199-201"	"N2005120998000124"	"1993"	"yearbooks/N2005120998000124.caj"	"yearbooks/N2005120998000124.pdf"	"yearbooks/N2005120998000124.xls"	"127"
"各地区乡村两级企业主要经济效益指标"	"全国和省、自治区、直辖市农村经济"	"202-203"	"N2005120998000125"	"1993"	"yearbooks/N2005120998000125.caj"	"yearbooks/N2005120998000125.pdf"	"yearbooks/N2005120998000125.xls"	"128"
"农民家庭收入和生活消费"	"全国和省、自治区、直辖市农村经济"	"204-227"	"N2005120998000126"	"1993"	"yearbooks/N2005120998000126.caj"	"yearbooks/N2005120998000126.pdf"		"129"
"农村调查户基本情况"	"全国和省、自治区、直辖市农村经济"	"204"	"N2005120998000127"	"1993"	"yearbooks/N2005120998000127.caj"	"yearbooks/N2005120998000127.pdf"	"yearbooks/N2005120998000127.xls"	"130"
"农民家庭总收入和纯收入"	"全国和省、自治区、直辖市农村经济"	"205"	"N2005120998000128"	"1993"	"yearbooks/N2005120998000128.caj"	"yearbooks/N2005120998000128.pdf"	"yearbooks/N2005120998000128.xls"	"131"
"各地区农民家庭纯收入(平均每人)"	"全国和省、自治区、直辖市农村经济"	"206"	"N2005120998000129"	"1993"	"yearbooks/N2005120998000129.caj"	"yearbooks/N2005120998000129.pdf"	"yearbooks/N2005120998000129.xls"	"132"
"各地区农民家庭纯收入(按收入来源分)"	"全国和省、自治区、直辖市农村经济"	"207"	"N2005120998000130"	"1993"	"yearbooks/N2005120998000130.caj"	"yearbooks/N2005120998000130.pdf"	"yearbooks/N2005120998000130.xls"	"133"
"农民家庭生活消费支出"	"全国和省、自治区、直辖市农村经济"	"208"	"N2005120998000131"	"1993"	"yearbooks/N2005120998000131.caj"	"yearbooks/N2005120998000131.pdf"	"yearbooks/N2005120998000131.xls"	"134"
"农民家庭生活消费现金支出"	"全国和省、自治区、直辖市农村经济"	"208"	"N2005120998000132"	"1993"	"yearbooks/N2005120998000132.caj"	"yearbooks/N2005120998000132.pdf"	"yearbooks/N2005120998000132.xls"	"135"
"各地区农民家庭生活消费支出"	"全国和省、自治区、直辖市农村经济"	"209"	"N2005120998000133"	"1993"	"yearbooks/N2005120998000133.caj"	"yearbooks/N2005120998000133.pdf"	"yearbooks/N2005120998000133.xls"	"136"
"各地区农民家庭生活消费品支出"	"全国和省、自治区、直辖市农村经济"	"210-211"	"N2005120998000134"	"1993"	"yearbooks/N2005120998000134.caj"	"yearbooks/N2005120998000134.pdf"	"yearbooks/N2005120998000134.xls"	"137"
"各地区农民家庭生活消费支出构成"	"全国和省、自治区、直辖市农村经济"	"212-213"	"N2005120998000135"	"1993"	"yearbooks/N2005120998000135.caj"	"yearbooks/N2005120998000135.pdf"	"yearbooks/N2005120998000135.xls"	"138"
"各地区农民家庭生活消费现金支出"	"全国和省、自治区、直辖市农村经济"	"214"	"N2005120998000136"	"1993"	"yearbooks/N2005120998000136.caj"	"yearbooks/N2005120998000136.pdf"	"yearbooks/N2005120998000136.xls"	"139"
"农民家庭主要耐用消费品年末拥有量"	"全国和省、自治区、直辖市农村经济"	"216"	"N2005120998000137"	"1993"	"yearbooks/N2005120998000137.caj"	"yearbooks/N2005120998000137.pdf"	"yearbooks/N2005120998000137.xls"	"141"
"农民家庭房屋情况"	"全国和省、自治区、直辖市农村经济"	"216"	"N2005120998000138"	"1993"	"yearbooks/N2005120998000138.caj"	"yearbooks/N2005120998000138.pdf"	"yearbooks/N2005120998000138.xls"	"142"
"各地区农民家庭主要耐用消费品年末拥有量"	"全国和省、自治区、直辖市农村经济"	"217-219"	"N2005120998000139"	"1993"	"yearbooks/N2005120998000139.caj"	"yearbooks/N2005120998000139.pdf"	"yearbooks/N2005120998000139.xls"	"143"
