"id"	"防治方法"	"危害特点"	"生物学特征及发生消长规律"	"传播途径"	"门"	"亚门"	"纲"	"目"	"科"	"属"	"入侵地"	"寄主"	"拉丁学名"	"记录号"	"入侵时间及地点"	"别名"	"中文名"	"英文名"	"原产地"	"形态特征"	"相关文献"
"25"	"防治策略是选用抗病品种，种植无病种薯，消灭中心病株，结合病情预报全面喷药保护。具体防治方法如下： 1.选用抗病品种 我国已育出了上百个抗病品种，大大减轻了晚疫病的威胁。目前培育的抗病良种主要有：中薯2号、内薯7号、底西芮（Desiree）等。另外一些老的抗晚疫病品种种植也比较广泛，如克新号、高原号、郑薯4号、抗疫1号、胜利1号、同薯8号、乌盟601等。这些品种在晚疫病流行年份，受害比较轻，各地应因地制宜选用。晚疫病容易发生变异，常由于出现新的小种而使一些抗病品种丧失抗病性。因此，在推广寡基因抗病品种时要注意品种搭配，避免品种单一化，要根据当地生理小种的分布、组合和消长规律，合理利用抗病品种，进行品种轮换。多基因抗病性品种，抗病性比较稳定，马铃薯晚疫病流行年份受害比较轻。如四川武隆山区的滑石板洋芋种植长达50年，虽然长期受病害侵袭，无论在什么条件下，病情上升总是很慢，枯死面积不到50%。因此应进一步开发和利用具有保产、稳产、稳定小种组成的多基因抗病品种。马铃薯对晚疫病多基因抗病性的主要表现是潜育期长、侵染率低、病斑面积小、扩展慢、孢子形成的数量少。 2.建立无病留种地，选用无病种薯 由于带病种薯是主要的初侵染来源，严格选用无病种薯对晚疫病起着重要作用。建立无病种薯田，无病留种田应与大田相距2.5km以上，以减少病原菌传播侵染的机会，并严格实施各种防治措施。在收获时应进行严格挑选，选取表面光滑、无病斑和无损伤的薯块留种用，晾晒数日后单收、单藏等。在播种催芽和切块时还应仔细检查，彻底清除遗漏的病薯，剔除的病薯要集中处理。 3.加强栽培管理 选择高燥、沙性较强的或排水好的地块种植马铃薯。适时早播，不宜过密。合理使用氮肥，增施钾肥，保持植株健壮，增强植株的抗病力。合理灌溉，结薯后增加培土成高垄，减少薯块受侵染。及时清理中心病株或栽除病叶，及时深埋或烧毁。 4.药剂防治 做好病情测报工作，及时发现中心病株，喷药保护全田。封锁和消灭中心病株是大田防治的关键。发现中心病株后立即喷药，尤其是在中心病株的附近。防治晚疫病有效药剂有：47%加瑞农、72%克露、72%霜脲锰锌、72.2%普立克、50%敌菌灵、50%退菌特、58%甲霜灵锰锌、64%杀毒矾等。为防止抗药性的产生，建议几种药剂轮换使用，或将内吸性和保护性制剂混合使用。"	"主要引起马铃薯、番茄的晚疫病。50～60年代初，华北、东北和西北曾几次发生晚疫病大流行，使马铃薯生产损失过半；80年代后，全国范围内晚疫病几乎每年都普遍发生，薯块产量损失达到20％～80％，因晚疫病而发生的产量损失每年平均达10亿美元左右。"	"我国马铃薯主产区，病菌主要以菌丝体在病薯中越冬，也可以卵孢子越冬，但病株茎、叶上的菌丝体及孢子囊都不能在田间越冬。在双季作薯区，前一季遗留土中的病残组织和发病的自生苗也可成为当年下一季的初侵染源。孢子囊和游动孢子需要在水中才能萌发，孢子囊产生游动孢子的温度为10~13℃，孢子囊直接萌发为芽管的温度为4~30℃，多在15℃以上形成。菌丝生长温度范围13~30℃，最适温度为20~23℃。孢子囊形成的温度为7~25℃。当相对湿度达到85%以上时，病菌从气孔向外伸出孢囊梗。孢子囊需要达到95%~97%的湿度才能大量形成。孢子囊在低湿高温的条件下很快失去生活力，游动孢子寿命更短，但在土壤中的孢子囊，在夏季条件下可以维持生活力达2个月。 此病是一种典型的流行性病害，气候条件对病害的发生和流行有极为密切的关系。当条件适于发病时，病害可迅速爆发，从开始发病到田间枯死，最快不到半个月。此病在多雨年份容易流行成灾，忽冷忽暖，多露、多雾或阴雨有利于发病。病菌孢囊梗的形成要求空气相对湿度不低于85%，孢子囊的形成要求相对湿度在90%以上，而以饱和湿度为最适。因此，孢囊梗常在夜间大量形成。孢子囊在叶片上必须有水滴或水膜才能萌发侵入。孢子囊萌发的方式和速度与温度有关，温度为10~13℃时，孢子囊萌发产生游动孢子，3~5h即可侵入；温度高于15℃时则直接萌发产生芽管，速度较慢，需5~10h才能侵入。病菌侵入寄主体内后，以20~23℃时菌丝在寄主体内蔓延最快，潜育期最短；温度低，菌丝生长发育速度减缓，同时也减少孢子囊的产生量。因此，当夜间较冷凉，气温为10℃左右，重雾或有雨，促进菌丝产生大量的孢子囊；白天较温和，16~24℃，伴有高湿，则促进孢子囊迅速萌发、侵入以及菌丝的生长发育，病害极易流行。反之，如雨水少，温度高，病害发生轻。 我国大部分马铃薯种植区生长期的温度均适合于该病发生，所以病害的发生轻重主要取决于湿度。华北、西北和东北地区，马铃薯是春播秋收，7、8月份的降雨量对病害发生影响很大。雨季早、雨量多的年份，病害发生早而重。长江流域各省一年两季，前季正遇梅雨季节，病害常严重发生。地势低洼、排水不良的地块发病重，平地较垄地重。密度大或株形大可使小气候湿度增加，也利于发病。施肥与发病有关，偏施氮肥引起植株徒长，土壤瘠薄、缺氮或黏土等使植株生长衰弱，有利于病害发生。增施钾肥可减轻为害。"	"病菌的孢子囊借助气流进行传播。病薯播种后，多数病芽失去发芽力或出土前腐烂，另一些病芽尚能出土形成病苗。病菌以幼苗茎基部沿皮层向上发展，形成通向地上部的茎上条斑，病苗与病菌长期共存，温湿度适宜时，病部产生孢子囊，这种病苗成为田间的中心病株。以这种方式形成的中心病株数量较少，在大田出现率一般不超过0.1%。此外，病薯上产生的病菌，能借助土壤水分的扩散作用而被动的在土壤内移动，还可在病薯与健薯上繁殖。土壤内的病菌可通过起垄、耕地等农业操作传至地表，被风雨传到附近植株下部的叶片上侵染底部叶片。"	"真菌门"	"鞭毛菌亚门"	"卵菌纲"	"霜霉目"	"腐霉科"	"疫霉属"	"凡是种植马铃薯的地区都有发生，在我国中部和北部大部分地区发生较普遍。"		"Phytophthora infestans (Mont.) de Bary"	"IO00025"		"马铃薯疫病、马铃薯瘟"	"马铃薯晚疫病"	"Potato Blight"	"墨西哥"	"菌丝无色，无隔膜，在寄主细胞间隙生长，以纽扣状吸胞伸入寄主细胞吸取养分。在病叶上出现的白色霉状物是病原菌的孢囊梗和孢子囊，孢囊梗2~3丛从寄主的气孔伸出，纤细，无色，1~4分枝，每个分枝的顶端膨大产生孢子囊。孢子囊无色，单胞，卵圆形，大小22~23μm×16~24μm，顶部有乳状突起，基部有明显的脚胞。孢囊梗顶端形成一个孢子囊后，可继续生长，而将孢子囊推向一边，顶端又形成孢子囊，最后孢囊梗成为节状，各节基部膨大而顶端尖细。 在自然条件下，晚疫病菌在世界大多地区都不产生有性态，只有在原产地墨西哥一带，病叶中经常产生大量卵孢子。两种不同的交配型（A1，A2）在人工培养基上交配可以产生卵孢子。卵孢子圆形，直径24~56μm，卵孢子萌发产生芽管，在芽管的顶端产生孢子囊。此外，晚疫病菌还能在菌丝内部形成休眠的褐色厚垣孢子。目前，许多国家相继发现A2交配型，引起了人们的极大关注。"	"李先平等，2001. 中国马铃薯, 15(5): 290-295"
"26"					"细菌门"			"放线菌目"	"棒状杆菌科"	"棒状杆菌属"	"北京、甘肃、广西、河北、黑龙江、吉林、辽宁、内蒙古、宁夏、青海、山东、山西、陕西、上海、新疆、浙江"		"Clavibacter michiganensis sepedonicum"	"IO00026"			"马铃薯环腐病菌（密执安棒形杆菌环腐亚种）"	"Potato ring rot"	"德国"		
"27"	"1.保护无病区 加强植物检疫，做好产地检疫，保护无病区，禁止从病区引种或调种，建立无兵良种繁殖基地. 2.种植抗病品种 如陕401，陕416，中棉12号，1155，2037，69-21，78-088，86-6等。 3.生物防治 芽胞杆菌属（Bacillus）和假单胞属（Pseudomonas）细菌的某些种能有效地抑制大丽轮枝菌生长。木霉(Trichoderma spp.)菌肥，有防病增产作用。4.种子消毒。将种子用55℃温水浸15分钟，再移入冷水中冷却，或用50％多菌灵可湿性粉剂500倍液浸种1小时，然后催芽播种。5.苗床处理。每平方米用50％福美双可湿性粉剂10-15克与土充分拌匀制成药土，然后将药土制成苗钵备用。另按10公斤细土配10克50％福美双可湿性粉剂的比例拌制盖种用土。播种时做到用药土对种子下垫上盖。6.药剂防治。发病初期及时用50％多菌灵可湿性粉剂500倍液，或70％甲基托布津可湿性粉剂800倍液，或5％菌毒清水剂300倍液灌根，每平方米灌药液5公斤，7天一次，连灌2-3次。"		"1.气候 发病最适温度为25-28摄氏度，低于25摄氏度或高于30摄氏度发病缓慢。夏季多雨水，而温度略低时，有利于发病。 2.耕作栽培 棉田连作时间越长，发生越重。棉田积水，排水不良，地下水位高，田间湿度大，有利于发病。 3.棉花的种与品种 未发现有免疫的品种和品系，海岛棉抗、耐病能力较强，陆地棉次之，中棉偏向感病。偏施氮肥或施用带菌粪肥杂肥，加重发病。 4.棉花生育期 棉株现蕾期前抗病、现蕾后感病。"		"真菌门"	"半知菌亚门"	"丝孢纲"	"丛梗孢目"	"丛梗孢科"	"轮枝孢属"	"80年代末，发病遍及18个省(市、自治区)的478个县(市)，93年发病面积达270余万hm2"	"棉花黄萎病菌的寄主范围很广，寄主植物达250种以上。"	"Verticillium dahliae Kleb，Verticillium alboatrum Reinke et Berth"	"IO00027"			"棉花黄萎病菌"		"美国弗吉尼亚州"	"大丽轮枝菌培养基上形成大量黑色微菌核。微菌核近球形。分生孢子梗轮状分枝。分生孢子无色，单孢，长卵圆形"	"杜威进等，2002.植物学报, 14(5): 311-317； 石磊岩，1995. 棉花学报, 7(4): 243-245"
"28"		"棉花枯萎病菌是一种专化性较强、寄主范围较窄的病菌，除危害棉花外只能危害秋葵和决明。棉花枯萎病在幼苗期即可发病，严重时造成大量死苗，缺苗，断陇，甚至毁种。发病轻的棉株虽能存活，但棉株生育受到阻碍，导致过早落叶，蕾铃脱落，铃重下降，产量降低，品质变劣"			"真菌门"	"半知菌亚门"	"丝孢纲"	"瘤座孢目"	"瘤座胞科"	"镰孢菌属"	"1931年华北地区有发生，目前各产棉省均有该病发生和危害"		"Fusarium oxysporum f. sp. vasinfectum (Atk.) Snyder & Hansen"	"IO00028"			"棉花枯萎病菌"	"Cotton Fusarium Wilt"	"美国亚拉巴马州"		"中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. pp.487-490"
"29"		"苜蓿被侵染后表现黄化、矮缩、萎凋等症状，第二年产草量降低15％～50％，第二年后期至第三年初期病株陆续衰弱死亡，缩短了产草期。导致严重的苜蓿产量损失，大大缩短了苜蓿草地的使用寿命，影响苜蓿干草及种子出囗"			"真菌门"	"半知菌亚门"	"丝孢纲"	"丛梗孢目"	"丛梗孢科"	"轮枝孢属"	"尚未发现，但存在严重隐患"		"Verticillium albo-atrum Reinke & Rerthold"	"IO00029"			"苜蓿黄萎病菌"	"Clover　Verticillium wilt"	"瑞典"		"王春林等，2003. 加拿大、美国苜蓿黄萎病发生控制情况及我国对策. 植物检疫, 17(1): 57-59 中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. pp.105-109"
"30"	"1.在培育苗木时要严格选用无病母树作为采根植株。不用留根苗或平茬苗造林。发病严重的地方尽可能用种子育苗代替根插育苗。2.泡桐树发病初期，常是个别枝条出现轻度症状。对表现出症状的丛生枝条及时锯掉或对老病枝进行环状剥皮可减轻病害程度。3.用50℃的水浸种根10～15分钟可大大减少幼苗发病。4.泡桐发病后，除及时修除或环剥病枝外，也可用四环素等抗生素治疗。其方法如下：1～2年生幼苗或幼树的髓心松软，可用针管插入髓部，徐徐注入1～2万单位／ml的四环素液；大树可先在干基部或丛枝基部打洞，插入针管(至边材木质部)徐徐注入药剂。此法治愈率与病株发病轻重有关。一般轻病株容易见效，而重病株治愈后易于复发。注射量因树木大小而异。幼苗注射15～30ml即有明显效果。5.5～6月对传病媒介昆虫进行药剂防除。6.选用抗病品种。"	"一般苗木的发病率为5％～15％，1～3年生幼树发病率为10％～50％，4年生以上的成树发病率多在50％以上重病区可达100％"	"此病的发生与地理位置、土地条件有关，海拔较低、土壤贫瘠的地区容易发病。发病率随品种不同差异很大，用种子繁殖的幼苗未出现丛枝病。"	"该病通过无性繁殖传播；通过一些刺吸式口器害虫（如蝽蟓、叶蝉、蓟马、蚜虫）带毒传染。"							"山东，河南，河北，陕西，安徽，江苏，北京，天津等"		"mycoplsma-like organism (MLO)"	"IO00030"			"泡桐丛枝病"	"paulownia witches broom"	"日本"	"泡桐丛枝病过去认为是由病毒引起的。现巳证明是由类菌原体所致。类菌原体圆形或椭圆形；直径约为200～820nm。病树上常可分离到某些病毒。用所得病毒接种可引起花叶症状，而与丛枝症状无关。"	"中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. pp.537-540"
"31"					"真菌门"	"子囊菌亚门"	"腔菌纲"	"格孢腔菌目"	"黑星菌科"	"黑星菌属"	"黑龙江"		"Venturia inaequalis"	"IO00031"			"苹果黑星病菌"	"Apple scab, Apple black spot"	"欧洲"		
"32"					"细菌门"			"黄单胞菌目"	"黄单胞菌科"	"黄单胞杆菌属"	"全国"		"Xanthomonas oryzae pv. oryzae"	"IO00032"			"水稻白叶枯黄单胞杆菌"	"Bacterial leaf blight, Kresek disease"	"日本"		
"33"	"水稻细菌性条斑病是细菌感染的病害，发病后较为难治，所以对于细菌性条斑病，主要以预防为主，辅以药剂防治。对于已经患病的地块，严格隔离，防止传染到临近地块。(1) 加强检疫，杜绝病菌传播，选用健康无病的种子。(2) 综合防治：选用抗病品种，应用种子消毒处理技术，培育无病壮秧，加强肥水栽培管理和及时用药控制。可在插稻前将幼苗在抗生素溶液中浸泡，可尝试用荧光假单孢菌将种子细菌化。华南病害流行区防治的关键首先是选栽抗病品种；其次是药剂防治。长江流域病害适生区控制病菌源是防治的关键。一是要严格检疫；二是要对种子进行消毒。"	"主要寄主是水稻，也侵染其他野生的或栽培的禾本科单子叶植物，为害面积不断扩大，造成损失也很大。该病在潮湿的季节及施用高氮肥的地区发生严重。如果氮肥使用量少，该病害一般不会影响产量。对籼稻的危害性最大，20世纪90年代以来，已上升为华南、中南稻区上的主要细菌病害，其危害程度已超过水稻白叶枯病，减产达5%~25%。在秧苗期即可出现典型的条斑型症状。大田发病时，感病品种上的病斑纵向扩展快，长达4~6cm，病斑两端菌脓很多，呈鱼籽状，干燥后呈琥珀状附于病叶表面而不易脱落。严重时多个病斑可相互连成枯斑，以后病斑不断扩大。"	"水稻细菌性条斑病适合的发病温度为25℃~30℃，必须有2~3天的高湿或早晨有露方可引起侵染，而且不论相对湿度多大，无新病斑的出现。高温、高湿更易发病，灌客水或淹水的地块病害更重、氮肥（尤其硫酸铵、硝酸铵）施入过多过迟病害尤重。暴风雨，尤其是夏季台风的侵袭，造成叶片大量伤口，有利于病菌的侵入和传播，易引起病害流行。病菌通过气孔和伤口侵入植株叶片，通过植株间的机械接触及雨水、灌溉水传播，在温暖潮湿的适宜条件下，能迅速产生、发展成严重的病害，从病菌入侵到发病并出现菌脓只需要5~7天时间。"	"水稻细菌性条斑病主要是由带菌种子传播的，其次是腐烂的稻草及田边的杂草。在植株间，病菌只能短距离传播。种子传播是病原菌唯一的远距离传播方式，选用无病种子在防治上具有十分重要的意义。病原菌常在颖片上存在，但也能进入胚乳。病菌主要通过灌溉水、雨水接触秧苗，从气孔和伤口侵入，侵入后在气孔下繁殖扩展到薄壁组织细胞间隙并纵向扩展，形成条斑。病田收获的种子可带病菌，病田残株也带有病菌，成为夏季初侵染的主要来源。带菌种子播种后，病菌侵害幼苗的根及芽鞘，插秧时又将病秧带入本田，然后借风、雨、露水和灌水及人员走动传播，水稻分"	"细菌门"			"黄单胞菌目"	"黄单胞菌科"	"黄单胞杆菌属"	"主要分布在长江以南的广东、广西、海南、福建、江西、湖南、四川、云南、贵州、浙江、湖北等11省区。"	"主要侵染水稻，也侵染其他野生的或栽培的禾本科单子叶植物。"	"Xanthomonas oryzae Swing et al. pv. oryzlcola (Fang et al.) Swing et al."	"IO00033"	"1953年中国最早在珠江三角洲发现。"	"水稻条斑病，水稻细菌性条斑病"	"水稻条斑病菌"	"Bacterial leaf streak"	"菲律宾"	"水稻细菌性条斑病是由细菌引起的，从苗期到抽穗期都会发生，但以分蘖期到抽穗前期发病为多。发病以后，严重时影响灌浆，秕粒增多，引起减产。在海南岛地区发病较普遍。水稻细菌性条斑病的最初表现为暗绿色水渍状半透明小斑点，后扩展成褐色短条状病斑，病斑多时可连成长条形，对着阳光看，叶脉处可见透明长斑，严重时可造成全叶枯死。病原菌分离是将病叶表面消毒，切成碎片，浸在无菌水中，用其悬浮液在1%葡萄糖营养洋菜培养基或Wakimoto琼脂培养基上划线，在25℃ ~28℃下培养。病原杆状，病菌大小1.0~2.5μm?0.4~0.6μm。单胞偶尔成对，但不成链状，不形成芽孢和荚膜，具有端生单鞭毛，能游动，无孢子，无荚膜。革兰氏染色反应阴性，在NA培养基上病原菌生长快，菌落常呈淡黄色，圆形，光滑，边缘规则，圆顶状，粘稠状，好气。"	"CABI & EPPO主编，中国-欧洲联盟农业技术中心译. 欧洲检疫性有害生物. 中国农业出版社, 1997. 董金皋编. 农业植物病理学. 中国农业出版社, 2001. 全国农业技术推广服务中心编. 植物检疫对象手册. 中国农业出版社, 1998. 王寒梅，张洪钧. 水稻细菌性条斑病. 垦殖与稻作, 2002, 1: 28. 中华人民共和国动植物检疫局，农业部植物检疫实验所编. 中国进境植物检疫有害生物选编. 中国农业出版社, 1997."
"34"		"为害松属植物，可导致松树整株枯死。主要危害湿地松，在湿地松成熟的针叶上，病叶最初出现褐色小斑点，有逐渐扩大的趋势，病害自树冠基部开始发生，逐渐向上扩展。病重的松树只有顶部两三轮枝条的梢头保存部分绿叶，不久，整株枯死"			"真菌门"					"瘤状座囊菌属"	"福建，广东，浙江，江西，安徽，广西等省，发病面积呈逐年增长态势"		"Scirrhia aciola (Dearn) Siggers"	"IO00034"			"松褐斑病菌"	"Brown-spot needle blight"	"美国"		"中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. pp.502-505； 廖太林等，2004. 植物检疫, 18(2): 94-97."
"35"		"松疱锈病是指多种五针松的危险性病害。主要危害幼苗和20年生幼树枝干部位的皮部。 感病红松当年松针长度减少30%，变灰绿色无光泽，绝对干重减少27%，主梢生长量减少82%-94%，病树梢部的高生长显著降低，且逐年递减使树冠变圆形，树高仅为健康株的4/5-3/5；3-5年后干枯，严重影响松树的生长。 主要寄主为红松、五针松、赤松、黑松等，引起枝干肿大并有裂缝，从中生长黄白至桔黄色的疱蠹。"	"松疱锈病多发生于松树树干薄皮处，因而刚定植的幼苗和20年生以内的幼树及在杂草丛生的幼林内，或林缘、荒坡、沟渠旁的幼龄松树易感病。转主寄主多的林地病害也严重。 秋季，冬孢子成熟后不经休眠，即萌发产生担子和担孢子。担孢子借风传播，落到松针上萌发产生芽管，大多数由气孔、少数从韧皮部侵入松针。侵入后15d左右在松针上出现很小的退色斑点，在叶肉中产生初生菌丝并越冬。翌年初生菌丝继续生长蔓延，从针叶逐步扩展到细枝、侧枝直至树干皮部或树干基部，此过程需要3－7年，甚至更长。　　在侵染后的2－3年，枝干皮上开始出现病斑，产生裂缝，秋季渗出蜜滴为性孢子和蜜滴的混合物。次年春季在病部产生锈孢子器，内有大量的锈孢子，以后每年都可产生锈孢子器。锈孢子借风力传播到转主寄主叶上，萌发后产生芽管，由气孔侵入叶片，经15d的潜育期，产生夏孢子堆，夏孢子可重复侵染。秋季产生冬孢子柱，冬孢子柱萌发生成担子和担孢子，担孢子借风力传播到松针上再进行侵染。 外部气候条件的影响也很大，以东北地区的红松疱锈病为例：锈孢子在冷凉（10－19℃）多湿（相对湿度100%），出现雨、雾、露的条件下，萌发产生芽管，侵染转主寄主。16℃以下产生的冬孢子，在20℃下容易产生担子及担孢子，并在10－18℃条件下向松树侵染。"	"病原以担孢子和锈孢子靠风吹雨溅的方式自然传播；远距离传播主要靠感病松苗、幼树、小径材及新鲜带皮原木的调运。"	"真菌门"	"担子菌亚门"	"冬孢菌纲"	"锈菌目"	"无锈菌科"	"柱锈菌属"	"河北，山西，内蒙古，辽宁，吉林，黑龙江，安徽，山东，河南，湖北，四川，贵州，云南，陕西，宁夏，青海，甘肃，新疆"	"主要寄主为红松、五针松、赤松、黑松等"	"Cronartium ribicola J.C.Fischer ex Rabenhorst"	"IO00035"			"松疱锈病菌"	"White pine blister rust"	"瑞士和俄罗斯"		"李东军等，1997. 山东林业科技, (1): 10-13； 中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. pp.476-479"
"36"	"（1）加强检疫：针松红斑病是近年来我国新发现的病害，在黑龙江有严重发生趋势，做好进苗检疫工作是防止该病扩散的主要途径。 （2）修剪病针叶：集中深埋或烧毁，减少重要侵染来源。 （3）加强栽培管理，及时浇水，增施肥料，提高树木抗病力。 （4）药剂防治：在树木长出新叶后、病菌孢子放散前以及在孢子放散盛期，喷施75％百菌清600－1000倍液，均有一定的防治效果。"	"可危害云南松、加勒比松、湿地松、火炬松，主要危害叶片。在云南宜良县的危害面积达12hm 2 ，其中轻度危害2 hm 2 ，中度危害3hm 2 ，重度危害7hm 2 。"			"真菌门"	"半知菌亚门"	"腔孢纲"	"黑盘孢目"	"黑盘孢科"	"球腔菌属"	"内蒙古，辽宁，吉林，黑龙江，云南"	"主要危害云杉、樟子松。"	"Mycosphaerella pini E. Rostrup"	"IO00036"			"松针红斑病菌"	"Dothistroma Needle Blight"	"美洲"		"冯士明，2001. 中国森林病虫, 4: 31-33"
