"id"	"机构编号"	"规范名称"	"英文名称"	"其他名称"	"成立年份"	"机构类型"	"所在地区"	"上级单位"	"机构简介"	"英文简介"	"研究领域"	"学科分类"	"人才队伍"	"机构设置"	"科技平台"	"主要成果"	"主办期刊"	"通讯地址"	"邮政编码"	"联系电话"	"电子邮箱"	"传真"	"网址"
"96"	"211"	"北京农业信息化学会"	"Beijing Society for Information Technology in Agriculture"	"缩写BSITA"	" "	"学协会组织"	"北京市海淀区"	"北京市科学技术协会"	"北京农业"	" "	"农业信息科学"	"SI"	" "	" "	" "	" "	" "	"北京市海淀区曙光花园中路11号北京农科大厦A座311室"	"100097"	"010-51503493"	"bsita@nercita.org.cn"	"010-51503750"	" "
"97"	"13"	"中国农业科学院农业质量标准与检测技术研究所"	"Institute of Quality Standard and Testing Technology for Agro-Products of CAAS"	"中国农科院质标所;;IQSTAP-CAAS"	"2003"	"科研机构"	"北京市海淀区"	"中国农业科学院"	"中国农业"	" "	"农产品质量安全、农业标准、动物营养与饲料、饲料学、质量检测。"	" "	"现有在职"	"质标所下"	"质标所科"	"质标所以"	"中国农业"	"北京市海淀区中关村南大街12号"	"100081"	"010-82106515"	"iqstta@126.com"	" "	" "
"98"	"214"	"北京市渔政监督管理站"	" "	" "	"1988年"	"其他"	"北京市丰台区"	"北京市农业局"	"北京市渔"	" "	"水产、渔业"	"S9"	"现有编制"	"设野生动"	" "	" "	" "	"北京市丰台区西罗园二区23号楼2层"	"100077"	"010-87258915"	" "	"010-87258915"	" "
"99"	"158"	"中国农业机械化科学研究院"	"Chinese Academy of Agricultural Mechanization Sciences"	"一机部农业机械研究所;;农业机械部农业机械科学技术研究院;;缩写CAAMS"	"1956年"	"科研机构"	"北京市朝阳区"	" "	"中国农业"	"Mode"	"农业装备、畜牧业装备、农产品与食品加工装备、可再生能源装备、军工与特种装备、勘察设计与工程施工以及信息传媒7大领域"	"S2;;S817;;TS23"	"现有从业"	"院设职能"	"建有1个"	"逐步完善"	"主办期刊"	"北京市朝阳区德胜门外北沙滩一号"	"100083"	"010-64882302"	" "	" "	" "
"100"	"147"	"农业部转基因生物食用安全监督检验测试中心（北京）"	"Supervision & Testing Center for GMOs food safety,Ministry of Agriculture(Beijing)"	" "	"2005年"	"科研机构"	"北京市海淀区"	"农业部"	"农业部转"	" "	"食品工程;;食品安全"	"TS2"	"现有人员"	"。“中心"	"“中心”"	"食品安全"	" "	"北京市海淀区清华东路17号"	"100083"	"010-62737381"	"zhuanjiyin@cau.edu.cn"	" "	" "
"101"	"60"	"山东省海水养殖研究所"	"Shandong Provincial Institute of Mariculture"	" "	"1950"	"科研机构"	"山东省青岛市"	"山东省"	"山东省海"	" "	"水产养殖学、水产增殖学、海岛与生物资源调查、渔业生态学、浅海底栖生物资源与生态、水产养殖工程、海洋藻类学、海洋生态修复技术、水产动植物生理学、水产动植物发育生态学、水产动植物苗种繁育技术、水产养殖病害防治技术、水产药物及饲料添加剂、海洋食品营养与加工技术。"	"S9"	"现有在职"	"设有病害"	"山东省海"	" "	" "	"山东省青岛市贵州路47号"	"266002"	"0532-82685317"	" "	" "	" "
"102"	"135"	"中国农业大学农业经济研究所"	" "	" "	"1986年"	"科研机构"	"北京市海淀区"	"中国农业大学"	"1986"	" "	"农业经济"	"F3"	"现有专职"	" "	" "	" "	" "	"北京市海淀区清华东路17号"	"100083"	" "	" "	" "	" "
"103"	"113"	"全国畜牧总站"	" "	"中国饲料工业协会"	"2006年"	"科研机构"	"北京市朝阳区"	"农业部"	"全国畜牧"	" "	"畜牧学"	"S81;;S82;;S83;;S86;;S87;;S88;;S89"	" "	"下设15"	" "	" "	"现编辑出"	"北京市朝阳区麦子店街20号"	"100125"	"010-59194608"	" "	"010-59194611"	" "
"104"	"128"	"中国农业大学草业科学系"	"Department of Grassland Science?¤CA"	"中国农业大学草业研究所"	"1956年"	"高等院校"	"北京市海淀区"	"中国农业大学"	"中国农业"	" "	"下设4个研究方向：草类育种与种子科学，牧草生产与加工利用，草地生态与管理，草坪科学与管理。"	"S812;;S54"	"中国农业"	"组成6个"	"拥有仪器"	"十一五以"	" "	"北京市海淀区圆明园西路2号"	"100193"	"010-62733311"	" "	" "	" "
"105"	"12"	"四川农业大学林学院"	"Forestry College of Sichuan Agricultural Uniersity"	"四川通省农业学堂，四川省立农学院"	"1906"	"教学科研机构"	"四川省雅安市雨城区"	"四川农业大学"	"四川农业"	"Sich"	"学院现拥有林学博士后流动站、林学一级学科硕士、博士学位授权点（含林木遗传育种、森林培育、森林保护、森林经理、野生动植物保护与利用、园林植物学、水土保持与荒漠化防治等7个二级学科专业）、生态学一级学科硕士、博士学位授权点（含森林生态学、生态工程2个二级学科专业）、1个专业硕士点授予学科（林业硕士），其中森林培育学为国家林业局重点建设学科，四川省“重中之重”重点建设学科。"	"S7 林业"	"林学院拥"	"四川农业"	"校本部校"	"“七五”"	"无"	"四川省雅安市雨城区新康路46号"	"625014"	"0835-2882335"	"无"	"0835-2882578"	" "
"106"	"21"	"南京林业大学"	"Nanjing Forestry University"	" "	"1985年"	"高等院校"	"江苏省南京市"	"教育部"	"南京林业"	" "	"林科为特色，以资源、生态和环境类学科为优势"	" "	"南京林业"	"现设有森"	" "	"长期以来"	" "	"南京市龙蟠路159号"	"210037"	"025-85427320"	" "	" "	" "
"107"	"23"	"江苏省海洋水产研究所"	"Institute of Oceanology & Marine Fisheries, Jiangsu"	" "	"1978"	"科研机构"	"江苏省南通市"	"江苏省"	"江苏省海"	" "	"水产、渔业生态、渔业资源环境、水产养殖、海水鱼、贝类、藻类。"	"S9"	"全所在职"	"设有6个"	"直属科研"	"建所以来"	" "	"江苏省南通市教育路31号"	"226007"	"0513-85228258"	"dfsh@sfgd.com"	"0513-85228261 "	" "
"108"	"177"	"中国畜牧兽医学会"	"Chinese Association of Animal Science and Veterinary Medicine"	"缩写：CAAV"	"1936年"	"学协会组织"	"北京市朝阳区"	"中国科学技术协会"	"中国畜牧"	" "	"畜牧学;;动物医学"	"S8"	"拥有个人"	"现设有办"	" "	"中国畜牧"	"中国畜牧"	"北京市朝阳区农展馆南路9号博雅园1栋106号"	"100125"	"010-85959009"	" "	"010-85959010"	" "
"109"	"194"	"北京林大林业科技股份有限公司"	"Beijing Forestry University Forest Science Co,Ltd."	" "	"2000年"	"公司企业"	"北京市海淀区"	"北京林业大学"	"北京林大"	" "	"园林规划;;观赏园艺"	"S68;;S73"	"现有员工"	"北林科技"	"在全国建"	"由我公司"	" "	"北京市海淀区林大北路13号"	"100083"	"010-62337545"	"bfus@bfus.com.cn"	"010-62937530"	" "
"110"	"61"	"四川省农业科学院植物保护研究所"	"Institute of Biotechnology and Nuclear Technology, Sichuan Academy of Agricult ural Sciences"	"四川省农科院植物保护研究所；四川省农科院植保所;;四川省农业科学院植物保护所"	"1963"	"科研机构"	"四川省成都市锦江区"	"四川省农业科学院"	"四川省农"	"无"	"主要研究领域是：针对农业生产实际，进行主要粮、油、果、蔬、茶等作物病虫草鼠等有害生物的灾变规律、预警技术及防治措施的研究；主要粮经作物品种抗病虫性鉴定评价及抗源筛选，病原菌变异监测；新农药生物测定及使用技术研究、大田药效测评；生物农药、复配农药的研制；农产品无公害生产技术及果蔬储藏保鲜等。"	"S4 植物保护"	"现有职工"	"该所下设"	"无"	"本所自先"	"无"	"成都市锦江区静居寺路20号"	"610066"	"028-84504467"	"无"	"无"	" "
"111"	"7"	"中国水产科学研究院南海水产研究所"	"South China Sea Fisheries Research Institute (SCSFRI)?"	"水科院南海所;;南海水产研究所"	"1953"	"科研机构"	"广东省广州市"	"中国水产科学研究院"	"南海水产"	"Foun"	"渔业资源环境、渔业生态、水产养殖、水产遗传育种、水产生物技术、水产保护、水产品加工、食品科学、渔业工程、质量检测、环境监测与评价"	"S9"	"全所现有"	"下设海洋"	"1个国家"	"建所以来"	"《南方水"	"广东省广州市新港西路231号"	"510300"	"020-84451246"	" "	" "	" "
"112"	"29"	"农业部环境保护科研监测所"	"Agro-Environmental Protection Institute,Ministry of Agriculture"	" "	"1979"	"科研机构"	"天津市"	"中国农业科学院"	"农业部环"	" "	"农业资源环境、农业环境污染与修复、农业环境监测与评价、土壤污染与防治、水污染与防治、农业化学品污染与防治、农业生态、农业气象、农业环境工程、质量检测。"	" "	"现有在职"	"下设8个"	"2个农业"	" "	" "	"天津市南开区复康路31号"	"300191"	"022-23613820"	" "	"022-23613820

"	" "
"113"	"119"	"中国马业协会"	"China Horse Industry Association"	"中国马会;;英文缩写CHIA"	"2002年"	"学协会组织"	"北京市朝阳区"	"农业部"	"中国马业"	"Chin"	"家畜;;马"	"S82"	" "	"中国马业"	" "	" "	" "	" "	"100125"	"010-59195017"	" "	"010-59195018"	" "
"114"	"94"	"农业部规划设计研究院农业规划研究所"	" "	"农业部规划设计研究院农业规划所"	"1992年"	"科研机构"	"北京市朝阳区"	"农业部规划设计研究院"	"农业规划"	" "	"农业综合发展规划、农业行业规划、农业产业规划、土地利用规划、农业园区建设规划，农业投资政策研究和农业建设投资标准定额研究"	"S26;;F322"	"现有专业"	" "	" "	"多年来，"	" "	"北京市朝阳区麦子店街41号"	"100125"	"010-65910066"	" "	"010-65005388"	" "
"115"	"56"	"四川省农业科学院园艺研究所"	"Tea Research Institute,Sichuan Academy of Agricultural Sciences"	"四川省农科院园艺研究所；四川省农科院园艺所"	"1996"	"科研机构"	"四川省成都市锦江区"	"四川省农业科学院"	"四川省农"	"无"	"主要从事果树、蔬菜、花卉、瓜类新品种的引进与选育；果树早结丰产优质高效栽培技术的研究和推广；果蔬采后保鲜贮运及商品化处理技术的研究和开发；果树病毒病鉴定与脱毒苗工厂生产技术研究；蔬菜栽培技术尤其是设施栽培技术的研究和推广；瓜类抗逆高产高效栽培技术的研究和推广；生物技术的研究和开发等。"	"S68 观赏园艺（花卉和观赏树木）S43 病虫害及其防治"	"现有在职"	"全所内设"	"无"	"1996"	"无"	"成都市锦江区静居寺路20号"	"610066"	"028-84504170"	"无"	"028-84504177"	" "
"116"	"171"	"中国兽医药品监察所"	"China Institute of Veterinary Drug Control"	"农业部兽药评审中心;;Center for Veterinary Drug Evaluation,MOA"	"1952年"	"科研机构"	"北京市海淀区"	"农业部"	"中国兽医"	" "	"兽医药物学"	"S859"	"全所现有"	"全所设有"	"中监所位"	"1、检验"	"《中国兽"	"北京中关村南大街8号"	"100081"	"010-61258844"	"webmaster@ivdc.gov.cn"	" "	" "
"117"	"2"	"中国水产科学研究院淡水渔业研究中心"	"Freshwater Fisheries Research Center of Chinese Academy of Fishery Sciences"	"FFRC"	"1978"	"科研机构"	"江苏省无锡市滨湖区"	"中国水产科学研究院"	"中国水产"	"Fres"	"水产养殖基础生物学和遗传育种
渔业生物多样性保护与种质资源保存
渔业水域生态环境监测与保护
渔业资源调查评估与管理
渔业重大病害灾变预警与控制
水产养殖容量和健康养殖
水产养殖对象营养学
渔业经济与信息技术"	"S9"	"中心现有"	"淡水渔业"	"中心拥有"	"目前，承"	"由中国水"	"江苏省无锡市滨湖区山水东路9号"	"214081"	"0510-85569021"	"help@ffrc.cn"	"0510-85569021"	" "
"118"	"6"	"北京绿东方农业技术研究所"	" "	" "	" "	"公司企业"	"北京市海淀区"	" "	"专门从事"	" "	"从事优良蔬菜品种的开发、销售"	"S63"	" "	" "	" "	" "	" "	"北京市海淀区清河四街南口1号"	"100085"	"010-62932045,62731595"	"liudongfang@sohu.com"	"010-62932045"	" "
"119"	"10"	"沈阳农业大学"	"Shenyang Agricultural University"	"SYAU"	"1910"	"高等院校"	"辽宁省沈阳市"	"教育部"	"沈阳农业"	" "	" "	" "	"1990"	"截至20"	"国家级实"	"2000"	"《沈阳农"	"辽宁省沈阳市沈河区东陵路120号"	"100866"	"(024)88487106"	" "	" "	" "
"120"	"19"	"中国科学院亚热带农业生态研究所"	"Institute of Subtropical Agriculture (ISA)"	" "	"1978"	"科研机构"	"湖南省长沙市"	"中国科学院"	"中国科学"	"The "	"亚热带区域农业可持续发展和生态环境建设"	" "	"研究所2"	"区域农业"	" "	" "	" "	"湖南省长沙市芙蓉区远大二路644号"	"410125"	"86-731-84615204"	"zkwen@isa.ac.cn"	" "	" "
"121"	"72"	"北京市奶业协会"	" "	" "	" "	"学协会组织"	"北京市西城区"	"北京市农村工作委员会"	"北京市奶"	" "	"奶牛养殖;;乳制品加工"	"S82;;TS2"	" "	" "	" "	" "	" "	"北京市西城区鼓楼西大街75号"	"100009"	"010-64015912"	"bjnyxh@sohu.com"	"010-64019112"	" "
"122"	"86"	"国家粮食局科学研究院"	"Academy of State Administration of Grain"	"粮食部科学研究所;;商业部科学研究院;;国内贸易部科学研究院;;国家粮食储备局科学研究院;;英文缩写ASAG"	"1957年"	"科研机构"	"北京市海淀区"	"国家粮食局"	"我院成立"	"Acad"	"主要研究领域包括：粮油储藏与品质保鲜、粮油资源加工转化及综合利用、粮油食品营养与安全控制、粮油标准及检测、粮食物流工程、粮食技术经济与产业发展战略等。"	"TS2"	" "	"我院现有"	"拥有生物"	"近十年来"	"主办《粮"	"北京市西区百万庄大街11号"	"100037"	"010-58523618"	" "	" "	" "
"123"	"16"	"湖南师范大学生命科学学院"	"College of Life Science,Hunan Normal University"	" "	"1993"	"高等院校"	"湖南省长沙市"	" "	"湖南师范"	" "	"水产养殖、水产遗传育种、微生物学。"	"S9"	"在职教职"	"下设5个"	"1个国家"	"学院承担"	" "	"湖南省长沙市麓山路36号"	"410081"	"0731-88872525"	" "	" "	" "
"124"	"12"	"中国海洋大学"	"Ocean University of China"	"海大"	"1924"	"高等院校"	"山东省青岛市"	"教育部"	"中国海洋"	"Unde"	"水生生物学、水产养殖、海洋生态、海洋工程、海洋环境保护、水产动物营养与饲料、水产遗传育种、水产品加工、功能食品。"	"S9"	"目前，有"	"设有17"	"学校共有"	"学校科技"	"《中国海"	"山东省青岛市崂山区松岭路238号"	"266100"	"0532-66782730"	"president@mail.ouc.edu.cn"	" "	" "
"125"	"40"	"中国农业科学院甘薯研究所"	" "	" "	"1959"	"科研机构"	"江苏省"	"中国农业科学院"	"中国农业"	" "	"农学、薯类作物、甘薯、植物种质资源、植物遗传育种、植物生物技术、植物生理生态与栽培、植物保护、农产品加工、薯类制品、质量检测、小麦、水稻、棉花、蔬菜、油料作物。"	" "	"现有在职"	"下设11"	"1个国家"	" "	" "	"江苏省徐州市东郊东贺村"	"221121"	"0516-82189208 "	" "	" "	" "
"126"	"26"	"浙江省淡水水产研究所"	"Zhejiang Institute of Freshwater Fisheries"	" "	"1952"	"科研机构"	"浙江省湖州市"	"浙江省海洋与渔业局"	"浙江省淡"	" "	"水产、水产养殖、水产保护、动物疫病防控、淡水鱼、虾。"	"S9"	"现有职工"	"设有3个"	"1个浙江"	"建所以来"	" "	"浙江省湖州市杭长桥南路999号"	"313001"	"0572-2045133"	"zjwy-lw@163.com"	" "	" "
"127"	"7"	"北京市农林科学院农业综合发展研究所"	" "	" "	"1983年"	"科研机构"	"北京市海淀区"	"北京市农林科学院"	"主要从事"	" "	"农林经济管理;;技术经济学;;农村经济学;;区域经济学;;农业资源利用;;山区环境与流域经济;;资源与信息化;;林果资源利用"	"F3;;"	"全所职工"	"依据事业"	"目前，已"	"“十一五"	" "	"北京市海淀区曙光花园中路9号"	"100097"	"010-51503310"	" "	"010-88430926"	" "
"128"	"36"	"辽宁省淡水水产科学研究院"	"Freshwater Fisheries Research Academy of Liaoning Province"	"辽宁省淡水水产研究所"	"1958"	"科研机构"	"辽宁省辽阳市"	"辽宁省海洋与渔业厅"	"辽宁省淡"	" "	"水产、淡水鱼、水产养殖、渔业资源环境、动物疫病防控。"	"S9"	"现有职工"	"设有3个"	"拥有原子"	"承担完成"	" "	"辽宁省辽阳市卫国路103号"	"111000"	"0419-2303607"	"lndsy@lndsy.org "	"0419-2303607"	" "
"129"	"20"	"广东海洋大学水产学院"	"Fisheries College of Guangdong Ocean University"	" "	"1935"	"高等院校"	"广东省湛江市"	"广东省"	"水产学院"	"Guan"	"水产、水产养殖、水产保护、渔业资源环境。"	"S9"	"现有教职"	"下设广东"	"1个广东"	"近4年来"	" "	"广东省湛江市湖光岩东"	"524088"	"0759-2383236"	"scxy@gdou.edu.cn"	"0759-2382459；2383547"	" "
"130"	"47"	"北京市丰台区动物卫生监督所"	" "	" "	" "	"其他"	"北京市丰台区"	"丰台区农委"	"承担动物"	" "	"畜牧学;;动物医学"	"S8"	" "	" "	" "	" "	" "	"北京市丰台区程庄北里18号"	"100166"	"010-63892496"	" "	" "	" "
"131"	"125"	"中国农业出版社"	"China Agriculture Press"	"农村读物出版社"	"1958年"	"其他"	"北京市朝阳区"	"农业部"	"中国农业"	" "	"农业"	"S"	"中国农业"	"下设综合"	" "	"中国农业"	" "	"北京市朝阳区麦子店街18号楼"	"100125"	"010-65083260;;59191580;;59194918"	"service@ccabook.com"	" "	" "
"132"	"42"	"香港中文大学"	"the Chinese University of Hongkong"	"中大"	"1963年"	"高等院校"	"香港特别行政区 新界 沙田"	"香港政府"	"香港中文"	"Foun"	"中国研究
 
生物医学科学
 
信息科学
 
经济与金融
 
地球信息与地球科学"	" "	" "	"下设 文"	"华南肿瘤"	" "	"《二十一"	"香港特别行政区 新界 沙田"	"999077"	"(852) 3943 7000"	" "	" "	" "
"133"	"82"	"北京园林学会"	" "	" "	"1964年"	"学协会组织"	"北京市西城区"	"北京市科学技术协会"	"北京园林"	" "	"北京园林学会的学科领域为城市园林绿化及风景名胜区、城市绿地系统规划及建设、大地景观规划。主要包括园林历史和艺术理论、园林规划及设计、园林工程、园林植物、风景名胜区级自然保护区规划等。"	"S688;;S73"	" "	" "	" "	" "	" "	"北京市西城区北三环裕民中路8号院1号楼233"	"100044"	"010-62073575"	"bjylxh@yahoo.com.cn"	" "	" "
"134"	"13"	"上海海洋大学"	"Shanghai Ocean University"	"上海水产大学"	"1912"	"高等院校"	"上海市"	"上海市"	"上海海洋"	"Shan"	"水产、食品科学、水生生物学、水产动物营养和饲料、渔业资源环境、水产遗传育种、水产养殖、水产保护、水产品加工、功能食品。"	"S9"	"现有教职"	"现有12"	"3个省部"	"现有1个"	"《水产学"	"上海市临港新城沪城环路999号"	"201306"	"021-61900296"	"xzxx@shou.edu.cn"	"021-61900000    "	" "
"135"	"36"	"中国农业科学院农业遗产研究室"	"INSTITUTION OF CHINESE AGRICULTURAL CIVILIZATION
"	" "	"1955"	"科研机构"	"江苏省"	"中国农业科学院"	"中国农业"	"The "	"农业经济、农业史、农村社会史。"	" "	"现有在职"	"下设9个"	" "	" "	" "	"江苏省南京卫岗1号"	"210095"	"025-84396772"	"icac@njau.edu.cn"	"025-84396771
"	" "
"136"	"2"	"北京市农林科学院林业果树研究所"	" "	" "	"1958年"	"科研机构"	"北京市海淀区"	"北京市农林科学院"	"北京市农"	" "	"特色林果种质资源与创新;;育种;;果树生理与栽培;;果品质量安全;;果品储藏加工"	"S66"	"研究所现"	"研究所下"	"建有农业"	"获得国家"	" "	"北京市海淀区香山瑞王坟甲 12 号"	"100093"	"010-62591506"	" "	"010-62598744"	" "
"137"	"27"	"中国农业科学院草原研究所"	"Institute of Grassland Research of caas"	" "	"1963"	"科研机构"	"内蒙古呼和浩特市"	"中国农业科学院"	"中国农业"	" "	"草业科学、植物种质资源、植物遗传育种、草地保护、草地资源、草地生态、农业机械、农业遥感。"	" "	"现有在职"	"下设5个"	"1个农业"	" "	" "	"内蒙古呼和浩特市赛罕区乌兰察布东街120号"	"010010"	"0471-4933329"	" "	" "	" "
"138"	"66"	"北京市水科学技术研究院"	"Beijing Water Science and Technology Institute"	"北京市水利科学研究所"	"1963年"	"科研机构"	"北京市海淀区"	"北京市水务局"	"北京市水"	"Beij"	"水资源、水环境、生态、防灾减灾、工程质量与环境监测、水务发展战略研究等涉水领域。"	" "	"单位事业"	"我院设有"	"　　拥有"	"自196"	" "	"北京海淀区车公庄西路21号"	"100048"	"010-68415753"	"bwsti@bwsti.com"	"010-88423808"	" "
"139"	"185"	"中国水土保持学会"	"Chinese Society of Soil and Water Conservation"	"缩写为CSSWC"	"1985年"	"学协会组织"	"北京市海淀区"	"水利部、农业部、国家林业局、中国科学技术协会"	"中国水土"	" "	"水土保持"	"S15"	"现有专职"	"中国水土"	" "	"学会成立"	"中国水土"	"北京市海淀区清华东路35号"	"100083"	"010-62338045"	"zgsbxh@263.net"	"010-62338045"	" "
"140"	"213"	"北京市农业机械监理总站"	" "	" "	" "	"其他"	"北京市海淀区"	"北京市农业局"	"北京市农"	" "	"农业机械及农具"	"S22"	"北京市农"	"总站下设"	" "	" "	" "	"北京市海淀区复兴路2号"	"100038"	"010-63312505"	" "	" "	" "
"141"	"27"	"资阳市农业局"	"Ziyang Agricultural Bureau"	"四川资阳农业局"	"1999"	"行政机关"	"四川省资阳市"	"资阳市人民政府"	"资阳市农"	"无"	"制定全市农业科研、农技推广的规划、计划和政策并组织实施，会同有关部门组织农业科技创新体系、农业产业技术体系建设。组织引进农业先进技术，组织实施农业领域的高新技术和应用技术研究、农业科技成果转化和技术推广，负责农业科技成果管理，指导农技推广体系改革与建设，负责农业植物新品种保护、农业转基因生物的安全监督管理。"	"S3农学(农艺学)
S035农业推广学"	"在职人数"	"内设机构"	"无"	"荣获资阳"	"无"	"四川省资阳市雁江区广场路9号"	"641300"	"028-26110050
028-26110893"	"snyj@ziyang.gov.cn"	"无"	" "
"142"	"195"	"中国花卉协会"	"CHINA FLOWER ASSOCIATION"	"缩写CFA"	"1984年"	"学协会组织"	"北京市东城区"	"国家林业局"	"中国花卉"	" "	"观赏园艺"	"S68"	" "	"协会的最"	" "	" "	" "	"北京市东城区和平里东街 18 号"	"100714"	"010-84239367"	"WEBMASTER@FORESTRY.GOV.CN"	" "	" "
"143"	"18"	"江西省农业科学院"	"Jiangxi Academy of Agricultural Science"	" "	"1934年"	"科研机构"	"江西省南昌市"	"江西省政府"	"?江西省"	" "	"有水稻、作物、植保、土肥、园艺、畜牧兽医、农业经济、农业信息、蔬菜花卉"	" "	"在职职工"	"水稻、作"	"有水稻国"	"改革开放"	" "	"近郊莲塘北大道1738号"	" "	"(0791)87090310"	":jxaas@126.com"	" "	" "
"144"	"22"	"天津市水产研究所"	"Tianjin Fisheries Research Institute"	"天津市水产所"	"1960"	"科研机构"	"天津市"	"天津市"	"天津市水"	" "	"水产、水产养殖、水产保护、渔业生态、渔业经济。"	"S9"	"现有在职"	"下设4个"	"天津市水"	" "	"《天津水"	"天津市河西区解放南路442号"	"300221"	"022-88252084"	" "	"022-88252084"	" "
"145"	"40"	"四川省自然资源科学研究院"	"Sichuan Province Natural Resource Science Academy"	"无"	"1978"	"科研机构"	"四川省成都市武侯区"	"科技部"	"四川省自"	"无"	"自然资源综合考察及评价和规划、区域自然资源开发与保护、资源的持续利用、生态环境系统优化、资源信息数据集成及共享等领域"	"SI1农业信息学，SI3农业信息管理，S6园艺"	"四川省自"	"四川省自"	"四川省自"	"建院30"	"主办了综"	"四川省成都市一环路南二段24号"	"610015"	"028-68107810，028-68107802"	"无"	"028-68107810"	" "
"146"	"124"	"中国农学会"	" "	"中华农学会"	"1917年"	"学协会组织"	"北京市朝阳区"	"业务主管机关为中国科协，学会办事机构设在农业部（使用事业编制）"	"中国农学"	" "	"农业科学"	"S"	"　　职工"	"下设办公"	"　　"	"新中国成"	"现主办期"	"北京市朝阳区麦子店街22号"	"100125"	"010-59194203、59194202"	" "	"010-59194204"	" "
"147"	"191"	"北京林业大学园林学院"	"School of Landscape Architecture"	" "	" "	"高等院校"	"北京市海淀区"	"北京林业大学"	"北京林业"	" "	"园林;;观赏园艺"	"S68;;S73"	"目前学院"	"学院设有"	"拥有园林"	"2000"	" "	"北京市海淀区清华东路35号"	"100083"	" "	" "	" "	" "
"148"	"77"	"北京土壤学会"	" "	" "	"1957年"	"学协会组织"	"北京市海淀区"	"北京市科学技术协会"	"北京土壤"	" "	"土壤学;;肥料学"	"S14;;S15"	"目前共有"	"学会下设"	" "	"本学会自"	" "	"北京市海淀区曙光中路9号"	"100097"	"010-51503583"	" "	" "	" "
"149"	"197"	"中国包装和食品机械总公司"	" "	"缩写PFMC"	"1982年"	"公司企业"	"北京市朝阳区"	" "	"中国包装"	" "	"食品加工机械和包装机械、农产品加工装备"	"TS23;;TS26"	" "	"公司下设"	" "	"2005"	" "	"北京市朝阳区德胜门外北沙滩一号82号信箱"	"100083"	"010-64883376"	"cpfmc@263.net"	"010-64862462"	" "
"150"	"32"	"怀柔区种植业服务中心"	" "	" "	" "	"科研机构"	"北京市怀柔区"	"北京市怀柔区人民政府"	"怀柔区种"	" "	"种植业"	"S3"	" "	"中心下设"	" "	" "	" "	"北京市怀柔区富乐小区北里26号"	"101400"	"010-69643746"	" "	" "	" "
"151"	"69"	"北京市乡村景观规划设计工程技术研究中心"	" "	" "	" "	"科研机构"	"北京市昌平区"	"北京农学院"	"北京市乡"	" "	"主要从事乡村景观规划与景观工程、乡村游憩规划设计、乡村景观生态评价。"	"S2"	"北京市乡"	" "	"在乡村景"	"中心主持"	" "	"北京市昌平区回龙观镇北农路7号"	"102206"	"010-80799165"	"BUAdesign@126.com"	" "	" "
"152"	"134"	"中国农业大学农学与生物技术学院"	"College of Agriculture and Biotechnology"	" "	"1905年"	"高等院校"	"北京市海淀区"	"中国农业大学"	"农学与生"	" "	"作物栽培学与耕作学、作物遗传育种学、植物病理学、农业昆虫与害虫防治学、果树学、蔬菜学、植物检疫与农业生态健康学、园林植物与观赏园艺、种子科学、作物生理学等"	"S"	"截至20"	"学院现设"	"现有国家"	"“十一五"	" "	"北京市海淀区圆明园西路2号"	"100193"	"010-62733399"	" "	"010-62733404"	" "
"153"	"29"	"泸州市经济作物站"	"Luzhou Crops Station"	"泸州市经作站"	"2001"	"行政机关"	"四川省泸州市"	"泸州市农业局"	"泸州市经"	"无"	"负责实施全市经济作物生产发展战略、规划、计划；负责实施经济作物重大项目；负责经济作物生产技术措施的制定并实施；负责经济作物生产布局、结构调整工作；负责经济作物新品种选育、引进、试验、示范和推广；负责经济作物生产技术培训、技术咨询和技术指导；指导经济作物专业协会和开展产销结合等工作；负责拟定绿色食品发展规划、计划和重要项目的立项并组织实施，指导绿色食品基地建设、质量监督和认证工作。"	"S56经济作物"	"在职员工"	"泸州市绿"	"无"	"无"	"无"	"泸州市江阳区江阳西路四号"	"646000"	"0830-3190478
0830-3104559"	"无"	"无"	" "
"154"	"27"	"上海市水产研究所"	"Shanghai Fishery Research Institute"	" "	"1978"	"科研机构"	"上海市"	"上海市"	"上海市水"	" "	"水产、水产养殖、水产动物营养与饲料、动物疫病防控、水产品加工、农产品质量安全。"	"S9"	"专业技术"	"设有3个"	"中华绒螯"	"自所（站"	"《 水产"	"上海市佳木斯路265号"	"200433"	"021-65483778"	" "	" "	" "
"155"	"53"	"北京市丰台区农业技术推广站"	" "	" "	" "	"科研机构"	"北京市丰台区"	"丰台区农委"	"参与制定"	" "	"农业技术推广"	"S035"	" "	" "	" "	" "	" "	"北京市丰台区巴庄子124号"	"100070"	"010-83791021"	" "	" "	" "
"156"	"65"	"北京市水产技术推广站"	" "	" "	"1980年"	"科研机构"	"北京市朝阳区"	"北京市农业局"	"北京市水"	" "	"水产、渔业"	"S9"	"现有职工"	"内设推广"	"北京市水"	"20多年"	" "	"北京市朝阳区潘家园东路华威西里甲48号南楼"	"100021"	"010-87702636"	" "	"010-87781893"	" "
"157"	"43"	"北京市房山区动物疫病预防控制中心"	" "	"房山区兽医总站"	" "	"科研机构"	"北京市房山区"	"房山区农业局"	"主要职责"	" "	"兽医卫生及防疫"	"S851"	" "	" "	" "	" "	" "	"北京市房山区兴房大街65号"	"102400"	"010-89331702"	" "	" "	" "
