"id"	"发生与危害"	"地理分布"	"纲"	"目"	"科"	"属"	"中文名"	"综合治理策略"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"别名"	"图片"
"24"	"一年生或二年生草本。种子可以在秋季发芽，幼苗越冬；种子也可以在春季萌发，长出幼苗。二年生者在5月份开花，一年生者于6月份以后开花；结果期6～7月份。发生于路旁、沟边、渠边、农田等。生长在稻田、藕田等农田，有一定危害。"	"河南及长江以南各省区均有发生。"	"双子叶植物纲"	"报春花目"	"报春花科"	"珍珠菜属"	"泽星宿菜"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   下胚轴较短。子叶阔卵形，有长柄。初生叶阔卵形，先端锐尖，叶基阔楔形，有1条明显中脉，有长柄。后生叶椭圆形，先端钝圆，叶基圆形，全缘，有1条明显中脉。全株光滑无毛。 成株    株高15～30厘米，有时基部带有紫红色，全株无毛。茎生叶互生，很少对生，倒卵形，倒披针形或条形，基部渐狭，下延至叶柄成狭翅，全缘或稍成波状。 花和子实   总状花序顶生，初时宽圆锥状，后渐伸长。花冠白色，裂片椭圆状倒卵形，约与花冠筒等长；雄蕊极短，着生在花冠上半部；花柱与雄蕊等长。蒴果圆球形。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Lysimachia candida Lindl"	"pw00024"	"泽珍珠菜"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/泽星宿菜.jpg"
"25"	"多年生水生草本。花果期5～10月份。以地下茎及种子繁殖。生于池塘、湖泊和静水中。为常见的水生杂草，常大量发生，危害水生作物较重。"	"全国各地均有发生"	"双子叶植物纲"	"龙胆目"	"龙胆科"	"荇菜属"	"荇菜"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶下胚轴发达，粗壮，绿色。子叶长圆形，先端尖，有柄。初生叶心脏形，先端圆钝，叶基心形，无明显叶脉，有长柄。 成株    茎圆柱形，多分枝，沉水中，节上具不定根，地下茎生于水底泥中，匍匐状。叶飘浮，卵状圆形，近革质，基部心形，全缘或微波状，上面亮绿色，下面带紫色。 花和子实   花序伞形簇生于叶腋；花黄色，直径达1．8厘米，花冠5深裂。蒴果长椭圆形；种子多数，宽卵圆形，稍扁，边缘有纤毛，褐色。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Nymphoides   peltatum  (Gmel．)O．Kuntze—Limnanthemum  peltatum Gmel"	"pw00025"	"莲叶荇菜、蕃菜、水葵"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/荇菜.jpg"
"26"	"一年生草本。花果期6～10月份。生于低湿处。"	"浙江、江苏、安徽、江西、福建、台湾、广东、海南岛、广西、云南、四川、贵州、湖南、湖北、河南等地区均有发生。"	"双子叶植物纲"	"玄参目"	"玄参科"	"母草属"	"母草"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗    光滑无毛，茎及叶子的基部呈淡紫红色。上胚轴及下胚轴均不发达，子叶阔卵状三角形，先端尖，基柄渐狭至柄。初生叶对生，三角状阔卵形，全缘，有3条较明显的叶脉，后生叶卵形，叶缘有疏锯齿，有短柄。 成株   根须状，高10～20厘米，茎多分枝，铺散，枝弯曲向上。叶柄长l～8毫米，叶片三角状卵形或宽卵形，顶端钝或短尖，基部宽楔形至平截形，边缘有三角状锯齿。 花和子实   花单生于叶腋或在茎枝之顶成极短的总状花序，花梗细弱，花萼坛状，膜质，有不明显的5棱，裂片齿状，中肋明显，果期不规则深裂。花冠紫色，管略长于萼，上唇直立，卵形，钝头。蒴果椭圆形，种子有纵横排列整齐的瘤突。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Lindernia crustacea(L．)F．Muell"	"pw00026"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/母草.jpg"
"27"	"一年生草本。花期7～10月份，果期9～11月份。种子繁殖。喜生潮湿、积水处。稻田和路边常见杂草，发生量较大，危害较重。"	"全国各地均有发生"	"双子叶植物纲"	"玄参目"	"玄参科"	"母草属"	"陌上菜"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶卵状披针形，先端渐尖，叶基楔形，有l条明显中脉，有短柄。下胚轴及上胚轴均不发达。初生叶对生，单叶，卵形，先端锐尖，全缘，中脉1条，有叶柄。后生叶椭圆形，先端尖，叶缘微波状。 成株   直立无毛草本，根细密成丛，茎方，基部分支，高5～20厘米，无毛。叶无柄，叶片椭圆形至长圆形，顶端钝至圆头，全缘或有不明显的钝齿，两面无毛，自叶基发出3—5条并行脉。 花和子实   花单生叶腋，花梗纤细，比叶长，无毛。萼仅基部合着。花冠粉红色或紫色，向上渐扩大，上唇短，直立，下唇大于上唇，较开展。蒴果卵圆形，初时绿色，先端尖，种子极多，有格纹。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Lindernia procumbens(Krock．)Philcox"	"pw00027"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/陌上菜.jpg"
"28"	"多年生小草本。果期2—9月份。匍茎和种子繁殖。生田边、路旁湿地，为一般性杂草。"	"江苏、浙江、安徽、江西、湖南、台湾等地区均有发生"	"双子叶植物纲"	"玄参目"	"玄参科"	"通泉属"	"匍茎通泉草"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶阔卵形，先端急尖，叶基近圆形，有长柄。下胚轴较短，上胚轴明显，淡红色，无毛。初生叶对生，卵圆形，先端急尖，叶基圆形，有长柄。后生叶为阔椭圆形或卵形，先端钝尖，叶缘具疏锯齿。 成株   主根短缩，须根多数，纤维状丛生。茎有直立茎和匍匐茎，直立茎倾斜上升，高10～15厘米，匍匐茎花期发出，长15～20厘米。基生叶常多数成莲座状，倒卵状匙形，边缘具粗锯齿。茎生叶在直立茎上的多互生，在匍匐茎上的多对生，有短柄。 花和子实   总状花序顶生，花稀疏，下部的花梗长达2厘米，越上越短。花萼钟状漏斗形。花冠紫色或白色而有紫斑，上有棕色斑纹，并被短白毛，花冠易脱落。蒴果卵形至倒卵形或球形微扁，绿色，稍伸出萼管，开裂，种子细小而多数。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Mazus  miguelii Makino"	"pw00028"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/匍茎通泉草.jpg"
"29"	"一年生草本。种子繁殖。喜潮湿环境。为稻田边常见杂草，旱作物地也有生长。"	"广东、福建、江西、安徽、江苏、浙江、湖南、湖北、四川、贵州、云南等地区均有发生。"	"双子叶植物纲"	"玄参目"	"玄参科"	"母草"	"泥花草"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗  子叶小，长卵形，先端钝，基部渐狭至柄。初生叶卵形，全缘。上胚轴与下胚轴均不发达。 成株   株高10～20厘米。茎匍匐生长，少直立，光滑无毛。叶片长圆形至长圆状披针形，先端短尖或钝，基部渐狭，边缘有疏钝齿。 花和子实   单生叶腋或形成为一顶生的总状花序；花梗长6～12毫米，稍粗壮；花萼绿色，裂片深几达基部。花冠淡紫色，长约8毫米。蒴果条状披针形，先端渐尖，长1～1．5厘米。种子有瘤状突起。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Lindernia antipoda(L．)Alston"	"pw00029"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/泥花草.jpg"
"30"	"多年生草本。花期6～8月份，果期7～9月份。适生于水边湿地及浅水沟中，为水稻田中及蔬菜地常见杂草，危害不重。"	"长江以北及西北、西南各省区均有发生，江苏、浙江、江西也有发现。"	"双子叶植物纲"	"玄参目"	"玄参科"	"婆婆纳属"	"北水苦荬"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株   株高30～60厘米，全体无毛，稀花序轴、花梗、花萼、蒴果有疏腺毛。茎梢肉质，基部匍匐状。叶对生，叶片卵状长圆形至条状披针形，长4～7厘米，梢钝头，基部圆，无柄，上部的叶半抱茎，全缘或有疏而小的锯齿。 花和子实    总状花序腋生，长5～12厘米，比叶长，多花；花梗弯曲上升，与花序轴成锐角；苞片与花梗近等长；花萼4深裂，裂片卵状披针形；花冠幅状，淡蓝紫色或白色。蒴果卵圆形或近球形，长与宽近相等；种子多数，长约0．3毫米，扁，椭圆形至卵形，表面淡黄色至黄褐色。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Veronica anagallis-aquatica L．"	"pw00030"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/北水苦荬.jpg"
"31"	"一年生沉水草本。花期6～11月份，果期7～12月份。种子繁殖和匍匐枝营养繁殖。生于湖泊、池塘和稻田中。为稻田和水生作物一般性杂草，发生量小，危害轻。"	"安徽、江苏、浙江、江西、湖北、湖南、福建、广东、广西、海南、台湾、四川、贵州、云南和西藏等地区均有发生。"	"双子叶植物纲"	"玄參目"	"狸藻科"	"狸藻属"	"黄花狸藻"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株   匍匐枝圆柱形，长15～50厘米，粗0．5～2毫米，有分枝。叶器互生，3～4回羽状深裂，达基部，末回裂片毛发状，有细刚毛。 花和子实  总状花序直立，花序梗长6～14厘米，圆柱形，无鳞片，基部着生苞片，苞片基部非耳状。花梗丝状，于花期直立，结果时下弯。花萼2裂达基部，果期增大并向两侧开展。花冠黄色，上唇全缘，下唇较大。蒴果球形，顶端具喙状宿存花柱，周裂。种子椭圆形或倒卵形，压扁，角上具极狭的棱翅，淡褐色，无毛。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Utricularia attrea Lour．-Utricularia flexuosa  Vahl"	"pw00031"	"狸藻、黄花挖耳草"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/黄花狸藻.jpg"
"32"	"多年生矮小草本。果期5～10月份。种子及茎段繁殖。喜潮湿环境，适宜沙质土壤上生长。生于田埂、草地、沟边和溪边湿地。水稻田常见杂草，潮湿的旱地发生量也较大，危害较重。"	"长江中、下游及其以南各省均有发生"	"双子叶植物纲"	"桔梗目"	"桔梗科"	"半边莲属"	"半边莲"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株   根细圆柱形，淡黄白色。茎细弱，主茎横卧，节上生根，分枝直立，高6～15厘米，光滑无毛，有白色乳汁。叶无柄或近无柄，狭披针形或线形，全缘或顶部有疏齿。 花和子实   通常花1朵，生分枝的上部叶腋。花梗细。花萼筒倒长锥状，基部渐细而与花梗无明显区分，裂片披针形，约与萼筒等长。花冠粉红色或白色，花冠基部呈管状，裂片全部平展于下方，在一个平面上，两侧裂片深裂至基部。蒴果倒圆锥形，顶端2瓣裂。种子椭圆形，稍扁压。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Lobelia chinensis Lour"	"pw00032"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/半边莲.jpg"
"33"	"春季萌发，花果期8～10月份。种子繁殖。生于路边、荒地、山坡及水沟边；常发生在稻田边，是常见杂草。"	"全国各地均有发生"	"双子叶植物纲"	"菊目"	"菊科"	"鬼针草属"	"鬼针草"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶长圆状披针形，长约3厘米，先端锐尖，基部渐狭至叶柄，光滑无毛。初生叶2片，2回羽状深裂，叶缘具不整齐锯齿，并具睫毛，主脉被疏短毛；具柄。上胚轴与下胚轴均发达，紫红色。 成株   株高50～100厘米，茎直立，有分枝。中部和下部叶对生，上部叶互生，2回羽状深裂，长5～14厘米，裂片先端渐尖，边缘具不规则粗齿，两面被疏短毛；叶柄长2～6厘米。 花和子实   头状花序直径5～10毫米，花序梗长2～10厘米；舌状花黄色，1～3朵，不育；管状花黄色，能育。瘦果，线形，略扁，有短毛；顶端冠毛芒状并具倒刺毛。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Bidens   bipinnata  L．"	"pw00033"	"婆婆针"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/鬼针草.jpg"
"34"	"一年生草本。花果期7～10月份。种子繁殖。适应性强，喜于湿润的土壤上生长。在低洼的水湿处及稻田的田埂上生长更多。"	"辽宁、吉林、河北、浙江和江苏等地区均有发生。"	"双子叶植物纲"	"菊目"	"菊科"	"鬼针草属"	"大狼把草"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株   直立，略呈四棱形，上部多分枝，常带紫色。幼时节及节间分别被长柔毛及短柔毛。叶对生，奇数羽状复叶。下部叶柄长达8厘米，至茎上部渐短。茎中、下部复叶基部的小叶又常3裂，小叶披针形至长圆状披针形，基部楔形或偏斜，顶端锐尖。 花和子实   头状花序单生于茎顶及枝端。总苞半球形。外层总苞片7～11枚，倒披针状线形或长圆状线形。花序全为两性管状花组成。花柱2裂，裂片顶端有三角形着生细硬毛的附器。瘦果楔形，扁平，被糙伏毛。顶端芒刺2枚，上有倒刺毛。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Bidens  frondosa  L．"	"pw00034"	"接力草、外国脱力草"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/大狼把草.jpg"
"35"	"一年生草本。4～6月份出苗，花果期8～10月份。种子繁殖。适生于低湿地，生长于水边或潮湿的土壤中。"	"我国各地均有发生"	"双子叶植物纲"	"菊目"	"菊科"	"鬼针草属"	"狼把草"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶长圆状线形，先端钝圆，基部楔形，有短柄。初生叶长椭圆形，先端尖，基部渐狭成叶柄，叶缘常有1～2个锯齿。上、下胚轴均较发达，呈浅紫色。 成株   株高30～150厘米。茎直立，无毛，常带紫色，有分枝。叶对生，中部叶通常羽状3～5裂，顶端裂片较大，椭圆形或长圆状披针形，边缘有锯齿。上部叶3深裂或不裂。 花和子实   头状花序，顶生或腋生。总苞片多数，外层倒披针形，叶状。花黄色，全为管状花，两性，花冠顶端4裂。瘦果扁平、倒卵状楔形，长6～11毫米，两侧边缘各有一列倒刺毛。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Bidens  tripartita  L．"	"pw00035"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/狼把草.jpg"
