"id"	"内质评价"	"可溶性糖％"	"品种名称"	"果穗重G"	"特异及用途"	"省"	"学名"	"种类"	"果实成熟期"	"成熟期评价"	"风味"	"原产地"	"外观评价"	"汁液"	"果粒重G"	"色泽"	"果粒重评价"	"属名"	"可溶固形物"	"肉质"	"PH值"	"果穗重评价"	"统一编号"	"译名"	"果形"	"科名"	"可滴定酸％"
"67"	"中"	"17.60"	"阿依布特里"	"254.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.21"	"晚"	"酸甜"	"苏联"	"中"	"多"	"3.80"	"黄白"	"中"	"Vitis(葡萄属)"	"18.70"	"软"	"3.40"	"中"	"PTF0066"	"A YI BU TE LI"	"近圆"	"Vitaceae(葡萄科)"	"0.98"
"68"	"中"	"16.92"	"克菲西亚"	"215.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.17"	"晚"	"酸甜"	"苏联"	"较差"	"多"	"3.15"	"黄绿"	"中"	"Vitis(葡萄属)"	"17.80"	"软"	"3.53"	"中"	"PTF0067"	"KE FEI XI YA"	"近圆"	"Vitaceae(葡萄科)"	"0.88"
"69"	"中"	"17.08"	"沙勒潘达斯"	"420.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.17"	"晚"	"甜"	"苏联"	"较好"	"多"	"3.55"	"紫黑"	"中"	"Vitis(葡萄属)"	"18.20"	"软"	"3.50"	"中"	"PTF0068"	"SHA LE PAN DA SI"	"近圆"	"Vitaceae(葡萄科)"	"1.41"
"70"	"中"	"19.04"	"普拉瓦依"	"242.0"	"酿酒,特丰产,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.17"	"晚"	"酸甜"	"苏联"	"较好"	"多"	"3.10"	"黑"	"中"	"Vitis(葡萄属)"	"19.50"	"软"	"3.69"	"中"	"PTF0069"	"PU LA WA YI"	"近圆"	"Vitaceae(葡萄科)"	"0.69"
"71"	"上"	"17.17"	"卡巴西"	"343.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.14"	"晚"	"甜"	"苏联"	"中"	"少"	"3.60"	"紫红"	"中"	"Vitis(葡萄属)"	"17.20"	"较脆"	"3.61"	"中"	"PTF0070"	"KA BA XI"	"椭圆"	"Vitaceae(葡萄科)"	"0.71"
"72"	"上"	"18.96"	"黑马依斯克"	"214.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.13"	"晚"	"极甜"	"苏联"	"中"	"多"	"2.40"	"黄绿"	"较小"	"Vitis(葡萄属)"	"23.00"	"软"	"3.70"	"较小"	"PTF0071"	"HEI MA YI SI KE"	"椭圆"	"Vitaceae(葡萄科)"	"0.51"
"73"	"上"	"22.29"	"苏9号"	"198.0"	"鲜食,糖极高"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.20"	"晚"	"极甜"	"苏联"	"较好"	"少"	"2.70"	"绿黄"	"较小"	"Vitis(葡萄属)"	"23.30"	"较脆"	"3.75"	"较小"	"PTF0072"	"SU 9 HAO"	"近圆"	"Vitaceae(葡萄科)"	"0.59"
"74"	"中"	"17.88"	"马格拉契9号"	"343.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.16"	"晚"	"酸甜"	"苏联"	"中"	"多"	"3.10"	"绿"	"中"	"Vitis(葡萄属)"	"19.00"	"软"	"3.45"	"中"	"PTF0073"	"MA GE LA QI 9 HAO"	"近圆"	"Vitaceae(葡萄科)"	"1.10"
"75"	"上"	"18.57"	"匈牙利玫瑰"	"236.0"	"鲜食,糖极高"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.13"	"晚"	"甜"	"匈牙利"	"较差"	"多"	"4.00"	"紫红"	"中"	"Vitis(葡萄属)"	"19.00"	"软"	"3.66"	"中"	"PTF0074"	"XIONG YA LI MEI GUI"	"圆"	"Vitaceae(葡萄科)"	"0.69"
"76"	"中上"	"18.12"	"羊尾"	"224.5"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.14"	"晚"	"酸甜"	"匈牙利"	"较差"	"多"	"2.25"	"黄绿"	"小"	"Vitis(葡萄属)"	"22.00"	"软"	"3.40"	"小"	"PTF0075"	"YANG WEI"	"椭圆"	"Vitaceae(葡萄科)"	"1.01"
"77"	"中上"	"19.83"	"黑库特拉斯基"	"268.0"	"酿酒,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"酸甜"	"苏联"	"中"	"多"	"2.10"	"黄绿"	"小"	"Vitis(葡萄属)"	"21.40"	"软"	"3.54"	"小"	"PTF0076"	"HEI KU TE LA SI JI"	"近圆"	"Vitaceae(葡萄科)"	"0.72"
"78"	"中"	"17.06"	"福尔明特"	"139.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.19"	"晚"	"酸甜"	"匈牙利"	"中"	"多"	"2.70"	"黄绿"	"较小"	"Vitis(葡萄属)"	"17.20"	"软"	"3.33"	"较小"	"PTF0077"	"FU ER MING TE"	"近圆"	"Vitaceae(葡萄科)"	"0.91"
"79"	"中"	"16.83"	"嘎尔斯里白流"	"228.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.05"	"晚"	"甜"	"匈牙利"	"中"	"多"	"2.75"	"黄绿"	"较小"	"Vitis(葡萄属)"	"21.60"	"软"	"3.60"	"较小"	"PTF0078"	"GA ER SI LI BAI LIU"	"椭圆"	"Vitaceae(葡萄科)"	"0.72"
"80"	"上"	"18.93"	"千欢"	"232.0"	"酿酒,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.05"	"晚"	"甜"	"匈牙利"	"较差"	"少"	"2.35"	"紫红"	"较小"	"Vitis(葡萄属)"	"19.40"	"较脆"	"3.20"	"较小"	"PTF0079"	"QIAN HUAN"	"椭圆"	"Vitaceae(葡萄科)"	"0.81"
"81"	"中上"	"15.67"	"派克斯"	"187.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.18"	"晚"	"酸甜"	"匈牙利"	"好"	"多"	"2.60"	"紫黑"	"较小"	"Vitis(葡萄属)"	"15.80"	"软"	"3.30"	"较小"	"PTF0080"	"PAI KE SI"	"近圆"	"Vitaceae(葡萄科)"	"0.93"
"82"	"中上"	"18.06"	"阿布拉阿嘎内乌纠姆"	"216.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.17"	"晚"	"甜"	"苏联"	"中"	"多"	"2.10"	"黄绿"	"小"	"Vitis(葡萄属)"	"18.50"	"软"	"3.60"	"小"	"PTF0081"	"A BU LA A GA NEI WU JIU MU"	"近圆"	"Vitaceae(葡萄科)"	"0.78"
"83"	"中"	"19.21"	"沙别拉维"	"322.0"	"酿酒,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.17"	"晚"	"酸甜"	"苏联"	"中"	"多"	"2.20"	"黄绿"	"小"	"Vitis(葡萄属)"	"19.30"	"软"	"3.60"	"小"	"PTF0082"	"SHA BIE LA WEI"	"近圆"	"Vitaceae(葡萄科)"	"0.85"
"84"	"上"	"16.40"	"意大利里斯林"	"225.0"	"酿酒,酒质好"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.17"	"晚"	"甜"	"意大利"	"中"	"多"	"1.70"	"紫黑"	"小"	"Vitis(葡萄属)"	"17.50"	"软"	"3.52"	"小"	"PTF0083"	"YI DA LI LI SI LIN"	"卵圆"	"Vitaceae(葡萄科)"	"0.81"
"85"	"中"	"19.55"	"里斯林格"	"231.0"	"酿酒,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.10"	"晚"	"酸甜"	"德国"	"中"	"多"	"2.15"	"黄绿"	"小"	"Vitis(葡萄属)"	"20.30"	"软"	"3.67"	"小"	"PTF0084"	"LI SI LIN GE"	"椭圆"	"Vitaceae(葡萄科)"	"0.71"
"86"	"上"	"18.03"	"沃波尔特"	"330.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.19"	"中"	"甜"	"奥地利"	"中"	"多"	"2.50"	"黄绿"	"较小"	"Vitis(葡萄属)"	"18.80"	"软"	"3.46"	"较小"	"PTF0085"	"WO BO ER TE"	"椭圆"	"Vitaceae(葡萄科)"	"0.96"
"87"	"中"	"16.61"	"西里万内"	"240.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.09"	"晚"	"酸甜"	"奥地利"	"中"	"少"	"2.10"	"粉红"	"小"	"Vitis(葡萄属)"	"18.20"	"软"	"3.25"	"小"	"PTF0086"	"XI LI WAN NEI"	"椭圆"	"Vitaceae(葡萄科)"	"1.12"
"88"	"上"	"16.06"	"马德林西林"	"352.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.12"	"早"	"甜"	"法国"	"较好"	"多"	"2.80"	"深红"	"较小"	"Vitis(葡萄属)"	"21.10"	"软"	"3.30"	"较小"	"PTF0087"	"MA DE LIN XI LIN"	"近圆"	"Vitaceae(葡萄科)"	"7.95"
"89"	"中"	"16.57"	"粉红克列列特"	"168.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.19"	"晚"	"酸甜"	"法国"	"中"	"少"	"2.10"	"黑"	"小"	"Vitis(葡萄属)"	"17.80"	"软"	"3.00"	"小"	"PTF0088"	"FEN HONG KE LIE LIE TE"	"椭圆"	"Vitaceae(葡萄科)"	"1.33"
"90"	"上"	"16.03"	"曼德斯"	"320.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"甜"	"--"	"差"	"多"	"4.10"	"绿黄"	"中"	"Vitis(葡萄属)"	"17.30"	"软"	"3.26"	"中"	"PTF0089"	"MAN DE SI"	"椭圆"	"Vitaceae(葡萄科)"	"1.08"
"91"	"中"	"17.85"	"仙索"	"365.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.13"	"晚"	"酸甜"	"法国"	"中"	"多"	"2.60"	"黑"	"较小"	"Vitis(葡萄属)"	"18.40"	"软"	"2.90"	"较小"	"PTF0090"	"XIAN SUO"	"近圆"	"Vitaceae(葡萄科)"	"1.00"
"92"	"上"	"20.08"	"灰曰尔多"	"285.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.26"	"中"	"甜"	"法国"	"较好"	"多"	"2.60"	"黄绿"	"较小"	"Vitis(葡萄属)"	"21.20"	"软"	"3.36"	"较小"	"PTF0091"	"HUI YUE ER DUO"	"近圆"	"Vitaceae(葡萄科)"	"0.59"
"93"	"中"	"18.07"	"蛇龙珠"	"170.0"	"酿酒,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.18"	"晚"	"酸甜"	"法国"	"中"	"多"	"2.10"	"紫黑"	"小"	"Vitis(葡萄属)"	"18.30"	"软"	"3.60"	"小"	"PTF0092"	"SHE LONG ZHU"	"近圆"	"Vitaceae(葡萄科)"	"0.73"
"94"	"上"	"18.88"	"绿葡萄"	"351.0"	"酿酒,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.12"	"晚"	"甜"	"--"	"较好"	"少"	"2.70"	"紫红"	"较小"	"Vitis(葡萄属)"	"19.80"	"软"	"3.60"	"较小"	"PTF0093"	"LU PU TAO"	"圆"	"Vitaceae(葡萄科)"	"0.54"
"95"	"中"	"17.57"	"黑爱基姆"	"230.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.16"	"晚"	"酸甜"	"苏联"	"较好"	"多"	"2.90"	"紫黑"	"较小"	"Vitis(葡萄属)"	"18.10"	"软"	"3.41"	"较小"	"PTF0094"	"HEI AI JI MU"	"近圆"	"Vitaceae(葡萄科)"	"0.90"
"96"	"中"	"16.95"	"小红玫瑰"	"96.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.03"	"晚"	"酸甜"	"法国"	"中"	"多"	"2.20"	"绿"	"小"	"Vitis(葡萄属)"	"17.40"	"软"	"3.51"	"小"	"PTF0095"	"XIAO HONG MEI GUI"	"椭圆"	"Vitaceae(葡萄科)"	"0.51"
"97"	"上"	"17.50"	"红汁加美"	"236.0"	"无核"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.08"	"早"	"甜"	"法国"	"较好"	"少"	"1.80"	"紫黑"	"小"	"Vitis(葡萄属)"	"18.50"	"软"	"3.40"	"小"	"PTF0096"	"HONG ZHI JIA MEI"	"卵圆"	"Vitaceae(葡萄科)"	"0.59"
"98"	"上"	"16.53"	"红汁加美"	"208.3"	"无核"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.01"	"中"	"甜"	"法国"	"较好"	"少"	"1.86"	"黄"	"小"	"Vitis(葡萄属)"	"17.20"	"软"	"3.75"	"小"	"PTG0096"	"HONG ZHI JIA MEI"	"近圆"	"Vitaceae(葡萄科)"	"0.43"
"99"	"中"	"14.60"	"西万尼"	"168.0"	"无核"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.16"	"中"	"酸甜"	"瑞士"	"中"	"少"	"2.10"	"黄绿"	"小"	"Vitis(葡萄属)"	"15.00"	"软"	"3.31"	"小"	"PTF0097"	"XI WAN NI"	"卵圆"	"Vitaceae(葡萄科)"	"0.62"
"100"	"上"	"17.76"	"杨格尔"	"252.0"	"无核"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.13"	"早"	"甜"	"苏联"	"较好"	"少"	"1.50"	"黄绿"	"小"	"Vitis(葡萄属)"	"19.20"	"较脆"	"3.30"	"小"	"PTF0100"	"YANG GE ER"	"椭圆"	"Vitaceae(葡萄科)"	"0.71"
"101"	"上"	"17.49"	"杨格尔"	"244.2"	"无核"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"7.14"	"早"	"甜"	"苏联"	"中"	"少"	"1.92"	"黄绿"	"小"	"Vitis(葡萄属)"	"18.60"	"脆"	"3.45"	"小"	"PTG0100"	"YANG GE ER"	"椭圆"	"Vitaceae(葡萄科)"	"0.78"
"102"	"中"	"12.91"	"苏60-4"	"313.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.28"	"中"	"甜酸"	"苏联"	"中"	"多"	"2.25"	"黄绿"	"小"	"Vitis(葡萄属)"	"13.80"	"软"	"2.92"	"小"	"PTF0101"	"SU 60-4"	"椭圆"	"Vitaceae(葡萄科)"	"0.54"
"103"	"上"	"11.28"	"苏60-26"	"286.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.13"	"早"	"甜"	"苏联"	"好"	"中"	"1.85"	"黄绿"	"小"	"Vitis(葡萄属)"	"12.90"	"脆"	"3.15"	"小"	"PTF0102"	"SU 60-26"	"长椭圆"	"Vitaceae(葡萄科)"	"0.73"
"104"	"上"	"13.17"	"康耐诺"	"385.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.18"	"晚"	"甜酸"	"美国"	"中"	"多"	"2.75"	"黄绿"	"较小"	"Vitis(葡萄属)"	"14.80"	"软"	"3.14"	"较小"	"PTF0103"	"KANG NAI NUO"	"近圆"	"Vitaceae(葡萄科)"	"0.56"
"105"	"中"	"11.55"	"康诺"	"187.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"甜"	"美国"	"中"	"较多"	"2.25"	"紫红"	"小"	"Vitis(葡萄属)"	"13.70"	"脆"	"2.73"	"小"	"PTF0104"	"KANG NUO"	"椭圆"	"Vitaceae(葡萄科)"	"0.96"
"106"	"上"	"11.58"	"阿勃罗马尼斯"	"159.7"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.27"	"晚"	"酸甜"	"罗马尼亚"	"中"	"多"	"2.25"	"黄绿"	"小"	"Vitis(葡萄属)"	"13.30"	"软"	"2.91"	"小"	"PTG0105"	"A BO LUO MA NI SI"	"圆"	"Vitaceae(葡萄科)"	"0.82"
"107"	"中上"	"11.52"	"阿布交西"	"362.7"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.12"	"中"	"甜"	"阿富汗"	"中"	"多"	"7.85"	"紫黑"	"大"	"Vitis(葡萄属)"	"13.50"	"软"	"2.88"	"大"	"PTG0106"	"A BU JIAO XI"	"近圆"	"Vitaceae(葡萄科)"	"0.56"
"108"	"中"	"10.47"	"阿登纳玫瑰"	"161.4"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.03"	"中"	"甜酸"	"法国"	"中"	"多"	"2.38"	"紫红"	"较小"	"Vitis(葡萄属)"	"14.20"	"软"	"3.02"	"较小"	"PTG0107"	"A DENG NA MEI GUI"	"卵圆"	"Vitaceae(葡萄科)"	"0.75"
"109"	"中"	"10.89"	"阿尔曼玫瑰"	"234.5"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.06"	"中"	"酸甜"	"苏联"	"好"	"中"	"4.60"	"绿黄"	"中"	"Vitis(葡萄属)"	"11.90"	"脆"	"3.32"	"中"	"PTG0108"	"A ER MAN MEI GUI"	"椭圆"	"Vitaceae(葡萄科)"	"0.58"
"110"	"中"	"10.50"	"阿尔其尔"	"173.5"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.01"	"中"	"甜"	"罗马尼亚"	"中"	"多"	"1.77"	"绿"	"小"	"Vitis(葡萄属)"	"13.40"	"较脆"	"3.06"	"小"	"PTG0109"	"A ER QI ER"	"椭圆"	"Vitaceae(葡萄科)"	"0.63"
"111"	"中"	"10.69"	"阿芳"	"213.3"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.08"	"中"	"甜"	"法国"	"中"	"中"	"4.33"	"绿黄"	"中"	"Vitis(葡萄属)"	"13.30"	"脆"	"3.36"	"中"	"PTG0110"	"A FANG"	"长椭圆"	"Vitaceae(葡萄科)"	"0.37"
"112"	"中"	"12.66"	"阿房香"	"349.1"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.17"	"中"	"甜酸"	"法国"	"中"	"多"	"3.28"	"绿黄"	"中"	"Vitis(葡萄属)"	"14.90"	"软"	"2.99"	"中"	"PTG0111"	"A FANG XIANG"	"椭圆"	"Vitaceae(葡萄科)"	"0.38"
"113"	"中上"	"13.37"	"阿富汗"	"408.9"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"7.26"	"早"	"甜"	"--"	"中"	"多"	"5.20"	"紫红"	"较大"	"Vitis(葡萄属)"	"18.30"	"较软"	"3.08"	"较大"	"PTG0112"	"A FU HAN"	"近圆"	"Vitaceae(葡萄科)"	"0.60"
"114"	"中上"	"10.24"	"阿古西"	"443.2"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.30"	"晚"	"酸甜"	"苏联"	"中"	"中"	"3.56"	"绿黄"	"中"	"Vitis(葡萄属)"	"12.00"	"软"	"2.99"	"中"	"PTG0113"	"A GU XI"	"椭圆"	"Vitaceae(葡萄科)"	"1.15"
"115"	"中上"	"11.77"	"阿卡达依"	"369.2"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.30"	"晚"	"甜"	"苏联"	"中"	"多"	"5.09"	"绿黄"	"较大"	"Vitis(葡萄属)"	"14.00"	"软"	"2.95"	"较大"	"PTG0114"	"A KA DA YI"	"椭圆"	"Vitaceae(葡萄科)"	"0.85"
"116"	"中上"	"12.21"	"阿拉卡其"	"211.4"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.22"	"晚"	"甜酸"	"苏联"	"中"	"中"	"2.82"	"黄绿"	"较小"	"Vitis(葡萄属)"	"14.80"	"软"	"2.89"	"较小"	"PTG0115"	"A LA KA QI"	"椭圆"	"Vitaceae(葡萄科)"	"0.82"
"117"	"中上"	"10.92"	"阿里阿基可"	"218.8"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.20"	"中"	"甜"	"意大利"	"中"	"多"	"3.59"	"紫红"	"中"	"Vitis(葡萄属)"	"13.00"	"较软"	"3.09"	"小"	"PTG0116"	"A LI A JI KE"	"椭圆"	"Vitaceae(葡萄科)"	"0.54"
"118"	"中"	"9.20"	"阿利戈特"	"145.4"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.09"	"中"	"甜酸"	"法国"	"中"	"较多"	"1.59"	"黄绿"	"小"	"Vitis(葡萄属)"	"11.70"	"软"	"2.78"	"小"	"PTG0117"	"A LI GE TE"	"椭圆"	"Vitaceae(葡萄科)"	"0.75"
"119"	"中上"	"11.77"	"阿鲁西玫瑰"	"305.4"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.12"	"中"	"甜酸"	"苏联"	"中"	"多"	"3.40"	"紫红"	"中"	"Vitis(葡萄属)"	"13.80"	"脆"	"3.23"	"较小"	"PTG0118"	"A LU XI MEI GUI"	"椭圆"	"Vitaceae(葡萄科)"	"0.49"
"120"	"中"	"14.53"	"阿沙捷尼"	"241.1"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.14"	"中"	"甜酸"	"苏联"	"中"	"多"	"2.88"	"黄绿"	"较小"	"Vitis(葡萄属)"	"17.00"	"软"	"3.29"	"小"	"PTG0119"	"A SHA JIE NI"	"椭圆"	"Vitaceae(葡萄科)"	"0.60"
"121"	"上"	"13.52"	"阿依布拉"	"169.5"	"鲜食,制汁"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.30"	"晚"	"甜"	"苏联"	"中"	"多"	"1.86"	"黄绿"	"小"	"Vitis(葡萄属)"	"16.00"	"软"	"3.15"	"小"	"PTG0120"	"A YI BU LA"	"椭圆"	"Vitaceae(葡萄科)"	"0.73"
"122"	"中"	"10.10"	"埃里求凡"	"386.6"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.19"	"中"	"甜酸"	"保加利亚"	"中"	"中"	"2.66"	"紫红"	"较小"	"Vitis(葡萄属)"	"12.30"	"较脆"	"3.08"	"中"	"PTG0121"	"AI LI QIU FAN"	"长椭圆"	"Vitaceae(葡萄科)"	"0.85"
"123"	"中上"	"16.20"	"埃马尔"	"234.8"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.01"	"晚"	"甜"	"阿尔巴尼亚"	"中"	"多"	"3.15"	"紫红"	"中"	"Vitis(葡萄属)"	"18.30"	"软"	"2.79"	"较小"	"PTG0122"	"AI MA ER"	"椭圆"	"Vitaceae(葡萄科)"	"0.56"
"124"	"中上"	"10.74"	"艾布林"	"102.7"	"鲜食,早熟,雌能花"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.10"	"中"	"甜酸"	"德国"	"中"	"多"	"2.80"	"绿黄"	"较小"	"Vitis(葡萄属)"	"13.00"	"较软"	"3.10"	"小"	"PTG0123"	"AI BU LIN"	"近圆"	"Vitaceae(葡萄科)"	"0.58"
"125"	"中上"	"14.16"	"艾尔威因"	"121.4"	"鲜食,制汁"	"国外"	"--"	"欧美杂种"	"8.10"	"中"	"甜酸"	"日本"	"中"	"较多"	"1.94"	"黑紫"	"小"	"Vitis(葡萄属)"	"16.80"	"软"	"2.78"	"小"	"PTG0124"	"AI ER WEI YIN"	"近圆"	"Vitaceae(葡萄科)"	"1.14"
"126"	"中"	"11.00"	"艾拉斯海尼"	"219.2"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.17"	"中"	"酸甜"	"苏联"	"中"	"多"	"3.95"	"黄绿"	"中"	"Vitis(葡萄属)"	"13.00"	"较脆"	"2.94"	"小"	"PTG0125"	"AI LA SI HAI NI"	"椭圆"	"Vitaceae(葡萄科)"	"0.65"
"127"	"上"	"12.06"	"爱欧娜"	"105.3"	"鲜食"	"国外"	"--"	"欧美杂种"	"8.12"	"中"	"甜"	"美国"	"中"	"多"	"2.09"	"淡黄"	"小"	"Vitis(葡萄属)"	"16.10"	"较软"	"2.98"	"小"	"PTG0126"	"AI OU NA"	"圆"	"Vitaceae(葡萄科)"	"0.63"
"128"	"上"	"11.76"	"安吉文"	"253.5"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"7.26"	"早"	"甜酸"	"法国"	"中"	"多"	"2.65"	"紫红"	"较小"	"Vitis(葡萄属)"	"14.10"	"软"	"3.55"	"较小"	"PTG0127"	"AN JI WEN"	"近圆"	"Vitaceae(葡萄科)"	"0.60"
"129"	"上"	"15.37"	"安尼斯基"	"79.2"	"鲜食,无核"	"国外"	"--"	"欧美杂种"	"7.30"	"早"	"甜"	"美国"	"中"	"中"	"2.50"	"玫瑰"	"较小"	"Vitis(葡萄属)"	"17.00"	"脆"	"3.53"	"极小"	"PTG0128"	"AN NI SI JI"	"椭圆"	"Vitaceae(葡萄科)"	"0.60"
"130"	"中上"	"6.39"	"奥霍无斯基"	"233.1"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.20"	"中"	"酸甜"	"苏联"	"好"	"多"	"4.60"	"黄绿"	"中"	"Vitis(葡萄属)"	"9.10"	"较脆"	"2.96"	"小"	"PTG0129"	"AO HUO WU SI JI"	"近圆"	"Vitaceae(葡萄科)"	"0.66"
"131"	"中"	"15.30"	"奥利文"	"296.3"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"7.14"	"早"	"甜酸"	"匈牙利"	"中"	"较多"	"2.50"	"紫红"	"较小"	"Vitis(葡萄属)"	"18.00"	"软"	"2.79"	"较小"	"PTG0130"	"AO LI WEN"	"圆"	"Vitaceae(葡萄科)"	"1.40"
"132"	"中上"	"12.20"	"奥坡托"	"266.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.01"	"中"	"甜"	"奥地利"	"好"	"中"	"2.17"	"绿黄"	"小"	"Vitis(葡萄属)"	"14.50"	"较脆"	"3.19"	"较小"	"PTG0131"	"AO PO TUO"	"椭圆"	"Vitaceae(葡萄科)"	"0.50"
"133"	"中上"	"11.63"	"巴巴露莎"	"129.9"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.12"	"中"	"甜酸"	"法国"	"中"	"多"	"1.60"	"紫红"	"小"	"Vitis(葡萄属)"	"14.50"	"软"	"3.14"	"小"	"PTG0132"	"BA BA LU SHA"	"倒卵"	"Vitaceae(葡萄科)"	"0.52"
