"id"	"顺序"	"目录"	"年鉴年份"
"514"	"13"	"十二、农村文化、教育、卫生、社会福利及其他事业"	"1989"
"515"	"14"	"十三、各地区主要经济指标排序与分组"	"1989"
"516"	"15"	"十四、分县主要农业生产指标排序与分组"	"1989"
"517"	"16"	"十五、计划单列省辖市农村经济情况"	"1989"
"518"	"17"	"十六、我国主要农业指标与国外对比"	"1989"
"519"	"18"	"附录"	"1989"
"520"	"1"	"图片"	"1988"
"521"	"2"	"一、统计图表"	"1988"
"522"	"3"	"二、农村基本情况"	"1988"
"523"	"4"	"三、农村社会总产值"	"1988"
"524"	"5"	"四、主要农产品和乡村企业主要工业产品生产情况"	"1988"
"525"	"6"	"五、农村市场"	"1988"
"526"	"7"	"六、农村经济效益"	"1988"
"527"	"8"	"七、农村经济收入及分配"	"1988"
"528"	"9"	"八、农民家庭收入和生活消费"	"1988"
"529"	"10"	"九、农村生产条件"	"1988"
"530"	"11"	"十、农村文化、教育、卫生、社会福利和其他事业"	"1988"
"531"	"12"	"十一、各地区主要经济指标排序与分组"	"1988"
"532"	"13"	"十二、分县主要指标排序和分组资料"	"1988"
"533"	"14"	"十三、我国主要农业指标与国外对比"	"1988"
"534"	"15"	"附录"	"1988"
"535"	"1"	"前言"	"1987"
"536"	"2"	"一、农村基本情况"	"1987"
"537"	"3"	"二、农村社会总产值"	"1987"
"538"	"4"	"三、主要农产品和乡村企业主要工业产品生产情况"	"1987"
"539"	"5"	"四、农村市场"	"1987"
"540"	"6"	"五、农村经济效益"	"1987"
"541"	"7"	"六、农村经济收入及分配"	"1987"
"542"	"8"	"七、农民家庭收入和生活消费"	"1987"
"543"	"9"	"八、农村生产条件"	"1987"
"544"	"10"	"九、农村文化、教育、卫生、社会福利和其他事业"	"1987"
"545"	"11"	"十、各地区主要经济指标排序与分组"	"1987"
"546"	"12"	"十一、分县主要指标排序和分组资料"	"1987"
"547"	"13"	"十二、我国主要农业指标与国外对比"	"1987"
"548"	"14"	"附录："	"1987"
"549"	"1"	"编者说明"	"1986"
"550"	"2"	"一、农村基本情况"	"1986"
"551"	"3"	"二、农村社会总产值"	"1986"
"552"	"4"	"三、主要农产品产量、乡村企业工业产品产量和主要农产品商品量"	"1986"
"553"	"5"	"四、农产品价格和成本"	"1986"
"554"	"6"	"五、农村经济效益"	"1986"
"555"	"7"	"六、农村经济收入及分配"	"1986"
"556"	"8"	"七、农民家庭收入和生活消费"	"1986"
"557"	"9"	"八、农村生产条件"	"1986"
"558"	"10"	"九、农村文化、教育、卫生、社会福利和其他事业"	"1986"
"559"	"11"	"附录 台湾省主要农业统计资料"	"1986"
"560"	"1"	"图片"	"1985"
"561"	"2"	"一、农村经济形式和经营方式"	"1985"
"562"	"3"	"二、农村社会总产值"	"1985"
"563"	"4"	"三、主要农产品产量、工业产品产量和主要农产品商品量"	"1985"
"564"	"5"	"四、农产品价格和成本"	"1985"
"565"	"6"	"五、农村经济效益"	"1985"
"566"	"7"	"六、农村经济牧入及分配"	"1985"
"567"	"8"	"七、农民家庭收入和生活消费"	"1985"
"568"	"9"	"八、农村生产条件"	"1985"
"569"	"10"	"九、农村文化、教育、卫生、社会福利和其他事业"	"1985"
