"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"防治方法"	"别名"	"记录号"	"传播途径和发病条件"	"图片"
"24"	"全株"	"主要分布在南方稻区。"	"水稻在苗期至分蘖期感病后，植株矮缩，分蘖增多，叶片浓绿，僵直，生长后期病稻不能抽穗结实。病叶症状表现为两种类型。白点型在叶片上或叶鞘上出现与叶脉平行的虚线状黄白色点条斑，以基部最明显。始病叶以上新叶都出现点条，以下老叶一般不出现。扭曲型在光照不足情况下，心叶抽出呈扭曲状，随心叶伸展，叶片边缘出现波状缺刻，色泽淡黄。孕穗期发病，多在剑叶叶片和叶鞘上出现白色点条，穗颈缩短，形成包颈穗或半包颈穗。"	"病毒"	"水稻矮缩病"	"水稻矮缩病毒"	"Rice dwarf virus简称RDV"	"水稻"	"植物呼肠弧病毒组"	"Rice dwarf virus简称RDV，称水稻矮缩病毒，属植物呼肠弧病毒组病毒。病毒粒体为球状多面体，等径对称，大小75nm，粒体内含有双链核糖核酸。病毒钝化温度40～45℃，稀释限点1000～100000倍，体外存活期48小时。病毒粒体多集中在病叶的褪绿部分。在白色斑点的叶部细胞内，含有近球形内含空胞的X体。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗(耐)病品种如国际26等。(2)要成片种植，防止叶蝉在早、晚稻和不同熟性品种上传毒。早稻早收，避免虫源迁入晚稻。收割时要背向晚稻。(3)加强管理，促进稻苗早发，提高抗病能力。(4)推广化学除草，消灭看麦娘等杂草，压低越冬虫源。(5)治虫防病。及时防治在稻田繁殖的第一代若虫，并要抓住黑尾叶蝉迁入双季晚稻秧田和本田的的高峰期，把虫源消灭在传毒之前。可选用25％噻嗪酮可湿性粉剂，每667m 2 25g或35％速虱净乳油100ml、25％速灭威可湿性粉剂100g，对水50L喷洒，隔3～5天1次，连防1～3次。"	"水稻普通矮缩病、普矮、青矮等"	"fd00089"	"该病毒可由黑尾叶蝉、二条黑尾叶蝉和电光叶蝉传播。以黑尾叶蝉为主。带菌叶蝉能终身传毒，可经卵传染。黑尾叶蝉在病稻上吸汁最短获毒时间5分钟。获毒后需经一段循回期才能传毒，循回期20℃时为17天，29．2℃为12．4天。水稻感病后经一段潜育期显症，苗期气温22．6℃，潜育期11～24天，28℃为6～13天，苗期至分蘖期感病的潜育期短，以后随龄期增长而延长。病毒在黑尾叶蝉体内越冬，黑尾叶蝉在看麦娘上以若虫形态越冬，翌春羽化迁回稻田为害，早稻收割后，迁至晚稻上为害，晚稻收获后，迁至看麦娘、冬稻等38种禾本科植物上越冬。带毒虫量是影响该病发生的主要因子。水稻在分蘖期前较易感病。冬春暖、伏秋旱利于发病。稻苗嫩，虫源多发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/水稻矮缩病.jpg"
"25"	"叶片"	"福建、海南"	"我国1980年在云南，1983年在福建、海南零星发生，1991年广东茂明市一带晚季稻发病面积达7000ha。翌年早、晚季稻发病1．33万ha，对水稻威胁很大。田间稻株进入分蘖盛期，开始出现病窝，严重时全田发黄，在孕穗前枯死或不能抽穗。生长中后期染病株，虽能抽穗，但穗小，粒多不实，米质松脆。室内用电光叶蝉保毒虫接种2叶龄稻苗，8～20天后，稻苗基部叶片的叶尖出现黄色，先从叶尖向叶基或从叶缘向中脉扩展，后全叶变为橙黄色，随病情扩展，病株上部叶片一片片逐渐发黄，植株矮小，新根少，分蘖少。一般心叶发黄后8～21天病株枯死。个别病叶与茎秆间的角度较大，心叶扭曲，或干枯变白；也有的新出叶叶缘坏死成齿状缺刻；个别病株在下部1～2叶的叶尖发黄后不久，病叶向内纵卷干枯。"	"病毒"	"水稻橙叶病"	"类菌原体"	"Mycoplasma-like organism简称MLO"	"水稻"		"Mycoplasma-like organism简称MLO，称类菌原体。染色后在EM 400型电镜下观察，在病叶中脉的韧皮部筛管细胞中看到大量多形态的类菌原体，大小96～639nm。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参见稻黄萎病。"		"fd00090"	"广东水稻橙叶病是由电光叶蝉Recilia dorsalis(Motseh)传染的。能传病的叶蝉个体占13～68％，属持久性非经卵传播。气温25～30℃，平均为28℃时，在桂朝品种上潜育期为8～36天，平均为20．5天。该病仅能通过叶蝉介体越冬。染病株易干枯死亡，病株一旦死亡，就不再成为该病病原体来源。但由于该病病原体在叶蝉介体内循回期较短，在稻株内的潜育期11～29天，因此其侵染循环快，偶尔也可造成该病在一些地区或局部田块流行。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/水稻橙叶病.jpg"
"26"	"叶"	"分布在广东、福建、台湾、海南、湖南、湖北、江西、浙江等省。"	"染病株矮化，叶尖旋转，叶缘有锯齿状缺刻。苗期染病心叶的叶尖常旋转10多圈，心叶下叶缘破裂成缺口状，多为锯齿状。分蘖期染病植株矮化，株高仅为健株1／2，叶片皱缩扭曲，边缘呈锯齿状，缺刻深约0．1～0．5cm，一般不超过中脉，一片叶上常现3～5个缺刻，有时多达13个。有些品种于拔节孕穗期发病，在高节位上产生1至数个分枝，称“节枝现象”，分枝上抽也小穗，多不结实。有时叶鞘叶脉肿大，病株开花延迟，剑叶缩短，穗小不实。"	"病毒"	"水稻齿矮瘸"	"稻裂叶病毒"	"Rice ragged stunt virus简称RRSV"	"除侵染水稻外，还可侵染麦类、玉米、甘蔗、稗草、李氏禾等"	"呼肠弧病毒组"	"Rice ragged stunt virus简称RRSV，称稻裂叶病毒，属呼肠弧病毒组病毒。病毒粒体为等径球状体，大小50～60nm，含有双链的核糖核酸。钝化温度60℃，稀释限点100000倍，病毒在稻叶韧皮部细胞中生存。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参见水稻黄叶病。"	"裂叶矮缩病"	"fd00091"	"该病传毒媒介主要是褐飞虱(Nilaparvat  lugeas)，传毒率为2．5％～55％，病毒在虫体内循回期10天，能终身传毒，但不能经卵传至下一代，有间隙传毒现象，间隙期1～6天，水稻感染病毒后经13～15天潜育才显症，潜育期长短与气温相关。发病程度与带毒数量有关。在田间此病有双重或三重感染或复合侵染情况，即同一檀株上可以受齿矮病毒及其他瘸毒多重侵染，出现单独症状或协生症状。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/水稻齿矮瘸.jpg"
"27"	"叶片"	"主要发生在我国南方稻区。"	"受害植株矮缩和叶片变色，生长衰退，叶片颜色为橙色至黄色。籼稻染病多为橙色或稍带红色，又叫红叶病。粳稻染病多呈黄色。嫩叶上现斑驳，老叶上现锈色斑点。东格鲁系菲律宾土语，表示衰退的意思。"	"病毒"	"水稻东格鲁病毒病"	"东格鲁球状病毒"	"Rice tungro spherical virus简称RTSV"	"水稻"	"玉米褪绿矮缩病毒组"	"Rice tungro spherical virus简称RTSV，称东格鲁球状病毒，属玉米褪绿矮缩病毒组。病毒粒体为等径对称的多面体，大小30～35nm，含有单链核糖核酸，粒体外面无包膜。钝化温度60℃，体外存活期4℃条件下7天，冰冻条件存活长达1个月。此外Rice tungro  bacilliform virus简称RTBV，称东格鲁杆状病毒，也是该病病原，常与RTSV混合感染。病毒粒子小杆状，大小150～350×35 (nm)。属鸭跖草黄斑驳病毒组。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗病品种。(2)在发病重的地区，要注意防治二小点叶蝉等传毒介体，以减少其传毒机率。具体方法参见水稻黄萎病。"		"fd00092"	"病毒由二小点叶蝉(Nephotettix  impictceps)、二点黑尾叶蝉、黑尾叶蝉等，以半持久方式传播，接触或汁液摩擦不能传播，二小点叶蝉最短获毒或接毒时间分别为30分钟和15分钟。接毒后经6～9天潜育即显症。该病毒在虫体内循回期不明显，传毒时间为5～7天，7天后不再传毒。二小点叶蝉传毒率很高，其他叶蝉传毒率不高，有的不传毒，品种间抗病性有差异。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/水稻东格鲁病毒病.jpg"
"28"	"叶"		"病株叶色均匀褪绿成为浅黄色，叶片变薄，质地也较柔软，植株分蘖猛增，呈矮缩丛生状，根系发育不良。苗期染病的植株矮缩不能抽穗；后期染病的发病轻，主要表现为分蘖增多，簇生，个别病株出现高节位分枝，叶片似竹叶状。"	"病毒"	"水稻黄萎病"	"类菌原体"	"Mycoplasma-like organism简称MLO"	"水稻"		"Mycoplasma-like organism简称MLO，称类菌原体。电镜观察病叶超薄切片可见到筛管细胞中有椭圆形或卵圆形类菌原体， 大小80～800nm，无细胞壁，只见单位膜有3层，两层为蛋白质膜，中间为类脂膜。通过寄主细胞壁时其形状可变为不定形，大小也不固定。主要靠黑尾叶蝉(Nephotettix cincticeps)、二点黑尾叶蝉(N．virescens)、二条黑尾叶蝉(N．nigropictus)等4种叶蝉传毒。病原物在虫体内循回期因气温而不同，黑尾叶蝉体内循回期，当均温32℃时平均循回期为19天，气温15℃经102天不传毒，17℃经68天仅个别虫传毒，20℃循回期为53．3天，25℃为24．6天，28℃为22．2天，30℃为21．3天，33～35℃为17～25天。均温30℃黑尾叶蝉低龄若虫获毒最短时间为10分钟，12小时几乎均可获毒，气温低于5℃则不能获毒。10℃获毒虫率0～7％，15℃为0～27％，20℃为21～64％，25℃为50～73％。黑尾叶蝉取食上部叶片传毒率高达67％，中部叶片为55％，下部叶片为34％，该虫能终身带毒，传毒率高达89．3％，病毒不经卵传给下一代。叶蝉有偏嗜黄萎病株习性。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"南方应把防治重点集中在晚稻生长早期预防上。(1)首选抗病品种、抗虫品种。如福建的赤块矮选，湖南的湘抗32、余赤231-8，台湾的台北131、台北130、农林49对黑尾叶蝉具抗性的外引品种有IR28、Cam Pai30-12-15、Pank hari 203等。(2)治虫防病。注意结合传毒介体昆虫4种叶蝉生活史预测调整播种和插秧时间，把易染病的苗期与叶蝉活动高峰期调整开。(3)必要时可在育秧期、返青分蘖期喷洒杀虫剂，用药种类参见黑尾叶蝉。(4)其他方法参见水稻黄矮病。"		"fd00094"	"病原主要在黑尾叶蝉体内和几种野生杂草上越冬，成为翌年初侵染源。长江中下游稻区早稻染病后于7月中旬后显症。7月后孵化的叶蝉从早稻田病株上获毒，迁飞到双季晚稻上传毒，引致晚稻发病。越冬代若虫从晚稻病株上获取毒原后越冬。叶蝉个体亲和力取决于叶蝉获取类菌原体的迟早及冬季气温高低，若叶蝉冬前获毒早，冬季气温越高，则越冬后具侵染性个体愈多。由于叶蝉从取食病原体到传病这段循回期长达27-90天，因此发病缓慢。生产上生长后期染病的，减产较少。但染病稻茬长出的再生稻苗或再生稻仍可发病，成为侵染源。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/水稻黄萎病.jpg"
"29"	"叶片"	"我国南方稻区均有发生。"	"苗期发病以顶叶及下一叶为主，先在叶尖出现淡黄色褪绿斑，渐向基部发展，形成叶肉黄化、叶脉深绿的斑驳花叶或条纹状花叶，以后全叶变黄，向上纵卷，枯萎下垂。植株矮缩，不分蘖，根系短小。分蘖后发病的不能正常抽穗结实。拔节后发病抽穗迟，穗形小，结实差。品种间症状大致相似，仅色泽有差异。矮秆籼稻上多为金黄色，粳稻上色泽淡黄花叶不明显，糯稻上色泽灰黄或淡黄。有的品种呈紫色。"	"病毒"	"水稻黄叶病"	"水稻黄叶病毒或暂黄病毒"	"Rice transitory yellowing virus简称RTYV"	"水稻"		"Rice transitory yellowing virus简称RTYV，称水稻黄叶病毒或暂黄病毒，属病毒。病毒粒体呈子弹状或杆菌状，大小120～140×96(nm)，多聚集于细胞核的内外膜间，也有散布于细胞核和细胞质中的。病毒钝化温度56～58℃，稀释限点100000～1000000倍，体外存活期30℃为36小时，0～2℃为11天。病毒粒体常限制在韧皮部细胞中。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)加强农业防治，尽量减少单、双季稻混栽面积，切断介体昆虫辗转为害。深翻地，减少越冬寄主和越冬虫源。合理布局，连片种植，尽可能种植熟期相近的品种，减少介体迁移传病。早播要种植抗病品种。收获时要背向割稻。(2)选用抗病良种如白壳矮、博罗矮、IR29、溪南矮、木泉等。(3)治虫防病把介体昆虫消灭在传毒之前，早稻在越冬代叶蝉迁飞前移栽。在越冬代叶蝉迁移期和稻田一代若虫盛孵期进行防治。双季稻区在早稻大量收割期至叶蝉迁飞高峰前后防治。晚稻秧田，从真叶开始注意防治，结合网捕。晚稻连作田初期加强防治，间隔3～5天一次。单双季稻混栽对早稻要加强防治。晚稻早栽早期也要加强防虫。使用药剂参见水稻矮缩病。"	"水稻黄矮病、黄条花叶病、黄化病"	"fd00095"	"黄叶病由黑尾叶蝉、二点黑尾叶蝉、二条黑尾叶蝉传播。能终身传毒，不经卵传递。病毒在介体昆虫体内、再生稻、看麦娘等植物上越冬，翌年传至早稻，成为初侵染源。收获后叶蝉迁飞至二季稻上传毒，二季稻收获后，病毒又随介体在冬季寄主上越冬。介体昆虫数量多，带毒率高发病重。一般籼稻较粳、糯稻发病轻，并以杂交稻耐病性最好。夏季少雨、干旱，促进叶蝉繁殖，有利于活动取食，还缩短了循回期和潜育期，有利于病害流行。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/水稻黄叶病.jpg"
"30"	"叶片"		"苗期发病心叶基部出现褪绿黄白斑，后扩展成与叶脉平行的黄色条纹，条纹间仍保持绿色。不同品种表现不一，糯、粳稻和高秆籼稻心叶黄白、柔软、卷曲下垂、成枯心状。矮秆籼稻不呈枯心状，出现黄绿相间条纹，分蘖减少，病株提早枯死。病毒病引起的枯心苗与三化螟为害造成的枯心苗相似，但无蛀孔，无虫粪，不易拔起，别于蝼蛄为害造成的枯心苗。分蘖期发病先在心叶下一叶基部出现褪绿黄斑，后扩展形成不规则黄白色条斑，老叶不显病。籼稻品种不枯心，糯稻品种半数表现枯心。病株常枯孕穗或穗小畸形不实。拔节后发病在剑叶下部出现黄绿色条纹，各类型稻均不枯心，但抽穗畸形，结实很少。"	"病毒"	"水稻条纹叶枯病"	"水稻条纹叶枯病毒"	"Rice stipe virus简称RSV"	"水稻"		"Rice stipe virus简称RSV，称水稻条纹叶枯病毒，属水稻条纹病毒组(或称柔丝病毒组)病毒。病毒粒子丝状，大小400×8nm，分散于细胞质、液泡和核内，或成颗粒状、砂状等不定形集块，即内含体，似有许多丝状体纠缠而成团。病叶汁液稀释限点1000～10000倍，钝化温度为55℃3分钟，零下20℃，体外保毒期(病稻)8个月。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)调整稻田耕作制度和作物布局。成片种植，防止灰飞虱在不同季节、不同熟期和早、晚季作物间迁移传病。忌种插花田，秧田不要与麦田相间。(2)种植抗(耐)病品种。因地制宜选用中国91、徐稻2号、宿辐2号、盐粳20、铁桂丰等。(3)调整播期，移栽期避开灰飞虱迁飞期。收割麦子和早稻要背向秧田和大田稻苗，减少灰飞虱迁飞。加强管理促进分蘖。(4)治虫防病，抓住传毒迁飞前期集中防治，防治方法参见灰飞虱。"		"fd00096"	"本病毒仅靠介体昆虫传染，其它途径不传病。介体昆虫主要为灰飞虱，一旦获毒可终身并经卵传毒，至于自脊飞虱在自然界虽可传毒，但作用不大。最短吸毒时间10分钟，循回期4～23天，一般10～15天。病毒在虫体内增殖，还可经卵传递。 病毒侵染禾本科的水稻、小麦、大麦、燕麦、玉米、粟、黍、看麦娘、狗尾草等50多种植物。但除水稻外，其它寄主在侵染循环中作用不大。病毒在带毒灰飞虱体内越冬，成为主要初侵染源。在大、小麦田越冬的若虫，羽化后在原麦圈繁殖，然后迁飞至早稻秧田或本田传毒为害并繁殖，早稻收获后，再迁飞至晚稻上为害，晚稻收获后，迁回冬麦上越冬。水稻在苗期到分蘖期易感病。叶龄长潜育期也较长，随植株生长抗性逐渐增强。 条纹叶枯病的发生与灰飞虱发生量、带毒虫率有直接关系。春季气温偏高，降雨少，虫口多发病重。稻、麦两熟区发病重，大麦、双季稻区病害轻。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/水稻条纹叶枯病.jpg"
"31"	"全株"		"通常表现出重花叶、株矮、叶皱及早枯等严重症状。"	"病毒"	"豌豆(BBWV)病毒病"	"蚕豆萎蔫病毒"	"Broad bean wilt virus简称BBWV"	"豌豆"		"Broad bean wilt virus简称BBWV，称蚕豆萎蔫病毒，属病毒。病毒粒体球形，直径25nm．钝化温度50～55℃，稀释限点1000～10000倍，体外保毒期72小时。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用内软1号豌豆等抗病品种。 (2)合理规划成片种植、由于近郊菜区毒源作物多且面积大，周而复始，发病重，尤其小片地发病更重，提倡向远郊发展，成片集中种植，避病作用明显。(3)选用丰产优质良种。(4)适时播种，培育壮苗，有利于豌豆苗健壮生长。(5)与大蒜套栽，避蚜防病作用明显。(6)早期治蚜防病保苗。生产上应据天气、苗情、虫情在第一片真叶长出后及时喷药，以后视情况5～7天后再喷1次。常用药剂：50％抗蚜威可湿性粉剂2000倍液或20％氟杀乳油2000倍液。(7)发病初期开始喷洒20％毒克星(病毒A)可湿性粉剂500倍液或1．5％植病灵乳剂1000倍液、83增抗剂100倍液，隔10天左右1次，连续防治3～4次。"		"fd00097"	"可由桃蚜、豆蚜以非持久性方式传毒。在田间经常出现BBWV与CMV或LMV等复合侵染的情况。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/豌豆(BBWV)病毒病.jpg"
"32"	"全株"		"全株发病。病株矮缩，叶片变小、皱缩，叶色浓淡不均，呈镶嵌斑驳花叶状，结荚少或不结荚。"	"病毒"	"豌豆花叶病"	"豌豆花叶病毒,花生矮化病毒,花生斑驳病毒"	"豌豆花叶病毒(Pea mosaic virus简称PeMV)、花生矮化病毒(Peanut stunt virus简称PSV)和花生斑驳病毒(Peanut mottle virus)"	"豌豆"		"由多种病毒单独或复合侵染引起，包括豌豆花叶病毒(Pea mosaic virus简称PeMV)、花生矮化病毒(Peanut stunt virus简称PSV)和花生斑驳病毒(Peanut mottle virus)等。近年在南京菜区还发现大豆花叶病毒(Soybean mosaic virus简称SMV)和芜菁花叶病毒(TuMV)也可侵染。豌豆花叶病毒粒体线状，长750nm，致死温度55～60℃，稀释限点1000～10000倍，体外存活期5～10天(15℃)；花生斑驳病毒质粒线状，长750nm，致死温度55～65℃，稀释限点10000倍，体外存活期4天(20℃)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参照豌豆黄顶病。"		"fd00098"	"病毒在寄主活体上存活越冬，由汁液传染，除TuMV外，还可由蚜虫传染，此外种子也可传毒，但其带毒率高低不一。土壤不能传染。在毒源存在条件下，利于蚜虫繁殖活动的天气或生态环境亦利于发病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/豌豆花叶病.jpg"
"33"	"顶叶"		"病株矮缩，新抽出的顶叶黄化、变小、皱缩卷曲、质脆，叶腋抽出多个不定芽，呈丛枝现象。早期感病植株多不结荚，甚者病株很快枯死。"	"病毒"	"豌豆黄顶病"	"豌豆黄顶病毒"	"Pea yellow—top virus简称PYTV"	"豌豆"		"由豌豆黄顶病毒(Pea yellow—top virus简称PYTV)侵染引起。与蚕豆黄顶病病原相同。本病毒主要靠豆蚜(Aphis laburni Kalten)传毒，汁液摩擦和种子都不传毒。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗病品种。(2)早期发现及时拔除病株。(3)全面喷药杀蚜二可选用20％高氯•马乳油2000倍液或50％抗蚜威乳油2000倍液、50％辟蚜雾可湿性粉剂2500倍液、2．5％功夫乳油3000～4000倍液、5％来福灵乳油3000倍液。上述药剂注意轮用与混用，隔7～10天1次，连喷2～3次。尽可能大面积联防，杀蚜防病效果才明显。(4)必要时喷洒0．5％菇类蛋白多糖水剂300倍液或20％病毒A可湿性粉剂500倍液、10％病毒王可湿性粉剂600倍液(齐齐哈尔市四友化工实业有限公司)、15％病毒必克可湿性粉剂500～700倍液。"		"fd00099"	"病毒在活体寄主上存活越冬，借豆蚜传染。蚜虫在病株上吸毒最短时间3小时，病毒在蚜虫体内的潜育时间含蚜虫吸毒时间在内最少8～12小时，带毒蚜虫在健株上取食时间最少达15分钟方可传毒，自此可持续传毒5～9天，但其子代不能传毒。本病在豌豆上的潜育期为5～20天，其长短视温度和品种而异。除侵染豌豆外，菜豆、黄豆、紫云英亦可受侵害。在毒源存在的条件下，利于传毒虫媒繁殖活动的天气或生态条件均利于本病发生。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/豌豆黄顶病.jpg"
"34"	"叶片"	"陕西、甘肃、河北、山东、山西、辽宁、北京、内蒙古有发生"	"玉米整个生育期均可感染。幼苗染病心叶基部细胞间出现椭圆形褪绿小点，断续排列成条点花叶状，并发展成黄绿相间的条纹症状，后期病叶叶尖的叶缘变红紫而干枯。发病重的叶片发黄，变脆，易折。病叶鞘、病果穗的苞叶也能现花叶状。发病早的，病株矮化明显。该病发生面积广，为害重。"	"病毒"	"玉米矮花叶病毒病"	"玉米矮花叶病毒"	"Maize dwarf mosaic virus简称MDMV"	"玉米"	"马铃薯Y病毒组"	"Maize dwarf mosaic virus简称MDMV，称玉米矮花叶病毒，属马铃薯Y病毒组。病毒粒体线状，大小750×12～15(nm)，在电镜下观察病组织切片有风轮状内含体。体外保毒期为24小时，致死温度55～60℃，稀释限点1000～2000倍。病株组织里的病毒在超低温冰箱保存5年后仍具侵染能力。"	"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)因地制宜，合理选用抗病杂交种或品种如丰单1号，中单2号，农大3138，农单5号，新单7号，郑单1号、2号，黄早4号，武早4号，鲁单31号，丹玉6号，陕单9号，丰三1号，陇单1号，天单1号，武105，东泉11、12、13号，张单251，中玉5号，冀单29号等。(2)在田间尽早识别并拔除病株．这是防治该病关键措施之一。(3)适期播种和及时中耕锄草，可减少传毒寄主，减轻发病。(4)在传毒蚜虫迁入玉米田的始期和盛期，及时喷洒50％氧化乐果乳油800倍液或50％抗蚜威可湿性粉剂3000倍液、10％吡虫啉可湿性粉剂2000倍液。"		"fd00100"	"该病毒主要在雀麦、牛鞭草等寄主上越冬，是该病重要初侵染源，带毒种子发芽出苗后也可成为发病中心。传毒主要靠蚜虫的扩散而传播。传毒蚜虫有玉米蚜、桃蚜、棉蚜、禾谷缢管蚜、麦二叉蚜、麦长管蚜等23种蚜虫，均以非持久性方式传毒，其中玉米蚜是主要传毒蚜虫，吸毒后即传毒，但丧失活力也较快；病汁液摩擦也可传毒；染病的玉米种子也有一定传毒率，一般在0．05％上下。除侵染玉米外，还可侵染马唐、虎尾草、白茅、画眉草、狗尾草、稗、雀麦、牛鞭草、苏丹草等。玉米矮花叶病毒有A、B、C、D及O株系，其中A、B两个株系最重要。A株系主要侵染玉米和约翰逊草，B株系只侵染玉米。我国已鉴定出B株系、O株系。病毒通过蚜虫侵入玉米植株后，潜育期随气温升高而缩短。该病发生程度与蚜量关系密切。生产上有大面积种植的感病玉米品种和对蚜虫活动有利的气候条件，即5～7月凉爽、降雨不多，蚜虫迁飞到玉米田吸食传毒，大量繁殖后辗转为害，易造成该病流行。近年我国玉米矮花叶病北移大面积发生。一是主推玉米品种和骨干自交系不抗病，自然界毒源量大，气候适于介体繁殖、迁飞等。二是种子带毒率高，初侵染源基数大。经检测81515、Mo17、掖107种子带毒率分别为0．1％、0．13％、0．16％，8112为1．04％，7942的种子带毒率高达12．6％，黄早4、478未检测到种子带毒。种子带毒率增高，致田间初侵染源基数增大，在抗病品种尚缺乏情况下，遇玉米苗期气候适宜，介体蚜虫大量繁殖，病毒病即迅速传播。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/玉米矮花叶病毒病.jpg"
