"id"	"熟性"	"科名"	"肉质根形"	"品种名称"	"根肉水分"	"译名"	"风味"	"单产"	"收获期"	"根髓大小"	"省"	"肉质根长"	"根髓色"	"播种期"	"属名"	"统一编号"	"根肉口感"	"学名"	"抗逆性"	"繁种单位"	"生长期"	"叶柄色"	"叶面茸毛"	"贮藏性"	"叶簇"	"叶色"	"肉质根粗"	"叶柄茸毛"	"抗虫性"	"耐涝性"	"耐旱性"	"备注"	"根肉质"	"抗病性"	"单位编号"	"耐寒性"	"品种来源"	"用途"	"种质库编号"	"根皮色"	"栽培时期"	"根肩部大小"	"单根重"	"耐热性"	"根肉色"
"43"	"--"	"Umbelliferae(伞形花科)"	"圆柱"	"胡萝卜"	"少"	"HU LUO BU"	"甜"	"2250"	"--"	"大"	"湖北"	"--"	"桔黄"	"--"	"Daucus(胡萝卜属)"	"V01B0110"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"较强"	"湖北农科院经作所"	"--"	"绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"强"	"Ⅱ1B0007"	"--"	"湖北丹江市"	"熟食"	"Ⅱ1B0205"	"桔黄"	"7下-12上"	"--"	"100.0"	"--"	"桔红"
"44"	"--"	"Umbelliferae(伞形花科)"	"圆柱"	"胡萝卜"	"中"	"HU LUO BU"	"甜"	"2500"	"--"	"小"	"湖北"	"--"	"桔黄"	"--"	"Daucus(胡萝卜属)"	"V01B0111"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"较强"	"湖北农科院经作所"	"--"	"绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"强"	"Ⅱ1B0004"	"--"	"湖北鄂州市"	"熟食"	"Ⅱ1B0259"	"桔黄"	"7下-12上"	"--"	"120.0"	"--"	"桔红"
"45"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"一支腊胡萝卜"	"中"	"YI ZHI LA HU LUO BU"	"甜"	"2750"	"--"	"中"	"辽宁"	"--"	"桔黄"	"--"	"Daucus(胡萝卜属)"	"V01B0129"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐寒"	"辽宁农科院园艺所"	"110"	"绿"	"--"	"强"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"抗病虫"	"1BA5"	"--"	"辽宁大连市"	"生熟"	"Ⅱ1B0187"	"橙红"	"7中-10中下"	"--"	"200.0"	"--"	"桔红"
"46"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"小顶金红"	"中"	"XIAO DING JIN HONG"	"甜"	"3000"	"--"	"中"	"辽宁"	"--"	"桔黄"	"--"	"Daucus(胡萝卜属)"	"V01B0130"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"辽宁农科院园艺所"	"110"	"绿"	"--"	"强"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"强"	"1BA3"	"--"	"辽宁灯塔县"	"生熟"	"Ⅱ1B0060"	"橙红"	"7中-10中下"	"--"	"200.0"	"--"	"桔红"
"47"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"二大顶"	"中"	"ER DA DING"	"甜"	"2750"	"--"	"中"	"辽宁"	"--"	"桔黄"	"--"	"Daucus(胡萝卜属)"	"V01B0131"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"辽宁农科院园艺所"	"110"	"绿"	"--"	"强"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"强"	"1BA6"	"--"	"辽宁抚顺县"	"生熟"	"Ⅱ1B0061"	"橙红"	"7中-10中下"	"--"	"200.0"	"--"	"桔红"
"48"	"--"	"Umbelliferae(伞形花科)"	"短圆柱"	"小顶金红"	"中"	"XIAO DING JIN HONG"	"甜"	"2250"	"--"	"小"	"辽宁"	"--"	"桔红"	"--"	"Daucus(胡萝卜属)"	"V01B0132"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"辽宁农科院园艺所"	"100"	"绿"	"--"	"强"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"强"	"1BA4"	"--"	"辽宁阜新市"	"生熟"	"Ⅱ1B0188"	"橙红"	"7中-11中下"	"--"	"180.0"	"--"	"桔红"
"49"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"腊竿"	"中"	"LA GAN"	"稍甜"	"2000"	"--"	"大"	"辽宁"	"--"	"桔黄"	"--"	"Daucus(胡萝卜属)"	"V01B0133"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"辽宁农科院园艺所"	"100"	"紫"	"--"	"强"	"半直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"松"	"强"	"1BB1"	"--"	"辽宁盖县"	"熟食"	"Ⅱ1B0189"	"紫红"	"7中-10中下"	"--"	"200.0"	"--"	"黄"
"50"	"--"	"Umbelliferae(伞形花科)"	"长圆柱"	"小顶金红选"	"中"	"XIAO DING JIN HONG XUAN"	"甜"	"2750"	"--"	"小"	"辽宁"	"--"	"桔黄"	"--"	"Daucus(胡萝卜属)"	"V01B0134"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"辽宁农科院园艺所"	"100"	"绿"	"--"	"强"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"强"	"1BA2"	"--"	"辽宁辽阳"	"生熟"	"Ⅱ1B0191"	"橙红"	"7中-10中下"	"--"	"165.0"	"--"	"桔红"
"51"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"红胡萝卜"	"多"	"HONG HU LUO BU"	"甜"	"6000"	"--"	"大"	"青海"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0165"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐寒"	"青海农科院园艺所"	"180"	"浅绿"	"--"	"强"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"强"	"Ⅱ1B001"	"--"	"青海西宁市"	"熟食"	"Ⅱ1B0193"	"红"	"4上中-10上"	"--"	"200.0"	"--"	"红"
"52"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"黄胡萝卜"	"中"	"HUANG HU LUO BU"	"甜"	"8000"	"--"	"大"	"青海"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0166"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐寒"	"青海农科院园艺所"	"180"	"浅绿"	"--"	"强"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"强"	"Ⅱ1B002"	"--"	"青海西宁市"	"熟食"	"Ⅱ1B0194"	"黄"	"4上中-10上"	"--"	"300.0"	"--"	"黄"
"53"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"胡萝卜"	"中"	"HU LUO BU"	"甜"	"1800"	"--"	"大"	"山东"	"--"	"橙红"	"--"	"Daucus(胡萝卜属)"	"V01B0167"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐旱"	"山东农科院蔬菜所"	"--"	"绿"	"--"	"强"	"半直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"--"	"23"	"--"	"山东曹县"	"生熟"	"Ⅱ1B0209"	"橙红"	"7中-11中"	"--"	"160.0"	"--"	"红"
"54"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"东明胡萝卜"	"多"	"DONG MING HU LUO BU"	"稍甜"	"1900"	"--"	"大"	"山东"	"--"	"橙红"	"--"	"Daucus(胡萝卜属)"	"V01B0168"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐旱"	"山东农科院蔬菜所"	"--"	"绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"--"	"1B024"	"--"	"山东东明县"	"生熟"	"Ⅱ1B0040"	"橙红"	"7中-11中"	"--"	"160.0"	"--"	"红"
"55"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"东明燕顶胡萝卜"	"少"	"DONG MING YAN DING HU LUO BU"	"甜"	"2000"	"--"	"中"	"山东"	"--"	"橙红"	"--"	"Daucus(胡萝卜属)"	"V01B0169"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐旱"	"山东农科院蔬菜所"	"--"	"绿"	"--"	"强"	"直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"--"	"1B025"	"--"	"山东东明县"	"生熟"	"Ⅱ1B0041"	"橙红"	"7中-11中"	"--"	"170.0"	"--"	"红"
"56"	"--"	"Umbelliferae(伞形花科)"	"圆锥"	"微山胡萝卜"	"中"	"WEI SHAN HU LUO BU"	"甜"	"2000"	"--"	"中"	"山东"	"--"	"浅黄"	"--"	"Daucus(胡萝卜属)"	"V01B0182"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐旱"	"山东农科院蔬菜所"	"--"	"绿"	"--"	"强"	"半直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"--"	"1B022"	"--"	"山东微山县"	"生熟"	"Ⅱ1B0039"	"黄"	"7中-11中"	"--"	"160.0"	"--"	"黄"
"57"	"--"	"Umbelliferae(伞形花科)"	"圆柱"	"吉县红胡萝卜"	"中"	"JI XIAN HONG HU LUO BU"	"甜"	"2500"	"--"	"小"	"山西"	"--"	"桔黄"	"--"	"Daucus(胡萝卜属)"	"V01B0201"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐热、旱强"	"山西农科院蔬菜所"	"95"	"绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"细嫩"	"中"	"Ⅱ1B0003"	"--"	"山西吉县"	"生熟"	"Ⅱ1B0047"	"橙红"	"7中-10下"	"--"	"250.0"	"--"	"橙红"
"58"	"--"	"Umbelliferae(伞形花科)"	"圆柱"	"介休胡萝卜"	"中"	"JIE XIU HU LUO BU"	"甜"	"3000"	"--"	"中"	"山西"	"--"	"白黄"	"--"	"Daucus(胡萝卜属)"	"V01B0202"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐热、旱强"	"山西农科院蔬菜所"	"95"	"绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"中"	"Ⅱ1B0082"	"--"	"山西介休县"	"生熟"	"Ⅱ1B0056"	"黄"	"7中-10下"	"--"	"275.0"	"--"	"黄白"
"59"	"--"	"Umbelliferae(伞形花科)"	"圆柱"	"临猗小顶黄"	"少"	"LIN YI XIAO DING HUANG"	"中"	"2250"	"--"	"中"	"山西"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0203"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐热、旱中"	"山西农科院蔬菜所"	"95"	"绿"	"--"	"中"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"中"	"Ⅱ1B0023"	"--"	"山西临猗县"	"生熟"	"Ⅱ1B0050"	"黄"	"7中下-10下"	"--"	"230.0"	"--"	"黄白"
"60"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"平定胡萝卜"	"少"	"PING DING HU LUO BU"	"甜"	"2500"	"--"	"中"	"山西"	"--"	"桔红"	"--"	"Daucus(胡萝卜属)"	"V01B0204"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐旱、热强"	"山西农科院蔬菜所"	"95"	"紫"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"中"	"Ⅱ1B0080"	"--"	"山西平定县"	"生熟"	"Ⅱ1B0055"	"紫红"	"7中下-10下"	"--"	"260.0"	"--"	"桔红"
"61"	"--"	"Umbelliferae(伞形花科)"	"圆锥"	"武乡红胡萝卜"	"少"	"WU XIANG HONG HU LUO BU"	"淡"	"2000"	"--"	"中"	"山西"	"--"	"桔红"	"--"	"Daucus(胡萝卜属)"	"V01B0205"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐热、旱中"	"山西农科院蔬菜所"	"95"	"绿"	"--"	"中"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"中"	"Ⅱ1B0095"	"--"	"山西武乡县"	"生熟"	"Ⅱ1B0248"	"桔红"	"7中-10下"	"--"	"150.0"	"--"	"桔红"
"62"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"红皮胡萝卜"	"少"	"HONG PI HU LUO BU"	"浓"	"4218"	"--"	"小"	"新疆"	"--"	"橙黄"	"--"	"Daucus(胡萝卜属)"	"V01B0253"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"新疆农科院园艺所"	"105"	"绿"	"--"	"强"	"直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"强"	"86-46"	"--"	"新疆乌县"	"生熟"	"Ⅱ1B0067"	"橙红"	"7上-10上"	"--"	"190.0"	"--"	"桔红"
"63"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"黄皮胡萝卜"	"少"	"HUANG PI HU LUO BU"	"浓"	"4218"	"--"	"小"	"新疆"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0254"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"新疆农科院园艺所"	"90"	"绿"	"--"	"强"	"直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"强"	"86-0315"	"--"	"新疆乌县"	"生熟"	"Ⅱ1B0068"	"桔黄"	"7上-10上"	"--"	"190.0"	"--"	"桔黄"
"64"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"齐头黄胡萝卜"	"少"	"QI TOU HUANG HU LUO BU"	"淡"	"3777"	"--"	"大"	"新疆"	"--"	"桔黄"	"--"	"Daucus(胡萝卜属)"	"V01B0255"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"新疆农科院园艺所"	"104"	"浅绿"	"--"	"中"	"直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"强"	"86-0453"	"--"	"新疆乌县"	"生熟"	"Ⅱ1B0199"	"桔黄"	"6下-10中"	"--"	"170.0"	"--"	"桔黄"
"65"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"红皮胡萝卜"	"少"	"HONG PI HU LUO BU"	"浓"	"3554"	"--"	"中"	"新疆"	"--"	"橙红"	"--"	"Daucus(胡萝卜属)"	"V01B0256"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"新疆农科院园艺所"	"104"	"紫绿"	"--"	"中"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"强"	"86-0411"	"--"	"新疆伊犁地区"	"生熟"	"Ⅱ1B0227"	"红"	"6下-10中"	"--"	"160.0"	"--"	"橙红"
"66"	"--"	"Umbelliferae(伞形花科)"	"圆柱"	"红丁香"	"少"	"HONG DING XIANG"	"--"	"4750"	"--"	"--"	"浙江"	"--"	"橙红"	"--"	"Daucus(胡萝卜属)"	"V01B0257"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"浙江农科院园艺所"	"130"	"--"	"--"	"强"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"强"	"02001"	"--"	"浙江杭州市"	"熟食"	"Ⅱ1B0162"	"橙红"	"8下-次年1下"	"--"	"125.0"	"--"	"橙红"
"67"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"胡萝卜"	"少"	"HU LUO BU"	"淡"	"2000"	"--"	"大"	"四川"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0262"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐热、旱、涝"	"重庆市农科所"	"122"	"绿"	"--"	"--"	"平展"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"嫩脆"	"--"	"A2-018"	"--"	"四川秀山县"	"生熟"	"Ⅱ1B0079"	"桔红"	"9-次年1"	"--"	"80.0"	"--"	"桔红"
