"id"	"蜡质厚薄"	"科名"	"子叶面积"	"钠含量"	"保存编号"	"品种名称"	"叶盖面直径"	"种子产量"	"染色体倍性"	"种子成熟期"	"粒性"	"开花盛期"	"白粉病"	"根头大小"	"省"	"抽苔盛期"	"译名"	"根沟深浅"	"类型"	"当年抽苔率"	"库编号"	"肉质粗细"	"育性"	"蔗糖产量"	"学名"	"统一编号"	"黄花毒病"	"叶柄宽"	"块根深度"	"果盖脱落率"	"处署绿叶"	"种子成熟度"	"叶面形状"	"块根形状"	"幼苗百株重"	"钾含量"	"种子发芽率"	"花粉量"	"叶柄色"	"子叶大小"	"处署枯叶"	"褐斑病"	"属名"	"单粒率"	"结实密度"	"株型"	"苗期生长势"	"保存单位"	"叶色"	"种株株型"	"氮含量"	"叶丛型"	"根腐病"	"备注"	"叶肉厚薄"	"蔗糖含量"	"叶缘形"	"叶形"	"维管束环数"	"根叶比值"	"叶柄长"	"下胚轴色"	"叶面多毛性"	"茎叶产量"	"经济类型"	"种子单粒率"	"块根产量吨"	"块根产量"	"不育率"	"品种来源"	"抽苔率"	"叶数"	"种子千粒重"	"根皮光滑"	"出苗盛期"	"蔗糖产量吨"	"根肉色"
"110"	"厚"	"Chenopodiaceae(藜科)"	"94.85"	"3.891"	"D06001"	"CS33Monogerm"	"55.0"	"43.60"	"2x"	"--"	"多"	"6.25"	"--"	"中"	"国外"	"5.28"	"CS33Monogerm"	"浅"	"国外"	"0.00"	"I6A00141"	"细"	"可育"	"180.77"	"Beta vulgaris L.(甜菜)"	"ZT000235"	"--"	"中"	"--"	"2.0"	"--"	"100.0"	"皱褶"	"圆锥"	"998.00"	"3.154"	"88.0"	"中"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"26.2"	"多茎"	"中"	"中国农科院甜菜研究所"	"浓绿"	"多茎"	"0.492"	"斜立"	"--"	"--"	"厚"	"15.00"	"大波"	"犁铧"	"7"	"4.753"	"中"	"混"	"光滑"	"320.32"	"LL"	"--"	"18.08"	"1205.10"	"0"	"加拿大"	"66.70"	"38.9"	"45.0"	"不光滑"	"5.23"	"2.71"	"白"
"111"	"--"	"Chenopodiaceae(藜科)"	"--"	"4.062"	"D06002"	"CS7Whole"	"--"	"--"	"2x"	"--"	"多"	"--"	"--"	"小"	"国外"	"6.14"	"CS7Whole"	"深"	"国外"	"0.00"	"I6A00481"	"细"	"可育"	"--"	"Beta vulgaris L.(甜菜)"	"ZT000236"	"--"	"中"	"--"	"--"	"--"	"--"	"--"	"圆锥"	"814.00"	"1.923"	"--"	"少"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"20.2"	"--"	"较弱"	"中国农科院甜菜研究所"	"淡绿"	"单茎"	"1.230"	"斜立"	"--"	"--"	"--"	"15.60"	"--"	"犁铧"	"7"	"--"	"长"	"混"	"光滑"	"--"	"LL"	"--"	"15.52"	"--"	"0"	"加拿大"	"--"	"39.9"	"16.0"	"不光滑"	"--"	"2.42"	"白"
"112"	"厚"	"Chenopodiaceae(藜科)"	"174.53"	"3.560"	"D07001"	"Deshrez mono N"	"72.0"	"32.80"	"2x"	"--"	"多"	"6.23"	"--"	"大"	"国外"	"6.04"	"Deshrez mono N"	"深"	"国外"	"1.70"	"I6A00559"	"较粗"	"可育"	"145.48"	"Beta vulgaris L.(甜菜)"	"ZT000237"	"--"	"中"	"--"	"--"	"--"	"90.0"	"波浪"	"圆锥"	"897.00"	"3.641"	"95.0"	"中"	"绿"	"--"	"--"	"HS"	"Beta(甜菜属)"	"0"	"24.9"	"多茎"	"中"	"中国农科院甜菜研究所"	"绿"	"多茎"	"4.139"	"斜立"	"--"	"--"	"厚"	"12.30"	"中波"	"犁铧"	"8"	"3.876"	"长"	"混"	"光滑"	"487.01"	"LL"	"--"	"17.74"	"1182.75"	"0"	"阿尔巴尼亚"	"91.70"	"33.9"	"26.0"	"光滑"	"5.07"	"2.18"	"淡黄"
"113"	"厚"	"Chenopodiaceae(藜科)"	"91.29"	"8.276"	"D09001"	"Dobrovicka-C"	"65.0"	"50.00"	"2x"	"--"	"多"	"6.29"	"--"	"大"	"国外"	"6.21"	"Dobrovicka-C"	"深"	"国外"	"0.00"	"I6A00142"	"细"	"可育"	"197.75"	"Beta vulgaris L.(甜菜)"	"ZT000238"	"--"	"宽"	"--"	"1.0"	"--"	"100.0"	"波浪"	"楔形"	"673.00"	"3.685"	"91.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"20.7"	"单茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"单茎"	"1.200"	"斜立"	"--"	"--"	"厚"	"14.00"	"中波"	"犁铧"	"7"	"3.598"	"长"	"混"	"光滑"	"558.34"	"E"	"--"	"21.19"	"1412.50"	"0"	"捷克"	"66.70"	"36.1"	"46.0"	"较光滑"	"5.23"	"2.97"	"淡黄"
"114"	"中"	"Chenopodiaceae(藜科)"	"114.32"	"6.341"	"D09002"	"Dobrovicka-N"	"55.0"	"29.40"	"2x"	"--"	"多"	"6.22"	"--"	"大"	"国外"	"5.31"	"Dobrovicka-N"	"浅"	"国外"	"0.00"	"I6A00143"	"粗"	"可育"	"189.90"	"Beta vulgaris L.(甜菜)"	"ZT000239"	"--"	"中"	"--"	"1.0"	"--"	"100.0"	"波浪"	"圆锥"	"933.00"	"2.867"	"81.0"	"多"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"20.8"	"多茎"	"弱"	"中国农科院甜菜研究所"	"淡绿"	"单茎"	"1.909"	"斜立"	"--"	"--"	"厚"	"16.00"	"中波"	"犁铧"	"7"	"4.218"	"长"	"淡绿"	"光滑"	"225.13"	"N"	"--"	"17.80"	"1186.84"	"0"	"捷克"	"97.17"	"30.5"	"35.0"	"光滑"	"5.05"	"2.85"	"白"
"115"	"厚"	"Chenopodiaceae(藜科)"	"111.22"	"7.071"	"D09003"	"Dobrovicka-V"	"60.0"	"16.70"	"2x"	"--"	"多"	"6.23"	"--"	"小"	"国外"	"5.30"	"Dobrovicka-V"	"深"	"国外"	"0.00"	"I6A00144"	"细"	"可育"	"171.83"	"Beta vulgaris L.(甜菜)"	"ZT000240"	"--"	"宽"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"813.00"	"3.212"	"89.0"	"中"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"17.3"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"1.574"	"匍匐"	"--"	"--"	"厚"	"14.10"	"中波"	"犁铧"	"5"	"6.104"	"中"	"混"	"光滑"	"304.23"	"LL"	"--"	"18.28"	"1218.62"	"0"	"捷克"	"88.90"	"29.3"	"35.0"	"光滑"	"5.11"	"2.58"	"淡黄"
"116"	"中"	"Chenopodiaceae(藜科)"	"123.15"	"6.346"	"D09004"	"Dobrbvicka-CR"	"70.0"	"17.90"	"2x"	"--"	"多"	"6.21"	"--"	"小"	"国外"	"5.30"	"Dobrbvicka-CR"	"浅"	"国外"	"0.00"	"I6A00145"	"较细"	"可育"	"181.40"	"Beta vulgaris L.(甜菜)"	"ZT000241"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"纺锤"	"792.00"	"4.178"	"88.0"	"中"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"1"	"22.9"	"单茎"	"弱"	"中国农科院甜菜研究所"	"淡绿"	"单茎"	"2.227"	"斜立"	"--"	"--"	"厚"	"14.80"	"中波"	"犁铧"	"8"	"4.281"	"长"	"混"	"光滑"	"270.46"	"LL"	"--"	"18.39"	"1225.68"	"0"	"捷克"	"100.00"	"33.0"	"25.0"	"较光滑"	"5.05"	"2.72"	"淡黄"
"117"	"薄"	"Chenopodiaceae(藜科)"	"120.00"	"8.017"	"D09005"	"D.pro.cercospora"	"65.0"	"55.00"	"2x"	"--"	"多"	"6.29"	"--"	"小"	"国外"	"6.20"	"D.pro.cercospora"	"深"	"国外"	"0.00"	"I6A00146"	"细"	"可育"	"181.69"	"Beta vulgaris L.(甜菜)"	"ZT000242"	"--"	"中"	"--"	"--"	"--"	"90.0"	"波浪"	"纺锤"	"703.00"	"6.060"	"97.0"	"中"	"绿"	"--"	"--"	"MR"	"Beta(甜菜属)"	"1"	"17.9"	"混和"	"弱"	"中国农科院甜菜研究所"	"绿"	"混合"	"3.176"	"斜立"	"--"	"--"	"厚"	"14.90"	"中波"	"犁铧"	"5"	"7.053"	"中"	"混"	"光滑"	"196.18"	"LL"	"--"	"18.29"	"1219.38"	"0"	"捷克"	"90.00"	"35.7"	"40.0"	"光滑"	"5.23"	"2.73"	"淡黄"
"118"	"厚"	"Chenopodiaceae(藜科)"	"99.26"	"3.285"	"D09006"	"Bucianska RP"	"55.0"	"30.00"	"2x"	"--"	"多"	"6.27"	"--"	"中"	"国外"	"6.16"	"Bucianska RP"	"浅"	"国外"	"0.00"	"I6A00147"	"细"	"可育"	"175.03"	"Beta vulgaris L.(甜菜)"	"ZT000243"	"--"	"宽"	"--"	"--"	"--"	"90.0"	"波浪"	"圆锥"	"768.00"	"1.230"	"85.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"17.2"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"1.018"	"直立"	"--"	"--"	"厚"	"17.30"	"中波"	"犁铧"	"9"	"3.821"	"长"	"混"	"光滑"	"514.39"	"Z"	"--"	"15.18"	"1011.73"	"0"	"捷克"	"90.00"	"28.2"	"31.0"	"光滑"	"5.23"	"2.63"	"淡黄"
"119"	"中"	"Chenopodiaceae(藜科)"	"77.03"	"8.051"	"D09007"	"CIKY --T"	"75.0"	"27.30"	"2x"	"--"	"多"	"6.30"	"--"	"小"	"国外"	"6.20"	"CIKY --T"	"浅"	"国外"	"0.00"	"I6A00148"	"细"	"可育"	"165.78"	"Beta vulgaris L.(甜菜)"	"ZT000244"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"616.00"	"3.676"	"97.0"	"中"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"1"	"17.7"	"单茎"	"弱"	"中国农科院甜菜研究所"	"淡绿"	"单茎"	"1.290"	"斜立"	"--"	"--"	"厚"	"15.30"	"中波"	"犁铧"	"5"	"4.725"	"中"	"混"	"光滑"	"367.54"	"LL"	"1"	"16.25"	"1083.35"	"0"	"捷克"	"75.00"	"35.4"	"31.0"	"光滑"	"5.23"	"2.49"	"白"
"120"	"中"	"Chenopodiaceae(藜科)"	"78.58"	"8.883"	"D10002"	"5030 type--E"	"65.0"	"36.50"	"2x"	"--"	"多"	"6.15"	"--"	"大"	"国外"	"5.25"	"5030 type--E"	"浅"	"国外"	"0.00"	"I6A00149"	"细"	"可育"	"172.20"	"Beta vulgaris L.(甜菜)"	"ZT000245"	"--"	"中"	"--"	"1.0"	"--"	"100.0"	"皱褶"	"纺锤"	"870.00"	"3.081"	"80.0"	"多"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"20.8"	"单茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"单茎"	"1.260"	"匍匐"	"--"	"--"	"厚"	"13.80"	"大波"	"犁铧"	"7"	"3.227"	"中"	"混"	"光滑"	"461.21"	"LL"	"--"	"18.72"	"1247.85"	"0"	"丹麦"	"90.00"	"37.0"	"34.0"	"光滑"	"5.03"	"2.58"	"淡黄"
"121"	"中"	"Chenopodiaceae(藜科)"	"67.13"	"4.400"	"D10003"	"丹麦061"	"60.0"	"70.00"	"2x"	"--"	"多"	"6.29"	"--"	"小"	"国外"	"6.17"	"DAN MAI 061"	"浅"	"国外"	"0.00"	"I6A00150"	"粗"	"可育"	"182.93"	"Beta vulgaris L.(甜菜)"	"ZT000246"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"920.00"	"2.738"	"97.0"	"中"	"绿"	"--"	"--"	"HS"	"Beta(甜菜属)"	"0"	"18.0"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"2.460"	"斜立"	"--"	"--"	"厚"	"18.60"	"中波"	"犁铧"	"7"	"2.858"	"中"	"混"	"光滑"	"485.34"	"ZZ"	"--"	"14.75"	"983.49"	"0"	"丹麦"	"94.00"	"39.1"	"41.0"	"较光滑"	"5.23"	"2.74"	"白"
"122"	"厚"	"Chenopodiaceae(藜科)"	"94.85"	"6.782"	"D11001"	"ZWAANESS"	"60.0"	"100.00"	"2x"	"--"	"多"	"6.25"	"--"	"大"	"国外"	"6.11"	"ZWAANESS"	"深"	"国外"	"0.00"	"I6A00151"	"细"	"可育"	"166.47"	"Beta vulgaris L.(甜菜)"	"ZT000247"	"--"	"中"	"--"	"1.0"	"--"	"100.0"	"波浪"	"圆锥"	"856.00"	"3.584"	"96.0"	"中"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"21.2"	"混和"	"较弱"	"中国农科院甜菜研究所"	"绿"	"混合"	"0.901"	"斜立"	"--"	"--"	"厚"	"14.40"	"大波"	"犁铧"	"7"	"4.918"	"长"	"混"	"光滑"	"411.28"	"LL"	"--"	"17.34"	"1156.04"	"0"	"荷兰"	"100.00"	"35.4"	"46.0"	"光滑"	"5.14"	"1.75"	"白"
"123"	"--"	"Chenopodiaceae(藜科)"	"--"	"7.682"	"D08001"	"SB236"	"--"	"--"	"2x"	"--"	"多"	"--"	"--"	"小"	"国外"	"--"	"SB236"	"深"	"国外"	"0.00"	"--"	"细"	"可育"	"--"	"Beta vulgaris L.(甜菜)"	"ZT000248"	"--"	"宽"	"--"	"--"	"--"	"--"	"--"	"圆锥"	"785.00"	"2.063"	"--"	"中"	"绿"	"--"	"--"	"HS"	"Beta(甜菜属)"	"0"	"21.7"	"--"	"较旺"	"中国农科院甜菜研究所"	"绿"	"单茎"	"1.036"	"斜立"	"--"	"--"	"--"	"14.00"	"--"	"犁铧"	"8"	"--"	"中"	"混"	"光滑"	"--"	"LL"	"--"	"18.23"	"--"	"0"	"比利时"	"--"	"29.4"	"18.0"	"光滑"	"--"	"2.55"	"白"
"124"	"厚"	"Chenopodiaceae(藜科)"	"61.76"	"6.226"	"D12004"	"KleinwanzlebenAA"	"50.0"	"50.00"	"2x"	"--"	"多"	"6.23"	"--"	"大"	"国外"	"5.31"	"KleinwanzlebenAA"	"深"	"国外"	"0.00"	"I6A00152"	"细"	"可育"	"167.64"	"Beta vulgaris L.(甜菜)"	"ZT000249"	"--"	"宽"	"--"	"--"	"--"	"90.0"	"波浪"	"圆锥"	"690.00"	"3.173"	"73.0"	"中"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"20.8"	"单茎"	"弱"	"中国农科院甜菜研究所"	"浓绿"	"单茎"	"0.980"	"斜立"	"--"	"--"	"厚"	"14.10"	"中波"	"犁铧"	"6"	"16.877"	"中"	"淡绿"	"光滑"	"238.37"	"LL"	"--"	"17.81"	"1187.66"	"0"	"民主德国"	"65.80"	"34.6"	"44.0"	"光滑"	"5.05"	"2.51"	"白"
"125"	"中"	"Chenopodiaceae(藜科)"	"189.09"	"7.273"	"D13002"	"Type E09"	"55.0"	"40.00"	"2x"	"--"	"多"	"6.22"	"--"	"大"	"国外"	"5.31"	"Type E09"	"较深"	"国外"	"0.00"	"I6A00560"	"细"	"可育"	"152.29"	"Beta vulgaris L.(甜菜)"	"ZT000250"	"--"	"中"	"--"	"--"	"--"	"90.0"	"波浪"	"圆锥"	"837.00"	"2.156"	"80.0"	"中"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"20.3"	"单茎"	"中"	"中国农科院甜菜研究所"	"浓绿"	"单茎"	"0.456"	"斜立"	"--"	"--"	"薄"	"14.20"	"中波"	"犁铧"	"8"	"6.843"	"中"	"淡绿"	"光滑"	"206.98"	"LL"	"--"	"16.12"	"1074.57"	"0"	"英国"	"94.10"	"32.7"	"35.0"	"不光滑"	"5.07"	"2.29"	"淡黄"
"126"	"厚"	"Chenopodiaceae(藜科)"	"111.82"	"9.033"	"D14001"	"S8238 CR"	"75.0"	"25.00"	"2x"	"--"	"多"	"6.17"	"--"	"大"	"国外"	"5.29"	"S8238 CR"	"浅"	"国外"	"0.00"	"--"	"细"	"可育"	"185.30"	"Beta vulgaris L.(甜菜)"	"ZT000251"	"--"	"中"	"--"	"--"	"--"	"100.0"	"皱褶"	"楔形"	"675.00"	"4.052"	"85.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"23.3"	"多茎"	"中"	"中国农科院甜菜研究所"	"淡绿"	"多茎"	"4.957"	"斜立"	"--"	"--"	"厚"	"9.40"	"大波"	"舌形"	"7"	"1.554"	"中"	"混"	"光滑"	"1268.98"	"E"	"--"	"29.57"	"1971.30"	"0"	"联邦德国"	"80.00"	"39.5"	"27.0"	"光滑"	"5.07"	"2.78"	"白"
"127"	"中"	"Chenopodiaceae(藜科)"	"64.62"	"0.573"	"D21001"	"Refer-N"	"60.0"	"73.00"	"2x"	"--"	"多"	"6.19"	"--"	"中"	"国外"	"6.07"	"Refer-N"	"深"	"国外"	"0.00"	"I6A00153"	"细"	"可育"	"196.63"	"Beta vulgaris L.(甜菜)"	"ZT000252"	"--"	"中"	"--"	"--"	"--"	"90.0"	"波浪"	"纺锤"	"669.00"	"2.745"	"88.0"	"多"	"绿"	"--"	"--"	"MR"	"Beta(甜菜属)"	"0"	"21.3"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"2.067"	"斜立"	"--"	"--"	"薄"	"15.60"	"大波"	"犁铧"	"5"	"3.696"	"中"	"混"	"光滑"	"355.44"	"N"	"--"	"18.90"	"1260.45"	"0"	"法国"	"92.00"	"24.0"	"38.0"	"不光滑"	"5.07"	"2.95"	"白"
"128"	"中"	"Chenopodiaceae(藜科)"	"74.61"	"2.525"	"D21002"	"Refer-Z"	"60.0"	"38.70"	"2x"	"--"	"多"	"6.25"	"--"	"小"	"国外"	"6.10"	"Refer-Z"	"深"	"国外"	"0.00"	"I6A00154"	"细"	"可育"	"153.67"	"Beta vulgaris L.(甜菜)"	"ZT000253"	"--"	"中"	"--"	"3.0"	"--"	"100.0"	"波浪"	"纺锤"	"1051.00"	"2.483"	"85.0"	"多"	"绿"	"--"	"--"	"HS"	"Beta(甜菜属)"	"0"	"25.8"	"多茎"	"中"	"中国农科院甜菜研究所"	"绿"	"多茎"	"1.075"	"斜立"	"--"	"--"	"厚"	"15.70"	"大波"	"犁铧"	"8"	"3.652"	"中"	"混"	"光滑"	"387.57"	"LL"	"--"	"14.68"	"978.78"	"0"	"法国"	"75.00"	"29.0"	"34.0"	"光滑"	"5.17"	"2.31"	"白"
"129"	"中"	"Chenopodiaceae(藜科)"	"127.92"	"4.561"	"D21003"	"Refer-ZZ"	"60.0"	"20.00"	"2x"	"--"	"多"	"6.29"	"--"	"小"	"国外"	"6.19"	"Refer-ZZ"	"浅"	"国外"	"0.00"	"I6A00155"	"细"	"可育"	"189.83"	"Beta vulgaris L.(甜菜)"	"ZT000254"	"--"	"宽"	"--"	"1.0"	"--"	"100.0"	"波浪"	"纺锤"	"773.00"	"3.140"	"85.0"	"多"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"18.3"	"混和"	"弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"0.563"	"斜立"	"--"	"--"	"厚"	"16.50"	"中波"	"舌形"	"5"	"4.109"	"中"	"混"	"有毛"	"405.59"	"N"	"--"	"17.26"	"1150.48"	"0"	"法国"	"62.50"	"37.9"	"28.0"	"光滑"	"5.22"	"2.85"	"白"
"130"	"中"	"Chenopodiaceae(藜科)"	"116.63"	"9.350"	"D21004"	"法国甜菜059"	"60.0"	"20.00"	"2x"	"--"	"多"	"6.21"	"--"	"大"	"国外"	"6.23"	"FA GUO TIAN CAI 059"	"浅"	"国外"	"0.00"	"I6A00156"	"细"	"可育"	"194.71"	"Beta vulgaris L.(甜菜)"	"ZT000255"	"--"	"宽"	"--"	"1.0"	"--"	"100.0"	"波浪"	"圆锥"	"715.00"	"4.865"	"80.0"	"中"	"绿"	"--"	"--"	"MR"	"Beta(甜菜属)"	"0"	"12.1"	"单茎"	"较弱"	"中国农科院甜菜研究所"	"浓绿"	"单茎"	"0.680"	"直立"	"--"	"--"	"厚"	"14.70"	"中波"	"犁铧"	"6"	"11.218"	"中"	"混"	"有毛"	"369.11"	"E"	"--"	"19.87"	"1324.54"	"0"	"法国"	"80.00"	"42.1"	"34.0"	"光滑"	"5.22"	"2.92"	"白"
"131"	"中"	"Chenopodiaceae(藜科)"	"59.53"	"11.179"	"D21005"	"MONOVAI"	"65.0"	"30.00"	"2x"	"--"	"多"	"6.21"	"--"	"大"	"国外"	"6.02"	"MONOVAI"	"深"	"国外"	"1.70"	"I6A00157"	"细"	"可育"	"134.19"	"Beta vulgaris L.(甜菜)"	"ZT000256"	"--"	"中"	"--"	"--"	"--"	"90.0"	"波浪"	"圆锥"	"844.00"	"4.765"	"85.0"	"多"	"绿"	"--"	"--"	"HS"	"Beta(甜菜属)"	"1"	"12.6"	"多茎"	"中"	"中国农科院甜菜研究所"	"绿"	"多茎"	"2.202"	"斜立"	"--"	"饲料"	"厚"	"13.70"	"大波"	"舌形"	"6"	"4.063"	"中"	"混"	"有毛"	"441.68"	"LL"	"1"	"14.69"	"979.46"	"0"	"法国"	"100.00"	"43.7"	"29.0"	"不光滑"	"5.09"	"2.01"	"白"
"132"	"中"	"Chenopodiaceae(藜科)"	"88.31"	"3.778"	"D15004"	"Beta C"	"70.0"	"30.00"	"2x"	"--"	"多"	"6.30"	"--"	"中"	"国外"	"6.22"	"Beta C"	"深"	"国外"	"0.00"	"I6A00158"	"粗"	"可育"	"182.41"	"Beta vulgaris L.(甜菜)"	"ZT000257"	"--"	"中"	"--"	"--"	"--"	"90.0"	"波浪"	"圆锥"	"832.00"	"3.617"	"86.0"	"中"	"绿"	"--"	"--"	"HS"	"Beta(甜菜属)"	"0"	"18.8"	"多茎"	"弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"0.723"	"斜立"	"--"	"--"	"厚"	"14.90"	"中波"	"犁铧"	"9"	"16.284"	"中"	"混"	"光滑"	"113.16"	"LL"	"--"	"18.36"	"1224.22"	"0"	"匈牙利"	"66.70"	"38.6"	"21.0"	"光滑"	"5.23"	"2.74"	"白"
"133"	"厚"	"Chenopodiaceae(藜科)"	"131.84"	"8.253"	"D15005"	"Beta Y-19"	"50.0"	"50.00"	"2x"	"--"	"多"	"6.24"	"--"	"小"	"国外"	"6.20"	"Beta Y-19"	"浅"	"国外"	"0.00"	"I6A00159"	"粗"	"可育"	"185.69"	"Beta vulgaris L.(甜菜)"	"ZT000258"	"--"	"中"	"--"	"2.0"	"--"	"100.0"	"波浪"	"圆锥"	"945.00"	"3.207"	"83.0"	"多"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"28.7"	"混和"	"较弱"	"中国农科院甜菜研究所"	"淡绿"	"混合"	"0.361"	"斜立"	"--"	"--"	"厚"	"15.90"	"中波"	"犁铧"	"6"	"5.308"	"中"	"混"	"光滑"	"314.31"	"N"	"--"	"17.52"	"1167.85"	"0"	"匈牙利"	"85.00"	"38.1"	"34.0"	"光滑"	"5.20"	"2.79"	"白"
"134"	"中"	"Chenopodiaceae(藜科)"	"135.33"	"3.634"	"D15006"	"Daunbia E"	"60.0"	"45.00"	"2x"	"--"	"多"	"6.25"	"--"	"中"	"国外"	"6.18"	"Daunbia E"	"浅"	"国外"	"0.00"	"I6A00160"	"较粗"	"可育"	"179.46"	"Beta vulgaris L.(甜菜)"	"ZT000259"	"--"	"中"	"--"	"1.0"	"--"	"90.0"	"波浪"	"圆锥"	"928.00"	"2.640"	"88.0"	"多"	"绿"	"--"	"--"	"HS"	"Beta(甜菜属)"	"0"	"21.8"	"混和"	"中"	"中国农科院甜菜研究所"	"淡绿"	"混合"	"1.130"	"斜立"	"--"	"--"	"厚"	"16.60"	"大波"	"犁铧"	"8"	"8.800"	"长"	"混"	"光滑"	"176.46"	"LL"	"--"	"16.22"	"1081.11"	"0"	"匈牙利"	"70.00"	"40.9"	"35.0"	"不光滑"	"5.23"	"2.69"	"白"
"135"	"薄"	"Chenopodiaceae(藜科)"	"114.96"	"5.637"	"D16002"	"Cesena-Z"	"70.0"	"30.00"	"2x"	"--"	"多"	"6.25"	"--"	"小"	"国外"	"6.14"	"Cesena-Z"	"中"	"国外"	"0.00"	"I6A00161"	"细"	"可育"	"162.63"	"Beta vulgaris L.(甜菜)"	"ZT000260"	"--"	"中"	"--"	"2.0"	"--"	"100.0"	"波浪"	"纺锤"	"536.00"	"1.510"	"91.0"	"少"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"28.0"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"0.825"	"斜立"	"--"	"--"	"厚"	"15.60"	"中波"	"犁铧"	"8"	"2.997"	"中"	"混"	"光滑"	"418.63"	"LL"	"--"	"15.64"	"1042.47"	"0"	"意大利"	"100.00"	"34.2"	"31.0"	"不光滑"	"5.23"	"2.44"	"白"
"136"	"厚"	"Chenopodiaceae(藜科)"	"153.43"	"6.017"	"D17012"	"A.janasz-Aj2"	"70.0"	"69.00"	"2x"	"--"	"多"	"6.19"	"--"	"大"	"国外"	"6.07"	"A.janasz-Aj2"	"浅"	"国外"	"0.00"	"I6A00162"	"细"	"可育"	"191.53"	"Beta vulgaris L.(甜菜)"	"ZT000261"	"--"	"中"	"--"	"--"	"--"	"100.0"	"皱褶"	"纺锤"	"547.00"	"2.661"	"97.0"	"中"	"绿"	"--"	"--"	"HS"	"Beta(甜菜属)"	"0"	"22.9"	"单茎"	"中"	"中国农科院甜菜研究所"	"绿"	"单茎"	"0.958"	"斜立"	"--"	"--"	"厚"	"14.20"	"中波"	"犁铧"	"8"	"5.722"	"长"	"混"	"光滑"	"239.32"	"E"	"--"	"20.23"	"1348.70"	"0"	"波兰"	"92.90"	"40.2"	"37.0"	"光滑"	"5.09"	"2.87"	"淡黄"
"137"	"中"	"Chenopodiaceae(藜科)"	"54.54"	"5.582"	"D17013"	"A.janzsz-Aj4"	"50.0"	"27.80"	"2x"	"--"	"多"	"6.21"	"--"	"大"	"国外"	"6.03"	"A.janzsz-Aj4"	"深"	"国外"	"0.00"	"I6A00163"	"细"	"可育"	"199.69"	"Beta vulgaris L.(甜菜)"	"ZT000262"	"--"	"宽"	"--"	"2.0"	"--"	"100.0"	"波浪"	"圆锥"	"575.00"	"2.405"	"83.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"18.7"	"单茎"	"弱"	"中国农科院甜菜研究所"	"绿"	"单茎"	"0.942"	"斜立"	"--"	"--"	"薄"	"15.00"	"中波"	"犁铧"	"5"	"8.020"	"中"	"混"	"有毛"	"257.26"	"E"	"--"	"19.97"	"1331.24"	"0"	"波兰"	"60.00"	"37.2"	"25.0"	"光滑"	"5.06"	"2.99"	"白"
