"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"别名"	"病原分类地位"	"病原形态特征"	"相关文献"	"防治方法"	"英文名"	"记录号"	"传播途径和发病条件"	"图片"
"336"	"茎基部"	"在南方多见,在北方发生较少"	"茄子白绢病主要为害茎基部。病部初呈褐色腐烂，并产生白色具光泽的绢丝状菌丝体及黄褐色油菜籽状的小菌核，严重时叶柄、叶片凋萎，最后干枯脱落或整株枯死。"	"真菌"	"茄子白绢病"	"齐整小核菌"	"Sclerotium rolfsii  Sacc．"	"茄子"		"半知菌亚门"	"Sclerotium rolfsii  Sacc．称齐整小核菌，属半知菌亚门真菌。有性态为Athelia rolfsii (Curiz)Tu．&Kimbrough．称罗氏阿太菌，属担子菌亚门真菌。形态特征见南瓜白绢病。病菌发育适温32～33℃，最高40℃，最低8℃，最适pH5．9。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"参见南瓜白绢病。"	"Eggplant southern blight"	"ed00470"	"主要以菌核或菌丝体在土壤中越冬，条件适宜，菌核萌发产生菌丝，从寄主茎基部或根部侵入，潜育期3～10天，出现中心病株后，地表菌丝向四周蔓延。发病适温30℃，特别是高温及时晴时雨利于菌核萌发。连作地、酸性土或砂性地发病重。在夏季灌水条件下，菌核经3～4个月就死亡。该病在高温多湿的6～7月易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子白绢病.jpg"
"337"	"叶片、叶柄、茎和果实"		"主要为害叶片、叶柄、茎和果实。叶背面初生水渍状小圆斑，后扩展到叶片正面或果实上。叶斑圆形或近圆形，边缘深褐色，中间灰白色，略凹陷，病斑大小1．5～4．5毫米，后期斑面上散生许多黑色小粒点，即病菌分生孢子器。"	"真菌"	"茄子斑枯病"	"番茄壳针孢"	"Septoria lycopersici Speg．"	"茄子、番茄、马铃薯"	"茄子斑点病"	"半知菌亚门"	"分生孢子器球形或扁  球形，黑色，初埋生于寄主表皮下，后部分突破表皮，外露呈小黑点状；壳壁较疏松，壁外常粘附部分菌丝体，大小49～122．5×49～128．6微米，器孔口外壁较薄，直径7．5～57．5微米；分生孢子生于扁球形器底部，数量大，成熟后由孔口逸出，单个孢子无色，针状，直或微弯，具3～9个隔膜，大小45～90×2．3～2．8微米。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)苗床用新土或两年内未种过茄科蔬菜的阳畦或地块育苗，定植田实行3～4年轮作。(2)从无病株上留种，并用52℃温水浸种30分钟，取出晾干催芽播种。(3)选用抗病品种。(4)高畦栽培，适当密植，注意田间排水降湿。(5)加强田间管理，合理用肥，增施磷钾肥，喷施多效好4000倍液或1．4％复硝钠水剂6000～8000倍液，可提高抗病力；避免种植过密，保持田间通风透光及地面干燥；采收后把病残物深埋或烧毁。(6)发病初期喷洒64％杀毒矾可湿性粉剂400～500倍液或58％甲霜灵•锰锌可湿性粉剂500倍液、80％新万生可湿性粉剂800倍液、75％百菌清可湿性粉剂600倍液、50％混杀硫悬浮剂或60％防霉宝2号水溶性粉剂800倍液、27％高脂膜乳剂80～100倍液，隔10天左右1次，视病情连续防治2～3次。采收前7天停甩百菌清，其他杀菌剂采前3天停用。"	"Eggplant Septoria spot"	"ed00471"	"以菌丝和分生孢子器在病残体、多年生茄科杂草上或附着在种子上越冬，成为翌年初侵染源。一般分生孢子器吸水后，器内胶质物溶解，分生孢子逸出，借风雨传播或被雨水反溅到茄子植株上，从气孔侵入，后在病部产生分生孢子器及分生孢子扩大为害。病菌发育适温22～26℃，12℃以下27．8℃以上发育不良。分生孢子52℃经10分钟致死。高湿利于分生孢子从器内溢出，适宜相对湿度92％～94％，若湿度达不到则不发病。如遇多雨，特别是雨后转晴及茄子生长衰弱、肥料不足易发病。气温20～25℃，潜育期4天左右。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子斑枯病.jpg"
"338"	"叶片"		"茄子赤星病主要为害叶片。初褪绿生苍白色至灰褐色小斑点，后扩展成直径3～8毫米中心暗褐色至红褐色、边缘褐色圆形斑，其上丛生很多黑色小粒点，即病原菌分生孢子器。小黑点呈轮纹状排列，背面黄褐色，后期病斑相互融合成不规则形大斑，易破裂穿孔。"	"真菌"	"茄子赤星病"	"茄壳针孢(茄赤星病菌)"	"Septoria melongenae Saw．"	"茄子"		"半知菌亚门"	"分生孢子器生在叶面，黑色扁球形，埋生，直径70～150微米，孔口直径15～23微米；分生孢子无色多胞，线状或圆筒形，弯曲，大小13～18×1～1．5微米。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)实行2～3年以上轮作。(2)选用早熟品种。如济南94—1早长茄、济丰3号大长茄、紫长茄8591等。(3)从无病茄子上采种。播种前，种子用55℃温水浸15分钟，或52℃温水浸30分钟，再放入冷水中冷却，晾干后播种；或采用50％苯菌灵可湿性粉剂和50％福美双粉剂各1份，泥粉3份混匀后，用种子重量0．1％拌种。(4)苗床消毒，苗床需每年更换新土；播种时，每平方米用50％多菌灵可湿性粉剂10克，或50％福美双粉剂8～10克拌细土2kg制成药土，取1／3撒在畦面上，然后播种，播种后将其余药土覆盖在种子上面，即上覆下垫，使种子夹在药土中间。(5)加强栽培管理，培育壮苗。施足基肥，促进早长早发，把茄子的采收盛期提前在病害流行季节之前均可有效地防治此病。(6)药剂防治。结果后开始喷洒75％百菌清可湿性粉剂600倍液、40％甲霜铜可湿性粉剂600～700倍液、58％甲霜灵•锰锌可湿性粉剂500倍液、64％杀毒矾可湿性粉剂500倍液、70％乙膦•锰锌可湿性粉剂500倍液、50％苯菌灵可湿性粉剂1000倍液、1：1：200倍式波尔多液，视天气和病情隔10天左右1次，连续防治2～3次。采收前7天停用百菌清，其他杀菌剂采前3天停止用药。"	"Eggplant Septoria leaf spot"	"ed00472"	"病菌以菌丝体和分生孢子随病残体留在土壤中越冬，翌春条件适宜产生分生孢子，借风雨传播蔓延，引起初侵染和再侵染。温暖潮湿，连阴雨天气多的年份或地区易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子赤星病.jpg"
"339"	"叶片和果实"		"主要为害植株的中下部叶片和果实。发病初期先在叶面出现淡褐色水浸状小斑点，后扩展成不规则形或近圆形大小不等的病斑，边缘褐色至深褐色，中央灰褐色至灰白色，病斑中央散生有很多小黑点，四周有一圈较宽的褪绿晕圈，病情严重时，叶上病斑连成大片或病斑满布，引致叶片早枯或脱落。"	"真菌"	"茄子褐斑病"	"茄叶点霉"	"Phyllosticta melongenae Sawada"	"茄子"	"叶点病"	"半知菌亚门"	"分生孢子器球形或近球形，较小，大小73～112微米，黑色，叶面生，分生孢子器孔口直径10～15微米；分生孢子单胞，平滑，无色，椭圆形或长椭圆形至卵形，大小9～13×6～7．5微米。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)实行2年以上轮作。(2)覆盖地膜，可减少初侵染。(3)合理灌溉，适时适量控制浇水，雨后及时排水，必要时把植株下部老叶打去，增加通透性。(4)采用配方施肥技术，增施有机肥，每667m 2 施尿素70kg、重过磷酸钙37kg、硫酸钾25kg，影响茄子三因素依次为钾>氮>磷。每667m 2 单产1000kg，应施尿素55kg，重过磷酸钙23kg、硫酸钾22kg。此外也可喷施惠满丰多元素复合有机活性液肥，每667m 2 用量300毫升、稀释500倍，喷叶2～3次。(5)发病初期开始喷洒75％百菌清可湿性粉剂600～700倍液或70％代森锰锌可湿性粉剂500倍液、64％杀毒矾可湿性粉剂500倍液、58％甲霜灵锰锌可湿性粉剂500倍液。采前7天停止使用百菌清，其余采前3天停止用药。"	"Eggplant Phyllosticta brown leaf spot"	"ed00473"	"以菌丝体或分生孢子器随病残体在土下越冬，翌春产生分生孢子，借风雨传播，遇有适宜的发病条件，分生孢子萌发经伤口或气孔侵入，潜育期7～8天，可进行多次重复侵染，致病害不断加重。该菌喜高温高湿条件，发病适温24～28℃，相对湿度高于85％或连阴雨、多露利其流行。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子褐斑病.jpg"
"340"	"叶片"		"主要为害叶片，初生褐色至暗褐色圆形病斑，直径约2～15毫米，具同心轮纹，后期中心变成灰白色，病斑易破裂或穿孔。"	"真菌"	"茄子褐轮纹病"	"茄壳二胞"	"Ascochyta  melongenae Padman．"	"茄子"	"茄轮纹灰心病"	"半知菌亚门"	"分生孢子器生在叶的表皮下面，黄褐色，球形或近球形，呈轮纹状排列，直径100～145微米，孔口径18～21微米；分生孢子长圆形至椭圆形，双细胞无色、透明，正直或稍弯曲，中间生一隔膜，分隔处稍收缩，大小7．5～11×4～4．5微米。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)农业防治，采用无病种子。(2)注意田间湿度，雨后及时排水和通风，低湿田块，湿度大，要适当密植，在常发地块，应实行2～3年轮作。(3)发病初期开始喷洒75％百菌清可湿性粉剂600倍液或50％甲基硫菌灵悬浮剂700～800倍液、70％代森锰锌干悬粉500倍液、50％混杀硫悬浮剂500倍液。棚室保护地可用45％百菌清烟剂，每667m 2 250克熏烟，隔7～10天1次，连续防治2～3次。使用百菌清的采收前7天停止用药，使用其他杀菌剂采前3天停止用药。"	"Eggplant Ascochyta leaf spot"	"ed00474"	"病菌以分生孢子器和分生孢子在病残体上越夏或越冬。翌春气温上升，空气湿度升高时，分生孢子器从孔口逸出大量分生孢子侵染叶片，随后进行多次再侵染。一般春、夏阴湿田块易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子褐轮纹病.jpg"
"341"	"根部"		"主要为害根部，初主根或支根表皮变褐，皮层遭到破坏或腐烂，病部生有许多黑色小粒点，即病原菌的小菌核。有土或无土栽培时均有发生。"	"真菌"	"茄子黑点根腐病"	"墨色刺盘孢"	"Colletotrichum atramentarium(Berkeley et Broome)Taubenhaus"	"茄子"		"半知菌亚门"	"参见番茄黑点根腐病。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"参见番茄黑点根腐病。"	"Eggplant black—dot root rot"	"ed00475"	"参见番茄黑点根腐病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子黑点根腐病.jpg"
"342"	"茎基部及果柄"		"主要为害地上部或茎基部及果柄，初病部变褐，皮层腐烂，表皮内外生有粉红色霉状物，致植株黄化、矮小或萎凋后死亡，一般不落叶。"	"真菌"	"茄子红腐病"	"串珠镰孢中间品种"	"Fusarium moniliforme  P var．intermedium Neish et Leggett"	"茄子"		"半知菌亚门"	"Fusarium moniliforme  P var．intermedium Neish et Leggett称串珠镰孢中间品种，属半知菌亚门真菌。在PSA培养基上生长快，子座黄色至肉色，气生菌丝白色至淡粉红色，具大小两种分生孢子。大型分生孢子新月形略弯，向两端渐尖削，顶端略钝，另1端较锐，具隔膜2～5个；大小24．8～52．8×2．7～4微米。小型分生孢子串球状，单胞、无色，长椭圆形或纺锤形，大小5．3～19．8×2．5～3．6微米；无厚垣孢子。有性态不清楚。病菌发育最适温度为25℃，致死温度54℃6分钟，对阳光抗力强。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)实行3～4年以上轮作。(2)提倡施用酵素菌沤制的堆肥等微生物肥料。如5406菌肥，可减轻发病。(3)发病重的地区，在定植时采用10％放线酮适量与土混匀后撒入定植穴，后定植。(4)发病初期喷淋50％苯菌灵可湿性粉剂1500倍液或60％防霉宝超微可湿性粉剂600～700倍液。采收前3天停止用药。"	"Eggplant Fusarium rot"	"ed00476"	"病菌以菌丝、分生孢子在病株上、种子上、病残体上及土壤中越冬，翌年，苗期、成株均可染病，种子发芽时，分生孢子萌发，长出芽管，从伤口侵入，引起发病。适温22～28℃，在发病期间降雨多，相对湿度大易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子红腐病.jpg"
"343"	"花器和果实"		"主要为害花器和果实。花器染病后变褐腐烂，病花脱落或挂在枝上。果实染病后变褐软腐，果梗呈浅褐色或灰白色，病部组织水份消失逐渐干缩，湿度大时，病部密生白色或灰白色茸毛状物，顶生大头针状黑色孢囊梗及孢子囊。"	"真菌"	"茄子花腐病"	"茄笄霉"	"Choanephora mandshurica(Saito．Et  Nagamoto)Tai"	"茄子"		"接合菌亚门"	"Choanephora mandshurica(Saito．Et  Nagamoto)Tai称茄笄霉，属接合菌亚门真菌。大小孢子囊都产生，多生在同一菌丝上，大孢子囊生在直立不分枝的孢囊梗顶端；分生孢子梗直立；主轴顶端  呈双叉状分枝，孢子囊直径30～60微米，孢囊孢子两端各具一束纤毛。为害茄果类、瓜类、豆类  的花器和果实。此外C．cucurbitarum也可引起该病。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"参见黄瓜花腐病。"	"Eggplant Choanephora blossom rot"	"ed00477"	"参见黄瓜花腐病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子花腐病.jpg"
"344"	"叶片"		"茄子煤斑病多见于棚室，主要为害叶片、从下向上扩展，初仅在叶表面形成直径2～3毫米黄色小圆斑，后扩展到5～10毫米或更大，黄褐色，在叶上密生灰褐色煤烟状霉，后病斑边缘为黄色，中间褐色，严重的叶片枯黄脱落。"	"真菌"	"茄子煤斑病"	"酸浆假尾孢"	"Pseudocercospora deightonii Minter"	"除侵染茄子外，也能引致鸡旦果叶斑病。"		"半知菌亚门"	"Pseudocercospora deightonii Minter称酸浆假尾孢，异名Cercospora deightenii Chupp属半知菌亚门真菌。分生孢子梗浅褐色，簇生，分枝少，常弯曲，具隔膜2～5个；分生孢子单生，倒棍棒状，无色，有隔膜2～10个。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)加强棚室通风换气，适当降温排湿，防止湿气滞留，生产上要浇水适量，避免浇水过勤过多，防止高温高湿持续时间过长是防止该病重要基础措施。(2)发现病株或点片发生时，喷洒70％甲基硫菌灵悬浮剂800～1000倍液或50％多霉威(多菌灵加万霉灵)可湿性粉剂1000倍液、60％防霉宝超微可湿性粉剂800倍液、50％苯菌灵可湿性粉剂1500倍液，隔7～10天1次，防治1次或2次。采前7天停止用药。"	"Eggplant Pseudocereospora leaf spot"	"ed00478"	"以菌丝体或分生孢子在病叶上越冬或越夏，翌年产生分生孢子，借风雨传播蔓延，进行初侵染和再侵染。气温24～28℃、湿度大易发病，本病属高温域病害。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子煤斑病.jpg"
"345"	"叶片"		"国内新分布。该病主要为害叶片，初在叶面上生褐色至深褐色轮纹斑，大小5～10毫米，轮纹细密，从叶背面看病斑不明显，别于交链孢菌引起的早疫病和褐轮纹病。"	"真菌"	"茄子细轮纹病"	"仁果茎点霉或楸子茎点霉"	"Phoma pomarum Thüm"	"茄子"		"半知菌亚门"	"Phoma pomarum Thüm，称仁果茎点霉或楸子茎点霉，属半知菌亚门真菌。分生孢子器圆球形，深褐色，大小55．4～155×55．4～144微米，平均为84．6×78．7微米；孔口大小11.08～44．3×11．08～33．2微米，平均为28×21．9微米；分生孢子单胞无色透明，大小4．1～8．1×2．7～6．8微米，平均6×4．2微米。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)选用耐涝品种。如丰研1号、济南早小长茄、九叶茄等。(2)茄子收获后马上清除病残体，及时深翻。对减轻发病具重要作用。(3)加强田间管理，采用配方施肥技术，适时适量追肥，科学合理浇水，雨后及时排水，防止湿气滞留。(4)发病初期开始喷洒75％百菌清可湿性粉剂600倍液或50％苯菌灵可湿性粉剂1500倍液，隔10天左右1次，连续防治2～3次。采收前7天停止用药。"	"Eggplant Phoma leaf spot"	"ed00479"	"云南8月发病，病菌以菌丝体和分生孢子器在病残体上越冬，翌年产生分生孢子从叶片侵入，生产上冬季清园不彻底，排水状况不良，偏施过旌氮肥易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子细轮纹病.jpg"
"346"	"叶和果实"		"主要为害茄子的叶和果实。叶片染病初现边缘不明显的褪绿斑点，病斑背面长有榄绿色绒毛状霉，即病菌分生孢子梗和分生孢子，致病叶早期脱落。果实染病，病部呈黑色，革质，多从果柄蔓延下来，致果实现白色斑块，成熟果实病斑黄色下陷，后渐变黑色，最后成为僵果。"	"真菌"	"茄子叶霉病"	"褐孢霉"	"Fulvia fulva(Cooke)Cif．异名Cladosporium  fulvum Cooke"	"茄子"		"半知菌亚门"	"Fulvia fulva(Cooke)Cif．异名Cladosporium  fulvum Cooke称褐孢霉，属半知菌亚门真菌。分生孢子梗多数丛生，暗橄榄色，顶端淡色，上生1～3个孢子再向上生长30～60微米，后再生1次孢子，生孢子处孢子梗膨大呈节状，大小140～365×4～6微米；分生孢子卵形至椭圆形或长椭圆形，无色或暗橄榄色，具0～3个隔膜，单细胞的大小5～11×3～5微米，双细胞的6～19×4～8微米，3～4个细胞的11～22×5～7微米，本菌有生理分化现象。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)收获后及时清除病残体，集中深埋或烧毁。(2)栽植密度应适宜，雨后及时排水，注意降低田间湿度。(3)发病初期开始喷洒50％多菌灵可湿性粉剂800倍液或47％加瑞农可湿性粉剂800～1000倍液、40％杜邦新星(福星)乳油9000倍液、60％防霉宝2号水溶性粉剂1000倍液，每667m 2 喷对好的药液60～65升，隔10天左右1次，连续防治2～3次。采前3天停止用药。"	"Eggplant Fulvia leaf mold"	"ed00480"	"病菌主要以菌丝体和分生孢子随病残体遗留在地面越冬，翌年气候条件适宜时，病组织上产生分生孢子，通过风雨传播，分生孢子在寄主表面萌发后从伤口或直接侵入，病部又产生分生孢子，借风雨传播进行再侵染。植株栽植过密，株间生长郁闭，田间湿度大或有白粉虱为害易诱发此病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/茄子叶霉病.jpg"
"347"	"根部或根颈部"		"芹菜、西洋芹在温室或塑料棚室育苗期间发生死苗，病苗根部或根颈部变为红褐色，严重时大量死苗，症状与枯萎病近似，不易区分，是芹菜上常见病害，有的棚室发生死苗，是镰刀菌引起的，多以丝核菌为主。"	"真菌"	"芹菜(西芹)立枯病"	"立枯丝核菌"	"Rhizoctonia solani kühn"	"芹菜"		"半知菌亚门"	"Rhizoctonia solani kühn称立枯丝核菌，属半知菌亚门真菌；有性态为Thanatephorus  cucumeris(Frank)Donk称瓜亡革菌，属担子菌亚门真菌。R．solani可分做十多个菌丝融合群，AG2—2引起根腐病，AG2—2的担孢子还可引起叶枯病。 病菌形态特征参见冬瓜立枯病。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"参见冬瓜立枯病。"	"Celery Rhizoctonia rot"	"ed00481"	"参见冬瓜立枯病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/芹菜(西芹)立枯病.jpg"
"348"	"根茎部和叶柄基部"		"主要为害根茎部和叶柄基部，多在近地面处染病，有时也侵染根，染病后受害部先变灰褐色，扩展后变成暗绿色至黑褐色，初病部表皮完好无损，后破裂露出皮下染病组织变黑腐烂，尤以根冠部易腐烂，叶下垂，呈枯萎状，腐烂处很少向上或向下扩展，病部生出许多小黑点，即病原菌的分生孢子器。严重的外叶腐烂脱落。"	"真菌"	"芹菜黑腐病"	"芹菜茎点霉"	"phoma apiicola Kleb．"	"芹菜和根芹菜"	"基腐病"	"半知菌亚门"	"phoma apiicola Kleb．称芹菜茎点霉，属半知菌亚门真菌。幼嫩菌丝初无色，老熟后长成黑色，在马铃薯琼脂培养基上能产生小菌核。分生孢子器球形或半球形，黑色，初埋生后外露，多在不明显的斑点中形成；分生孢子器上具孔口，产孢细胞多单细胞，产孢方式为瓶梗式别于叶点霉菌。分生孢子单胞无色，长椭圆形，大小3．0～3．8×1．0～1．6微米。病菌生长发育和分生孢子萌发温限5～30℃，16～18℃最适。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"参见芹菜叶点霉叶斑病。"	"Celery black rot"	"ed00482"	"主要以菌丝附在病残体或种子上越冬。翌年播种带病的种子，长出幼苗即猝倒枯死，病部产生分生孢子借风雨或灌溉水传播，孢子萌发后产生芽管从寄主表皮侵入进行再侵染，生产上移栽病苗易引起该病流行。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/芹菜黑腐病.jpg"
"349"	"全株"		"芹菜、西洋芹苗期染病后，表现生长缓慢，当气温达到20℃以上时，叶色由绿变为黄绿色，致幼苗萎蔫或枯死。成株染病在高温季节叶片无光泽，叶色变暗淡，严重时叶片失绿或脉间叶肉出现黄绿相间斑驳，剖开病茎维管束变褐或根及根颈部、叶柄变为红色，根系腐烂致整株枯死。"	"真菌"	"芹菜黄萎病"	"尖镰孢菌芹菜专化型"	"Fusarium oxysporum f．sp．apii(Nels．et Sherb．)Snyder&Hansen"	"该菌只侵染芹菜"		"半知菌亚门"	"Fusarium oxysporum f．sp．apii(Nels．et Sherb．)Snyder&Hansen称尖镰孢菌芹菜专化型，属半知菌亚门真菌。菌丝无色具隔膜；大型分生孢子无色透明，纺锤形，多具3个隔膜；小型分生孢子单细胞，无色透明，多具1个隔膜；厚垣孢子单生或串生，梨形，厚垣孢子多顶生或间生，孢子内生。病菌发育适温28℃左右，最高36℃，最低8℃。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)选用抗枯萎病品种。(2)其他方法参见菠菜枯萎病。此外也可选用98％迈隆粒剂，每平方米用60克撤布在畦面上耙入土中混匀，保持土壤湿润，7天后再松动土壤使残留药气散失后5～7天后再播种。"	"Celery Fusarium wilt"	"ed00483"	"病菌主要以厚垣孢子留在土中越冬，翌年条件适宜时，病菌从芹菜的幼嫩细根入侵后，致寄主皮层破裂或腐烂，该菌侵入后多寄生在根或根颈及叶柄维管束中，由于菌丝大量繁殖，致营养物质或水分向上运输受到妨碍。该病潜育期20天左右，土温高或气温20～32℃利于发病，气温28℃发病重。低于7．7℃或高于36℃发病轻。生产上干燥地块或育苗畦易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/芹菜黄萎病.jpg"
"350"	"叶片、叶柄"		"芹菜、西芹灰霉病是近年棚室保护地新发生的病害。一般局部发病，开始多从植株有结露的心叶或下部有伤口的叶片、叶柄或枯黄衰弱外叶先发病，初为水浸状，后病部软化、腐烂或萎蔫，病部长出灰色霉层，即病菌分生孢子梗和分生孢子。长期高湿、芹菜整株腐烂。"	"真菌"	"芹菜灰霉病"	"灰葡萄孢"	"Botrytis cinerea Pers．"	"芹菜、西芹"		"半知菌亚门"	"Botrytis cinerea Pers．称灰葡萄孢，属半知菌亚门真菌。有性态为Botryotinia  fuckeliana(de Bary)Whetzel称富氏葡萄孢盘菌。子座埋生在寄主组织内，分生孢子梗细长从表皮表面长出，直立，分枝少，深褐色，具隔膜6～16个，大小880～2340×11～22微米，分生孢子梗端先缢缩后膨大，膨大部具小瘤状突起，突起上着生分生孢子；分生孢子单胞无色，近球形或椭圆形，大小5～12．5×3～9．5微米。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)保护地芹菜采用生态防治法，加强通风管理。具体作法为变温管理：即晴天上午晚放风，使棚温迅速升高，当棚温升至33℃，再开始放顶风，31℃以上高温可减缓该菌孢子萌发速度，推迟产孢，降低产孢量。当棚温降至25℃以上，中午继续放风，使下午棚温保持在25～20℃；棚温降至20℃关闭通风口以减缓夜间棚温下降，夜间棚温保持15～17℃；阴天打开通风口换气。(2)浇水宜在上午进行，发病初期适当节制浇水，严防过量，每次浇水后，加强管理，防止结露。(3)保护地可施用15％腐霉利烟剂，每667m 2 200克或特克多烟剂，每100立方米用量50克(1片)；45％百菌清烟剂，667m 2 250克熏1夜，隔7～8天1次，也可于傍晚喷撒5％百菌清粉尘剂667m 2 lkg隔9天1次，视病情注意与其他杀菌剂轮换交替使用。(4)于发病初期开始喷洒50％腐霉利可湿性粉剂1000～1500倍液或5％灭霉灵粉尘667m 2 1kg、50％得益可湿性粉剂600倍液、45％特克多(噻菌灵)悬浮剂3000～4000倍液、50％扑海因(异菌脲)可湿性粉剂1500倍液、60％防霉宝(多菌灵盐酸盐)超微粉600倍液、2％武夷菌素(BO一10)水剂150倍液，隔7～10天1次，共3～4次。由于灰霉病菌易产生抗药性，应尽量减少用药量和施药次数，必须用药时，要注意轮换或交替及混合施用。如喷洒50％扑海因可湿性粉剂2000倍液加50％甲基硫菌灵可湿性粉剂1000倍液。对上述杀菌剂生产抗药性的地区可改用65％甲霉灵(硫菌•霉威)可湿性粉剂1500倍液或50％多霉灵(多霉威)可湿性粉剂1000～1500倍液于发病初期使用，隔14天左右再防1次，连续防治3～4次。采收前3天停止用药。"	"Celery gray mold"	"ed00484"	"主要以菌核在土壤中或以菌丝及分生孢子在病残体上越冬或越夏。翌春条件适宜，菌核萌发，产生菌丝体和分生孢子梗及分生孢子。分生孢子成熟后脱落，借气流、雨水或露珠及农事操作进行传播，萌发时产出芽管，从寄主伤口或衰老的器官及枯死的组织上侵入，发病后在病部又产生分生孢子，借气流传播进行再侵染。本菌为弱寄生菌，可在有机物上腐生。发育适温20～23℃，最高31℃，最低2℃。对湿度要求很高，一般12月至翌年5月，气温20℃左右，相对湿度持续90％以上的多湿状态易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/芹菜灰霉病.jpg"
"351"	"叶片"		"主要为害叶片。老叶染病多始于叶尖或叶缘，初现水渍状褪绿小斑点，后逐渐扩大成不规则形或半圆形大斑，中间灰白色，边缘青褐色，湿度大时病斑背面长出子实体，后期病斑上密集黑色小粒点，即病原菌的分生孢子器，严重的病斑连片，致叶片干枯，棚室为害较重，生产上有扩展之势。"	"真菌"	"芹菜叶点霉叶斑病"	"芹菜叶点霉"	"Phyllosticta apii Halst"	"芹菜,西芹"	"芹菜或西芹叶斑病"	"半知菌亚门"	"分生孢子器球形或半球形，器上有明显孔口，初埋生在组织中，后外露或仅从孔口表皮露出，不具刚毛状物；分生孢子梗短小或无；分生孢子小，卵形或圆筒形，单胞无色或色浅，产孢方式为环痕式。器孢子单细胞，无色至近无色，圆形或椭圆形，透明。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)选用津南实芹、夏芹、冬芹、文图拉、玻离脆、春丰、天马、上海大芹等品种。实行2～3年轮作。(2)采用高畦栽培，开好排水沟，避免畦沟积水。采用遮阳网覆盖。(3)发病初期开始喷洒56％靠山水分散微颗粒剂(氧化亚铜)800～1000倍液或36％甲基硫菌灵悬浮剂500倍液、50％多菌灵可湿性粉剂600倍液、60％防霉宝超微可湿性粉剂800～900倍液、50％苯菌灵可湿性粉剂1500倍液，30％氧氯化铜悬浮剂800倍液、30％绿得保悬浮剂400倍液，隔7～10天1次，连续防治2～3次，采收前3天停止用药。"	"Celery Phyllosticta leaf spot"	"ed00485"	"病菌主要以分生孢子器在病残体或种子上越冬，翌年种植带病的种子可引致芹菜发病；病部产生的分生孢子借风雨传播，孢子萌发产生芽管直接从寄主表皮侵入。7～8月连阴雨多，降雨量集中且大的年份或栽植病苗发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/芹菜叶点霉叶斑病.jpg"
