"id"	"记录号"	"分类"	"标题书名"	"作者"	"信息类型"	"信息来源"	"出版日期"	"出版者"	"出版地"	"载体形态"	"登录号"	"关键词"	"正文文摘"	"附件"
"32"	"GJ00032"	"S51-092.48"	"二如亭群芳谱:亨部.第一册,谷谱"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"60页, 26cm"	"G001583"	"荞麦；豆类作物；禾谷类作物；薏苡；农业生产；古代；中国"	"本册包括：农道、稼说、论耕、任地、辩土、地员、土化、金粟、田事宜忌、麦、稷、黍、粟谷、稻谷、脂麻、蜀黍、薏苡、黑豆、黄豆、白豆、绿豆、赤豆、豌豆、荞麦。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001583/"
"33"	"GJ00033"	"S63-092.48"	"二如亭群芳谱:亨部.第二册,蔬谱一"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"56页, 26cm"	"G001584"	"蔬菜园艺；古代；中国；椒；葱蒜；芥菜；绿叶菜；根菜"	"本册包括：老圃赋、圃神、栽种、制用、禁忌、菜异、种顷刻菜法，以及椒、茴香、葱、韭、蒜、芥、芹、芫荽、萝卜、薤等蔬菜。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001584/"
"34"	"GJ00034"	"S63-092.48"	"二如亭群芳谱:亨部.第三册,蔬谱二"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"54页, 26cm"	"G001585"	"瓜菜；豆荚菜；绿叶菜；根菜；葱蒜；白菜；蔬菜园艺；古代；中国"	"本册介绍了菠菜、白菜、茼蒿、山药、甘薯、生菜、蕹菜、稍瓜、菜瓜、丝瓜、冬瓜、南瓜、葫芦、瓠子、茄子、蚕豆、豇豆、刀豆、甘露子、藜、荠、苦菜、蕨、薇等蔬菜。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001585/"
"35"	"GJ00035"	"S65-092.48"	"二如亭群芳谱:亨部.第四册,果谱一"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"55页, 26cm"	"G001586"	"木瓜；葡萄；无花果；枇杷；樱桃；棣棠；棠梨；梨；苹果；柰；梅；古代；水果；中国"	"本册主要介绍梅、林禽、柰、苹果、梨、棠梨、棣棠、樱桃、枇杷、木瓜、葡萄、无花果等水果。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001586/"
"36"	"GJ00036"	"S66-092.48"	"二如亭群芳谱:亨部.第五册,果谱二"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"55页, 26cm"	"G001587"	"果树园艺；古代；中国；桃；杏；李；柿；山查；杨梅；橄榄；枣"	"本册主要介绍了桃、杏、李、柿、山查、杨梅、橄榄、枣。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001587/"
"37"	"GJ00037"	"S66-092.48"	"二如亭群芳谱:亨部.第六册,果谱三"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"60页, 26cm"	"G001588"	"果树园艺；古代；中国；荔枝；龙眼；石榴；柑橘；坚果"	"本册主要介绍了荔枝、龙眼、石榴、橘、柑、橙、栗、榛、榧、银杏、核桃、马槟榔。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001588/"
"38"	"GJ00038"	"S65-092.48"	"二如亭群芳谱:亨部.第七册,果谱四"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"61页, 26cm"	"G001589"	"瓜果园艺；古代；中国；西瓜；甘蔗；百合；慈姑；荸荠；菱；芡；莲；芋"	"本册主要介绍了西瓜、甜瓜、甘蔗、百合、芋、莲、芡、菱、荸荠、慈姑的相关知识。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001589/"
"39"	"GJ00039"	"S571.1-092.48"	"二如亭群芳谱:利部.第一册,茶谱"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"60页, 26cm"	"G001590"	"竹；茶；古代；中国"	"本册包括：茶谱小序、茶谱首简、茶经、茶、水、竹谱小序、竹谱首简、竹纪、养竹记竹，以及淡竹、碧竹、石竹、越王竹、新化细竹。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001590/"
"40"	"GJ00040"	"S56-092.48"	"二如亭群芳谱:利部.第二册,桑麻葛谱"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"34页, 26cm"	"G001591"	"麻类作物；纤维作物；古代；中国"	"本册主要包括：桑、苎麻、大麻、苘麻、葛、棉、斑枝花。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001591/"
"41"	"GJ00041"	"S567-092.48"	"二如亭群芳谱:利部.第三册,药谱一"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"61页, 26cm"	"G001592"	"药用作物；古代；中国"	"本册主要介绍：前人对药学的论述、桂、干草、艾、黄蓍、人参、地黄、术、檀香、当归、川芎、五加、地榆、黄精、牛膝。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001592/"
"42"	"GJ00042"	"S567-092.48"	"二如亭群芳谱:利部.第四册,药谱二"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"79页, 26cm"	"G001593"	"药用植物；古代；中国；郁李；茯苓；麦冬；防风；益母草；栝楼；使君子；覆盆子；香附子；列当；肉苁蓉；仙"	"本册主要介绍：茯苓、麦冬等二十种中药才。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001593/"
"43"	"GJ00043"	"S567-092.48"	"二如亭群芳谱:利部.第五册,药谱三"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"51页, 26cm"	"G001594"	"药用植物；古代；中国"	"本册主要介绍药用植物二十种：黄连、黄蘖、黄芩、金银藤、紫草、三七、紫菀、决明、半夏、牵牛、景天、谷精、蓖麻、王瓜、麻黄、香薷、紫苏、薄荷、泽兰、大风子。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001594/"
"44"	"GJ00044"	"S68-092.48"	"二如亭群芳谱:利部.第六册,木谱一"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"54页, 26cm"	"G001595"	"育苗技术；观赏树木；古代；中国"	"本册主要介绍栽种树木的知识和十种树木：梓、松、柏、椿、楸、樟、楠、梧桐、杉、冬青。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001595/"
"45"	"GJ00045"	"S68-092.48"	"二如亭群芳谱:利部.第七册,木谱二"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"55页, 26cm"	"G001596"	"森林树种；古代"	"本册主要介绍十四种树木：檀、枫、楮、榆、槐、柳、杨、皂角、女贞、乌柏、楂、漆、棕榈、藤。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001596/"
"46"	"GJ00046"	"S68-092.48"	"二如亭群芳谱:贞部.第一册,花谱一"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"62页, 26cm"	"G001597"	"花卉；古代；中国"	"本册主要介绍有关花的民俗文化和十六种花卉：海棠、紫薇、玉蕊、玉兰、木兰、辛夷、紫荆、山茶、栀子、合欢、木芙蓉、木槿、扶桑、腊梅、绣球、夹竹桃。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001597/"
"47"	"GJ00047"	"S68-092.48"	"二如亭群芳谱:贞部.第二册,花谱二"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"64页, 26cm"	"G001598"	"木本花卉；藤本花卉；花卉；古代；中国"	"本册主要介绍木本两种和藤本十一种花卉：牡丹、瑞香、迎春、凌霄花、素馨、茉莉、木香、玫瑰、刺蘼、金沙罗、蔷薇、月季花、金雀花。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001598/"
"48"	"GJ00048"	"S68-092.48"	"二如亭群芳谱:贞部.第三册,花谱三"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"84页, 26cm"	"G001599"	"花卉；古代；中国"	"本册主要介绍花卉五种：葵、萱、兰、蕙、菊。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001599/"
"49"	"GJ00049"	"S681-092.48"	"二如亭群芳谱:贞部.第四册,花谱四"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"34页, 26cm"	"G001600"	"古代；中国；草本花卉"	"本册主要介绍草本十六种花卉：芍药、水仙、玉簪、凤仙、罂粟、丽春、金钱、剪春罗、金盏、鸡冠、山丹、沃丹、石竹、四季花、滴滴金。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001600/"
"50"	"GJ00050"	"S68-092.48"	"二如亭群芳谱:贞部.第五册,卉谱一"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"32页, 26cm"	"G001601"	"花卉；古代；中国"	"本册主要介绍十一种花草：蓍、芝、菖蒲、吉祥、商陆、红花、茜草、蓝、擘蓝、苜蓿、蒺藜。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001601/"
"51"	"GJ00051"	"S68-092.48"	"二如亭群芳谱:贞部.第六册,卉谱二"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"49页, 26cm"	"G001602"	"花草；杂草；野菜；水草；古代；中国"	"本册主要介绍三十种草类植物：天竹、虎刺、芸香、芭蕉、攘荷、书带、翠云、虞美人、老少年、鸳鸯草、芦、蓼、萍、藻、淡竹叶、卷耳、虎耳、车前等。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001602/"
"52"	"GJ00052"	"S865.3-092.48"	"二如亭群芳谱:贞部.第七册,鹤鱼谱"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"22页, 26cm"	"G001603"	"观赏动物；古代；中国；金鱼；鹤"	"本册主要收录了《相鹤经》《养鱼经》，介绍了鹤、金鱼。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001603/"
"53"	"GJ00053"	"S-092.48"	"农政全书,原序"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"26页"	"G005758"	"农业；古代；中国"	"明末大型综合性农书。作者徐光启，字子先，号玄扈，松江人。官至文渊阁大学士。徐氏既重学习，又重实践，对天文、历法、数学等多所研究，造诣颇深。所著《农政全书》是他从事农业实践与科学研究的集结。《农政全书》六十卷，50余万字。分农本、田制、水利、农器、树艺、蚕桑、蚕桑广类、种植、牧养、制造、荒政12门。内容广泛，大体分为农政与技术两部分。书中还介绍了""泰西水法""，这是我国对西方近代水利技术最早的介绍。该书旁征博引，引用文献达225种，占十分之九；又通过夹注、评语，阐明自己的见解。他以近代科学方法分析农业问题，在北方试种水稻，以实际行动反对""唯风土论""。《农政全书》于崇祯十二年（1639）由其门生陈子龙整理刊刻，称""平露堂""本。对该书进行研究的学者颇多。1979年上海古籍出版社出版有石声汉校注的新版本。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005758/"
"54"	"GJ00054"	"S-092.48"	"农政全书.卷一,农本：经史典故、诸家杂论上"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"31页"	"G005759"	"古代；中国；农业理论"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005759/"
"55"	"GJ00055"	"S-092.48"	"农政全书.卷二,农本：诸家杂论下"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"21页"	"G005760"	"古代；中国；农业理论"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005760/"
"56"	"GJ00056"	"S-092.48"	"农政全书.卷三,农本-国朝重农考"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"24页"	"G005761"	"古代；中国；农业理论"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005761/"
"57"	"GJ00057"	"S34-092.48"	"农政全书.卷四,田制-元扈先生井田考"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"28页"	"G005762"	"农业；古代；中国；耕作制度"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005762/"
"58"	"GJ00058"	"S34-092.48"	"农政全书.卷五,田制-农桑决田制篇"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"20页"	"G005763"	"农业；古代；中国；耕作制度"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005763/"
"59"	"GJ00059"	"S342-092.48"	"农政全书.卷六,农事-营治上"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"18页"	"G005764"	"农业；古代；中国；土壤耕种法"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005764/"
"60"	"GJ00060"	"S342-092.48"	"农政全书.卷七,农事-营治下"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"19页"	"G005765"	"农业；古代；中国；土壤耕种法"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005765/"
"61"	"GJ00061"	"S28-092.48"	"农政全书.卷八,农事-开垦上"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"28页"	"G005766"	"农业；古代；中国；开垦土地"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005766/"
"62"	"GJ00062"	"S28-092.48"	"农政全书.卷九,农事-开垦下"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"15页"	"G005767"	"农业；古代；中国；开垦土地"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005767/"
"63"	"GJ00063"	"S162.5-092.48"	"农政全书.卷十,农事-授时"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"27页"	"G005768"	"农业；古代；中国；节气"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005768/"
"64"	"GJ00064"	"S162-092.48"	"农政全书.卷十一,农事-占侯"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"25页"	"G005769"	"古代；中国；农业气象"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005769/"
"65"	"GJ00065"	"S27(204)-092.48"	"农政全书.卷十二,水利-总论、西北水利"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"38页"	"G005770"	"农田水利；古代；中国；水利"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005770/"
"66"	"GJ00066"	"S27-092.48"	"农政全书.卷十三,东南水利上"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"20页"	"G005771"	"农业；古代；中国；水利"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005771/"
"67"	"GJ00067"	"S27-092.48"	"农政全书.卷十四,东南水利中"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"24页"	"G005772"	"农业；古代；中国；水利"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005772/"
"68"	"GJ00068"	"S27-092.48"	"农政全书.卷十五,东南水利下"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"26页"	"G005773"	"农业；古代；中国；水利"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005773/"
"69"	"GJ00069"	"S27(255)-092.48"	"农政全书.卷十六,浙江水利"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"31页"	"G005774"	"农业；古代；中国；水利"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005774/"
"70"	"GJ00070"	"S274-092.48"	"农政全书.卷十七,水利-灌溉图谱"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"33页"	"G005775"	"灌溉；古代；中国；农田水利"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005775/"
"71"	"GJ00071"	"S27-092.48"	"农政全书.卷十八,水利-利用图谱"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"18页"	"G005776"	"古代；中国；农田水利"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005776/"
"72"	"GJ00072"	"S27-092.48"	"农政全书.卷十九,水利-泰西水法上"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"35页"	"G005777"	"古代；中国；农田水利"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005777/"
"73"	"GJ00073"	"S27-092.48"	"农政全书.卷二十,水利-泰西水法下"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"21页"	"G005778"	"农田水利；古代；中国；水利"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005778/"
"74"	"GJ00074"	"S22-092.48"	"农政全书.卷二十一,农器-图谱一"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"26页"	"G005779"	"农具；古代；中国；农业机械"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005779/"
"75"	"GJ00075"	"S22-092.48"	"农政全书.卷二十二,农器-图谱二"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"24页"	"G005780"	"农具；农业机械；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005780/"
"76"	"GJ00076"	"S22-092.48"	"农政全书.卷二十三,农器-图谱三"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"23页"	"G005781"	"农具；农业机械；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005781/"
"77"	"GJ00077"	"S22-092.48"	"农政全书.卷二十四,农器-图谱四"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"23页"	"G005782"	"农具；农业机械；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005782/"
"78"	"GJ00078"	"S51-092.48"	"农政全书.卷二十五,树艺-谷部上"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"17页"	"G005783"	"农业；农作物；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005783/"
"79"	"GJ00079"	"S51-092.48"	"农政全书.卷二十六,树艺-谷部下"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"14页"	"G005784"	"农业；农作物；古；代中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005784/"
"80"	"GJ00080"	"S65-092.48"	"农政全书.卷二十七,树艺-蓏部"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"33页"	"G005785"	"农业；蓏果园艺；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005785/"
"81"	"GJ00081"	"S63-092.48"	"农政全书.卷二十八,树艺-蔬部"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"35页"	"G005786"	"农业；蔬菜园艺；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005786/"
"82"	"GJ00082"	"S66-092.48"	"农政全书.卷二十九,树艺-果部上"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"20页"	"G005787"	"农业；果树园艺；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005787/"
"83"	"GJ00083"	"S66-092.48"	"农政全书.卷三十,树艺-果部下"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"17页"	"G005788"	"农业；果树园艺；古；代中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005788/"
"84"	"GJ00084"	"S888-092.48"	"农政全书.卷三十一,蚕桑-总论、养蚕法"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"39页"	"G005789"	"农业；桑；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005789/"
"85"	"GJ00085"	"S888-092.48"	"农政全书.卷三十二,蚕桑-栽桑法"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"22页"	"G005790"	"农业；蚕桑；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005790/"
"86"	"GJ00086"	"S88-092.48"	"农政全书.卷三十三,蚕桑-蚕事图谱"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"23页"	"G005791"	"农业；蚕桑；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005791/"
"87"	"GJ00087"	"S88-092.48"	"农政全书.卷三十四,蚕桑-桑事图谱、织紝图谱"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"17页"	"G005792"	"农业；蚕桑；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005792/"
"88"	"GJ00088"	"S562-092.48"	"农政全书.卷三十五,蚕桑广类-木棉"	"（明）徐光启纂辑"	"古籍"	"SDIC馆藏图书著作"	"明崇祯十二年（1639）"			"27页"	"G005793"	"农业；木棉；古代；中国"	"本丛书主要介绍：主要介绍了古代的田制、农事、水利、农器园艺、蚕桑、种植、牧养、食品、荒政。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G005793/"
