"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"传播途径和发病条件"	"防治方法"	"记录号"	"别名"	"图片"
"104"	"穗部"		"主要为害穗部。初在高粱谷粒上现褐色至黑色坏疽，湿度大时布满黑色绒毛状菌  丝和分生孢子。染病的籽粒收获过程中易粉碎，致产量下降，品质降低，且可能产生毒性物  质。繁种高粱活性下降，严重的影响发芽率。"	"真菌"	"高粱弯孢霉穗腐病"	"弯孢霉"	"Curvularia lunata(Walker)Boedijw．"	"高粱"	"半知菌亚门真菌"	"参见玉米弯孢霉叶斑病。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌在病残体上、土壤及种子上越冬。翌年产生分生孢子，借风力传播到高粱穗部。尤其在高粱开花后籽粒成长期，若连续阴雨，易发病。有些已成熟的籽粒也不能幸免。病穗上产生分生孢子进行再侵染，使病害不断扩散。生产上春高粱易发病。"	"参见高粱顶腐病。"	"fd00176"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/高粱弯孢霉穗腐病.jpg"
"105"	"主要为害叶鞘，也可为害叶片"	"该病在北方及台湾发生普遍，杂交高粱较严重，华中、西南也有发生。"	"发病后在近地面的茎秆上先产生水浸状病变，后叶鞘上产生紫红色与灰白色相间的病斑。在生育后期或天气多雨潮湿条件下，病部生出褐色菌核。该病也可蔓延至植株顶部，对叶片造成为害。发病重的植株提早枯死。茎基部叶鞘染病初生白绿色水浸状小病斑，后扩大成椭圆形、四周褐色、中间较浅的病斑。叶片染病呈灰绿色至灰白色云状斑，多数病斑融合成虎斑状，致全叶枯死。湿度大时叶鞘内外长出白色菌丝，有的产生黑褐色小菌核。"	"真菌"	"高粱纹枯病"	"AG-1-IA和AG一5两个菌丝融合群"	"Rhizoctonia solani Kühn AG-1-IA和AG-5"	"高粱"	"半知菌亚门"	"Rhizoctonia solani Kühn AG-1-IA和AG-5两个菌丝融合群，据华北分离AG-1-IA菌丝融合群占77％，AG-5菌丝融合群占19．2％，AG-4占3．8％。有性态为Thanatephorus  cucumeris(Frank)Donk．称瓜亡革菌，属担子菌亚门真菌。菌丝生长温限7～40℃，适温26～32℃。菌核在26～32℃和相对湿度95％以上时，经10～12天即可萌发产生菌丝。菌丝生长适宜pH5．4～7．3。相对湿度高于85％时，菌丝才能侵入寄主。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参见玉米纹枯病。"	"参见玉米纹枯病。"	"fd00177"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/高粱纹枯病.jpg"
"106"	"叶片"		"高粱抽穗前后开始发病。初在叶片上形成红色或紫色至浅褐色小斑点，后随病原菌的扩展，斑点扩大且在叶片表面形成椭圆形隆起的夏孢子堆，破裂后露出米褐色粉末，即夏孢子。后期在原处形成冬孢子堆，冬孢子堆较黑，外形较夏孢子堆大些。"	"真菌"	"高粱锈病"	"玉米柄锈菌和紫柄锈或高粱柄锈菌"	"Puccinia sorghi Schw．称玉米柄锈菌和Puccinia purpurea Cooke称紫柄锈或高粱柄锈菌"	"高粱"	"担子菌亚门真菌"	"Puccinia sorghi Schw．称玉米柄锈菌和Puccinia purpurea Cooke称紫柄锈或高粱柄锈菌，均属担子菌亚门真菌。前者参见玉米锈病。P．purpurea夏孢子堆生在叶两面的病斑上，栗褐色，四周有棍棒形或头状侧丝。侧丝褐色。夏孢子近球形或洋梨形，大小24～44×20～29(μm)，具瘤状细刺，壁暗黄褐色，具5～10个芽孔。冬孢子堆生在叶两面，长1～3(mm)，红褐色。冬孢子长椭圆形，大小36～54×24～32(μm)，顶端圆形，分隔处稍缢缩，侧壁厚2～3μm，深褐色。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以冬孢子在病残体上、土壤中或其他寄主上越冬。翌年条件适宜时，冬孢子萌发产生担孢子侵入幼叶，形成性子器，后在病斑背面产生锈子器，器内锈孢子飞散传播后在叶片上有水珠时萌发，也从叶片侵入，形成夏孢子堆和夏孢子，夏孢子借气流传播，进行多次再侵染。高粱接近收获时，在产生夏孢子堆的地方，形成冬孢子堆，又以冬孢子越冬。7～8月雨季易发病。"	"参见玉米锈病。"	"fd00178"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/高粱锈病.jpg"
"107"	"叶片"		"全株各部位均可发病，主要为害叶片。病斑形状不规则，长形至梭形或半圆形，大小不等，大的可达1cm以上，黄褐色至灰褐色，有红紫色边缘。病斑常从叶缘或叶端开始，也有的发生在叶面上或穗的上部，造成旗叶倒折。病斑扩展时常融合为较大斑块，后期在干枯叶斑上可见散生或成行黑色小粒点，即病原菌分生孢子器。种子和颖片染病产生类似症状。北京、山西、内蒙古、东北、西南均有发生。为害日趋严重。"	"真菌"	"高粱叶点病"	"高粱叶点霉"	"Phllosticta sorghina Sacc．"	"除侵染高粱外，还可侵染黍、粟、稗、甘蔗、苏丹草等。"	"半知菌亚门真菌"	"Phllosticta sorghina Sacc．称高粱叶点霉，属半知菌亚门真菌。分生孢子器黑色，亚球形，散生在叶面上，突出表皮，大小64～104μm。分生孢子椭圆形，单胞，无色，大小3．5～6×2．0～3．0(μm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以分生孢子器在病残体上越冬。翌年北京、吉林等地于6月份开始发病，7～8月份症状明显或流行。据观察，播种早的田块病情重于晚播的田块。品种间抗病性有差异，同一田块，抗7号、沈杂5号发病较重，而抗4号则不发病。1994年北京密云、延庆种植杂交高粱抗7号和沈杂5号对此病抗性差，再加上当年气候特殊，6月份干旱无雨，7月份以后降雨增多、降雨量575mm，8月份达268mm，较历年偏多，且日照明显减少，7～8月空气湿度为78．7％～79％，温度较往年偏高0．5～2．5℃，这样潮湿闷热的天气，造成了叶点病的流行。近年，该病为害有上升趋势，严重的绝产或绝收。"	"(1)因地制宜，选用适合当地栽培的抗病品种。引进新品种时，注意把农艺性状和抗病性结合起来，筛选出适合本地的优质、高产、抗病新品种。(2)适期播种，不宜过早。(3)发病重的地区于发病初期喷洒36％甲基硫菌灵悬浮剂600倍液或50％苯菌灵可湿性粉剂1500倍液、80％喷克可湿性粉剂600倍液、80％大生M-45可湿性粉剂600倍液、30％绿叶丹可湿性粉剂500～800倍液。"	"fd00179"	"斑点病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/高粱叶点病.jpg"
"108"	"叶片"		"高粱柱黑穗病是我国姚建业等新发现的病害。病株多数粗缩矮化，株高仅40cm左右。幼苗叶片上常出现隆起的条斑，初为乳白色，后变为棕褐色，条斑的条数不等，长度可与叶片等长。抽穗后病穗有两种症状一是柱状，二是分枝状，田间表现柱状黑穗居多。茎秆染病主要发生在穗柄上或叶鞘的苞叶上，生成瘤节状孢子堆，孢子堆内无丝，外具膜易破裂，散出黑粉。部分黑穗只能半截抽出、半截留在苞叶内。"	"真菌"	"高粱柱黑穗病"	"高粱柱黑穗菌"	"Sporisorium sorghicolum Liang et Yao"	"高粱"	"担子菌亚门真菌"		"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"该病为系统侵染、幼芽侵染，以种子带菌为主。山西6月下旬始见发病。"	"待研究。"	"fd00180"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/高粱柱黑穗病.jpg"
"109"	"叶片和叶鞘"		"主要为害叶片和叶鞘。叶片染病初生椭圆形至长圆形紫红色病斑，边缘不明显，有时产生淡紫色晕圈，大小4～20×2～5(mm)。叶上病斑多少不等，湿度大时病斑背面产生灰色霉层，即病原菌分生孢子梗和分生孢子。叶鞘染病病斑较大，椭圆形，紫红色，边缘不明显，有的也生淡紫色晕圈，一般不产生霉层。"	"真菌"	"高粱紫斑病"	"高粱尾孢"	"Cercospora sorghi Ellis&Everhart"	"高粱"	"半知菌亚门真菌"	"Cercospora sorghi Ellis&Everhart称高粱尾孢，属半知菌亚门真菌。分生孢子梗5～12根，榄褐色，顶端色稍浅，丛生无分枝，正直或具膝状节1～3个，有隔膜0～7个，孢痕明显，大小16～96×4～6(μm)。分生孢子倒棒形或圆柱形，无色，直或稍弯，顶端较尖，基部截形，具隔膜3～9个，大小29～112×4～6(μm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以菌丝块或分生孢子随病残体越冬，成为翌年初侵染源。苗期即可发病，病斑上产生分生孢子通过气流传播，进行重复侵染，使病菌不断扩散，严重时高粱叶片从下向上提前枯死。"	"该病是气传重复侵染病害，应以选用抗病品种为主，栽培措施为辅，进行综合防治。具体方法参见高粱炭疽病。"	"fd00181"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/高粱紫斑病.jpg"
"110"	"叶片和叶鞘"		"主要为害叶片和叶鞘。叶片染病初生短圆形至椭圆形、中央浅紫色四周紫红色的病斑。多发生在叶脉之间，大小2～8×1～3(mm)。有时在叶背可见灰色霉层，即病原菌分生孢子梗和分生孢子。后期霉层不明显或形成黑色小菌核，很易抹掉或脱落。严重时病斑融合成云形，布满叶片，致叶片早枯。叶鞘染病产生边缘紫红色，中央浅紫色椭圆形病斑，大小5～18×3～7(mm)，一般不产生广霉层和菌核。"	"真菌"	"高粱紫轮病"	"高粱生座枝孢"	"Ramulispora sorghicola Harris"	"高粱"	"半知菌亚门真菌"	"Ramulispora sorghicola Harris称高粱生座枝孢，属半知菌亚门真菌。分生孢子梗无色束生，圆柱形或近棒形，偶具隔膜，大小8～28×2～4(μm)。分生孢子无色，线形至鞭形，少数有1～2个分枝，具隔膜2～10个，大小20～75×2～4(μm)。菌核黑色，半球形至扁球形，大小80～144μm，周围具刚毛。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参见高粱煤纹病。"	"参见高粱煤纹病。"	"fd00182"	"黑点病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/高粱紫轮病.jpg"
"111"	"全株"		"谷子各生育阶段都可发病，分别引起苗瘟、叶瘟、节瘟、穗颈瘟和谷粒瘟，以叶瘟、节瘟和穗颈瘟危害最重。 苗期发病在叶片和叶鞘上形成褐色小病斑，严重时叶片枯黄。叶瘟多在7月上旬开始发生，叶片上产生梭形、椭圆形病斑，一般长1～5毫米，宽1～3毫米，在高感品种上可形成长1厘米左右的条斑。感病品种典型病斑中部灰白色，边缘紫褐色，病斑两端伸出紫褐色坏死线。高湿时病斑表面有灰色霉状物。严重发生时，病斑密集，互相汇合，叶片枯死。节瘟多在抽穗后发生，茎秆节部生褐色凹陷病斑，逐渐干缩，穗不抽出， 或抽穗后干枯变色。病茎秆易倾斜倒伏。穗颈和小穗梗发病，产生褐色病斑，扩大后可环绕一周，使之枯死，致使小穗枯白，严重时全穗或半穗枯死，病穗灰白色、青灰色，不结实或籽粒干瘪。 谷子品种间抗病性有明显差异，抗病品种叶片无病斑或仅生针头大小的褐色斑点。中度抗病品种生椭圆形小病斑，边缘褐色，中间灰白色，病斑宽度不超过两条叶脉。感病品种生梭形大斑，边缘褐色，中间灰白色，宽度超过两条叶脉。"	"真菌"	"谷瘟病"	"灰梨孢"	"Pyricularia grisea(Cke．)Sacc．"	"谷子"	"半知菌亚门，丝孢纲，丝孢目，暗色菌科，梨孢霉属"		"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"带菌种子和病株残体提供初侵染菌源。接种试验表明，谷瘟病菌能侵染青狗尾草，而马唐等多种禾本科植物则不被侵染，田间多数禾本科作物和杂草不能提供越冬菌源。谷子病株产生新一代分生孢子，随风雨传播，进行再侵染。在华北地区，每年发生5～8代，8月份是发病高峰期。在吉林省，叶瘟在7月中旬开始发生，7月末至8月上旬为发病高峰；穗颈瘟在8月上旬开始显症，8月下旬停止发展。 谷瘟病的流行程度受气象条件的影响。在北方谷子栽培区，生长季节的气温适于病菌侵染，而降水量、湿度和田间结露量等年间波动较大，往往对各年发病程度有重要影响。在吉林省，7月中下旬连续高湿、多雨、寡照，有利于叶瘟发生；7月下旬至8月初阴雨多、露重、寡照，气温偏低(18℃～20℃)，穗颈瘟可能严重发生。 谷子种植密度过大或与玉米、高粱等高秆作物问作，田间郁闭，湿度高，结露量大，发病趋重。病残体积累较多的连作田块，低洼积水田块，氮肥施用过多植株贪青徒长的田块，发病都较重。"	"(1)种植抗病品种谷子品种间抗病性差异明显，有较多抗病种质资源和抗病品种，可根据本地病菌生理小种区系，合理鉴选使用。种子田应保持无病，繁育和使用不带菌种子。 (2)加强栽培管理  病田实行轮作，收获后及时清除病残体，减少越冬菌源。合理调整种植密度，防止田间过度郁闭，合理排灌，降低田问湿度，减少结露。合理施肥，防止植株贪青徒长，增强抗病能力。 (3)药剂防治  有效药剂有敌瘟磷(克瘟散)40％乳油500～800倍液，50％四氯苯酞(稻瘟酞)可湿性粉剂1 000倍液，2％春雷霉素可湿性粉剂500～600倍液等。防治叶瘟在始发期喷药，防治穗颈瘟可在始穗期和齐穗期各喷药1次。"	"fd00183"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/谷瘟病.jpg"
"112"	"叶片、茎"	"发生普遍，以春谷栽培区受害最重。"	"白发病是系统侵染病害，谷子从萌芽到抽穗后，在各生育阶段，陆续表现出多种不同症状： (1)烂芽幼芽出土前被侵染，扭转弯曲，变褐腐烂，不能出土而死亡，造成田间缺苗断垄。烂芽多在菌量大、环境条件特别有利于病菌侵染时发生，少见。 (2)灰背从2叶期到抽穗前，病株叶片变黄绿色，略肥厚和卷曲，叶片正面产生与叶脉平行的黄白色条状斑纹，叶背在空气潮湿时密生灰白色霉层，为病原菌的孢囊梗和游动孢子囊。这一症状被称为“灰背”。苗期白发病的鉴别，以有无“灰背”为主要依据。 (3)白尖、枪杆、白发株高60厘米左右时，病株上部2～3片叶片不能展开，卷筒直立向上，叶片前端变为黄白色，称为“白尖”。7～10天后，白尖变褐，枯干，直立于田间，形成“枪杆”。以后心叶薄壁组织解体纵裂，散出大量褐色粉末状物，即病原菌的卵孢子。残留黄白色丝状物(维管束)，卷曲如头发，称为“白发”，病株不能抽穗。 (4)看谷老有些病株能够抽穗，但穗子短缩肥肿，全部或局部畸形，颖片伸长变形成小叶状，有的卷曲成角状或尖针状，向外伸张，呈刺猬状，称为“看谷老”。病穗变褐干枯，组织破裂，也散出黄褐色粉末状物。 (5)局部病斑苗期病叶“灰背”上产生的病原菌游动孢子囊，随气流传播到健株叶片上，局部侵染形成叶斑。叶斑为不规则形或长圆形，初淡绿至淡黄色，后变为黄褐色或紫褐色，病斑背面密生灰白色霉层。老熟叶片被侵染后，形成褐色小圆斑，霉层不明显。 产生灰背的病苗后期多形成白尖、白发或看谷老，但也有的后来症状消失而正常抽穗。也有的病苗前期不出现灰背，后期却变为白尖、白发或看谷老。"	"真菌"	"谷子白发病"	"禾生指梗霉"	"Sclerospora graminicola (Sacc．)Schroeter"	"谷子"	"鞭毛菌亚门，卵菌纲，霜霉科，指梗霉属"		"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病原菌以卵孢子混杂在土壤中、粪肥里或粘附在种子表面越冬。卵孢子在土壤中可存活2～3年。用混有病株的谷草饲喂牲畜，排出的粪便中仍有多数存活的卵孢子。土壤带菌是主要越冬菌源，其次是带菌厩肥和带菌种子。 谷子发芽时，卵孢子萌芽产生芽管，从胚芽鞘、中胚轴或幼根表皮直接侵入，蔓延到生长点，随生长点分化而系统侵染，进入各层叶片和花序，表现各种症状。谷子芽长3厘米以前最易被侵染。土壤温湿度和播种状况影响侵染和发病程度。幼苗在土温11℃～32℃都能发病，最适发病温度为18℃～20℃，最低为10℃～12℃，最高为31℃～34℃。土壤湿度过低或过高都不适于发病。在土壤相对湿度30％～60％范围内，特别是40％～50％间，发病较多。 “灰背”上产生的大量游动孢子囊随风雨传播，重复进行再侵染，在叶片上形成局部病斑。但游动孢子囊侵染有分生组织的幼嫩器官时，也可产生系统侵染，在田间以分蘖分枝发病率最高。影响游动孢子囊再侵染的主要因素是大气温、湿度。游动孢子囊在夜间高湿时产生。气温低于10℃不产生游动孢子囊，20℃～25℃时产生最多。游动孢子囊萌发最适温度为15℃～16℃，最低为2℃，最高为32℃。遭遇多雨高湿而温暖的天气后，再侵染发生较 多。 白发病的发生与栽培条件和品种抗病性也有密切关系。连作田土壤或肥料中带菌数量多，病害发生严重，而轮作田发病轻。播种过深，土壤墒情差，出苗慢，发病也重。 谷子品种间抗病性有明显差异。据国内鉴定，抗白发病的种质资源主要分布在我国北纬34°～41°之间，亦即晋、鲁、豫、陕诸省的温暖多雨和低洼易涝地区。白发病菌有致病性分化现象，存在多个生理小种。"	"采用合理轮作、药剂拌种和种植抗病品种等综合措施进行防治。 (1)种植抗病品种谷子白发病菌有不同生理小种，在抗病育种和种植抗病品种时应予注意。 (2)农业防治轻病田块实行2年轮作，重病田块实行3年以上轮作，适于轮作的作物有大豆、高粱、玉米、小麦和薯类等。施用净肥，不用病株残体沤肥，不用带病谷草做饲料，不用谷子脱粒后场院残余物制作堆肥。在“白尖”出现但尚未变褐破裂前拔除病株，并带到地外深埋或烧毁。要大面积连续拔除，直至拔净为止，并需坚持数年。 (3)药剂防治用25％甲霜灵可湿性粉剂或35％甲霜灵拌种剂，以种子重量0．2％～0．3％的药量拌种。或用甲霜灵与50％克菌丹，按1：1的配比混用，以种子重量0．5％的药量拌种，可兼治黑穗病。用甲霜灵拌种可采用干拌、湿拌或药泥拌种等方法，湿拌和药泥拌种效果更好。土壤带菌量大时，可沟施药土，每公顷用40％敌克松3．75千克，掺细土15～20千克，撒种后沟施盖种。"	"fd00184"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/谷子白发病.jpg"
"113"	"叶片、叶鞘和穗部"	"分布普遍"	"病原菌侵染谷子的叶片、叶鞘和穗部，苗期与成株期皆可发病。病株叶片上生椭圆形黑褐色病斑，多数长2～5毫米，有的可达9～10毫米。病斑可相互连接，也可汇合形成较大的斑块，引起叶片枯死。在高湿条件下，病斑上产生黑色霉状物。叶鞘、穗轴、颖壳上也产生褐色的梭形、椭圆形或不规则形的病斑，病斑界限多不明显，有的相互汇合。"	"真菌"	"谷子胡麻斑病"	"狗尾草离蠕孢"	"Bipolaris  setariae(Saw．)Shoem．"	"谷子"	"半知菌亚门，丝孢纲，丝孢目，暗色菌科，离蠕孢属"		"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病原菌以菌丝体、分生孢子、分生孢子梗随病残体或种子越冬，成为下一季的初侵染菌源。胡麻斑病菌可侵染多种禾本科杂草，杂草寄主也有可能为谷子提供菌源。病株产生的分生孢子，由风雨传播，反复进行再侵染。 降水多，大气湿度高，叶面结露时间长，气温25℃～30℃，有利于病菌侵染。土壤缺肥或遭遇干旱，谷子生机削弱，抗病能力降低，发病也重。"	"防治胡麻斑病应种植抗病、轻病品种，并使用无病种子。重病田在收获后应及时清除病残体，或与非寄主作物进行轮作。要加强栽培管理，增施有机肥和钾肥，适量追施氮肥，增强植株抗病能力。结合防治粒黑穗病和白发病，进行药剂拌种，减少种子带菌。"	"fd00185"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/谷子胡麻斑病.jpg"
"114"	"穗"	"广泛分布于我国北方谷子产区"	"病株高度、分蘖数、色泽与健株相似，抽穗前不易识别。病穗较狭长，略短小，初灰绿色，后期变为灰白色，比健穗轻。通常全穗发病，病粒变为菌瘿，除外颖外，全遭破坏。菌瘿比正常籽粒略大，卵圆形或近圆形，包被灰白色外膜，坚韧不易破裂，内部充满黑褐色粉末状物，即病原菌的冬孢子，外膜破裂后散出。"	"真菌"	"谷子粒黑穗病"	"粟黑粉菌"	"Ustilago crameri Koern"	"谷子"	"担子菌亚门，冬孢菌纲，黑粉菌目，黑粉菌属"		"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病原菌的冬孢子附着在种子表面越冬，成为翌年的主要侵染菌源。在脱谷加工过程中，病穗散出的冬孢子污染健粒，造成种子带菌。播种带菌种子，病原菌就得以从胚芽鞘侵入，进而扩展到生长点区域的细胞内和细胞间隙，随植株生长而系统侵染，直至进入子房，破坏子房，形成菌瘿。粒黑穗病菌的冬孢子虽然能长期存活，但因没有休眠现象，只要条件适宜就可萌发，这样在温暖湿润地区，散落于土壤的冬孢子，多于当年萌发而失效，不能成为翌年的初侵染菌源。在低温干燥地区，可能有部分散落田间的冬孢子，当年不萌发，成为下一季谷子发病的初侵染菌源。 谷子播种后的土壤温湿状况对侵染发病影响很大。病原菌侵染幼苗的适宜土壤温度为12℃～25℃，超过25℃则侵染受到抑制。在较低的温度下，谷子萌发与出苗缓慢，拉长了病原菌侵染的时间，发病就较重。土壤含水量在30％～50％之间适于病菌侵染，土壤干旱或水分饱和都不利于病原菌侵染。种子带菌率高，土壤温度低，墒情差，覆土厚，幼芽滞留土壤中的时间延长，则发病加重。 谷子品种间抗病性有明显差异。我国谷子的抗病种质资源丰富，抗病育种工作卓有成效，在粒黑穗病防治中曾发挥重要作用。"	"(1)种植抗病品种抗病品种较多，例如延谷2号、延谷4号、晋汾69、长农1号、公谷6号、四谷1号等。 (2)繁育无病种子  搞好种子繁育田的防治，由无病地留种。不使用来源于发病地区和发病田块的种子。 (3)种子药剂处理  用25％三唑酮可湿性粉剂，或15％三唑醇干拌种剂，或50％福美双可湿性粉剂等，皆以种子重量O．2％～O．3％的药量拌种。用2％戊唑醇湿拌种剂10～15克，对水调匀成糊状，拌谷子种子10千克。用20％萎锈灵乳油800～1 250毫升(含有效成分160～250克)，拌谷种100千克。"	"fd00186"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/谷子粒黑穗病.jpg"
"115"	"叶片"		"病株叶片上形成狭长的条斑，中部灰白色至淡褐色，边缘褐色，扩展后长可贯穿全叶，宽度可达叶片宽度的1／4～1／2，病斑表面密生黑色小粒点，即病原菌的分生孢子器。后期病斑纵裂。"	"真菌"	"谷子条点病"	"狗尾草叶点霉"	"Phyllosticta setariae Ferr．"	"谷子"	"半知菌亚门，腔菌纲，球壳孢目，叶点霉属"		"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"对谷子条点病的发生规律尚缺乏研究，推测病原菌在病残体上越冬，成为翌年初侵染菌源。谷子苗期、成株期都可被侵染，但以生育后期发病较多。分生孢子随风雨传播，在一个生长季节中有多次再侵染。多雨年份和低湿田块多见。"	"条点病是谷子的次要病害，多在生育后期发生，危害轻，不需要采取特定防治措施，可在防治其他叶病时予以兼治。"	"fd00187"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/谷子条点病.jpg"
"116"	"主要危害谷子叶鞘和茎秆，也侵染叶片和穗部"	"在华北、东北、西北各地发病也较普遍"	"病株叶鞘上生椭圆形病斑，中部枯死，呈灰白色至黄褐色，边缘较宽，深褐色至紫褐色，病斑汇合成云纹状斑块，淡褐色与深褐色交错相间，整体花秆状(图1-129)。病叶鞘枯死，相连的叶片也变灰绿色或褐色而枯死。茎秆上病斑轮廓与叶鞘相似，浅褐色。高湿时，在病叶鞘内侧和病叶鞘表面形成稀疏的白色菌丝体和褐色的小菌核。病株不能抽穗，或虽能抽穗但穗小，灌浆不饱满。病秆腐烂软弱，易折倒，造成严重减产。 在多雨高湿条件下，叶片上生形状不规则的褐色病斑，有轮纹，中部颜色较浅，可汇合成大型斑块。穗颈上也产生形状不规则、边缘不明显的褐色病斑。"	"真菌"	"谷子纹枯病"	"立枯丝核菌"	"Rhizoctonia solani Kühn"	"谷子"	"半知菌亚门，丝孢纲，无孢目，丝核菌属"		"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病原菌主要以菌核在土壤中越冬，也能以菌核和菌丝体在病株残体中越冬。翌年越冬菌核萌发，产生菌丝侵染谷子幼苗或成株茎基部，此后发病部位逐渐上升，并在发病部位生成菌丝和菌核。菌核随气流、雨水或灌溉水传播，接触健株，菌丝则通过病、健叶片之间的接触而传播，都可引起再侵染。 纹枯病的发展过程，据董志平等在华北多年调查，可划分为几个连续的阶段。在春谷区，谷子在5月中旬播种，纹枯病在7月中旬始见，至8月上旬为病株率增长期；7月下旬至8月中旬为发病部位垂直上升时期，由最初发病的茎基部1～2个叶位，上升9个以上叶位；8月上旬病原菌开始侵染茎秆，8月下旬为严重度增长期，此后至9月上中旬，随着谷子灌浆进展，穗子变重，病株极易倒伏，称为病株倒伏期。夏谷区纹枯病的发生严重受干旱的制约，故始发期多在7月中旬降雨后出现，各发病阶段的界限不明显，病害随着降雨和高湿天气的出现而具有暴发性。 纹枯病是高温高湿性病害，发病程度与环境温、湿度关系密切。在18℃～32℃变温条件下，只要湿度适宜，病菌能很快侵染和扩展；而湿度低时就不会发病。随着温度升高和降雨增多，纹枯病迅速发展。在温度适宜时，发病率增长与降水量和大气相对湿度成显著正相关。在湿度适宜时，温度决定纹枯病的垂直上升速度。 在江淮多雨高湿地区，气温高低影响发病迟早。当7月份的平均气温高于常年时，纹枯病发生早而重。在9月份气温下降后，病情停止发展。在北方较干旱的谷子栽培地区，降雨和大气湿度有重要影响，多雨年份纹枯病垂直上升较高，危害较重。往往在降雨或浇水后，纹枯病正常发生，干旱时病情停滞发展，若再度降雨或高湿，病害又复发展。另外，播期过早，氮肥施用过多，播种密度过大，因免耕或秸秆还田使菌源增多等，都有利于纹枯病发生。 谷子纹枯病菌除侵染谷子外，还能严重危害稗、黍、水稻、高粱和玉米，也能侵染小麦、大麦和燕麦。谷子品种间抗病性有所不同。"	"防治谷子纹枯病应鉴选和使用抗病、轻病品种；及时秋翻和清除田间病残体，重病田应轮作倒茬，减少越冬菌源；应适期晚播，合理密植，铲除杂草，改善田间通风透光条件；要合理排灌，开沟排渍，降低地下水位和田间湿度；还要科学施肥，增施有 机肥和磷、钾肥，培育壮株，增强抗病能力。药剂防治可结合粒黑穗病的防治，采用三唑酮拌种，能有效控制苗期侵染，减轻受害程度。田问喷药可使用5％井冈霉素水剂600倍液，于7月中下旬，病株率达到5％～10％，且有继续增多趋势时，在谷子茎基部喷雾防治，重病田在10天后再防治1次。"	"fd00188"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/谷子纹枯病.jpg"
