"id"	"棉铃虫"	"棉酚"	"生长势"	"生育期"	"果枝节位"	"短绒色"	"单宁"	"棉红蜘蛛"	"株形"	"苞外蜜腺"	"白度"	"叶厚度"	"花药色"	"东经"	"统一编号"	"叶片大小"	"属名"	"茎色"	"叶蜜腺"	"花冠色"	"铃形"	"花大小"	"跨长"	"麦克隆值"	"北纬"	"种仁脂肪"	"黄萎病"	"棉毒素"	"原产地"	"主茎硬度"	"果枝数"	"气流纱支数"	"叶色"	"耐涝性"	"环纺纱号数"	"单株铃数"	"花柱长"	"伸长百分率"	"单位编号"	"译名"	"色泽"	"果枝伸展角"	"倒伏性"	"叶形"	"果枝类型"	"杂质等级"	"茎毛"	"科名"	"种子来源地"	"品种名称"	"年"	"类别"	"气流纺指标"	"省"	"光反射率"	"保存单位"	"库编号"	"种子绒毛"	"叶绒毛"	"絮棉色"	"学名"	"高程"	"红铃虫"	"花芯色"	"枯萎病"	"铃色"	"叶枝数"	"环纺纱强力"	"样品类型"	"长度整齐度"	"子指"	"铃室数"	"蚜虫"	"铃开裂"	"耐盐性"	"耐旱性"	"铃柄长"	"苞叶形状"	"比强度"	"种仁蛋白"	"衣分"	"铃重"	"铃着生方式"	"主茎粗细"	"株高"	"图象"
"1049"	"--"	"--"	"中"	"130"	"6.9"	"灰"	"--"	"--"	"塔"	"有"	"8.7"	"中"	"乳白"	"11658"	"ZM-01388"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"28.9"	"4.0"	"3411"	"32.80"	"S"	"有"	"肖县原种场系选育成"	"中"	"11.2"	"7"	"绿"	"--"	"12"	"10.0"	"高于"	"6.3"	"--"	"HUAI MIAN 3 HAO"	"31-4"	">45"	"不倒"	"阔叶"	"3"	"5"	"中"	"Malvaceae(锦葵科)"	"安徽萧县"	"淮棉3号"	"1986"	"陆国内"	"1784"	"安徽"	"75.3"	"中棉所"	"I3A00734"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"1.8"	"127"	"选育"	"52.4"	"10.9"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"20.0"	"40.10"	"38.80"	"4.10"	"单生"	"中"	"83.0"	"--"
"1050"	"--"	"--"	"中"	"130"	"8.6"	"灰"	"--"	"--"	"塔"	"有"	"7.8"	"中"	"乳白"	"11658"	"ZM-01389"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"34.1"	"3.8"	"3411"	"35.60"	"S"	"有"	"肖县原种场系选育成"	"中"	"12.8"	"8"	"绿"	"--"	"12"	"14.4"	"高于"	"6.5"	"--"	"HUAI MIAN 4 HAO"	"41-1"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"安徽萧县"	"淮棉4号"	"1986"	"陆国内"	"1995"	"安徽"	"74.8"	"中棉所"	"I3A00735"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"1.8"	"135"	"选育"	"45.8"	"10.2"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"20.7"	"39.30"	"36.10"	"4.70"	"单生"	"中"	"65.5"	"--"
"1051"	"--"	"--"	"中"	"137"	"7.0"	"灰"	"--"	"--"	"塔"	"有"	"9.5"	"厚"	"乳白"	"11659"	"ZM-01390"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"32.3"	"4.1"	"3338"	"33.10"	"S"	"有"	"宿县淮北棉试站系选育成"	"软"	"16.1"	"8"	"绿"	"--"	"13"	"22.0"	"等于"	"6.4"	"--"	"HUAI BEI 288"	"21-4"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"安徽宿县"	"淮北288"	"1986"	"陆国内"	"2010"	"安徽"	"76.2"	"中棉所"	"I3A00736"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"33"	"--"	"白"	"S"	"绿"	"1.7"	"145"	"选育"	"50.8"	"10.3"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"23.3"	"39.30"	"37.90"	"5.60"	"单生"	"中"	"86.6"	"--"
"1052"	"4"	"--"	"强"	"132"	"8.1"	"白"	"--"	"--"	"塔"	"有"	"8.6"	"中"	"乳白"	"11420"	"ZM-01402"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"34.5"	"2.9"	"3607"	"33.70"	"S"	"有"	"安阳梅福大队系选育成"	"软"	"14.4"	"8"	"绿"	"--"	"14"	"15.2"	"等于"	"6.2"	"--"	"MEI FU CHANG RONG"	"31-3"	">45"	"不倒"	"阔叶"	"3"	"2"	"中"	"Malvaceae(锦葵科)"	"河南安阳"	"梅福长绒"	"1986"	"陆国内"	"2049"	"河南"	"76.0"	"中棉所"	"I3A00741"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"70"	"5"	"白"	"S"	"绿"	"2.5"	"151"	"选育"	"49.0"	"11.9"	">3"	"3"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"20.4"	"40.50"	"32.70"	"5.00"	"单生"	"粗"	"88.2"	"--"
"1053"	"--"	"--"	"中"	"142"	"7.0"	"灰"	"--"	"--"	"塔"	"有"	"9.1"	"中"	"乳白"	"11542"	"ZM-01421"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"30.1"	"4.3"	"3650"	"33.20"	"S"	"有"	"山东所系选育成"	"中"	"14.5"	"7"	"绿"	"--"	"12"	"13.7"	"低于"	"6.7"	"--"	"LU MIAN 4 HAO"	"31-4"	">45"	"不倒"	"阔叶"	"3"	"2"	"中"	"Malvaceae(锦葵科)"	"山东临清"	"鲁棉4号"	"1986"	"陆国内"	"1802"	"山东"	"76.0"	"中棉所"	"I3A00744"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"33"	"--"	"白"	"S"	"绿"	"1.6"	"131"	"选育"	"53.1"	"9.8"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"20.3"	"41.80"	"36.10"	"5.00"	"单生"	"粗"	"75.9"	"--"
"1054"	"--"	"--"	"强"	"112"	"6.8"	"灰"	"--"	"--"	"塔"	"有"	"8.4"	"中"	"乳白"	"11542"	"ZM-01422"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"25.1"	"3.8"	"3650"	"35.20"	"S"	"有"	"山东所系选育成"	"软"	"20.4"	"6"	"绿"	"--"	"8"	"24.4"	"等于"	"3.9"	"--"	"LU MIAN 5 HAO"	"41-3"	"<45"	"不倒"	"阔叶"	"3"	"3"	"中"	"Malvaceae(锦葵科)"	"山东临清"	"鲁棉5号"	"1986"	"陆国内"	"1709"	"山东"	"73.7"	"江苏经作所"	"I3A00273"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"33"	"--"	"白"	"S"	"绿"	"3.3"	"98"	"选育"	"47.7"	"10.7"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"17.8"	"37.20"	"32.60"	"5.50"	"单生"	"中"	"117.7"	"--"
"1055"	"--"	"--"	"强"	"136"	"7.3"	"灰"	"--"	"--"	"塔"	"有"	"8.1"	"厚"	"乳白"	"11502"	"ZM-01427"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"29.3"	"4.1"	"3802"	"32.70"	"T"	"有"	"广东广州"	"中"	"11.0"	"6"	"绿"	"--"	"9"	"9.5"	"高于"	"5.7"	"--"	"AI GAN DAI ZI MIAN 15"	"41-1"	">45"	"不倒"	"阔叶"	"3"	"3"	"中"	"Malvaceae(锦葵科)"	"河北晋县"	"矮杆岱字棉15"	"1988"	"陆国内"	"1671"	"河北"	"75.0"	"中棉所"	"I3A03061"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"44"	"--"	"黄"	"S"	"绿"	"3.2"	"101"	"选育"	"44.9"	"19.2"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"16.3"	"39.20"	"35.70"	"5.00"	"单生"	"粗"	"92.2"	"--"
"1056"	"--"	"--"	"强"	"113"	"7.3"	"灰"	"--"	"--"	"塔"	"有"	"8.7"	"薄"	"乳白"	"11651"	"ZM-01428"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"25.7"	"4.0"	"3444"	"38.70"	"S"	"有"	"江苏敬安原种场系选育成"	"中"	"18.0"	"7"	"绿"	"--"	"10"	"23.1"	"等于"	"6.7"	"--"	"JING AN 504"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"3"	"少"	"Malvaceae(锦葵科)"	"江苏沛县"	"敬安504"	"1986"	"陆国内"	"1837"	"江苏"	"74.0"	"江苏经作所"	"I3A00274"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"35"	"--"	"白"	"S"	"绿"	"3.7"	"118"	"选育"	"51.5"	"11.3"	">3"	"--"	"畅"	"不抗"	"抗"	"长"	"心脏"	"21.7"	"35.20"	"36.20"	"5.30"	"单生"	"中"	"120.3"	"--"
"1057"	"--"	"--"	"中"	"132"	"7.5"	"灰"	"--"	"--"	"塔"	"有"	"9.2"	"中"	"乳白"	"11353"	"ZM-01434"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"29.6"	"4.5"	"3519"	"33.40"	"S"	"有"	"新乡有性杂交育成"	"中"	"12.0"	"7"	"绿"	"--"	"10"	"12.0"	"高于"	"5.6"	"--"	"XIN 5-164"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"2"	"中"	"Malvaceae(锦葵科)"	"河南新乡"	"新5-164"	"1986"	"陆国内"	"1794"	"河南"	"72.3"	"中棉所"	"I3A00749"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"73"	"--"	"白"	"S"	"绿"	"1.8"	"115"	"选育"	"49.4"	"12.6"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"19.8"	"42.00"	"37.20"	"5.00"	"单生"	"中"	"87.0"	"--"
"1058"	"--"	"--"	"中"	"138"	"7.7"	"灰"	"--"	"--"	"塔"	"有"	"8.1"	"中"	"乳白"	"11430"	"ZM-01443"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"28.5"	"4.0"	"3635"	"34.50"	"S"	"有"	"河北邯郸"	"中"	"13.6"	"7"	"绿"	"--"	"11"	"13.0"	"高于"	"6.4"	"--"	"JI HAN 1 HAO 1363"	"31-2"	">45"	"不倒"	"阔叶"	"3"	"2"	"中"	"Malvaceae(锦葵科)"	"河北邯郸"	"冀邯1号1363"	"1986"	"陆国内"	"1888"	"河北"	"76.8"	"中棉所"	"I3A00752"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"46"	"--"	"白"	"S"	"绿"	"1.4"	"125"	"选育"	"49.5"	"10.8"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"21.5"	"39.60"	"35.40"	"4.60"	"单生"	"中"	"78.0"	"--"
"1059"	"3"	"--"	"中"	"131"	"7.0"	"灰"	"--"	"--"	"塔"	"有"	"9.1"	"中"	"乳白"	"11430"	"ZM-01444"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"26.8"	"4.3"	"3635"	"34.80"	"S"	"有"	"邯郸有性杂交育成"	"硬"	"13.2"	"7"	"绿"	"--"	"12"	"15.2"	"等于"	"6.0"	"--"	"JI HAN 2 HAO"	"26-4"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"河北邯郸"	"冀邯2号"	"1986"	"陆国内"	"1893"	"河北"	"75.7"	"山西棉花所"	"I3A01085"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"46"	"5"	"乳白"	"S"	"绿"	"4.8"	"131"	"选育"	"54.4"	"11.3"	">3"	"3"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"23.1"	"37.60"	"39.00"	"6.40"	"单生"	"粗"	"83.0"	"--"
"1060"	"3"	"--"	"中"	"131"	"6.8"	"灰"	"--"	"--"	"塔"	"有"	"8.8"	"中"	"乳白"	"11430"	"ZM-01445"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"28.1"	"4.2"	"3635"	"35.50"	"S"	"有"	"河北邯郸"	"硬"	"13.4"	"7"	"绿"	"--"	"11"	"16.6"	"等于"	"6.0"	"--"	"JI HAN 2 HAO XUAN XI"	"31-2"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"河北邯郸"	"冀邯2号选系"	"1986"	"陆国内"	"1879"	"河北"	"77.3"	"山西棉花所"	"I3A01086"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"46"	"5"	"乳白"	"S"	"绿"	"3.6"	"126"	"选育"	"50.3"	"12.0"	">3"	"3"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"21.6"	"40.10"	"36.70"	"7.30"	"单生"	"粗"	"85.0"	"--"
"1061"	"--"	"--"	"中"	"131"	"7.2"	"灰"	"--"	"--"	"塔"	"有"	"9.4"	"中"	"乳白"	"11430"	"ZM-01448"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"26.4"	"4.4"	"3635"	"36.40"	"S"	"有"	"邯郸地区所选出"	"中"	"12.2"	"6"	"绿"	"--"	"9"	"13.0"	"低于"	"6.0"	"--"	"JI HAN 3 HAO 26"	"31-4"	">45"	"不倒"	"阔叶"	"3"	"3"	"中"	"Malvaceae(锦葵科)"	"河北邯郸"	"冀邯3号26"	"1987"	"陆国内"	"1718"	"河北"	"73.0"	"中棉所"	"I3A01314"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"46"	"--"	"白"	"S"	"绿"	"2.4"	"106"	"选育"	"49.8"	"10.0"	"=3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"19.5"	"39.90"	"39.60"	"4.70"	"单生"	"中"	"84.9"	"--"
"1062"	"--"	"--"	"弱"	"135"	"5.2"	"灰"	"--"	"--"	"塔"	"有"	"8.9"	"中"	"乳白"	"10812"	"ZM-01463"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"28.9"	"4.1"	"3417"	"32.00"	"S"	"有"	"西北农科院有性杂交育成"	"中"	"11.2"	"7"	"绿"	"--"	"12"	"9.0"	"等于"	"6.0"	"--"	"37-4"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"陕西武功"	"37-4"	"1986"	"陆国内"	"1905"	"陕西"	"74.5"	"中棉所"	"I3A00755"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"439"	"--"	"白"	"S"	"绿"	"1.8"	"130"	"选育"	"52.1"	"11.0"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"21.9"	"40.70"	"33.50"	"5.30"	"单生"	"中"	"69.5"	"--"
"1063"	"--"	"--"	"中"	"138"	"7.0"	"白"	"--"	"--"	"塔"	"有"	"8.9"	"中"	"乳白"	"11430"	"ZM-01466"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"30.8"	"3.4"	"3635"	"32.10"	"S"	"有"	"河北农场系选育成"	"中"	"13.0"	"8"	"绿"	"--"	"13"	"12.0"	"等于"	"6.3"	"--"	"49 KE 43"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"3"	"中"	"Malvaceae(锦葵科)"	"河北邯郸"	"49珂43"	"1986"	"陆国内"	"1980"	"河北"	"73.5"	"中棉所"	"I3A00757"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"46"	"--"	"白"	"S"	"绿"	"1.8"	"137"	"选育"	"50.4"	"12.5"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"21.3"	"42.70"	"34.10"	"5.40"	"单生"	"中"	"78.0"	"--"
"1064"	"--"	"--"	"中"	"136"	"6.0"	"灰"	"--"	"--"	"塔"	"有"	"9.3"	"中"	"乳白"	"10847"	"ZM-01468"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"29.4"	"4.5"	"3436"	"32.90"	"S"	"有"	"陕西棉花所系选育成"	"中"	"14.1"	"7"	"绿"	"--"	"11"	"11.8"	"低于"	"5.6"	"--"	"54-220"	"31-3"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"陕西三原"	"54-220"	"1986"	"陆国内"	"1797"	"陕西"	"75.8"	"中棉所"	"I3A00758"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"423"	"--"	"白"	"S"	"绿"	"1.9"	"118"	"选育"	"49.1"	"11.1"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"19.8"	"36.20"	"34.40"	"6.00"	"单生"	"中"	"77.5"	"--"
"1065"	"--"	"--"	"中"	"138"	"7.0"	"灰"	"--"	"--"	"塔"	"有"	"9.0"	"中"	"乳白"	"11636"	"ZM-01469"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"28.1"	"4.1"	"3932"	"35.20"	"S"	"有"	"河北廊坊所"	"中"	"13.6"	"7"	"绿"	"--"	"10"	"16.6"	"等于"	"5.8"	"--"	"54× JI JIAO (LIU YE XING )"	"31-3"	">45"	"不倒"	"超鸡脚"	"3"	"1"	"少"	"Malvaceae(锦葵科)"	"河北廊坊"	"54×鸡脚(柳叶型)"	"1989"	"陆国内"	"1850"	"河北"	"75.8"	"山西棉花所"	"I3A04246"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"15"	"--"	"乳白"	"S"	"红绿"	"1.2"	"117"	"选育"	"48.4"	"9.0"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"20.2"	"42.00"	"36.20"	"4.70"	"单生"	"中"	"75.0"	"--"
"1066"	"5"	"--"	"中"	"138"	"8.2"	"灰"	"--"	"--"	"塔"	"有"	"8.9"	"中"	"乳白"	"11430"	"ZM-01471"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"30.4"	"4.1"	"3635"	"35.20"	"S"	"有"	"河北棉花所选出"	"硬"	"13.3"	"7"	"绿"	"--"	"13"	"16.3"	"等于"	"6.1"	"--"	"60 NIAN DAI 15 LIANG XUAN"	"31-4"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"河北邯郸"	"60年岱15良选"	"1986"	"陆国内"	"1945"	"河北"	"74.9"	"山西棉花所"	"I3A01092"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"46"	"5"	"乳白"	"S"	"绿"	"2.8"	"142"	"选育"	"54.1"	"10.9"	">3"	"3"	"畅"	"不抗"	"高抗"	"长"	"心脏"	"22.7"	"40.80"	"38.00"	"5.70"	"单生"	"粗"	"87.0"	"--"
"1067"	"--"	"--"	"中"	"140"	"7.1"	"灰"	"--"	"--"	"塔"	"有"	"9.6"	"中"	"乳白"	"11714"	"ZM-01472"	"中"	"Gossypium L.(棉属)"	"紫"	"有"	"乳白"	"圆锥"	"中"	"28.6"	"4.4"	"3416"	"32.70"	"--"	"有"	"江苏徐州"	"中"	"11.5"	"6"	"绿"	"--"	"9"	"10.8"	"高于"	"6.3"	"--"	"60-19"	"42-2"	">45"	"不倒"	"阔叶"	"3"	"6"	"少"	"Malvaceae(锦葵科)"	"江苏徐州"	"60-19"	"1990"	"陆国内"	"1709"	"江苏"	"68.5"	"中棉所"	"I3A06038"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"34"	"--"	"黄"	"--"	"绿"	"2.5"	"102"	"选育"	"46.4"	"10.2"	">3"	"--"	"不畅"	"不抗"	"高抗"	"中"	"心脏"	"19.4"	"40.30"	"36.70"	"4.50"	"单生"	"中"	"90.0"	"--"
"1068"	"--"	"--"	"中"	"141"	"8.6"	"灰"	"--"	"--"	"塔"	"有"	"8.7"	"中"	"乳白"	"11430"	"ZM-01474"	"小"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"27.5"	"4.5"	"3635"	"34.40"	"S"	"有"	"河北邯郸所"	"中"	"12.8"	"7"	"绿"	"--"	"11"	"15.0"	"等于"	"6.6"	"--"	"60 XUAN 99"	"31-4"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"河北邯郸"	"60选99"	"1989"	"陆国内"	"1893"	"河北"	"75.5"	"山西棉花所"	"I3A03887"	"稀"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"46"	"--"	"乳白"	"S"	"红绿"	"2.0"	"120"	"选育"	"49.7"	"9.3"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"22.5"	"40.70"	"37.00"	"4.10"	"单生"	"中"	"87.0"	"--"
"1069"	"--"	"--"	"强"	"130"	"5.1"	"灰"	"--"	"--"	"塔"	"有"	"8.5"	"中"	"乳白"	"10812"	"ZM-01485"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"31.2"	"4.0"	"3417"	"32.50"	"S"	"有"	"西北农科院有性杂交育成"	"中"	"13.2"	"7"	"绿"	"--"	"13"	"10.8"	"等于"	"6.6"	"--"	"65(3)2"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"2"	"中"	"Malvaceae(锦葵科)"	"陕西武功"	"65(3)2"	"1986"	"陆国内"	"1962"	"陕西"	"74.5"	"中棉所"	"I3A00762"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"439"	"--"	"白"	"S"	"绿"	"1.4"	"145"	"选育"	"53.7"	"12.5"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"22.9"	"36.80"	"33.00"	"5.80"	"单生"	"粗"	"85.6"	"--"
"1070"	"--"	"--"	"中"	"122"	"7.7"	"灰"	"--"	"--"	"塔"	"有"	"9.1"	"中"	"乳白"	"11101"	"ZM-01498"	"小"	"Gossypium L.(棉属)"	"紫"	"有"	"乳白"	"卵圆"	"中"	"24.4"	"4.9"	"3502"	"35.20"	"S"	"有"	"山西运城地区所有性杂交育成"	"硬"	"14.8"	"6"	"绿"	"--"	"9"	"16.8"	"高于"	"5.6"	"--"	"67-1201"	"36-3"	">45"	"不倒"	"阔叶"	"3"	"1"	"多"	"Malvaceae(锦葵科)"	"山西运城"	"67-1201"	"1986"	"陆国内"	"1716"	"山西"	"73.5"	"湖北经作所"	"I3A00006"	"有"	"长"	"白"	"Gossypium hirsutum L.(陆地棉)"	"362"	"--"	"白"	"S"	"绿"	"2.3"	"102"	"选育"	"51.6"	"9.9"	">3"	"--"	"畅"	"抗"	"抗"	"长"	"心脏"	"20.5"	"40.60"	"39.40"	"3.90"	"单生"	"中"	"102.0"	"--"
"1071"	"--"	"--"	"中"	"142"	"9.2"	"灰"	"--"	"--"	"塔"	"有"	"10.3"	"中"	"乳白"	"10812"	"ZM-01499"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"24.8"	"4.8"	"3417"	"34.80"	"S"	"有"	"西北农学院有性杂交育成"	"中"	"15.4"	"7"	"绿"	"--"	"9"	"19.0"	"等于"	"6.3"	"--"	"68(7)16"	"32-1"	">45"	"不倒"	"阔叶"	"3"	"3"	"中"	"Malvaceae(锦葵科)"	"陕西武功"	"68(7)16"	"1989"	"陆国内"	"1764"	"陕西"	"73.7"	"山西棉花所"	"I3A03888"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"439"	"--"	"乳白"	"T"	"红绿"	"1.2"	"106"	"选育"	"49.9"	"10.0"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"22.0"	"39.40"	"35.00"	"5.00"	"单生"	"中"	"100.0"	"--"
"1072"	"--"	"--"	"中"	"127"	"7.1"	"灰"	"--"	"--"	"塔"	"有"	"10.1"	"中"	"乳白"	"11430"	"ZM-01504"	"中"	"Gossypium L.(棉属)"	"紫"	"有"	"乳白"	"卵圆"	"中"	"28.1"	"5.3"	"3635"	"35.90"	"S"	"有"	"河北棉花所有性杂交育成"	"硬"	"14.6"	"7"	"绿"	"--"	"10"	"15.1"	"高于"	"6.2"	"--"	"70 XUAN 186"	"37-2"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"河北邯郸"	"70选186"	"1986"	"陆国内"	"1848"	"河北"	"71.5"	"湖北经作所"	"I3A01187"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"46"	"--"	"白"	"S"	"绿"	"2.3"	"113"	"选育"	"50.1"	"10.7"	">3"	"--"	"畅"	"抗"	"不抗"	"短"	"心脏"	"23.1"	"38.40"	"35.50"	"4.90"	"单生"	"中"	"98.0"	"--"
"1073"	"--"	"--"	"中"	"135"	"5.2"	"灰"	"--"	"--"	"筒"	"无"	"8.6"	"薄"	"乳白"	"11401"	"ZM-01507"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"31.6"	"3.8"	"3440"	"33.40"	"S"	"有"	"河南中牟农校有性杂交育成"	"中"	"14.3"	"7"	"绿"	"--"	"11"	"9.9"	"高于"	"6.8"	"--"	"71-3-1"	"31-1"	"=45"	"不倒"	"阔叶"	"0"	"3"	"多"	"Malvaceae(锦葵科)"	"河南中牟"	"71-3-1"	"1987"	"陆国内"	"1813"	"河南"	"76.6"	"中棉所"	"I3A03600"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"78"	"--"	"黄"	"S"	"绿"	"1.5"	"123"	"选育"	"46.4"	"10.6"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"18.6"	"40.10"	"34.90"	"5.40"	"丛生"	"中"	"90.0"	"--"
"1074"	"3"	"--"	"中"	"130"	"7.8"	"灰"	"--"	"--"	"塔"	"有"	"9.1"	"中"	"乳白"	"11430"	"ZM-01518"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"27.4"	"3.7"	"3635"	"34.40"	"S"	"有"	"河北邯郸"	"硬"	"12.0"	"7"	"绿"	"--"	"12"	"14.8"	"等于"	"6.2"	"--"	"72 NIAN DAI HAO 18"	"26-4"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"河北邯郸"	"72年代号18"	"1986"	"陆国内"	"1933"	"河北"	"77.3"	"山西棉花所"	"I3A01098"	"稀"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"46"	"5"	"乳白"	"S"	"绿"	"3.2"	"132"	"选育"	"52.1"	"11.1"	">3"	"3"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"22.0"	"37.90"	"35.30"	"5.80"	"单生"	"粗"	"87.0"	"--"
