"id"	"主要危害部位"	"中文名"	"为害症状"	"病害类型"	"地理分布"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"别名"	"防治方法"	"记录号"	"传播途径和发病条件"	"图片"
"23"	"叶片或叶鞘"	"水稻细菌性褐条病"	"苗期染病在叶片或叶鞘上出现褐色小斑，后扩展呈紫褐色长条斑，有时与叶片等长，边缘清楚。病苗枯萎或病叶脱落，植株矮小。成株期染病先在叶片基部中脉发病，初水浸状黄白色，后沿脉扩展上达叶尖，下至叶鞘基部形成黄褐至深褐色的长条斑，病组织质脆易折，后全叶卷曲枯死。叶鞘染病呈不规则斑块，后变黄褐，最后全部腐烂。心叶发病，不能抽出，死于心苞内，拔出有腐臭味，用手挤压有乳白至淡黄色菌液溢出。孕穗期染病穗苞受害，穗早枯，或有的穗颈伸长，小穗梗淡褐色，弯曲畸形，谷粒变褐不实。"	"细菌"		"燕麦(晕疫)假单胞菌"	"Pseudomonas avenae Manns"	"水稻"	"假单胞杆菌属"	"Pseudomonas avenae Manns称燕麦(晕疫)假单胞菌，属假单胞杆菌属细菌。1978年后又改称为P．syringae pv．panici(Elliott)Young et a1．。菌体单细胞短杆状，两端钝圆，大小1．5～2．5×0．5～0．8(μm)，极生鞭毛1～5根，多为1～2根，无芽孢，无荚膜，革兰氏染色阴性，在肉汁胨琼脂平板培养基上菌落圆形，污白色隆起，不产生褐色素和荧光素。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"细菌性心腐病"	"(1)建立合理排灌系统，防止大水淹没稻田，及时排水。(2)增施有机肥，氮、磷、钾肥合理配合施用，增强植株抗病力。其它方法参见水稻细菌性褐斑病。"	"fd00118"	"在病残体或病种子上越冬，病菌借水流、暴风雨传播蔓延，从稻苗伤口或自然孔口侵入，特别是秧苗受伤或受淹后发病重。高温、高湿、阴雨有利于发病。偏施氮肥，发病重。高秆品种较矮秆品种抗病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/水稻细菌性褐条病.jpg"
"24"	"根节部和茎基部"	"水稻细菌性基腐病"	"水稻分蘖期发病常在近土表茎基部叶鞘上产生水浸状椭圆形斑，渐扩展为边缘褐色、中间枯白的不规则形大斑，剥去叶鞘可见根节部变黑褐，有时可见深褐色纵条，根节腐烂，伴有恶臭，植株心叶青枯变黄。拔节期发病叶片自下而上变黄，近水面叶鞘边缘褐色，中间灰色长条形斑，根节变色伴有恶臭。穗期发病病株先失水青枯，后形成枯孕穗、白穗或半白穗，根节变色有短而少的侧生根，有恶臭味。 水稻细菌性基腐病的独特症状是病株根节部变为褐色或深褐色腐烂。别于细菌性褐条病心腐型、白叶枯病急性凋萎型及螟害枯心苗等。该病常与小球菌核病、恶苗病、还原性物质中毒等同时发生；也有在基腐病株枯死后，恶苗病菌、小球菌核病菌等腐生其上。该病主要通过水稻根部和茎基部的伤口侵入。生产上只要抓准基腐病这三个独特症状，是能与上述病害区别开来的。"	"细菌"		"菊欧文氏菌玉米致病变种"	"Erwinia chrysanthemi pv．zeae(Sabet)Victria，Arboleda et Munoz．"	"水稻"		"Erwinia chrysanthemi pv．zeae(Sabet)Victria，Arboleda et Munoz．称菊欧文氏菌玉米致病变种，属欧氏杆菌属细菌。细菌单生，短杆状，两端钝圆，大小2．6～3×0．6～0．8(μm)，鞭毛周生，无芽胞和荚膜，革兰氏染色阴性。牛肉浸膏蛋白胨琼脂培养基上菌落呈变形虫状，初乳白后变土黄色，无光泽。厌气生长，不耐盐，能使多种糖产酸，使明胶液化，产生吲哚，对红霉素敏感，产生抑制圈。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)选用抗病良种。如四梅2号、广陆矮4号、矮粳23、浙福802、农林百选、盐粳2号、武香粳、汕优6号、双糯4号、中粳574、南粳34等可因地制宜地选用。(2)培育壮苗，推广工厂化育苗，采用湿润育秧。适当增施磷、钾肥确保壮苗。要小苗直栽浅栽，避免伤口。(3)提倡水旱轮作，增施有机肥，采用配方施肥技术。"	"fd00119"	"细菌可在病稻草、病稻桩和杂草上越冬。病菌从叶片上水孔、伤口及叶鞘和根系伤口侵入，以根部或茎基部伤口侵入为主。侵入后在根基的气孔中系统感染，在整个生育期重复侵染。早稻在移栽后开始出现症状，抽穗期进入发病高峰。晚稻秧田即可发病，孕穗期进入发病高峰。轮作、直播或小苗移栽稻发病轻。偏施或迟施氮素，稻苗嫩柔发病重。分蘖末期不脱水或烤田过度易发病。地势低，粘重土壤通气性差发病重。一般晚稻发病重于早稻。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/水稻细菌性基腐病.jpg"
"25"	"叶片"	"水稻细菌性条斑病"	"主要为害叶片。病斑初为暗绿色水浸状小斑，很快在叶脉间扩展为暗绿至黄褐色的细条斑，大小约1×10mm，病斑两端呈浸润型绿色。病斑上常溢出大量串珠状黄色菌脓，干后呈胶状小粒。白叶枯病斑上菌溢不多不常见到，而细菌性条斑上则常布满小珠状细菌液。发病严重时条斑融合成不规则黄褐至枯白大斑，与白叶枯类似，但对光看可见许多半透明条斑。病情严重时叶片卷曲，田间呈现一片黄白色。"	"细菌"		"稻生黄单胞菌条斑致病变种"	"Xanthomonas oryzae pv．oryzicola(Fang，Ren，Chu，Faan，Wu)Swings"	"水稻"		"Xanthomonas oryzae pv．oryzicola(Fang，Ren，Chu，Faan，Wu)Swings称稻生黄单胞菌条斑致病变种，属黄单胞杆菌属细菌。菌体单生，短杆状，大小1～2×0．3～0．5(μm)，极生鞭毛一根，革兰氏染色阴性，不形成芽孢荚膜，在肉汁胨琼脂培养基上菌落圆形，周边整齐，中部稍隆起，蜜黄色。生理生化反应与白叶枯菌相似，不同之处该菌能使明胶液化，使牛乳胨化，使阿拉伯糖产酸，对青霉素、葡萄糖反应钝感，该菌生长适温28～30℃。该    菌与水稻白叶枯病菌的致病性和表现性状虽有很大不同，但其遗传性状及生理生化性状又有很大相似性，故该菌应作为稻白叶枯病菌种内的一个变种。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"细条病、条斑病"	"(1)加强检疫，把该菌列入检疫对象，防止调运带菌种子远距离传播。(2)选用抗(耐)病杂交稻，如桂31901，青华矮6号，双桂36，宁粳15号，珍桂矮1号，秋桂11，双朝25，广优，梅优，三培占1号，冀粳15号，博优等。(3)避免偏施、迟施氮肥，配合磷、钾肥，采用配方施肥技术。忌灌串水和深水。(4)药剂防治参见水稻白叶枯病,水稻细菌性谷枯病。"	"fd00120"	"病菌主要由稻种、稻草和自生稻带菌传染，成为初侵染源，也不排除野生稻、李氏禾的交叉传染。病菌主要从伤口侵入，菌脓可借风、雨、露等传播后进行再侵染。高温高湿有利于病害发生。台风暴雨造成伤口，病害容易流行。偏施氮肥，灌水过深加重发病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/水稻细菌性条斑病.jpg"
"26"	"叶片"	"粟(谷子)细菌性褐斑条纹病"	"主要为害叶片，尤其是基部叶片的中下部。一般在主脉附近现水渍状细而长的条斑，后在叶脉间产生许多平行排列的短条斑或条纹。条斑沿脉向上、下两方伸长，后变为暗绿至绿褐或丁香色，最后呈深褐至黑褐色。有时病部具黄绿色晕环。湿度大或潮湿条件下，叶鞘上产生褐色斑点或条纹，但没有叶片上的明显。如连续遇高温多雨天气，感病品种出现嫩叶枯萎或顶端腐烂，"	"细菌"		"假单胞杆菌属粟假单胞菌"	"Pseudomonas setariae(Okabe)Savalescu"	"粟、谷子"		"参见玉米细菌性条纹病。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"参见玉米细菌性条纹病。"	"fd00121"	"参见玉米细菌性条纹病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/粟(谷子)细菌性褐斑条纹病.jpg"
"27"	"叶片"	"粟(谷子)细菌性条斑病"	"主要为害叶片。叶片上产生与叶脉平行的深褐色短条状有光泽的病斑，周围有黄色晕圈，病斑边缘轮廓不明显。把粟叶横切面置于水滴中有很多细菌从叶脉处溢出。"	"细菌"		"甘蓝黑腐黄单胞菌半透明致病变种"	"Xanthomonas campestris pv．translucens(Jones et a1．)Dye"	"粟、谷子、小麦、大麦、黑麦、燕麦"		"Xanthomonas campestris pv．translucens(Jones et a1．)Dye称甘蓝黑腐黄单胞菌半透明致病变种，属细菌。菌体杆状，大小1～2×0．6～0．8(μm)，单生或双生，极生单鞭毛，无荚膜，无芽孢，革兰氏染色阴性，好气性。生长适温25～28℃，最高36℃。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"参见高粱细菌性红条病。"	"fd00122"	"参见高粱细菌性红条病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/粟(谷子)细菌性条斑病.jpg"
"28"	"茎、荚和叶片"	"豌豆细菌性叶斑病"	"为害茎、荚和叶片。苗期染病种子带菌的幼苗即染病。较老植株叶片染病病部水渍状，现圆形至多角形紫色斑，半透明，湿度大时，叶背现白色至奶油色菌脓，干燥条件下产生发亮薄膜，叶斑干枯，变成纸质状。茎部染病初生褐色条斑。花梗染病可从花梗蔓延到花器上，致花萎蔫，幼荚干缩腐败。荚染病病斑近圆形稍凹陷，初为暗绿色，后变成黄褐色，有菌脓，直径3～5mm。"	"细菌"		"假单胞杆菌丁香假单胞菌豌豆致病变种"	"Pseudomonas syringae pv．pisi(Sackett)Young．et al．"	"豌豆"		"Pseudomonas syringae pv．pisi(Sackett)Young．et al．称假单胞杆菌丁香假单胞菌豌豆致病变种，属细菌。菌体杆状，极生一根至多根鞭毛，无芽孢，无荚膜。革兰氏染色阴性，好气性。大小1．11～3．28×0．58～0．82(um)。肉汁胨琼脂平面上菌落灰白色，圆形稍凸，边缘波纹状。细菌生长适温28～30℃，最高35～36℃，最低0℃，50℃10分钟致死。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"假单胞蔓枯病或茎枯病"	"(1)建立无病留种田，从无病株上采种。(2)种子消毒、用种子重量0．3％的50％甲基硫菌灵可湿性粉剂拌种。也可进行温汤浸种，先把种子放入冷水中预浸4～5小时，移入50℃温水中浸5分钟，后移入凉水中冷却，晾干后播种。(3)避免在低湿地种植豌豆，采用高畦或起垄栽培，注意通风透光，雨后及时排水，防止湿气滞留。(4)发病初期喷洒72％农用硫酸链霉素4000倍液或30％碱式硫酸铜悬浮剂400～500倍液、47％加瑞农可湿性粉剂800倍液。"	"fd00123"	"病原细菌在豌豆、蚕豆种子里越冬，成为翌年主要初侵染源。植株徒长、雨后排水不及时、施肥过多易发病，生产上遇有低温障碍，尤其是受冻害后突然发病，迅速扩展。反季节栽培时易发病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/豌豆细菌性叶斑病.jpg"
"29"	"维管"	"玉米细菌萎蔫病"	"属全株系统性维管束病害，是我国重要外检对象。该病最初的症状是萎蔫，叶片现灰绿色至黄色线状条斑，有不规则形或波浪形的边缘，与叶脉平行，严重的可延伸到全叶。这些条斑迅速变黄褐干枯，在近地面处茎的髓部变为中空。细菌通过维管束扩展，有时从维管束切口处流出黄色细菌脓液。有的还能进入籽粒。受害株变矮或雄花过早变白死亡。"	"细菌"		"斯氏欧文氏菌(玉米斯氏萎蔫病欧文氏菌)"	"Xanthomonas stewartii(Smith)Dowson异名Erwinia stewartii(Smith)Dye．"	"玉米"		"Xanthomonas stewartii(Smith)Dowson异名Erwinia stewartii(Smith)Dye．。称斯氏欧文氏菌(玉米斯氏萎蔫病欧文氏菌)，属细菌。细菌杆状，无鞭毛，格兰氏染色阴性，大小0．9～2．2×0．4～0．8(um)。"	"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"玉米细菌性叶枯病、斯氏细菌枯萎病、斯氏叶枯病、玉米欧氏菌萎蔫病"	"(1)选用培育抗病品种。(2)及早喷洒杀虫剂控制玉米跳甲。"	"fd00124"	"种子可以带菌。病菌还可在玉米跳甲(Chaetocnema pulicaria)体内越冬，带菌跳甲也可传播此病。据美国研究，玉米跳甲在细菌越冬和传播上具有重要作用。此外，微量元素影响玉米对该菌侵染的敏感性。施用过多铵态氮和磷肥可增加感病性，高温有利于该病流行。甜玉米不抗病，马齿型玉米发病较轻。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/玉米细菌萎蔫病.jpg"
"30"	"叶片"	"玉米细菌性褐斑病"	"在叶片上，病斑初呈暗绿色、水渍状，逐渐扩大为黄褐色的椭圆形病斑，病斑边缘浅褐色。病斑大小为2～8mm。"	"细菌"	"局部地区发生"	"丁香假单胞杆菌丁香变种"	"Pseudomonas syringae pv．syringae Van Hall"	"玉米"			"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"种植抗病品种：选择种植在发病地区表现抗病的品种。 轮作：在病害严重发生的地区，可以与非禾谷类作物实行轮作。 减少菌源：秋收后，及时清除田间的植株病残体。"	"fd00125"	"在气候温暖、多雨时，病害发生严重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/玉米细菌性褐斑病.jpg"
"31"	"茎秆和叶鞘"	"玉米细菌性茎腐病"	"主要为害中部茎秆和叶鞘。玉米10多片叶时，叶鞘上初现水渍状腐烂，病组织开始软化，散发出臭味。叶鞘上病斑不规则形，边缘浅红褐色，病健组织交界处水渍状尤为明显。湿度大时，病斑向上下迅速扩展，严重时植株常在发病后3～4天病部以上倒折，溢出黄褐色腐臭菌液。干燥条件下扩展缓慢，但病部也易折断，造成不能抽穗或结实。"	"细菌"	"江苏、河南、山东、四川、广西均有发生。近年四川受害较重。河南新乡也有发生严重的报导"	"菊欧文氏菌玉米致病变种"	"Erwinia chrysanthemi pv．zeae(Sabet)Victoria，Arboleda et Munoz"	"玉米"		"Erwinia chrysanthemi pv．zeae(Sabet)Victoria，Arboleda et Munoz异名E．carotovora f．sp．zeae Sabet称菊欧文氏菌玉米致病变种，属细菌。菌体杆状，两端钝圆，单生，偶成双链，革兰氏染色阴性，周生鞭毛6～8根，无芽孢，无荚膜，大小0．85×1．6(um)。菌落圆形，低度突起，乳白色，稍透明。此外，有报道Pseudomonas zeae Hsi．et Fang．称玉蜀黍假单胞菌，也是该病病原。"	"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)农业防治  实行轮作，尽可能避免连作。收获后及时清洁田园，将病残  株妥善处理，减少菌源。加强田间管理，采用高畦栽培，严禁大水漫灌，雨后及时排水，防止湿气滞留，(2)及时治虫防病。苗期开始注意防治玉米螟、棉铃虫等害虫，及时喷洒50％辛硫磷乳油1500倍液。(3)田间发现病株后，及时拔除，携出田外沤肥或集中烧毁。(4)必要时于发病初期剥开叶鞘，在病部涂刷石灰水。用熟石灰1kg，对水5～10kg涂刷有效。(5)在玉米喇叭口期喷洒25％叶枯灵或20％叶枯净可湿性粉剂加60％瑞毒铜或瑞毒铝铜或58％甲霜灵•锰锌可湿性粉剂600倍液有预防效果。(6)发病后马上喷洒5％菌毒清水剂600倍液或农用硫酸链霉素4000倍液，防效较好。"	"fd00126"	"病菌可能在土壤中病残体上越冬，翌年从植株的气孔或伤口侵入。玉米60cm高时组织柔嫩易发病，害虫为害造成的伤口利于病菌侵入。此外害虫携带病菌同时起到传播和接种的作用，如玉米螟、棉铃虫等虫口数量大则发病重。高温高湿利于发病；均、温30℃左右，相对湿度高于70％即可发病；均温34℃，相对湿度80％扩展迅速。地势低洼或排水不良，密度过大，通风不良，施用氮肥过多，伤口多发病重。轮作，高畦栽培，排水良好及氮、磷、钾肥比例适当地块植株健壮，发病率低。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/玉米细菌性茎腐病.jpg"
"32"	"叶片"	"玉米细菌性条斑病"	"有两种类型叶部病斑，但在我国已发现的病斑类型为圆至椭圆形，病斑在叶脉间发展，中央灰褐色，边缘深褐色，周围有水浸状褪绿晕圈，大小约3～4×2mm。另一种病斑类型为在叶脉间出现水浸状深绿色或黄褐色条斑，边缘规则。在茎和叶鞘上，病斑为水浸状，长形，橄榄色，逐渐变为淡黄色。"	"细菌"	"局部地区发生"	"高粱假单胞菌"	"Pseudomonas andropogoni(Smith)Stapp"	"玉米"			"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"种植抗病品种：淘汰种植在田间表现感病的玉米品种，种植抗病品种能够有效防止病害的严重发生。 药剂防治：一旦发生病害，应尽早在全株喷施药剂，能够起到一定的控制病害进一步发展和传播的作用。主要可选择的杀细菌药剂有农用链霉素。"	"fd00127"		"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/玉米细菌性条斑病.jpg"
"33"	"叶片、叶鞘"	"玉米细菌性条纹病"	"在玉米叶片、叶鞘上生褐色至暗褐色条斑或叶斑，严重时病斑融合。有的病斑呈长条状，致叶片呈暗褐色干枯。湿度大时，病部溢出很多菌脓，干燥后成褐色皮状物，被雨水冲刷后易脱落。"	"细菌"		"芒草假单胞菌高粱细菌条纹病假单胞菌"	"Pseudomonas andropogonis(E．F．Smith．)Stapp．"	"除侵染玉米外，还可侵染高粱、豆科、咖啡等。"		"Pseudomonas andropogonis(E．F．Smith．)Stapp．称须芒草假单胞菌高粱细菌条纹病假单胞菌)，属细菌。异名P．woodsii。菌体杆状，大小1～2×0．5～0．7(um)，有1根具鞘的鞭毛，很少2根，单极生，不产生荧光色素，革兰氏染色阴性，不抗酸，好气性。在肉汁洋菜培养基上菌落圆形，光滑，白色有光泽，稍隆起，生长迟缓，粘稠。生长适温22～30℃，最高37～38℃，最低5～6℃，48℃经10分钟致死。"	"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)提倡施用酵素菌沤制的堆肥，多施河泥等充分腐熟有机肥。(2)加强田间管理，地势低洼多湿的田块雨后及时排水。"	"fd00128"	"病原细菌在病组织中越冬。翌春经风雨、昆虫或流水传播，从伤口或气孔、皮孔侵入，病菌深入内部组织引起发病。高温多雨季节、地势低洼、土壤板结易发病，伤口多，偏施氮肥发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/玉米细菌性条纹病.jpg"
