"id"	"入侵时间及地点"	"防治方法"	"别名"	"危害特点"	"中文名"	"生物学特征及发生消长规律"	"纲"	"目"	"科"	"属"	"英文名"	"传播途径"	"入侵地"	"门"	"原产地"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"图片"
"49"	"1940年引入台湾栽培"			"一般性杂草。我国引种栽培，并已逸为野生杂草，少有侵入农田，危害小。"	"地毯草"	"多年生中生禾草。在我国南方生长在海拔800m以下低山丘陵的沟边、湿润的缓坡、开阔草地上、果园及林下。 花果期夏秋季。靠种子或匍匐枝进行繁殖。 喜湿热的气候，适于生长在地下水位较高的沙土或沙壤土上，在肥沃的沙壤土、壤土上生长最好，不耐寒旱，不耐涝。"	"单子叶植物纲"	"禾本目"	"禾本科"	"地毯草属"	"Carpetgrass"	"我国引种栽培，常植作草坪或牧草。"	"我国南方各省区（引种）"	"被子植物门"	"美洲热带"	"具长的匍匐茎，节着土生根并分枝。秆扁，节密生灰白色柔毛，高15~50cm。叶鞘松弛，扁而具脊；叶舌长约0.5mm；叶片质较柔薄，先端钝圆，上面通常被柔毛，边缘具细柔纤毛，秆生者长5~20cm，宽8~12mm，匍枝上者较短。总状花序2~5枚呈指状排列，最上2枚成对而生，通常长4~8cm。小穗长圆状披针形，长2.2~2.5mm，着生于穗轴一侧，疏生柔毛；第一颖不存在；第二颖与第一外稃等长，先端尖，背面疏生柔毛。谷粒椭圆形，长1.8~2mm，先端疏生少数柔毛。"	"李扬汉，1998. 中国杂草志. P.1170 李振宇、解焱（主编）. 2002. 中国外来入侵种. 北京：林业出版社."	"Axonopus compressus (Swartz) Beauv."	"PL00049"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/地毯草.jpg"
"50"	"1922年在海南采到标本。"	"对吊球草的防治，可利用耕翻等措施在播种前、出苗前及各生育期等不同时期除草，还要消灭渠道上的杂草，清洁灌溉水，以减少田间草籽来源。有机肥料腐熟后再用。可利用克芜踪、除草醚等除草剂防治。"		"为一般性果、茶园及路埂杂草，危害轻。但若疏于管理也会大肆蔓延。对本土植物有一定的化感作用。"	"吊球草"	"一年生草本，常生于山坡、林缘、旷野、村旁等地。花期4~10月。种子繁殖。"	"双子叶植物纲"	"菊目"	"唇形科"	"山香属"	"Rombic Bushmint"		"广东、广西、海南、台湾、香港、澳门"	"被子植物门"	"热带美洲；现为泛热带杂草。"	"茎直立、粗壮，高0.5~1.5m,呈四棱形。叶纸质，披针形；长8~18cm；上面疏被短硬毛，下面沿脉疏被柔毛，余部密被腺点，边缘有钝齿；叶柄长1~3.5cm。花多数，密集成腋生、单生的球形小头状花序，直径约1.5mm，具苞片；花萼果时增大，萼齿锥尖；花冠乳白色，长约6mm，外被微柔毛，冠檐二唇形，上唇短，先端2圆裂，下唇3裂，中裂片较大；子房裂片球形，无毛。小坚果长圆形，腹面具棱，栗褐色，基部具2个白色着生点。"		"Hyptis rhomboidea"	"PL00050"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/吊球草.jpg"
"51"			"西洋菜，无心芥、水田芥、水蔊菜"		"豆瓣菜"	"为1～2年生水生草本植物。喜冷凉湿润环境，生长适温15～25℃，最适温20℃左右，10℃以下生长缓慢，能忍受短时间的多次霜冻，冬季气温在0℃左右可露地安全越冬，若温度高于30℃生长停滞，叶片易发黄或枯萎。生长期要求良好的光照，光照不足时茎叶生长纤弱，产量低。喜保水保肥力强的中性壤土，适宜pH值为6.5～7.5。"	"双子叶植物纲"	"白花菜目"	"十字花科"	"豆瓣菜属"	"Water cress"		"安徽、广东、广西、贵州、河北、河南、黑龙江、江苏、山东、山西、陕西、四川、西藏、云南"	"被子植物门"	"欧洲"	"植株高约30厘米，匍匐或半匍匐状丛生茎圆形，在幼嫩时实心，长老后中空，青绿色，具多数节;每节均能发生分枝和须根，遇潮湿环境须根即伸长生长。叶互生，每节一叶，奇数羽状复叶，小叶1～4对，卵形或近圆形，顶端小叶较大，深绿色，气温低时会变成暗紫色。总状花序，花细小，两性花，花冠白色。荚果内含种子30～40粒，种子细小，扁椭圆形，黄褐色，千粒重约0.25克，每升种子重580克。发芽力可维持5年。"		"Nasturtium officinale R. Br."	"PL00051"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/豆瓣菜.jpg"
"52"	"1954年从保加利亚进口的小麦中发现"	"１）凡从国外进口的粮食或引进种子，以及国内各地调运的旱地作物种子，要严格检疫，混有毒麦的种子不能播种，应集中处理并销毁，杜绝传播。２）在毒麦发生地区，应调换没有毒麦混杂的种子播种。麦收前进行田间选择，选出的种子要单独脱粒和储藏。有毒麦发生的麦田，可在毒麦抽穗时彻底将它销毁，连续进行2-3年，即可根除。３）北方可在小麦收获后进行一次秋耕，将毒麦籽翻到土表，促使当年萌芽，在冬季冻死。４）发生毒麦的麦田与玉米、高梁、甜菜等中耕作物轮作，尤其与水稻轮作，防治效果很好。"	"黑麦子，小尾巴麦子"	"一般混生于麦田中为有毒杂草，颖果内种皮与淀粉层之间寄生有毒麦菌的菌丝，它含有一种毒麦碱，人、畜食后都能中毒，轻者引起头晕、昏迷、呕吐、痉挛等症；重者则会使中枢神经系统麻痹以致死亡。毒麦未成熟时或多雨潮湿季节收获的种子毒力最强。另外毒麦生于麦田中，影响麦的产量和质量。"	"毒麦"	"越年生或一年生草本。一般混生于麦田中。种子繁殖，幼苗或种子越冬。幼苗出土较小麦稍晚，但出土后生长迅速，抽穗、成熟比小麦早，熟后随颖片脱落。"	"单子叶植物纲"	"禾本目"	"禾本科"	"黑麦草属"	"Bearded Ryegrass，Darnel，Poison Ryegrass"	"种子繁殖。"	"除华南外，全国各地均有分布"	"被子植物门"	"欧洲"	"成株 秆成疏丛，无毛，高20—120cm。叶鞘较疏松，长于节间；叶舌长约2．7mm,膜质截平，叶耳狭窄；叶片长6—40cm，宽3—13mm，质地较薄，无毛或微粗糙。穗状花序长5—40cm，宽1—1．5cm，有12—14个小穗；穗轴节间长5-7（-10）mm；小穗长8—9mm，有2—6小花，以5为多，小穗轴节间长1—1．5mm，光滑无毛；颖质地较硬，具5—9脉，具狭膜质边缘，长8—10mm；外释质地较薄，基盘微小，具5脉，顶端膜质透明，第一外释长6mm，芒长可达1．4cm，自近外稻顶端处伸出；内稻长约等于外秤；脊上具有微小纤毛。 子实 颖果长椭圆形。长4—6mm，宽约2mm，褐黄色至棕色，坚硬，无光泽，腹沟较宽。 幼苗 绿色，基部紫红色，胚芽鞘长1．5—1．8cm。第一叶线形，长6．5—9．5cm，宽2—3mm，先端渐尖，光滑无毛。"	"李扬汉，1998.中国杂草志.p.1269."	"Lolium temulentu．L."	"PL00052"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/毒麦.jpg"
"53"					"独脚金"	"多生于低海拔荒山草地、田边、沟谷、耕地等处，常寄生于禾本科草本植物的根部。分布我国西南部至东南部各省区。"	"双子叶植物纲"	"玄参目"	"玄参科"	"独脚金属"	"Asiatic witchweed"		"云南、贵州、广西、广东、湖南、江西、福建、台湾等地"	"被子植物门"	"亚洲热带，非洲和大洋洲"	"一年生根部寄生草本，高6～15厘米，全株被短硬毛；茎单生或有时于基部分枝，微呈四方形，黄绿色。单叶互生或茎下部的近对生，无柄，线形或披针形，长5～12毫米，茎上部的较大，往下逐渐变小，最下部的常退化呈鳞片状。花单生于上部叶腋，夏秋开放，黄色或粉红色；萼管长6～7毫米，具10脉，裂齿5，线形；花冠二唇形，上唇2浅裂，下唇3深裂，冠管长约8毫米，被腺毛，近顶端弯曲；雄蕊4，2长2短，内藏，花药1室；花柱上部扩大，棍棒状。蒴果长卵形，长约3毫米；种子极小，黄色。"		"Striga asiatica"	"PL00053"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/独脚金.jpg"
"54"				"一般性杂草。"	"短柄吊球草"	"生于草地、路旁，为一般性果、茶园、胶园及路埂杂草，危害轻。"	"双子叶植物纲"	"菊目"	"唇形科"	"山香属"	"Shortpedicel Bushmint"		"海南和台湾"	"被子植物门"	"美洲墨西哥"	"一年生、直立草本。茎高50—100厘米，四棱形，具槽，沿棱上被贴生上向疏柔毛。叶卵状长圆形或披针形，长5—7厘米，宽1．5—2厘米，上部的较小，先端渐尖，基部狭楔形，边缘锯齿状，纸质，上面榄绿色，下面较淡，两面均被具节疏柔毛；叶柄长约0．5厘米，被疏柔毛。头状花序腋生，直径约1厘米，具梗，总梗长0．5—1．6厘米，密被贴生疏柔毛；苞片披针形或钻形，长4—6毫米，全缘，具缘毛。花萼长2．5—3毫米，宽约1．5毫米，果时增大，但仍为近钟形，外面被短硬毛，萼齿5，长约占花萼长之半，锥尖，直伸，具疏生缘毛。花冠白色，长约3．5毫米，外被微柔毛，冠筒基部宽约0．5毫米，向上渐宽，至喉部宽至1毫米，冠檐二唇形，上唇短，长约0．5毫米，2圆裂，裂片圆形，外反，下唇3裂，中裂片较大，凹陷，圆形，长约1毫米，基部收缩，下弯，侧裂片较小，三角形，外反。雄蕊4，下倾，插生于花冠喉部，略伸出。花柱先端略粗，2浅裂。花盘阔环形。子房裂片球形，无毛。小坚果卵珠形，长约1毫米，宽不及0．5毫米，腹面具棱，深褐色，基部具二白色着生点。"	"李扬汉，1998. 中国杂草志. p.550"	"Hyptis brevipes Poit."	"PL00054"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/短柄吊球草.jpg"
"55"			"翼锦鸡菊"		"堆心菊"	"性喜温暖向阳环境，抗寒耐旱，适生温度15℃至28℃，不择土壤，在田园土、砂壤土、微碱或微酸性土中均能生长。播种繁殖，一般8至9月阳畦育苗，翌春3月中旬移植，株行距15×20厘米。栽植前要翻整土地，加施基肥，例如豆饼、麻酱渣或鸡粪干。生长期每周浇水一次。花谢后及时修剪枯枝叶以促使花蕾形成。堆心菊在园林中多用于花坛镶边或布置花境，近几年用作地被，效果很好，金花绿叶显得生机勃勃。"	"双子叶植物纲"	"菊目"	"菊科"	"堆心菊属"	"Sneezeweed"		"安徽、江苏、浙江、江西、湖北、湖南、福建、广西、广东"	"被子植物门"	"北美洲"	"叶阔披针形，头状花序生于茎顶，舌状花柠檬黄色，花瓣阔，先端有缺刻，管状花黄绿色。花期7至10月，果熟期9月。"		"Heleniun bigelovii"	"PL00055"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/堆心菊.jpg"
"56"			"五色梅（四川），山菊花（河南）"	"一般性杂草。经济和生态影响 栽培观赏，有归化野生。 山坡，草地或路边，海拔达1250米。三月到五月播种，夏天开花花期6-10月，果期7-11月。"	"多花百日菊"	"一年生草本。"	"双子叶植物纲"	"菊目"	"菊科"	"百日菊"			"河北，河南，陕西，甘肃，四川，云南"	"被子植物门"	"墨西哥属"	"茎直立，有二歧状分枝，被粗糙毛或长柔毛。叶披针形或狭卵状披针形，长2.5-6厘米，宽0.5-1.7厘米。基部圆形半抱茎，两面被短糙毛，三出基脉在下面稍高起。头状花序径2.5-3.8厘米，生枝端。排列成伞房状圆锥花序；花序梗膨大中空圆株状，长2-6厘米。总苞钟状，宽1.2-1.5厘米，长1-1.6厘米；总苞片多层，长圆形，顶端钝圆形，边缘稍膜质，托片先端黑褐色，钝圆形，边缘稍膜质撕裂。舌状花黄色，紫红色或红色，舌片椭圆形，全缘或先端2-3齿裂；管状花红黄色，长约5毫米，先端5裂，裂片长圆形，上面被黄褐色密绒毛，雌花瘦果狭锲形，长约10毫米，宽约2毫米，极扁，具3棱，被密毛；管状花瘦果长圆形锲形，长8.5-10毫米，极扁有1-2个芒刺，具缘毛。"	"中国植物志编辑委员会，1979b. 中国植物志. 75卷. p.337"	"Zinnia peruviana"	"PL00056"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/多花百日菊.jpg"
"57"					"多花黑麦草"	"喜温暖湿润气候，以长江流域冬小麦地区生长良好，不耐严寒和高温，待开花结实后结束生长周期。 多花黑麦草，在我国适生于长江流域以南地区，在江西，湖南，江苏、浙江等省区均有人工栽培种。东北、内蒙古等省<区) 亦引种春播，多花黑麦草原产于欧洲南部，非洲北部及小亚细亚等 地，十三世纪已在意大利北部栽培，以后传播 到其它国家，广泛分布于英国、美国、丹麦、新西兰、澳大利亚、 日本等温带降雨量较乡的国家。 生态特征：多花黑麦草喜温热和湿润气候，在昼夜温度为27℃／12℃时，生长最快，秋季和春季比其它禾本科草生长快，夏季炎热则生长不良，甚至枯死。耐潮湿，但忌积水；喜壤土，也适宜粘壤土。最适宜土壤pH为6—7，在pH为5及8时仍可适应。多花黑麦草不耐严寒，在北京越冬率仅为50％。在长江流域以南，秋播可安全越冬，并可在早春提供优质青饲料，如在武汉地区，9月播种，第二年3月即可收割第一茬，盛夏前可刈割2—3次，4月下旬到5月初抽穗开花，6月上旬种子成熟，地上部结实后植株死亡。落粒的种子自繁能力强。多花黑麦草分蘖多，再生迅速，春季刈割后6周即可再次刈割。耐牧，即使重牧之后仍能迅速恢复生长。 饲用价值：多花黑麦草适口性好，各种家畜均喜采食。早期收获叶量丰富，抽穗以后茎秆比重增加，抽穗初期茎叶比为1：0．50—1：0.66，延迟刈割其茎叶比为主1：0．35。多花黑麦草适于刈割青饲，调制优质干草，亦可放牧利用。也是养鱼的好饵料，我国南方各省区多利用鱼塘边旁种植，用以饲喂草鱼。多花黑麦草品质优良，含有丰富的蛋白质，叶丛期由于茎秆少而叶量多。"	"单子叶植物纲"	"禾本目"	"禾本科"	"黑麦草属"	"Italian Ryegrass"		"各地引种作牧草，野外状况不详"	"被子植物门"	"欧洲"	"一年生或短寿多年生禾本科草，须根密集，主要分布于15厘米以上的土层中。秆成疏丛，直立，高80—120厘米，叶鞘较疏松，叶舌较小或不明显，叶片长10—30厘米，宽3—5毫米。穗状花序长15—25厘米，宽5—8毫米，小穗以背面对向穗轴，长10—18毫米，含10—15(20)小花；颖质较硬，具5—7脉，长5—8毫米；外稃质较薄，具5脉，第一外稃长6毫米，芒细弱，长约5毫米，内稃与外稃等长。"		"Lolium multiflorum"	"PL00057"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/多花黑麦草.jpg"
"58"	"19世纪中叶发现于河北和山东。"	"在结果前拔除。"	"野苋菜"	"一般性杂草。为菜园、果园及棉花和玉米等旱作物地中的常见杂草。另外，该植物可富集硝酸盐，家畜过量食用后会引起中毒。"	"反枝苋"	"一年生草本。生于山坡、路旁、旷野、荒地、田边、沟旁、河岸等处。 花期7~8月，果期8~9月。种子繁殖。"	"双子叶植物纲"	"石竹目"	"苋科"	"苋属"	"Redroot amaranth"		"黑龙江，吉林，辽宁，内蒙古，河北，北京，山东，山西，河南，陕西，甘肃，宁夏，青海，新疆，湖北，湖南，安徽，江苏，浙江，江西，上海，四川，重庆，西藏（芒康）"	"被子植物门"	"美洲"	"高20~80cm，有时达1.3m；茎直立，粗壮，淡绿色，有时具带紫色条纹，稍具钝棱，密生短柔毛。叶片菱状卵形或椭圆状卵形，常5~12cm，宽2~5cm，先端锐尖或尖凹，有小凸尖，基部楔形，有柔毛。圆锥花序顶生及腋生，直立，直径2~4cm，由多数穗状花序形成，顶生花穗较侧生者长；苞片及小苞片钻形，长4~6mm，白色，先端具芒尖；花被片白色，有1淡绿色细中脉，先端急尖或尖凹，具小突尖。胞果扁卵形，环状横裂，包裹在宿存花被片内。种子近球形，直径1mm，棕色或黑色。"	"李振宇，解焱，2002. 中国外来入侵种. p.106"	"Amaranthus retroflexus L."	"PL00058"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/反枝苋.jpg"
"59"	"1934年在云南南部被发现"	"先用机械或人工拔除,紧接着用除草剂处理或种植生命力强,覆盖好的作物进行替代,此外,用天敌昆虫Pareuchaetes pseudooinsulata控制有一定效果."	"暹罗草，香泽兰"	"飞机草在20世纪20年代早期曾作为一种香料植物引到泰国栽培，1934年在云南南部被发现。危害多种作物，并侵犯牧场。当高度达15cm或更高时，就能明显地影响其他草本植物的生长，能产生化感物质，抑制邻近植物的生长，还能使昆虫拒食。叶有毒，含香豆素。用叶擦皮肤会引起红肿、起泡，误食嫩叶会引起头晕、呕吐，还能引起家畜和鱼类中毒。该植物是叶斑病原Cercospora sp. 的中间寄主。"	"飞机草"	"丛生型的多年生草本或亚灌木，瘦果能借冠毛随风传播，而成熟季节恰值干燥多风的旱季，故扩散、蔓延迅速。种子的休眠期很短，在土壤中不能长久存活。在海南岛1年开花2次，第一次4~5月，第二次9~12月。"	"双子叶植物纲"	"菊目"	"菊科"	"泽兰属"	"Fragrant eupatorium"	"装饰和园艺，种子混杂在其它作物、树木的种子中被运输、播种，交通工具携带，运输过程中牲畜携带其种子，园艺土壤的运输。"	"广东、广西、贵州（西南部）、海南、台湾、香港、云南、澳门"	"被子植物门"	"中美洲；在南美洲、亚洲、非洲热带地区广泛分布。"	"高达3~7m，根茎粗壮，茎直立，分枝伸展。叶对生，卵状三角形，先端短渐尖，边缘有粗锯齿，有明显的三脉，两面粗糙，被柔毛及红褐色腺点，挤碎后有刺激性的气味；头状花序排成伞房状；总苞圆柱状，长1cm，总苞片3~4层。花冠管状，淡黄色，柱头粉红色。瘦果狭线形，有棱，长5mm，棱上有短硬毛；冠毛污白色，有糙毛。"		"Eupatorium odoratum"	"PL00059"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/飞机草.jpg"
"60"	"最早于1820年在澳门采到标本。"	"可用甲基砷酸钠以及2，4-D等阔叶除草剂防除。"	"乳籽草，飞相草，大飞扬草，大奶汁草，节节花"	"一般性旱地杂草。常见旱田和草坪杂草。全株有毒，有致泻作用。"	"飞扬草"	"一年生草本。 适生于向阳坡地或排水良好的平坦地，旱作物地，荒地，路旁常见，多见于砂质土 。花果期6~12月，种子繁殖。 多见于砂质土。"	"双子叶植物纲"	"大戟目"	"大戟科"	"大戟属"	"Garden Spurge"		"海南，广东，广西，湖南，云南，四川，贵州，江西，福建，台湾"	"被子植物门"	"热带地区"	"茎高30~60（70）cm，被褐色或黄褐色的多细胞粗硬毛。叶对生，披针状长圆形、长椭圆状卵形或卵状披针形，长1~5cm，宽5~13mm，先端极尖或钝，基部略偏斜，两面均具柔毛；边缘于中部以上有细锯齿，中部以下较少或全缘；叶柄极短，长1~2mm。花序多数，于叶腋处密集成头状，基部无梗或仅具极短的柄，且具柔毛；总苞钟状，高与直径各约1mm，被柔毛，边缘5裂，裂片三角状卵形；腺体4，近于杯状，边缘具白色附属物；雄花数枚，微达总苞边缘；雌花1枚，具短梗，伸出总苞之外；子房三棱状，被少许柔毛；花柱3，分离；柱头2浅裂。蒴果三棱状，直径约1~1.5mm，被短柔毛，成熟时分裂为3个分果。种子近圆状四棱，每个棱面有数个纵糟，无种阜。"	"李扬汉，1998. 中国杂草志. p.500；中国植物志编辑委员会，1997b. 中国植物志. 44卷第3分册. p.42；"	"Euphorbia hirta L."	"PL00060"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/飞扬草.jpg"
"61"					"非洲凤仙花"	"穴苗盘内90％以上的发芽率使凤仙花一直比其它系列的品种在全部的穴苗盘质量参数方面表现得更好,开花最早，颜色最丰富且分枝自由。在欧美的草本花卉应用中，非洲凤仙花排在第一位。它提供了一个广泛的亮丽颜色系列且长势旺盛，管理简单。适于盘盒容器，吊篮，花墙，窗盒和阳台栽培。"	"双子叶植物纲"	"无患子目"	"凤仙花科"	"凤仙花属"	"Busy Lizzy"		"台湾"	"被子植物门"	"非洲"	"植株被大面积的花朵覆盖着，创造出超一流的花坛和花带景观，株高20-25厘米。叶子和花的色彩十分艳丽，丰富多彩，共有40多种颜色。在花园遮荫处的背景条件下色彩调和，匀称细致，丰富并增加了花卉的色调深度。"		"Impatiens wallerian"	"PL00061"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/非洲凤仙花.jpg"
"62"	"1901年，凤眼莲被作为观赏植物引入中国"	"1）人工打捞：手拔、铲除或用特制的采集机器。不断排水，将池塘或湖泊放干可以有效控制凤眼莲；2）生物控制手段：最有效的生物控制媒介为两种象鼻虫水葫芦象甲（Neochetina bruchi）和（N. eichhorniae）（中国农业科学院生物防治研究所1995年从美国和阿根廷引进了这两种甲虫在浙江和福建释放，取得初步控制效果），以及一种水葫芦螟蛾（Sameodes albiguttalis）。但是，目前还没有找到一种通用的最佳控制手段，人们还在寻找和评估更多的控制方法，例如Aeigona infusella蛾。3）用草甘膦、农达和克芜踪等除草剂在短时间内有效。但对于大量凤眼莲生长的地区则很少使用除草剂，即使有，收效也并不明显，苏丹就是一个例子。但是该方法可用于控制可以通过船只或接近陆地的小面积受侵地，或者是气候不适宜凤眼莲生长的某些区域；4）除草剂和天敌昆虫协调防治也取得了较好的研究进展。5）凤眼莲在入侵地的增殖主要取决于两个因素：营养供给和是否存在自然天敌。为了取得更好的防治效果，必须强调水域管理和直接控制手段相结合的控制方法。水域管理涉及到河流、湖泊或湿地所具有的营养程度。良好的水域管理可以有效地防治凤眼莲以及其它漂浮的水生杂草，为居住于该水域的人们提供一个可持续发展的合理的生活方式，保护生态和生物多样性。"	"水葫芦，凤眼蓝，布袋莲"	"是目前世界上危害最严重的多年生恶性水生杂草之一，被列入世界最危险的100种入侵种名单。1901年作花卉从日本引入台湾，20世纪50年代作为猪饲料推广，并发展为水质净化种类，后大量逸生。由于其无性繁殖速度极快，现已广泛分布于华北、华东、华中和华南的19个省市，尤以云南昆明、江苏、浙江、福建、四川、湖南、湖北和河南南部发生严重。90年代中期，在我国南方的一些河道和湖泊，凤眼莲覆盖面积达100%。在云南省昆明市滇池内，1994年凤眼莲的覆盖面积约达10km2，由于水质污染和因此而导致的水葫芦的疯长，滇池内很多水生生物已处于灭绝的边缘。资料记载，60年代以前滇池主要水生植物有16种，水生动物68种，但到80年代，大部分水生植物相继消亡，水生动物仅存30余种。堵塞河道，影响航运、排灌和水产品养殖；破坏水生生态系统，威胁本地生物多样性；吸附重金属等有毒物质，死亡后沉入水底，构成对水质的二次污染；覆盖水面，影响生活用水；滋生蚊蝇。"	"凤眼莲"	"多年生草本，浮水或生泥沼中。仅在开花时生出细长的根须扎根泥沼中，其余时间生长着肉质丰满粗厚而接近水平的根漂浮着；繁殖方式以无性为主，依靠匍匐枝与母株分离方式，植株数量可在5天内增加一倍。一株花序可产生300粒种子，种子沉积水下可存活5~20年。常生于水库、湖泊、池塘、沟渠、流速缓慢的河道、沼泽地和稻田中。水葫芦的生长对水中的养分和pH值的要求并不高，但如水中盐分含量超过0.06%时即死亡。最适合的生长条件为pH值为7，磷含量20ppm（20/106），并有足够的氮，最适宜温度为28~30℃。霜冻可使水葫芦植株死亡，但在很多地区，只有叶部受霜冻影响，植株基部仍保持绿色并不死亡，因此可顺利越冬。"	"单子叶植物纲"	"百合目"	"雨久花科"	"凤眼莲属"	"Water hyacinth"	"可借助种子传播，可依靠匍匐枝无性繁殖，人类活动助长了种群扩散。"	"南方各省普遍发生"	"被子植物门"	"亚马逊流域"	"水上部分高30~50(~100)cm，或更高。茎具长匍匐枝。叶基生呈莲座状，宽卵形、宽倒卵形至肾状圆形，光亮，具弧形脉；叶柄中部多少膨大，内有多数气室。花紫色，上方一片较大，中部具黄斑。蒴果卵形。"		"Eichhornia crassipes (Mart.) Solms."	"PL00062"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/凤眼莲.jpg"
"63"					"狗筋麦瓶草"	"花期6-8月，果期7-9月。 生于草甸、江岸草地、山谷灌丛间、撩荒地上，亦为田间杂草。"	"双子叶植物纲"	"石竹目"	"石竹科"	"麦瓶草属"	"Bladder Campion"		"黑龙江、内蒙古、西藏"	"被子植物门"	"欧洲"	"多年生草本，高40-90余厘米，全株无毛，呈灰绿色。根多数，略呈细纺锤形。茎直立，丛生，上部分枝，节部膨大。叶披针形至卵伏披针形，长5-8厘米，宽1-2.5厘米，茎下部叶基部渐狭成短柄，先端急尖或渐尖，边缘具刺状微齿，中脉明显，茎上部叶无柄，基部抱茎，边缘平滑。花顶生，形成较稀疏的大形聚伞花序；花梗下垂，与萼等长或比萼短；萼筒广卵形，膜质，膨大成囊泡状，无毛，长14-16毫米，宽7-10毫米，具20条脉，脉间由多数网伏细脉相连，常带紫堇色，萼齿三角形，先端急尖，边缘具白色微毛；雌雄蕊柄长约2毫米，无毛；花瓣白色，平展，约比萼长出半倍，长15-17毫米，瓣片2深裂几达基部，爪上部宽，基部渐狭，瓣片及爪部之间无鳞片状附属物；雄蕊超出花冠；子房卵形，长约3毫米，花柱3枚，超出花冠。蒴果略呈球形，径约8毫米，平滑有光泽，6齿裂；种子肾形，成熟时黑褐色，长约1.5毫米，宽1.2毫米，表面被乳头伏突起。"		"Silene vulgaris (Moench.) Garcke"	"PL00063"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/狗筋麦瓶草.jpg"
"64"				"一般性杂草。"	"光果小花山桃草"	"逸为杂草，见生长于田园、路边和荒地等处 。在干旱沙质土壤上生长繁茂。"	"双子叶植物纲"	"桃金娘目"	"柳叶菜科"	"山桃草属"	"Smallflower gaura"	"我国引种栽培供观赏。"	"山东、辽宁和长江以南各省"	"被子植物门"	"北美"		"李扬汉，1998. 中国杂草志. P.715"	"Gaura parviflora Douglas ex Hooker f. glabra Munz"	"PL00064"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/光果小花山桃草.jpg"
"65"	"于明末作为观赏植物引入华南地区，1777年出版的《南越笔记》中即有该种的记载。"			"为南方秋熟旱作物地和果园杂草。全株有毒，广东西部和广西南部曾有牛误食中毒死亡的报道。"	"含羞草"	"亚灌木状草本，常生长旷野荒地、果园、苗圃。花期3~10月，果期5~11月。种子繁殖。荚果由人或动物散布。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"含羞草属"	"Sensitive Plant"		"福建（南部）、广东、广西、海南、澳门、台湾、香港、云南"	"被子植物门"	"热带美洲；现已成为泛热带杂草。"	"高可达1m，茎圆柱状，具散生钩刺及倒生刺毛。叶为二回羽状复叶，触之即闭合下垂；羽片通常2对，近指状排列，长3~8cm；每一羽片具10~20对小叶，小叶线状长圆形，长8~13mm，宽1.5~2.5mm。花小，多数，淡红色，组成直径约1cm的头状花序；雄蕊4枚，外伸。荚果长圆形，长1~2cm，宽约5mm，扁平，边缘波状并有刚毛。每荚节含一粒种子。"		"Mimosa pudica"	"PL00065"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/含羞草.jpg"
"66"			"山扁豆，决明子，望江南"	"对局部地区的果园、幼林、苗圃有一定危害。"	"含羞草决明"	"半灌木状草本。生于旷野、山坡、林缘、路旁。花果期全年。种子及根茎繁殖。喜温暖或凉爽气候，对土壤要求不严，砂质壤土、粘壤土均可栽培。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"决明属"	"Sensitiveplant-like Senna"	"作为药用植物引入。"	"广东、广西、台湾、云南、海南、贵州、江西、福建"	"被子植物门"	"美洲热带"	"成株 株高30一60cm，多分枝。茎通常被短柔毛，有时茎匍匐。偶数羽状复叶，长4一6cm； 在叶柄基部之上和最下面1对小叶之下有1个盘状无柄的腺体；小叶20—60对，线形，长3—4mm，宽1mm，全缘，先端圆或急尖，基部圆，偏斜；托叶条形，宿存。花腋生，长约6mm，单生或2至数朵排列成短总状花序。萼片5，分离，披什形，被黄色疏毛；花瓣黄色，5片，不相等，全部具短爪，略长于萼；雄蕊10，长短间生。子实 果实扁平，线形，长4一5cm，宽4一5mm，被柔毛，具种子10一25粒。"	"蔡蕾和，于之的等，2003. 中国防治外来入侵物种的现状与管理评估，环境保护 ，2003年08期. P.27-34"	"Cassia mimosoides L."	"PL00066"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/含羞草决明.jpg"
